title,date,text
The dollar hit an all-time record in Brazil,2020-03-12,"Brazil's real weakened on Thursday, crossing the 5-unit-per-dollar threshold for the first time in its history, while Brazil stock market futures pointed to a 5.2% collapse at the opening, as growing fears of the coronavirus affected investor confidence.

The historical depreciation of the real occurs despite the intervention of the Central Bank of Brazil in the foreign exchange market to lower the price

WRITING NOTE"
Mexico stays static as its  currency  plummets,2020-03-11,"The Colombian and Mexican pesos are likely to remain the worst-performing currencies in emerging markets this year, after their central banks decided to stay out as both currencies continue to fall in oil prices.

Colombia's peso fell 6.7% this week, while Mexico's currency fell 5.1% as crude oil plummeted due to a price war between Saudi Arabia and Russia. While Chile's policymakers intervened in the derivatives market and Brazil resorted to currency swaps and the immediate market, officials in the region's two most affected countries remain optimistic.

Investors should also not count on the central bank intervening in Colombia, even when crude money accounts for nearly a third of the country's exports. (Photo: Bloomberg)Mexico's central bank extended the upper limit of its foreign exchange hedging program this week, but has chosen not to sell dollars until now. That was not enough to reassure markets, as falling oil prices undermined the nation's fiscal outlook. It also weighs on the currency the fact that it had surpassed most emerging market currencies in the first month of the year, when the oil crisis pushed investors out of the market at once.

Investors should also not count on the central bank intervening in Colombia, even when crude money accounts for nearly a third of the country's exports. On the rare occasions he intervened, the central bank used options to curb the rapid appreciation of the currency, not depreciation.

While the effectiveness of currency intervention is always questionable, investors are likely to favor currencies that receive additional boost from central banks as the coronavirus spreads further and investors expect news about the oil price war.

The weight debacle: how the Mexican star currency passed to the most losing

Until a few weeks, the Mexican peso was the star currency of emerging countries.Until a few weeks, the Mexican peso was the star currency of emerging countries.

Today, she's the most losing since. The reason? A massive peso sale by speculators to cover the losses of a record number of contracts betting on a mexican currency hike, experts said.

In financial slang, the peso suffered a ""squeeze,"" the specialists explain, which began in February with the market nervousness about the coronavirus, and which was exacerbated on Sunday by the fall in oil prices.

The Mexican currency fell in the early hours of Monday to 14%, after the collapse in international crude oil prices, although it later reduced the losses to about 4%, to quote around 21 units per dollar.

src""https://www.infobae.com/new-resizer/D15SonjsKsN433g36V7DDdRLx/arc-anglerfish-arc2-prod-infobae./arc-anglerfish-arc2-prod-infobae.com(""https://www.infobae.com/new-resizer/D15SonjsKsN433g36V7DDdRLx/arc-anglerfish-arc2-prod-infobae./arc-anglerfish-arc2-prod-infobae.com"") s3.amazonaws.com/public/XTXKQAO4U5HLTDDR4U42IL2BCI.jpg"" width""1920""/>The Mexican peso is the most liquid currency in Latin America (Photo: Archive)""There is now a lot of squeeze in several currencies, but the situation in the peso is exacerbated by the liquidity and market positioning,"" said Sacha Tihanyi, deputy director of emerging market strategy at TD Securities.

The Mexican peso is the most liquid currency in Latin America, making it highly sensitive to external events, such as the coronavirus epidemic and the oil war.

A year ago, Tihanyi warned in an analysis note that the large number of long positions on weight, i.e. instruments betting on currency appreciation, put the Mexican currency in a vulnerable situation.

Until February 14, when it hit its best level in 18 months, the peso accumulated a gain of just over 2% by 2020, against the current of most emerging currencies.

The global volatility shock caused investors to sell the weight and take the profits earned up to that point to cover the losses they would have on derivative instruments.

MORE ON OTHER TOPICS:

Shares of oil company Aramco, the world's top-listed company, are collapsing

Black day on stocks: Europe opened with falls of up to 9% and Wall Street futures were suspended because they hit the loss limit

Epidemic expert Richard Hatchett: ""Coronavirus is the scariest disease I've encountered in my career"""
"UPDATE 2- Brazil  stocks jump 7% in biggest gain since 2009,  FX intervention  boosts real",2020-03-10,"(Adds closing prices, detail)

By Jamie McGeever

BRASILIA, March 10 (Reuters) - Brazilian stocks chalked up their biggest one-day rise in 11 years on Tuesday, on growing hopes for global economic stimulus measures and as investors bought stocks battered down the previous day in the biggest selloff since 1998.

Shares in oil giant Petrobras and miner Vale led the rebound, rising 8.7% and 18.1%, respectively, while the central bank's third intervention in the spot foreign exchange market in two days helped drive the real's biggest rally this year.

A day after the real had slumped to a record low against the dollar, the central bank sold $2 billion on the spot market in the morning, bringing its FX intervention this week to $5.465 billion.

Local markets got a lift from the global relief rally, which saw Wall Street soar more than 4.5% as bargain hunting and hopes of government stimulus calmed investors' fears surrounding the coronavirus and growing signs of imminent recession.

""For those with a long-term investment horizon who weren't already invested (in stocks), this is an excellent time to buy shares,"" Rico Investimentos, a brokerage in Sao Paulo, said in a client note on Tuesday.

""For those already invested and with cash to take advantage of opportunities, the is also a very opportune time (to buy),"" they added.

Preferred shares in state-controlled oil company Petroleo Brasileiro SA, known as Petrobras, surged as much as 16% before easing back to close up 8.7%, and miner Vale SA's 18% rally was its biggest rise since January, 1999.

On Monday, Petrobras shares sank 30%, their biggest ever one-day loss, which wiped almost 100 billion reais off its market value.

Brazil's real rose 1.7% to close at 4.6457 per dollar , a day after slumping to an all-time low close to 4.80 per dollar. Some analysts said selling pressure on the real is likely to return soon, which will force the central bank to take even bolder action.

""Until now, the central bank has maintained discretion regarding these interventions, announcing them on a daily basis at the expense of a medium-term intervention plan,"" Citi strategists wrote in a client note on Tuesday.

""With the escalation of the Covid-19 outbreak worldwide, the likelihood of the central bank announcing a FX intervention plan is increasing,"" they said. (Reporting by Jamie McGeever, Editing by Marguerita Choy and David Gregorio) 

Released: 2020-3-10T21:41:45.000Z"
"UPDATE 3- Brazil  stocks post biggest fall since 1998,  central bank intervenes  twice in  FX ",2020-03-09,"(Adds detail, updates closing prices)

By Jamie McGeever and Paula Laier

BRASILIA/SAO PAULO, March 9 (Reuters) - Brazilian stocks plunged more than 12% on Monday to record their biggest fall since 1998 and the central bank intervened twice in the currency market as the real slumped to another record low, in a day of widespread fear and selling across global markets.

The benchmark Bovespa index's 12.3% decline was its biggest one-day fall since October 1998 and the seventh largest ever, with preferred shares in oil giant Petrobras recording their steepest ever decline of 30%.

The savage sell-off came after Saudi Arabia decided to ramp up oil production as OPEC's supply-cut agreement with Russia collapsed, sending ripples across global financial markets already panicking about the impact of the coronavirus outbreak.

""Not a good day to be in Brazil,"" said Jason Vieira, chief economist at Infinity Asset Management in Sao Paulo. ""Brazil is taking the hit more than anyone else, again. The local market suffers for the massive presence of Petrobras in the Bovespa.""

""The real has probably found its floor, but it does not mean that markets won't test the central bank again. They will,"" he added.

In the currency market, the central bank followed up a $3 billion spot market auction in the morning with a $465 million sale in the afternoon, as the real slumped to a new record low just shy of 4.80 per dollar.

That marked the central bank's first intervention in the spot market since November last year, and its largest sale of dollar reserves since 2009. It arrested the real's decline, but the currency still lost around 2% of its value on Monday and has now depreciated by more than 15% this year.

Monetary policy director Bruno Serra said on Monday that the central bank will do whatever is needed and in whatever size is needed to ensure the smooth functioning of the foreign exchange market, adding that Brazil's $330 billion of net reserves provides a ""robust insurance"" against external shocks.

""The new FX approach is the right one, as we're in panic mode,"" said a senior trader at a big bank in Sao Paulo. ""It's time to provide as much liquidity as possible to contain the pressure.""

The $3.465 billion spot market intervention followed interventions in the FX swaps market in recent weeks worth almost $10 billion. The action prevented the real from falling below 4.80 per dollar and helped ease market volatility, if only slightly.

In stocks, trading on the B3 Bolsa Brasil Balcao was halted minutes after the open by an automatic ""circuit breaker"" triggered by the Bovespa's 10% fall. The exchange resumed trading and extended its decline.

The steep fall, led by energy firms, miners and banks, pushed the Bovespa deep into bear market territory, signaling a decline of 20% or more from its peak.

The index is now down 28% from its all-time high of 119,593 points on Jan. 24. In dollar terms, according to Reuters calculations, the Bovespa is now down 35.5% year to date, the steepest drop of any major equities index in the world.

Common and preferred shares in state-controlled oil company Petroleo Brasileiro SA sank 30%, the largest ever intraday fall. Petrobras' market value lost 95 billion reais ($20 billion) compared with Friday's close.

($1 = 4.74 reais)

(Reporting by Jamie McGeever in Brasilia, Tatiana Bautzer, Paula Laier, Jose Gomes Neto and Christian Plumb in Sao Paulo, Susan Mathew in Bangalore Editing by Steve Orlofsky and Lisa Shumaker) 

Released: 2020-3-9T22:00:53.000Z"
EMERGING MARKETS-Latam assets crater after oil crash; coronavirus fears rise,2020-03-09,"
    * Oil slides more than 30% 
    * Mexican peso set for its worst day in 3-1/2 years 
    * Currencies of Colombia, Brazil, Chile hit record lows
    * Brazil's Bovespa stock index drops as much as 10% 
    * Other stocks indexes in Latam slump between 3.6% and 10.5%

 (Adds comments, updates price action)
    By Shreyashi Sanyal and Susan Mathew
    March 9 (Reuters) - Mexico's peso was set for its worst day
in 3-1/2 years on Monday and Colombia's peso slumped to a record
low as the currencies of major oil exporters were hammered after
crude lost a third of its value. 
    Oil prices fell as much as 30% after Saudi Arabia slashed
its official crude selling price and set plans for a dramatic
increase in production following Russia's refusal to help
stabilize oil markets. The move shocked markets already reeling
under pressure from the coronavirus outbreak.
    ""No one expected the Saudis to start a price war on oil, so
to that extent it is a black swan event,"" said Max Gokhman, head
of asset allocation at Pacific Life Fund Advisors in California.
    ""It creates a snowball effect where momentum just
accelerates in whatever direction it was going. In this case it
was down.""
    Brazil's real and the Chilean peso both sank 
to all-time lows. Brazil's central bank said it will continue
intervening in the foreign exchange market using all tools at
its disposal to whatever extent necessary to ensure the market
functions smoothly.
    Regional stocks plunged in line with a tumble on Wall
Street, with Brazil's Bovespa stock index sinking 10%,
triggering an automatic 15-minute halt. According to Eikon, the
index has fallen 34.5% year to date, logging the steepest losses
of any benchmark global index in dollar terms. 
    Preference shares of state oil firm Petroleo Brasileiro
 slid nearly 30% set for their worst day ever after
the company cut diesel and gasoline prices following the slump
in oil prices, a source said.
    The oil shock comes as the fast-spreading coronavirus has
been roiling markets for weeks, with the number of infected
cases exceeding 110,000 worldwide leading to the suspension of 
economic activity and adding to fears of a global recession. 
    Colombian oil major Ecopetrol dropped 17%, taking
Colombia's main index down 8.7% - on track for its
worst day since 2009, when the global financial crisis wreaked
havoc across markets. 
    The moves took MSCI's index of emerging market stocks
 down 6.1%, on track for its biggest percentage drop
since 2011.
    
    OIL EXPORTERS BEAR THE BRUNT
    The Mexican peso slipped as much as 8% to touch its
lowest since early 2017. Several analysts now say that chances
of an interest rate cut from the Mexican central bank might be
shrinking at the country's currency sinks to new lows.   
    Colombia's peso was set for its worst day ever, down
more than 6% to hit a new low of 3,835.
    ""There is likely to be a hit to growth in Mexico and
Colombia. And weaker currencies in both countries will take
interest rate cuts off the table, at least in the near-term,""
said Quinn Markwith, emerging markets economist at Capital
Economics. 
    A scurry to the safety of bonds and the Japanese yen
quashed the dollar. Markets have fully priced in a
75-basis-point cut from the U.S. Federal Reserve later this
month, hot on the heels of a 50-point cut emergency cut last
week. 
    
    Key Latin American stock indexes and currencies at 1845 GMT:
    
  Stock indexes            Latest        Daily %
                                         change
 MSCI Emerging Markets        950.01          -6.13
                                      
 MSCI LatAm                  1997.79         -12.69
                                      
 Brazil Bovespa             86507.54         -11.72
                                      
 Mexico IPC                 39009.47          -5.75
                                      
 Chile IPSA                  4060.21             -4
                                      
 Argentina MerVal           31201.64        -11.415
                                      
 Colombia COLCAP             1352.46         -10.01
                                      
                                                   
      Currencies           Latest        Daily %
                                         change
 Brazil real                  4.7436          -2.32
                                      
 Mexico peso                 21.2310          -5.32
                                      
 Chile peso                    841.5          -1.82
                                      
 Colombia peso               3810.52          -5.94
                                      
 Peru sol                     3.5047          -1.00
                                      
 Argentina peso              62.5250          -0.07
 (interbank)                          
                                      
 

 (Reporting by Shreyashi Sanyal and Susan Mathew in Bengaluru;
Additional reporting by Uday Sampath Kumar; Editing by Dan
Grebler and Lisa Shumaker)

Released: 2020-3-9T20:09:25.000Z"
EMERGING MARKETS-Carnage in Latam as oil plummets; coronavirus fears rise,2020-03-09,"
    * Oil slides more than 30% 
    * Mexican peso set for its worst day in 3-1/2 years 
    * Currencies of Colombia, Brazil, Chile at record low
    * Brazil's Bovespa stock index drops as much as 10% 
    * Other stocks indexes in Latam slump between 3.6% and 10.5%

    By Susan Mathew
    March 9 (Reuters) - Mexico's peso was set for its worst day
in 3-1/2 years on Monday and Colombia's peso slumped to a record
low as the currencies of major crude oil exporters were hammered
after oil lost a third of its value. 
    Oil prices fell as much as 30% after Saudi Arabia slashed
its official crude selling price and set plans for a dramatic
increase in production following Russia's refusal to help
stabilize oil markets. The move shocked markets already reeling
under pressure from the coronavirus outbreak.
    Brazil's real and the Chilean peso both sank 
to all-time lows. Brazil's central bank said it will continue
intervening in the foreign exchange market using all tools at
its disposal to whatever extent necessary to ensure the market
functions smoothly.
    Regional stocks plunged in line with a tumble on Wall
Street, with Brazil's Bovespa stock index sinking 10%,
triggering an automatic 15-minute halt. 
    Preference shares of state oil firm Petroleo Brasileiro
 crashed 24% in what could be their worst day ever
after the company cut diesel and gasoline prices following the
slump in oil prices, a source said.
    ""The oil price collapse adds a new dimension for fear and
uncertainty,"" said David Bahnsen, chief investment officer at
The Bahnsen Group. ""Investors just have to brace for impact
until more cards are on the table.""   
    The oil shock comes as the fast-spreading coronavirus has
been roiling markets for weeks, with the number of infected
cases exceeding 110,000 worldwide leading to the suspension of 
economic activity and adding to fears of a global recession. 
    Colombian oil major Ecopetrol dropped 20%, taking
Colombia's main index down 7.2% - on track for its
worst day since 2009, when the global financial crisis wreaked
havoc across markets. 
    The moves took MSCI's index of emerging market stocks
 down 5.7%, on track for its biggest percentage drop
since 2011.
    
    OIL EXPORTERS BEAR THE BRUNT
    The Mexican peso slipped as much as 8% to touch its
lowest since early 2017. Data showed Mexican consumer prices
rose 3.70 percent in the year through February, further drifting
above the central bank's target rate. 
    ""For the Mexican peso, it is also about completely unwinding
the very heavy long positions that we've had build up over the
last year,"" said Christian Lawrence, senior market strategist at
 Latam FX at Rabobank.  
    While some analysts see Monday's decline as steep enough for
the Mexican central bank to hold rates steady next week, some
say it may still cut, but by a more cautious 25 basis points,
rather than 50 points expected as of last week.

    ""The Mexican central bank will probably announce some
options stabilization as in the past, but I don't think they
will intervene in the spot market.""  
    A scurry to the safety of bonds and the Japanese yen
quashed the dollar. Markets have fully priced in a
75-basis-point cut from the U.S. Federal Reserve later this
month, hot on the heels of a 50-point cut emergency cut last
week.  
    Colombia's peso was set for its worst day ever, down
more than 6% to hit a new low of 3,835.
    
    Key Latin American stock indexes and currencies at 1449 GMT:
   Stock indexes           Latest    Daily %
                                     change
 MSCI Emerging Markets       954.27    -5.71
                                     
 MSCI LatAm                 2057.87   -10.06
                                     
 Brazil Bovespa            89296.88    -8.88
                                     
 Mexico IPC                39667.35    -4.16
                                     
 Chile IPSA                 4076.68    -3.61
                                     
 Argentina MerVal          31518.59  -10.516
                                     
 Colombia COLCAP            1394.82    -7.19
                                     
                                            
      Currencies           Latest    Daily %
                                     change
 Brazil real                 4.7400    -2.24
                                     
 Mexico peso                21.0960    -4.71
                                     
 Chile peso                   840.6    -1.71
                                     
 Colombia peso              3790.84    -5.45
                                     
 Peru sol                     3.498    -0.81
                                     
 Argentina peso             62.5200    -0.06
 (interbank)                         
                                     
 
 (Reporting by Susan Mathew in Bengaluru; Editing by Dan
Grebler)

Released: 2020-3-9T16:27:12.000Z"
UPDATE 1-Brazil  central bank  to sell up to $1 bln in spot  FX  market,2020-03-06,"(Adds context)

BRASILIA/SAO PAULO, March 6 (Reuters) - Brazil's central bank will auction up to $1 billion in the spot currency market on Monday, it said on its website on Friday, marking its first foreign exchange intervention selling dollar reserves outright since November.

The announcement follows the central bank's sale of $5 billion worth of currency swap contracts this week in an effort to slow the sharp depreciation of the local currency, amid calls from investors to intervene in the spot market, too.

Brazil's currency, the real, hit a record-low on Friday, at 4.67 per dollar, and has lost more than 13% this year — one of the worst-performing currencies in the world — as the country's economic growth and interest rate outlooks have dipped sharply.

The central bank's return to the spot market, dipping into some $360 billion of international reserves, comes amid surging market volatility, which has been linked with recent escalations in the central bank's interventions.

Implied one-month and three-month dollar/real volatility rose on Friday above the level when the central bank last sold FX reserves in November, fast approaching levels seen in August, when policymakers sold dollars in the spot market for the first time in 10 years.

After the U.S. Federal Reserve's emergency interest rate cut this week, Brazil's central bank said it was monitoring financial conditions as coronavirus fears hammered local markets and triggered a wave of downward revisions of growth forecasts. (Reporting by Jamie McGeever, Marcela Ayres and Jose de Castro Editing by Brad Haynes and Leslie Adler)

Released: 2020-3-9T22:46:38.000Z"
Funds ramp up bets against Brazil's real as it has biggest weekly fall this year,2020-03-06,"BRASILIA, March 6 (Reuters) - Funds and speculators on U.S. futures markets increased their bearish bets against the Brazilian real for the seventh week in a row, data showed on Friday, the same day the currency registered its biggest weekly fall since November.

A $2-billion intervention in the currency swaps market from Brazil's central bank helped pull the real up from a fresh record low, but it still ended the week down 3.4% as traders moved to price in a cut in interest rates later this month.

That brought the central bank's sales of currency swaps contracts in recent weeks to $9.5 billion, a concerted effort to slow or reverse the real's decline which accelerated amid a rapidly deteriorating economic outlook.

The latest Commodity Futures Trading Commission data on Friday showed that funds and speculators on U.S. futures markets are now holding their largest net short real position this year.

To go short a financial asset is to effectively bet that it will decline in value.

Funds' net short position as of March 3 grew to 42,858 contracts from 36,987 contracts the week before, CFTC data showed. That is the seventh week in a row of rising net short positions, which are now near last December's record 51,274.

But those figures were for the week to Tuesday, when the real traded as strong as 4.45 per dollar before sliding to as weak as 4.67 per dollar on Friday.

Traders said a rate cut at the central bank's next policy meeting on March 17-18 is all but guaranteed.

""FX is a big problem, so now is not the time to cut rates,"" said a senior trader in Sao Paulo, noting that lower rates will likely put the real under even more downward pressure.

After the U.S. Federal Reserve's emergency rate cut this week, Brazil's central bank said it was monitoring financial conditions as coronavirus fears tanked local markets and triggered a wave of downward economic growth forecast revisions.

Economists at Barclays on Friday became the latest to lower their 2020 growth outlook, to 1.7%. The government will lower its forecast next week, but not below 2%, Economy Minister Paulo Guedes said on Thursday.

(Reporting by Jamie McGeever Editing by Alistair Bell) 

Released: 2020-3-6T22:56:34.000Z"
"EMERGING MARKETS-Surging coronavirus cases roil Latam  FX , economic fears mount",2020-03-05,"
    * Brazilian real slides to new record low
    * Brazil central bankintervenes thrice in FX market  
    * Colombia peso tracks declines in oil prices

 (Adds comments, updates prices)
    By Shreyashi Sanyal
    March 5 (Reuters) - Latin American currencies tumbled on
Thursday, with Brazil's real touching new lows, as the rapid
spread of the coronavirus outside China pushed investors away
from riskier assets on growing worries about the scale of the
economic damage.  
    Brazil's real continued its slide, falling 1.4% to a
fresh low of 4.6663 to the dollar, while Mexico's peso
lost more than 1.7% heading for its third straight session of
losses.
    ""The market is getting more concerned about the impact to
growth globally and what you are seeing is that a slowdown in
global growth creates concerns for growth in emerging market
economies,"" said Jeff Grills, head of emerging markets debt at
Aegon Asset Management. 
    ""Currency weakness is one way you can see that slowdown
being expressed.""
    Colombia's currency slid nearly 2%, tracking losses
in oil prices, while Chile's peso touched a three-month
low despite a rise in its main export good, copper.
  
    The weakness in regional currencies was in line with broader
emerging market peers and came even as the dollar languishes at
two-month lows as investors bet the U.S. Federal Reserve will
reduce lending rates further after delivering an emergency
interest rate cut on Tuesday. 
    Hopes have risen that other central banks might follow suit
as the virus spreads aggressively across the globe, forcing
whole cities to shut down and bringing economic activity in
those areas to a standstill.
    The number of infected cases globally is fast approaching
100,000, and the death toll has climbed to over 3,300. 
    In Brazil, the deteriorating economic outlook for 2020
exacerbated in recent days by coronavirus fears, raised bets the
central bank will cut interest rates for the sixth time since
the beginning of its easing cycle in 2019, at its March 17-18
meeting to a new low of 4%.
    The central bank of Brazilintervened in the FX derivatives
market three times on Thursday, selling a total of $3 billion
swaps contracts, but the pressure is mounting on the central
bank to tap its $360 billion stockpile of FX reserves and sell
dollars outright to ease the pressure on the real.
    ""They (Brazil central bank) will eventually get to a point
where if it approaches 5 reais to the dollar, that is where they
can get a lot more success. That is when people will realize
that the currency has moved too far relative to general
expectations for fair value,"" Grills said. 
    Sao Paulo stocks shed almost 4%, led lower by
carriers Gol and Azul because airlines
have been one of the worst hit by the outbreak as travel curbs
restrict demand.       
    Key Latin American stock indexes and currencies at 1937 GMT:
   
  Stock indexes                Latest        Daily % change
 MSCI Emerging Markets              1037.54           -0.03
                                             
 MSCI LatAm                         2383.61           -4.94
                                             
 Brazil Bovespa                   103011.63           -3.93
                                             
 Mexico IPC                        42518.26           -2.04
                                             
 Chile IPSA                         4324.09           -0.97
                                             
 Argentina MerVal                  36771.53          -1.267
                                             
 Colombia COLCAP                    1543.79           -0.05
                                             
                                                           
      Currencies               Latest        Daily % change
 Brazil real                         4.6459           -1.43
                                             
 Mexico peso                        19.8910           -1.82
                                             
 Chile peso                           823.2           -0.80
                                             
 Colombia peso                         3537           -1.75
                                             
 Peru sol                            3.4587           -1.18
                                             
 Argentina peso                     62.4175           -0.09
 (interbank)                                 
                                             
 
    

 (Reporting by Shreyashi Sanyal and Susan Mathew in Bengaluru;
editing by Jonathan Oatis and Lisa Shumaker)

Released: 2020-3-5T20:58:57.000Z"
The dollar rose but does not reach: the peso is delayed against a devalued real,2020-03-05,"The Central Bank (BCRA) repeated its modus operandi and for the tenth consecutive wheel raised the price of its token by US$50 million at MULC. The six-cent hike pushed the wholesaler to $62.42.

This represented a weight depreciation of just 0.10%, against a much larger collapse of the rest of the region's currencies. The fall of the real, currency of the main trading partner, was over 1.5% despite the central bank of Brazilintervening in the market.

The retail dollar remained unchanged at $64, while the blue dollar remained at $77.75. The solidarity dollar retreated to $83.73, after playing the $83.90 on Wednesday and being on the brink of $84 on Tuesday.

The traded volume again showed a decrease, to the spot segment moved US$ 197,130 million, with us $4 million in the foreign ministry sector.





""The real depreciation rate is much higher than ours. In the bilateral relationship we are getting behind against our main trading partner,"" warned Fernando Camusso of Rafaela Capital.

In dialogue with The Chronist, he noted that ""if this black swan that is the coronavirus is prolonged over time, it is an additional factor that will put pressure on the exchange rate"".

""The problem is the covert distortion that is generated with a downward interest rate. If there was no cepo, that would translate into a dollar rise. As this is a frozen economy, the pressure on the exchange rate and prices is increasing,"" he said.

From ABC's Exchange Market they agreed that the region's depreciation situation is a short-term problem: ""We are out of the context of the international currency market, especially those emerging from neighboring countries, as a sharp devaluation recorded in all markets including the US dollar index itself against the basket of strong foreign currencies fell to 96.71%, a 0.58% today.""

Andthe Central Bank of Brazil carried out two interventions in the foreign exchange market, the dollar gained strength again and broke record after record.

Brazil's economy minister, Paulo Guedes,admitted that the exchange rate is ""at a higher level,"" albeit fluctuating.

In statements to journalists, he noted that the Central Bank would maintain market interventions.

""The exchange rate fluctuation is now at a higher level, but it is a floating rate. I don't believe in capital flight,"" he said to the newspaper Valor Económico."
