title,date,text
UPDATE 4-Run on Corpbank prompts Bulgarian  central bank  to seize control,2014-06-20,"* Follows reports of shady deals involving top shareholder

* Central bank to take control for three months

* Says no fear of contagion to other lenders

* Hungary's OTP, Greece's NBG both say no impact on ops

* Bulgarian credit default swaps rise to 6-month high (Adds banker and depositor quotes, details, background, market close)

By Matthias Williams and Tsvetelia Tsolova

SOFIA, June 20 (Reuters) - A run on Corporate Commercial Bank (Corpbank) prompted Bulgaria's central bank to take control of the country's fourth-largest lender on Friday and its governor appealed to depositors to stay calm.

The Bulgarian National Bank (BNB) said it would handle Corpbank's operations for three months and removed its management and supervisory board after the run, which was sparked by media reports of shady deals involving the bank.

The BNB said it acted after Corpbank said on Friday morning it had stopped all payments and bank operations due to a liquidity drain. The central bank said Corpbank was not bankrupt and other lenders in the country were safe from the effects.

""As you know, there has been a lot of talk about the bank and one of its shareholders, which triggered bank runs,"" central bank governor Ivan Iskrov said at a news conference. ""It is very important to be very careful when we talk about banks. Let's not tear down our house alone unnecessarily.""

""Let me make this very clear. Corporate Commercial Bank is not a bankrupt bank. We are acting swiftly to avoid a bankruptcy,"" said Iskrov.

He declined to give further details of the bank's problems and said supervisors would carry out a full audit of its books.

The central bank action did not stop dozens of people from queuing outside the main office of the bank in the capital Sofia on Friday, and credit default swaps on the country's debt hit a six-month high on fears of contagion. Sofia's blue-chip shares index closed at its lowest level since February.

The central bank blocked depositors from withdrawing cash after it took control.

""We are worried, because my husband and I have deposits there in euros and in U.S. dollars,"" said Lilia Polova, editor at a lifestyle magazine. ""These are our family savings. He was reading newspapers and was asking me to take our money out of there ... but I waited.""

Bulgaria's stock exchange suspended Corpbank from trading and the country's financial regulator ordered that the shares remain suspended until Wednesday next week in order to protect investors and stabilise the market.

LETTER LEAKED

Iskrov said Corpbank depositors stepped up withdrawals after an anonymous letter leaked to Bulgarian media said the central bank's deputy governor in charge of banking supervision was being investigated by prosecutors for abuse of office.

The central bank has since confirmed the investigation and said the deputy governor had taken a voluntary leave of absence.

Reports in Bulgarian media linked the investigation of the deputy governor to allegations of corruption at Corpbank.

In an interview with a Bulgarian TV news channel, whose contents were published by Corpbank on Thursday, Corpbank's top shareholder Tsvetan Vassilev denied any wrongdoing on his part or the bank's.

""We are a responsible bank both towards our client depositors and Bulgarian business,"" he said. Corpbank said on Thursday that Vassilev was ready to cooperate with the investigation into the bank's affairs.

A spokeswoman for Corpbank said on Friday that she was not allowed to make statements without the central bank's approval. She said she did not know Vassilev's whereabouts and in any case would not be allowed to share such information.

The leading shareholders in the Sofia-listed bank are Vassilev, with just over half the company, Oman's sovereign wealth fund with around 30 percent and Russia's VTB Asset Management with nearly 10 percent, Thomson Reuters data showed.

Friday's move by the central bank was the first such intervention since Bulgaria's 1996-1997 financial crisis, which led to the bankruptcies of 14 Bulgarian banks and forced the introduction of a currency board regime in the country.

SITUATION ""ISOLATED""

The bank run comes at a bad time for Bulgaria's government, which is preparing for an early election after the ruling Socialists suffered a bad result in European Parliament elections and a junior coalition partner withdrew its support.

Political instability in the European Union's poorest state has smothered reforms needed to spur economic growth and tackle high employment. Standard and Poor's downgraded Bulgaria's sovereign credit ratings last week to a notch above junk.

The government said it was ready to support efforts to stabilise Corpbank. Shareholder VTB also expressed interest in lending support, and the central bank said talks with VTB would start immediately.

Iskrov was quick to play down concerns that the panic could spread to other lenders in the region, which sits on the edge of a euro zone still recovering from its own financial crisis.

He said Bulgaria's banking system was not interlinked enough for Corpbank's problems to spread.

There are 29 commercial banks operating in Bulgaria and some three quarters of the banking system's assets are foreign-owned. Among foreign banks with operations in Bulgaria are UniCredit , Raiffeisen Bank, Hungary's OTP, National Bank of Greece, Eurobank and Alpha Bank.

OTP said the situation was ""isolated"", and National Bank of Greece and Eurobank both said their Bulgarian units were not experiencing any problems.

Bulgarian bank deposits in local and foreign currency are guaranteed up to 196,000 levs ($136,600), or 100,000 euros by law. The central bank will launch talks with shareholders to calculate the support the bank will need, Iskrov said.

""There is no spillover effect. I think that if the central bank and the government take fast measures there will be none,"" said Levon Hampartzoumian, chief executive of Unicredit Bulbank, Bulgaria's largest lender and head of the Association of Commercial Banks in Bulgaria.

""There is no similarity to the 1996 crisis, when there were serious cross-banking exposures,"" he told Reuters.

($1 = 1.4349 Bulgarian Levs) (Writing by Pravin Char and Simon Jessop; editing by Tom Pfeiffer) 

Released: 2014-6-20T19:22:24.000Z"
"CEE MARKETS 4-Poland  intervention ,  Bulgaria  ERM-2 delay hit  FX ",2010-04-09,"* Zloty knocked down by central bank intervention

* Bulgaria drops ERM-2 entry plans, mkt spooked

* Investors in wait-and-see mode ahead of Hungary election

(Updates throughout)

By Marius Zaharia and Dagmara Leszkowicz

BUCHAREST/WARSAW, April 9 (Reuters) - The zloty fell on Friday after the Polish central bank's first intervention in 10 years, while other central European currencies were pressured by Bulgaria's decision to delay its euro plans after revealing a hidden budget deficit.

Poland's central bank said in a statement it bought foreign currencies in the market, following a string of comments from officials this week trying to talk the zloty down. [ID:nWSF008905] [ID:nLDE63806P]

The central bank's deputy governor Witold Kozinski said later in the day the bank could not rule out further interventions in the currency market. [ID:nWSF008910]

The intervention raised concerns that policymakers in other central European countries might favour undervalued currencies to help economies recover from their worst recession in decades.

""There is a sentiment others will do the same as Poland. Romania has already done it and now investors are encouraged to think more ... is to come,"" a dealer in Bucharest said.

Another case of regional contagion occurred after Bulgaria announced it was delaying plans to enter the ERM-2 euro entry waiting zone because of unaccounted procurement deals that have widened the deficit to 3.7 percent of GDP last year from an initial 1.9 percent gap. [ID:nLDE63813A] [ID:nLDE63813L]

Dealers in Romania said investors became concerned that other countries in central Europe could have hidden deficits like Greece, and the leu was worst hit by the Bulgarian news. [ID:nBUC003670]

""Obviously, we may see a deterioration of investor sentiment. We've already seen an impact on the leu,"" said Melania Hancila, chief economist at Volksbank in Bucharest.

""I do believe that investors will be very carefully assessing data coming from Romania and other countries in the region. CDS quotations may rise because of this situation in Bulgaria.""

At 1413 GMT, the zloty <EURPLN=> was down 0.6 percent at 3.871 per euro, off almost two-week lows hit earlier in the session.

The leu <EURRON=> was down 0.5 percent, while the Czech crown <EURCZK=> was almost flat and Hungary's forint <EURHUF=> gained 0.3 percent from Thursday's close.

HUNGARY'S ELECTION

Hungarians will vote on Sunday in the first round of an election that looks set to bring a landslide victory for the opposition centre-right Fidesz party, giving it a strong mandate for reforms. [ID:nLDE6351AW]

Fidesz, which campaigned on tax cuts and job creation, could even secure a two-thirds majority, which would empower the party to pass broader structural reforms.

""The market is in a wait-and-see mode,"" one trader in Budapest said. ""Indications for a chance of a two-thirds majority (for opposition party Fidesz) on Sunday could reassure markets and be mildly forint positive.""

Hungarian bonds were steady, and analysts say their bull run may continue after the election as an expected strong majority government, a supply squeeze and hopes for more rate cuts bode well [ID:nLDE62U1OZ].

The forint, however, is set to give up some ground in the next few months after the elections, a monthly Reuters poll showed on Friday, but is poised for a modest gain of less than 1 percent over a 12-month horizon.[ID:nLDE6380S7]


--------------------------MARKET SNAPSHOT--------------------
Currency                    Latest   Previous Local    Local
                                  close    currency currency
                                           change   change
                                           today    in 2009 
Czech crown      <EURCZK=>  25.187   25.195   +0.03%   +4.49%
Polish zloty     <EURPLN=>   3.871    3.847   -0.62%   +6.02%
Hungarian forint <EURHUF=> 266.55   267.36    +0.3%    +1.43%
Croatian kuna    <EURHRK=>   7.27     7.27       0%    +0.54%
Romanian leu     <EURRON=>   4.133    4.114   -0.46%   +2.53%
Serbian dinar    <EURRSD=>  99.61    99.61        0%   -3.74%
Yield Spreads
Czech treasury bonds <0#CZBMK=>
3-yr T-bond   CZ3YT=RR    -11 basis points to  63bps over bmk*
7-yr T-bond   CZ7YT=RR    -5 basis points to  +83bps over bmk*
10-yr T-bond   CZ10YT=RR    -5 basis points to  +75bps over bmk*
Polish treasury bonds <0#PLBMK=>
2-yr T-bond   PL2YT=RR    -5 basis points to  +350bps over bmk*
5-yr T-bond   PL5YT=RR    -6 basis points to  +295bps over bmk*
10-yr T-bond PL10YT=RR    -5 basis points to  +245bps over bmk*
Hungarian treasury bonds <0#HUBMK=>
3-yr T-bond   HU3YT=RR    -7 basis points to  +458bps over bmk*
5-yr T-bond   HU5YT=RR    -6 basis points to  +398bps over bmk*
10-yr T-bond   HU10YT=RR  -5 basis points to  +364bps over bmk*


*Benchmark is German bond equivalent. All data taken from Reuters at 1613 CET. Currency percent change calculated from the daily domestic close at 1700 GMT. For related news and prices, click on the codes in brackets: All emerging market news [EMRG] Spot FX rates 


Eastern Europe spot FX <EEFX=>    Middle East spot FX <MEFX=>
Asia spot FX <ASIAFX=>       Latin America spot FX <LATAMFX=>
Other news and reports  
World central bank news [CEN]  Economic Data Guide <ECONGUIDE> 
Official rates [GLOBAL/INT]  Emerging Diary [EMRG/DIARY] 
Top events [M/DIARY]  Diaries [DIARY] Diaries Index [IND/DIARY] 


(Reporting by Reuters bureaux, writing by Marius Zaharia; Editing by Susan Fenton)

MARKETS-EASTEUROPE/ (CEE MARKETS 4)|LANGEN|Table|ABN|M|E|RBN|D|CZS|HX|PX|RDN|RNP|DNP|PTD|PMF"
"UPDATE 1-Bulgaria c.bank says FIBank in ""excellent condition""",2008-05-16,"(Adds central bank governor, FIBank comment, paragraphs 5-8)

SOFIA, May 16 (Reuters) - Bulgaria's central bank said First Investment Bank (FIBank) and other Bulgarian banks were in ""excellent condition"", dismissing rumours it faced financial problems.

Rumours have spread via several Bulgarian Internet blogs in the past two weeks that FIBank, Bulgaria's sixth largest bank by assets, had problems. That led to deposit withdrawals in the past few days, a central bank spokesman said.

""The governing board of the BNB (Bulgaria's central bank) categorically confirms that all Bulgarian banks, including FIBank are in an excellent condition with high liquidity and normal credit levels,"" the central bank said in a statement.

""The BNB will not allow FIBank to fall into trouble on the basis of unfounded rumours,"" the statement said.

FIBank said a separate statement later on Friday that deposit withdrawals, which surged in the past two days, had now fallen sharply.

""The crisis caused by the rumours has been overcome and client trust in the bank will recover in the next few days,"" said the bank, most of which is privately held, said.

Local news agency Focus quoted central bank governor Ivan Iskrov as saying that the spread of the rumours was a ""scenario"" aiming at damaging FIBank's credibility.

The central bank will ask prosecutors to investigate the case, Iskrov said.

Bulgarians still have bitter memories of a 1996/97 financial crisis that wiped out a third of the Balkan country's banks. The European Union newcomer has since introduced a currency board regime that pegs the national currency to the euro.

FIBank had assets worth of 4.07 billion levs ($3.22 billion) at end-March, when it posted a net profit of 15.07 million levs up from 10.1 million profit a year ago.

Bulgarian banks have enjoyed a credit boom in the past few years as people sought debt to buy consumer goods like flat screen TVs, new cars and houses after decades of communist austerity.

Loans grew 62.5 percent last year, while deposits rose by 34.3 percent, central bank data showed.

The central bank, worried by the credit boom, urged banks late last year to raise lending rates and tighten rules. It has said it was ready to intervene with fresh measures to cool the trend.

Bulgaria's 29 banks are mainly owned by big European lenders, many from Italy, Austria, Germany and Greece. (Reporting by Anna Mudeva and Tsvetelia Ilieva; editing by Rory Channing)

FIBANK-BULGARIA/ (UPDATE 1)|LANGEN|ABN|E|RBN|GNN|M|D|RNP|DNP"
Bulgaria  lev/dlr firms on ECB  intervention  fears. ,2000-11-10," SOFIA, Nov 10 (Reuters) - Bulgaria's lev gained against the dollar at Friday's close, reflecting euro's rise as markets feared the European Central Bank might step in again to support the euro after three interventions in the past week. 

 ""Trade was mainly client-driven today with companies mostly buying dollars, but some banks remained sidelined wary of a new intervention,"" a bank dealer said. 

 The lev ended the week at 2.245/2.247 per dollar, from 2.271/2.172 on Thursday, reflecting euro's rebound against the dollar on global markets through the lev/euro peg. 

 On Thursday, the ECB stepped into global markets to sell both dollars and yen to prop up the single currency in the third unilateral intervention in the past week. 

 Against the euro, the lev ended at 1.9463/1.9466, from 1.9461/1.9464 on Thursday as banks covered the rise in client dollar demand through euro/dollar arbitrage deals. 

 Bulgaria pegged the lev at 1.95583 per euro from 1999 as part of the currency board system."
Bulgaria  lev gains vs dollar on ECB  intervention . ,2000-11-10," SOFIA, Nov 10 (Reuters) - Bulgaria's lev erased part of losses against the dollar on Friday morning, shadowing euro's rise versus the U.S. currency after the European Central Bank intervened late on Thursday to support its currency. 

 ""I expect clients to be bullish on the dollar today but some market players are likely to wait for a further fall in the dollar as the ECB is likely to keep buying euros and the Bank of Japan can join it,"" a bank dealer said. 

 The lev opened at 2.239/2.241 per dollar, from 2.271/2.172 at Thursday's close, reflecting euro's rebound against the dollar on global markets overnight through the lev/euro peg. 

 On Thursday, the ECB stepped in to sell both dollars and yen to lift the single currency in the third unilateral intervention in the past week. 

 Against the euro, the lev opened at 1.9463/1.9466, from 1.9461/1.9464 late on Thursday as banks prepared to cover the expected rise in client dollar demand through euro/dollar arbitrage deals. 

 Bulgaria pegged the lev at 1.95583 per euro from 1999 as part of the currency board system."
BULGARIA LEV CLOSES DOWN 37 PCT FROM END-1996. ,1997-01-04," SOFIA, Jan 4 (Reuter) - The Bulgarian lev lost 37 percent in the first two trading days of 1997 for the local interbank market, closing at a new record low of 695-698 per dollar on Saturday in extremely thin volume, dealers said. 

 The lev opened at 620-660 per dollar and traded at 640-650 at midday, down from 590-605 at Friday's close and from 507-510 on Monday, the last trading day of 1996 for the local market before the New Year recess. 

 ""Big final clients bid for large foreign currency volumes while banks and clients alike were reluctant to sell amid an ongoing lev slide,"" a commercial bank dealer said. 

 ""Final clients bought every dollar offered irrespective of the high price,"" another dealer said. 

 The central bank was not seen selling dollars to support the crumbling lev, traders said. Central bank officials were not available for comment. 

 Markets were closed in Bulgaria from Tuesday through Thursday for the New Year. 

 Bulgarian National Bank (BNB) governor Lyubomir Filipov said on Sunday that BNB powers to counter pressure on the lev through interventions were limited because payments on Bulgaria's foreign debt in 1997 would be a priority for the BNB. 

 Low BNB foreign exchange reserves, lack of financing from abroad and lower than expected privatisation proceeds in 1996 were the reasons why the central bank could not prevent the lev decline, Filipov said. 

 BNB forex reserves stood at $525 million at the end of November last year, down from $1.408 billion a year earlier. 

 Bulgaria has to meet some $300 million of foreign debt payments in the first quarter with $170-180 million due in January alone. -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1997"
"Bulgaria lev down 37 pct from end-1996, new low. ",1997-01-04," SOFIA, Jan 4 (Reuter) - The Bulgarian lev lost 37 percent in the first two trading days of 1997 for the local interbank market, closing at a new record low of 695-698 per dollar on Saturday in extremely thin volume, dealers said. 

 The lev opened at 620-660 per dollar and traded at 640-650 at midday, down from 590-605 at Friday's close and from 507-510 on Monday, the last trading day of 1996 for the local market before the New Year recess. 

 ""Big final clients bid for large foreign currency volumes while banks and clients alike were reluctant to sell amid an ongoing lev slide,"" a commercial bank dealer said. 

 ""Final clients bought every dollar offered irrespective of the high price,"" another dealer said. 

 The central bank was not seen selling dollars to support the crumbling lev, traders said. Central bank officials were not available for comment. 

 Markets were closed in Bulgaria from Tuesday through Thursday for the New Year. 

 Bulgarian National Bank (BNB) governor Lyubomir Filipov said on Sunday that BNB powers to counter pressure on the lev through interventions were limited because payments on Bulgaria's foreign debt in 1997 would be a priority for the BNB. 

 Low BNB foreign exchange reserves, lack of financing from abroad and lower than expected privatisation proceeds in 1996 were the reasons why the central bank could not prevent the lev decline, Filipov said. 

 BNB forex reserves stood at $525 million at the end of November last year, down from $1.408 billion a year earlier. 

 Bulgaria must meet some $300 million of foreign debt payments in the first quarter with $170-180 million due in January alone. 

 -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1997"
Bulgaria lev loses 18 pct versus dlr in day. ,1997-01-03," SOFIA, Jan 3 (Reuter) - The Bulgarian lev closed between 590-605 per dollar on Friday, down from 575-585 in the morning and 507-510 at Monday's close as dollar demand topped supply in light interbank volume, dealers said. 

 The Bulgarian National Bank (BNB) was not seen selling dollars to halt the lev slide during the first trading day of 1997 for the local interbank market, dealers said. 

 BNB officials were not available for comment. Local markets were closed from Tuesday through Thursday for the New Year. 

 ""The lev lost some 18 percent on the day because dollar demand coming mainly from small final clients heavily outweighed supply,"" a commercial bank dealer said. @ 

 Trade was very thin in the afternoon because there were just a few foreign currency bidders left in the market while dollar supply rose slightly due to profit taking, helping the lev consolidate near 600 per dollar, another trader said. 

 ""Dollar rates above 600 per dollar were deemed too high at the moment and many bidders withdrew from the market in the afternoon,"" the second dealer said. 

 BNB governor Lyubomir Filipov said on Sunday that BNB powers to counter pressure on the lev through interventions were limited because payments on Bulgaria's foreign debt in 1997 would be a priority for the BNB. 

 Low BNB foreign exchange reserves, lack of financing from abroad and lower than expected privatisation proceeds in 1996 were the reasons why the central bank could not prevent a lev decline, Filipov said. 

 BNB forex reserves stood at $525 million at the end of November last year. -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1997"
Bulgaria lev slumps to 575-585 per dollar. ,1997-01-03," SOFIA, Jan 3 (Reuter) - The Bulgarian lev slumped to 575-585 per dollar in low interbank volume on the first trading day of 1997 from 507-510 at the close on December 30 as foreign currency demand heavily topped supply, dealers said. 

 ""A commercial bank and a financial house have been aggressively bidding for dollars since the opening, buying every dollar on offer irrespective of the ask price,"" a commercial bank dealer said. 

 The dollar was bid around 595 levs around 1030 local time (0830 GMT), but no one offered foreign currency below 610, traders said. 

 Dealers said they were unsure whether financial institutions bought dollars for final clients or built up forex positions in anticipation of a pending sharp lev fall in the absence of central bank support for the national currency. 

 The Bulgarian National Bank (BNB) was not seen intervening in the market by mid-morning, traders said. BNB officials were not available for comment 

 BNB governor Lyubomir Filipov said on Sunday that BNB powers to counter pressure on the lev through interventions were limited because payments on Bulgaria's foreign debt in 1997 would be a priority for the BNB. @ 

 Low BNB foreign exchange reserves, lack of financing from abroad and lower than expected privatisation proceeds in 1996 were the reasons why the central bank could not prevent a lev decline, Filipov said. 

 Filipov said Bulgaria has to pay some $170-180 million coupon on its Brady bonds on January 28. 

 BNB forex reserves stood at $525 million at the end of November last year. 

 -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1997"
BULGARIA  LEV WEAKENS AS C.BANK FAILS TO  INTERVENE . ,1996-12-04," SOFIA, Dec 4 (Reuter) - The Bulgarian lev closed at a new all-time low of 415-418 per dollar after 395-400 in the morning as the central bank (BNB) was not seen supporting it amid a persistently high foreign currency demand, dealers said. 

 ""Fuel importers were bidding for relatively large dollar volumes but supply from banks was low and the lev lost some 30 (levs per dollar) on the day after the central bank failed to intervene,"" a commercial bank dealer said. 

 BNB officials declined comment. 

 The lev closed around 386-387 on Tuesday on the interbank market. It traded at 362-364 per dollar on Monday. 

 Commercial banks were reluctant to sell dollars in anticipation of a further lev fall amid unsatisfied foreign currency demand from final clients, dealers said. 

 Traders said the exchange rate was not moved by a BNB decisison on Wednesday to continue to participate on the local market to support the lev. 

 ""The BNB does not have much room left to prevent a lev slide through interventions after its reserves fell again last month,"" another dealer said. 

 BNB foreign exchange reserves fell by $15.7 million to $525.1 million in November, the BNB said in a statement. 

 Reserves stood near $1.41 billion in November 1995 and have steadily declined since then due to payments on Bulgaria's foreign debt and BNB interventions in support of the lev. 

 The BNB also said on Wednesday it had decided to step up supervision to ensure that commercial banks adhere to its regulations requiring banks to have a maximum ratio of 30 percent between their net open foreign currency positions and their own funds. 

 The previous low for the lev of 395 per dollar was on November 21. The lev traded near 70 to the dollar at the beginning of 1996. -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1996"
