title,date,text
*DJ Chile  Central Bank  Chief: Activity Slowing Down Faster Than Expected,2013-05-08,"8 May 2013 09:18 EDT *DJ  Chile 1st Quarter GDP Likely Grew 4.4% Year-on-Year -Central Bank Governor

8 May 2013 09:20 EDT *DJ  Copper Super Cycle Could Be Ending - Chile Central Bank Chief

8 May 2013 09:20 EDT *DJ  Copper Could Average Less Than $3.50/lb in 2013 - Chile Central Bank Governor

8 May 2013 09:28 EDT *DJ  Chile Central Bank Governor Reiterates Not Ruling Out Peso Intervention

8 May 2013 09:28 EDT *DJ  Chile Peso Hasn't Weakened in Line With Copper Price Decrease - Central Bank

8 May 2013 09:43 EDT DJ  Chile Central Bank Chief: Activity Slowing Down Faster Than Expected

SANTIAGO, Chile--First quarter economic activity and domestic demand in Chile have decelerated at a faster pace than expected, and gross domestic product for the period could grow around 4.4% year-on-year according to preliminary data, central bank governor Rodrigo Vergara said Wednesday.

In 2010-2012, GDP grew at over 5.5% annually, above the economy's trend rate of 5%, sparking concerns of overheating.

For 2013, growth is expected at around 5%, according to central bank and government estimates.

Regarding the strength of the peso against the dollar, Mr. Vergara, speaking to the local Asimet trade group, reiterated the bank can't rule out intervening in the market to weaken the currency, but that such a move can be very costly.

Write to Carolina Pica at carolina.pica@dowjones.com

(END) Dow Jones Newswires

May 08, 2013 09:43 ET (13:43 GMT)"
FX  CHAT:  Chile  exporters on the  intervention  rampage again,2013-04-17,"Chilean exporters are ramping up their calls for intervention and have been meeting with central bank Governor Rodrigo Vergara this week. Roberto Fantuzzi, who heads the Asexma manufacture exporters association and met with Vergara yesterday, said exporters have reduced their competitiveness by 40% in the past 10 years due to peso's strengthening in recent years. The central banker will meet the Asoex and Fedefruta exporters trade groups today. Peso firmed 8.5% vs US dollar last year and has gained another 1% so far this year. (carolina.pica@dowjones.com) [ 17-04-13 1310GMT ]

1085"
DJ  FX  CHAT:  Chile  exporters on the  intervention  rampage again,2013-04-17,"Chilean exporters are ramping up their calls for intervention and have been meeting with central bank Governor Rodrigo Vergara this week. Roberto Fantuzzi, who heads the Asexma manufacture exporters association and met with Vergara yesterday, said exporters have reduced their competitiveness by 40% in the past 10 years due to peso's strengthening in recent years. The central banker will meet the Asoex and Fedefruta exporters trade groups today. Peso firmed 8.5% vs US dollar last year and has gained another 1% so far this year. (carolina.pica@dowjones.com)

(END) Dow Jones Newswires

April 17, 2013 09:10 ET (13:10 GMT)"
DJ UPDATE: Chile Finance Min: Capital Controls Used Only As Last Resort,2013-04-12,"--Government's $5 billion, peso-denominated bond issue schedule aims to ease pressure on peso

--Quantitative easing to blame for strong currencies in several Latin American nations

--Finance Minister reiterates central bank autonomously decides whether to intervene

SANTIAGO, Chile--Capital controls are measures of last resort and the Chilean government won't easily implement them to stem the strength of the peso in relation to the dollar, Finance Minister Felipe Larrain said Friday.

Earlier this week, the peso traded at 20-month highs versus the dollar, prompting concerns that exporters continue to lose their competitiveness and calls for intervention.

Mr. Larrain said the government is contributing to reducing pressure on the local currency and, to that effect, on Thursday disclosed a $5 billion local bond issue schedule for this year.

By issuing bonds denominated in pesos, he said, the government aims to reduce its dollar sales on the local market, which is already flooded with dollars as investors seek more-attractive returns on their investments than in industrialized nations where interest rates are near zero.

Mr. Larrain reiterated that the aggressive stimulus Japan, the U.S. and the E.U. had injected into their economies were mostly to blame for the strength of the peso.

""The rest of the world is suffering the effects of quantitative easing,"" Mr. Larrain told assistants at Banco BCI seminar, adding that the currencies of Chile and several other Latin American countries were taking a beating.

""Europe, Japan, and the U.S. don't have any more room to use fiscal or monetary policies so they turn to injections of liquidity. The problem is that successful emerging-market nations are paying the consequences,"" he said.

As a result of the peso's sharp gains this week, many market participants were betting that the central bank would disclose intervention measures following its monthly monetary-policy meeting late Thursday.

While the bank didn't announce an intervention, it mentioned, in its post-meeting communique, that the peso had continued firming in multilateral terms. It also said copper prices, a key indicator for the peso as Chile produces one-third of the world's copper, had fallen on international markets, hinting that the peso wasn't in line with its fundamentals.

The finance minister sits in on the bank's monthly policy meetings and voices his opinion, but he doesn't have a vote on the five-person governing council.

Asked if he had discussed intervention with central-bank authorities, Mr. Larrain told reporters on the sidelines of the seminar that ""no issue was taboo.""

He reiterated, however, that to intervene in the local currency market is the prerogative of the autonomous central bank.

Write to Carolina Pica at carolina.pica@dowjones.com.

(END) Dow Jones Newswires

April 12, 2013 12:09 ET (16:09 GMT)"
"UPDATE 1-Chile central holds key rate steady, eyes strong peso",2013-04-11,"* Central bank says peso has further appreciated in multilateral terms

* Central bank, gov't met earlier Thursday to discuss peso strength

* Currency at same level that triggered intervention in 2011

(Recasts throughout; adds central bank's comments, analyst quote)

By Anthony Esposito

SANTIAGO, April 11 (Reuters) - Chile's central bank kept its key rate steady at 5.0 percent on Thursday, as expected, and underscored that the peso currency has continued appreciating across the board and that domestic demand remains dynamic.

It is the second meeting in a row the bank has referred to the peso's appreciation in ""multilateral"" terms in its post-meeting communique.

The central bank also mentioned that commodities prices, especially for copper - Chile's top export - have receded in recent weeks.

""The fact that the central bank mentioned copper prices are falling yet the peso keeps appreciating reflects that the monetary authority notices an uncoupling of the peso with its fundamentals,"" said Alejandro Puente, economist at BBVA Chile.

The peso typically moves in line with copper prices, as higher prices mean more dollars entering the local market due to sales of the red metal. The inverse is true of lower prices.

In a public display of unease with the matter, Finance Minister Felipe Larrain met with Central Bank President Rodrigo Vergara prior to the monetary policy meeting to discuss the peso's strength.

The local currency climbed to 465.50 per U.S. dollar on Tuesday - the same level that had triggered a central bank currency intervention in early 2011.

""We have a prior meeting with the president of the central bank, where we will discuss in depth the issue of the peso and other matters,"" Larrain told reporters earlier on Thursday.

The central bank has kept its benchmark lending rate

steady at 5.0 percent since a surprise cut in January 2012, as buoyant growth, low inflation and a strong peso - as well as persistent economic threats from abroad - keep its hands tied.

""The labor market is still tight and domestic demand remains dynamic. Credit conditions are somewhat more restrictive,"" the central bank said in its post-meeting statement.

Analysts surveyed in the central bank's latest poll said they saw the benchmark rate holding steady at least through December before being hiked to 5.25 percent within 11 months.

The bank kept its monetary policy bias broadly neutral, which in standard monetary policy parlance means it neither spurs nor curbs economic growth.

The peso has been buoyed by Chile's robust economy, an attractive rate differential and healthy prices for copper. So-called quantitative easing measures adopted in major economies have also helped fuel the peso's appreciation.

The peso was one of the strongest performers against the U.S. dollar among 152 currencies tracked by Reuters after appreciating 8.48 percent last year and has accumulated an additional gain of around 2 percent in 2013.

Though the peso ""is likely to remain under strengthening pressure from capital inflows charged by global liquidity and attracted by solid fundamentals and high interest rates,"" there is limited room for additional appreciation, as an exchange rate closer to 460 per dollar increases the likelihood of intervention, said RBS economist Felipe Hernandez.

Chile's central bank deployed a dollar-purchasing program in 2011, increasing its foreign reserves by $12 billion, to curb peso strength after it appreciated to 465.50 per dollar, then its highest level in over 2-1/2 years.

In recent weeks, the bank has said a currency market intervention is one of the tools at its disposal, but it has also highlighted the costs associated with such a move.

SURGING DEMAND

The bank is also concerned with reining in robust domestic demand, which has been growing faster than gross domestic product, helping to fuel a widening current account deficit.

Analysts have said the bank could raise its key rate to rein in buoyant demand sooner than forecast, but it may have to incur a currency intervention before a rate hike to avoid further stoking the strong peso.

Over the weekend, bank board member Enrique Marshall said the bank will act if the local economy maintains dynamism ""above what is reasonable,"" and interest rates are the best instrument at the entity's disposal.

Sturdy domestic demand, an economy near full employment and solid levels of investment have protected the world's No. 1 copper producer from a sharp slowdown on the back of global economic woes, but many analysts are now worried about overheating.

Those fears have not yet materialized in the form of inflationary pressures. Chile's consumer price index posted a 0.4 percent rise in March, its fastest pace since October, but the 12-month figure of 1.5 percent remained well below the central bank's tolerance range of 2 percent to 4 percent.

""Headline and core inflation measures are around 1 percent and 2 percent year-on-year, while inflationary expectations in the policy horizon remain around the target,"" the post-meeting statement said.

Elsewhere in the region, inflation in Brazil pierced the government's target ceiling in March for the first time in over a year. However, the rise was slightly less than expected, fueling bets the country's central bank could wait until May to start hiking interest rates.

In Mexico, the annual inflation rate also climbed above the central bank's target ceiling in March, crimping policymakers' ability to lower borrowing costs as the peso currency soared to 20-month highs.

Mexico's central bank cut its key rate to an all-time low of 4 percent in early March in what was seen as a bid to tamp down its currency, but the peso has kept appreciating, and is up about 6.8 percent so far this year.

(Writing by Anthony Esposito, additional reporting by Santiago Newsoom and Moises Avila; editing by Bernadette Baum, G Crosse)

CHILE-CENBANK/RATES (UPDATE 1) | ABN | D | M | NAT | C | E | O | U | MTL | GRO | SOF | OIL | RNP | DNP | PTD"
Chile's Peso Marginally Weaker Prior to  Central Bank  Policy Meeting,2013-04-11,"SANTIAGO, Chile--The Chilean peso was marginally weaker in recent trading Thursday, after retreating the previous session from a 20-month high on a ""verbal intervention"" from Chile's finance minister.

The peso was recently at CLP468.60 to the dollar, from Wednesday's close of CLP468.50.

On Wednesday, the Chilean currency pulled back from levels near where the central bank last intervened in the exchange market in 2011, when it launched a $12 billion program to weaken the peso, after Finance Minister Felipe Larrain said he would meet with central bank President Rodrigo Vergara this week to discuss the ""worrisome"" exchange rate, in what was characterized as an attempt to talk down the local currency.

""The peso retreated yesterday solely because of Larrain's verbal intervention, ignoring external factors, and today we were seeing a lot of institutional selling of pesos because the dollar is at an attractive rate,"" said Ronald Volpi, head of currency spot market at EuroAmerica.

Local traders said the central bank's monetary policy meeting scheduled Thursday afternoon was pressuring investors to close out short positions on the dollar. The monetary authority is expected to refer to the exchange rate in the policy statement to be issued immediately afterward.

""The central bank always says in its statement that 'the peso has appreciated.' The question is, are they going to do something about it?,"" Mr. Volpi said.

(Peso quotes provided by Valor Futuro newswire.)

Write to Sebastian Perez-Ferreiro at sebastian.perez-ferreiros@dowjones.com [ 11-04-13 1247GMT ]

1170 1844"
Chile finmin to meet cenbank head to discuss the peso's strength,2013-04-10,"SANTIAGO, April 10 (Reuters) - Chile's Finance Minister Felipe Larrain said on Wednesday he will meet up with the president of the central bank in coming days to discuss the strength of the peso currency.

""We act in full coordination with the central bank. We're going to meet up soon, between tomorrow and the following day, with the president of the central bank ... (the peso's strength) is without a doubt a situation that concerns us,"" Larrain told reporters.

Chile's peso reached levels on Tuesday that had triggered a central bank currency intervention in early 2011 to stem its strength, fueling speculation it could launch another intervention.

(Reporting by Fabian Cambero Editing by; W Simon)

CHILE-FINMIN/PESO(URGENT) | ABN | D | E | RBN | M | NAT | C | O | U | MTL | GRO | SOF | OIL | RNP | DNP | PTD"
Chile Stocks Close Marginally Higher,2013-04-10,"SANTIAGO, Chile--Chile's IPSA select stock index ended marginally higher Wednesday, ignoring strong gains among U.S. and European shares, as analysts believe there was some profit-taking in the local market after Tuesday's 1.2% surge.

The IPSA closed 0.1% higher at 4353.6, while market volume increased to 114 billion Chilean pesos ($243 million) from CLP84 billion Tuesday.

The local index made a strong move over the 4300-point level this week, rebounding from a five-session losing streak last week.

But Wednesday, the IPSA did not take its cues from the Dow Jones Industrial Average or the Stoxx Europe 600, which rose broadly with strong economic data from China and Europe, and minutes from the U.S. Federal Reserve that did not shake the confidence in the central bank's support for the U.S. economy.

As the U.S. and Europe are among the country's main trading partners, the local index usually takes direction from economic and political developments in those markets.

""The local market moved considerably higher yesterday, and today there might have been some profit taking, especially around shares that rebounded from last week's heavy losses,"" said German Guerrero, partner at MBI Inversiones.

Heavyweight retailer Cencosud (CNCO, CENCOSUD.SN) closed 0.2% lower to CLP2,780.8, after posting a 1.1% gain Tuesday, while Latam Airlines Group (LFL, LAN.SN) declined 0.5% to CLP9,886.6 after surging 2.5% the previous session.

However, another big winner from Tuesday, steel producer CAP (CAP.SN), rose 0.8% to CLP15,557.0

In other local markets, the peso closed at CLP468.50 to the dollar, down from Tuesday's 20-month high of CLP466.80, after what has been characterized as a ""verbal intervention"" from Chile's finance minister, who announced he would meet this week with central bank officials to talk about the ""worrisome"" exchange rate.

The currency hit 20-month highs this week and seemed headed to the CLP465 level where the central bank last intervened in 2011, when it launched a $12 billion, year-long intervention program.

The central bank will hold its monetary policy meeting Thursday and may refer to the exchange rate in its policy statement issued immediately afterward.

In the fixed-income market, yields on inflation-indexed Chilean central-bank bonds, or BCUs, ended higher.

The yield on five-year BCUs closed at 2.59%, up from 2.57% Tuesday, while the yield on 10-year BCUs also closed higher, at 2.47%, from 2.46% the previous session. Bond yields move inversely to prices.

(Peso and bond quotes provided by Valor Futuro newswire.)

Write to Sebastian Perez-Ferreiro at sebastian.perez-ferreiros@dowjones.com [ 10-04-13 2051GMT ]

5057"
Chile  Peso Ends Weaker After Finance Minister's 'Verbal  Intervention ',2013-04-10,"SANTIAGO, Chile--The Chilean peso pulled back Wednesday from a 20-month high after what has been characterized as a ""verbal intervention"" from Chile's Finance Minister, who announced he would meet this week with central bank officials to talk about the ""worrisome"" exchange rate.

The peso ended at CLP468.50 to the dollar, down from Tuesday's close of CLP466.80, after trading in a range of CLP467.00 to CLP469.30.

The currency hit 20-month highs this week and seemed headed to the CLP465 level where the central bank last intervened in 2011, when it launched a $12 billion, year-long intervention program.

Early Wednesday, though, the peso began to retreat as investors started closing out short positions and locking in profits, according to local traders. Then Finance Minister Felipe Larrain stepped in with what was widely seen as a ""verbal intervention.""

""We are in full coordination mode with the central bank. We will meet either tomorrow or the following day [Thursday or Friday] with the central bank president [Rodrigo Vergara]...without a doubt this is a situation that worries us,"" said the official, who sits on the central bank's monthly monetary policy meetings but doesn't vote on decisions, to reporters.

The central bank will hold its monetary policy meeting Thursday and may refer to the exchange rate in its policy statement issued immediately afterward.

""The peso was already retreating from its high against the dollar, add to it that Larrain will meet with the central bank, and all of that motivates people to close out short positions or bet on a possible intervention, sending the peso lower,"" said Eugenio Cortes, a trader at EuroAmerica, who doesn't foresee an intervention unless the peso breaks through the CLP465 resistance level.

In the fixed-income market, yields on inflation-indexed Chilean central-bank bonds, or BCUs, ended higher.

The yield on five-year BCUs closed at 2.59%, up from 2.57% Tuesday, while the yield on 10-year BCUs also closed higher, at 2.47%, from 2.46% the previous session. Bond yields move inversely to prices.

(Peso and bond quotes provided by Valor Futuro newswire.)

Write to Sebastian Perez-Ferreiro at sebastian.perez-ferreiros@dowjones.com [ 10-04-13 1712GMT ]

1170 1844"
*DJ Chile Peso's Strength Due To QE in Industrialized Nations- Finance Minister,2013-04-10,"10 Apr 2013 08:23 EDT *DJ  Latin American Currencies Bearing Brunt of QE -Chile Finance Minister

10 Apr 2013 08:23 EDT *DJ  Capital Controls Have Adverse Effects -Chile Finance Minister

10 Apr 2013 08:34 EDT *DJ  Decision To Intervene Chile Peso Is The Central Bank's -Finance Minister

10 Apr 2013 08:34 EDT *DJ  Chile Issuing Bonds Locally To Avoid Pressuring Peso -Finance Minister

10 Apr 2013 08:35 EDT *DJ  Chile Finance Minister Concerned About. Effects Of Peso Strength On Exporters

10 Apr 2013 09:05 EDT DJ  Chile's Finance Minister Criticizes U.S., Japan, EU Stimulus

SANTIAGO, Chile--Chile's Finance Minister Felipe Larrain on Wednesday slammed the aggressive stimulus the U.S., Japan and the European Union have been injecting into their economies as they've put undue pressure on Latin American currencies.

In recent sessions, the peso has been trading at 20-month highs against the dollar and nearing the levels at which the central bank launched a $12 billion intervention program in early 2011.

""The peso's strength isn't the result of policies 'made in Chile,'"" Mr. Larrain said in a speech at CRU's annual Copper Conference, one of the events of the copper industry's CESCO week.

He added that the government has been issuing bonds locally and not internationally to avoid putting further pressure on the already strong peso and that a market intervention is the prerogative of the autonomous central bank.

As the peso strengthens, exporters, the backbone of the local economy, lose competitiveness abroad.

Write to Carolina Pica at carolina.pica@dowjones.com

(END) Dow Jones Newswires

April 10, 2013 09:05 ET (13:05 GMT)"
