title,date,text
DJ MARKET TALK:  Colombia  Peso  Intervention  Successful So Far,2012-08-17,"9:46 EDT - Why ask others to do what you can do yourself? Colombia's government, after begging to no avail for the central bank to increase its dollar purchases to weaken the local currency, started buying greenbacks on its own this week, at least $300M worth, and said to expect more of the same in the following weeks. This is $60M a day, far more than the $20M daily by the central bank, and it's worked well so far: COP is at 2-month high of 1,823 for a dollar, up 1.8% from its close at end of last week. (dan.molinski@dowjones.com)

9:35 EDT - With the 10-year yield, at 1.82%, back just below the start-of-year's 1.86%, ""yields have normalized somewhat from emergency levels,"" says Dan Dektar at Smith Breeden. Just three weeks ago, it hit an all-time low of 1.38%. Still, Dektar calls current levels more of a safe-haven play than an investment proposition. His firm remains light on Treasurys; it's more willing to take on credit risk for better yield with high-grade corporates. (cynthia.lin@dowjones.com)

9:33 EDT - Whether it's uncertainty about Europe, fears about another Knight Capital Group-like (KCG) trading glitch or vacations to the beach, the summer doldrums are in full effect. On average, 4.35B shares have traded daily this week. Another session at those levels would put this week's total volume at the lowest so far this year, excluding weeks shortened by holidays. (matthew.jarzemsky@dowjones.com)

9:32 EDT - An encouraging sign for the sliding Treasury bond market -- foreign central banks have been buyers for the past two weeks, even as many other investors cashed out. The Fed's custody holdings data late yesterday show foreign central banks' Treasury bond holdings increased $8.4B in the latest week, following $9.5B addition in the previous week. ""We continue to...see the [Treasury] market as a buy,"" says David Ader, head of US government-bond strategy at CRT. ""We await our opportunity and proof, via the price action, that the call is a correct one."" If the 10-year yield closes below 1.77%, Ader says it'll be a convincing signal to get into the market. The 10-year note recently 5/32 higher to yield 1.819%. (min.zeng@dowjones.com)

9:31 EDT - Brean Murray is no bull on Idenix's (IDIX) hepatitis C treatment, calling it ""incapable of being the cornerstone of a competitive all-oral regimen"" for the drug maker. But IDIX has another virus-treating drug in the pipeline that the investment bank considers more promising. So after Thursday's 29% stock slump after the FDA put a partial hold on clinical trials for the hep C drug, Brean Murray upgrades IDIX to hold while pulling its $6 price target. It's up 4.3% in early trading at $6.09 but has fallen 24% this week. (andrew.fitzgerald@dowjones.com; @drewfitzgerald)

9:28 EDT - Prepare to sift through some fancy branding campaigns along with deluge of information when hedge funds are allowed more leeway to advertise. PR firm Walek & Associates says many funds are quietly preparing to make more information publicly available on their web site and build a media profile. Firm says branding matters because investors also look at ""visibility differentiation and credibility"" on top of performance. Adds branding doesn't necessarily mean performance: None of the billion dollar money raisers last year were found to be on the year's top performer lists. The SEC will meet on Aug 22 on the matter. (amy.or@dowjones.com)

9:17 EDT - The Chilean peso trades nearly unchanged against the dollar after the central bank held the interest rate at 5% for the seventh consecutive month, as expected. Some market participants expected the bank would raise the curtain for a possible intervention, but it only said ""the peso has appreciated."" Peso recently trading at CLP483.00 versus Thursday's close of CLP482.80, according to Valor Futuro newswire. (graciela.ibanez@dowjones.com)

9:13 EDT - Increases of the number of US Krispy Kreme (KKD) stores, including the first for company-owned ones in 7 years, and ""already industry-leading international growth could result in sustained high-teens to low-20% EPS growth and an expanded valuation,"" says Wedbush as it starts coverage of the restaurant chain at outperform and sets a $9 price target. The investment bank sees international earnings more than doubling within 5 years. That as July's efforts around KKD's 75th anniversary ""could have resulted in 'best month in years', as some stores put it."" Shares are up 2% premarket at $6.68. (kevin.kingsbury@dowjones.com)

9:03 EDT - ""The Bank of Canada's tightening bias is increasingly looking untenable,"" National Bank's Krishen Rangasamy says after July's softer inflation report. Total inflation rate is now tracking 1.00% in Q3, Rangasamy says, short of the Bank of Canada's estimated for 1.2% for the quarter. The core rate, meanwhile, is tracking 1.2%, significantly lower than BOC's 1.9% estimate. The Canadian dollar is shrugging off the report, even trimming some losses in the wake of it, with the US dollar now at C$0.9883, from C$0.9866 late Thursday. (karen.johnson@dowjones.com)

9:01 EDT - A Peruvian delegation has arrived in Venezuela, and the countries are expected to finalize a new accord replacing trade pacts that lapsed when Venezuela withdrew from the regional customs union of the Andean Community of Nations in April 2011. Venezuela completed its long-pending exit with only temporary accords in place with Colombia and Peru. Current CAN members also include Bolivia and Ecuador. (ezequiel.minaya@dowjones.com)

8:58 EDT - Morgan Stanley says WellPoint (WLP) could face more pressure from an unfavorable mix of commercial health-insurance prices and medical costs as it downgrades WLP to equal-weight and says the company's ""risk-reward looks less compelling"" than peers. WLP cut its 2012 guidance during last month, mainly citing faster-than-expected erosion in its membership ranks, and shares have fallen 5.8% since. But Morgan Stanley sees more problems afoot than membership levels and cites ""concern that poor cost-trend visibility has led to a mispricing of the commercial book."" WLP, inactive premarket, has rebounded 8.6% this month. (jon.kamp@dowjones.com)

8:57 EDT - As emerging market currencies lose ground to the dollar, Morgan Stanley recommends that investors buy some of the currencies at these cheaper rates. ""We continue to believe we are in a risk-positive environment,"" the analysts said. They recommend going long the Russian ruble on the expectation that Russia will hike rates, giving investors a chance to get higher carry. Long the Mexican peso vs the yen, on the stronger growth prospects of the Latin American country. USD/MXN is up today at 13.2113 as is the USD/RUB at 31.926, according to CQG data. (prabha.natarajan@dowjones.com) 


 
To contact the Market Talk Editors, 
Bradley Davis, 212 416-2654, bradley.davis@dowjones.com 
Kevin Kingsbury, 212 416-2354, kevin.kingsbury@dowjones.com 
John Shipman, 212 416-2181,john.shipman@dowjones.com 
Patrick Sullivan, 212 416-2326,Patrick.sullivan@dowjones.com 
 

(END) Dow Jones Newswires

August 17, 2012 09:46 ET (13:46 GMT)"
SOFTS HIGHLIGHTS: Top Stories Of The Day,2012-08-15,"
   COCOA 
 
Cocoa Research Institute of Nigeria Workers on Strike - Staff Member 

IBADAN, Nigeria--Research and other activities have ground to a halt at the state-run Cocoa Research Institute of Nigeria, or CRIN, due to a strike by its workers, a staff member at the institute said Tuesday.


 
   COFFEE 
 
Mexico's July Coffee Exports up 27% on Year to 327,457 Bags 

MEXICO CITY--Mexico's coffee exports in July totaled 327,457 bags of 60 kilograms each, up 27% from the same month last year, the Mexican Coffee Association, Amecafe, said Tuesday.


 
Colombian Coffee Growers Demand Stronger Forex Intervention

MANIZALES, Colombia--Colombia's coffee sector Tuesday joined a chorus of critics of the country's central bank who feel the institution isn't doing enough to prevent excessive strength in the peso.


 
Vietnam July Coffee Exports Down 18.8% on Month at 114,000 Tons -Customs 

HANOI--Vietnam exported 114,000 metric tons of coffee in July, a decline of 18.8% from June but more than double the amount in July 2011, the Customs Department said Wednesday. [ 08-15-12 0548ET ]

48101 83714"
SOFTS HIGHLIGHTS: Top Stories Of The Day,2012-08-15,"
 
   COCOA 
 
Cocoa Research Institute of Nigeria Workers on Strike - Staff Member 

IBADAN, Nigeria--Research and other activities have ground to a halt at the state-run Cocoa Research Institute of Nigeria, or CRIN, due to a strike by its workers, a staff member at the institute said Tuesday.


 
   COFFEE 
 
Mexico's July Coffee Exports up 27% on Year to 327,457 Bags 

MEXICO CITY--Mexico's coffee exports in July totaled 327,457 bags of 60 kilograms each, up 27% from the same month last year, the Mexican Coffee Association, Amecafe, said Tuesday.


 
Colombian Coffee Growers Demand Stronger Forex Intervention

MANIZALES, Colombia--Colombia's coffee sector Tuesday joined a chorus of critics of the country's central bank who feel the institution isn't doing enough to prevent excessive strength in the peso.


 
Vietnam July Coffee Exports Down 18.8% on Month at 114,000 Tons -Customs 

HANOI--Vietnam exported 114,000 metric tons of coffee in July, a decline of 18.8% from June but more than double the amount in July 2011, the Customs Department said Wednesday. [ 08-15-12 0533ET ]

48101 83714"
Colombian Coffee Growers Demand Stronger  Forex Intervention ,2012-08-14,"MANIZALES, Colombia--Colombia's coffee sector Tuesday joined a chorus of critics of the country's central bank who feel the institution isn't doing enough to prevent excessive strength in the peso.

Mario Gomez, a longtime board member of the National Federation of Coffee Growers, said the bank should ""at least double"" its daily dollar purchases aimed at offsetting gains in the peso against the U.S. currency.

The central bank currently buys a minimum of $20 million a day in the spot market.

The Colombian government and some bank board members, including Finance Minister Juan Carlos Echeverry, have been urging for months for the bank to buy more dollars.

But so far the majority of the seven-member board resisted such a move, arguing it is important to keep a hands-off approach to forex markets as much as possible to avoid inflationary pressures and other economic imbalances.

""The bank should be buying more dollars,"" Mr. Gomez said on the sidelines of a tourism-promotion event in the central, coffee-farming region city of Manizales.

He noted a recent drop in coffee production in Colombia, along with lower global prices for coffee beans, have put the iconic Colombian coffee farmer in dire straits.

""We know the problem--production is low and export prices aren't sufficient,"" Gomez said, adding a weaker peso would help in this regard. ""So let's buy more dollars and see what happens.""

Mr. Gomez pulled no punches in his criticism of the bank's board, which is led by bank Chairman Jose Dario Uribe.

""This is what happens when you have people leading powerful institutions who haven't done real business work in the real world,"" he said, saying he wasn't referring to the chairman specifically but rather the board in general.

Mr. Gomez said he personally believes the peso needs to weaken to COP2,000 a dollar. The peso closed Tuesday at COP1,803.05 to the dollar. It is 8% stronger this year, but little changed versus 12 months ago.

Mr. Gomez said he expects coffee production of around eight million 60-kilogram bags this year. That is well below the 11 million bags Colombia produces in a good year.

President Juan Manuel Santos, meanwhile, said he ""believes there is space for the central bank to buy more dollars"" to weaken the peso, which he said would help coffee farmers.

Write to Dan Molinski at Dan.Molinski@dowjones.com

Subscribe to WSJ: http://online.wsj.com?mod=djnwires(""http://online.wsj.com?mod=djnwires"") [ 14-08-12 2045GMT ]"
"RPT-EMERGING MARKETS-Mexico peso up on rising inflation, Brazil real gains",2012-08-09,"* Brazilian real seen testing 2-per-dollar level

* Colombia finmin ""prays"" for stronger intervention

* Brazil real gains 0.28 pct, Mexico peso up 0.53 pct

(Repeats to additional subscribers; Recasts, adds comments)

By Jean Arce

MEXICO CITY, Aug 9 (Reuters) - Mexico's peso gained on T hursday as high inflation boded steady interest rates ahead while Brazil's real got a lift after weak factory data in China backed hopes of more stimulus in Brazil's top trading partner.

Mexico's annual inflation accelerated to its highest rate in more than two years in July on a surge in egg and fresh produce prices, reinforcing bets that policymakers will hold interest rates steady at 4.50 percent in the coming months.

Mexico has held interest rates steady this year even as Brazil slashed borrowing costs to support growth. Rock-bottom interest rates in the United States and Europe have boosted the appeal of higher-yielding Latin American currencies.

Mexican annual inflation rose to 4.42 percent last month, above the central bank's 4 percent comfort zone. Even though there are signs Mexican growth may be slowing, high inflation should keep policymakers from cutting interest rates.

Lower benchmark rates would curb the gains investors can make from borrowing in dollars or euros to invest in Mexican fixed-income assets.

""With expectations that inflation could stay above 4 percent in the coming months, we think that the central bank of Mexico cannot cut interest rates,"" said Rafael Camarena, an economist at Santander in Mexico City. ""In the short term, this helps the peso.""

The Mexican peso strengthened 0.53 percent to 13.0860 per dollar, also boosted by data showing claims for unemployment benefits unexpectedly fell in the United States, Mexico's main trading partner.

Meanwhile, expectations for additional Chinese stimulus rose after data showed growth in the country's factory output slowed to the weakest pace in three years.

China is the largest consumer of Latin American commodities, and prices of raw materials have great sway over currencies in the region.

The Brazilian real gained 0.28 percent to 2.0160 per dollar, leading some analysts to forecast the market could soon test the central bank's willingness to defend the level of 2 reais per dollar, considered by investors an informal floor for the currency.

""The real is nearing the level of 2 per dollar and, with a possible decline in risk aversion, markets may test this level today,"" said Andre Perfeito, chief economist at Gradual Investimentos in Sao Paulo.

Government officials have repeatedly said that a real stronger than 2 per dollar could hurt Brazilian exporters, leading investors to believe the central bank would step into the market to defend that level.

The tide of yield-hungry global investors has been strengthening currencies around Latin America and pressuring exporters.

Colombian Finance Minister Juan Carlos Echeverry called on industrialists to ""pray"" that the central bank boosts dollar purchases to ease gains in the currency after noting foreign direct investment in Colombia could reach $17 billion this year and boost the peso.

Echeverry said the monetary authority, which is independent from the government, should step up dollar purchases to $40 million a day to strengthen its arsenal to fight the gaining peso. The bank currently buys at least $20 million a day on the spot market.

Latin American FX prices at 2100 GMT:

Currencies                            daily %  year-to-
                                     change     ate %
                           Latest              change
Brazil real                  2.0145      0.36     -7.25
                                             
Mexico peso                 13.0860      0.53      6.75
                                             
Argentina peso*              6.2300      0.48    -24.08
                                             
Chile peso                 474.8000      0.29      9.37
                                             
Colombia peso               1788.00     -0.01      8.65
                                             
Peru sol                     2.6160      0.00      3.10
                                             
* Argentine peso's rate between                        
brokerages                                     
                                                     


(Additional reporting by Nelson Bocanegra in Bogota; Editing by Dan Grebler)

MARKETS-LATAM/FOREX (UPDATE 1)(REPEAT) | ABN | D | E | RBN | M | NAT | C | O | U | MTL | GRO | SOF | OIL | RNP | DNP | PTD"
Colombia Central Bank  July  Forex Intervention  Was $400 Million,2012-08-06,"BOGOTA--The Colombian central bank said Monday it had purchased $400 million in the spot market in July under its policy of buying at least $20 million a day to drain U.S. currency from the foreign-exchange market and build up international reserves.

The central bank's dollar purchases in the spot market are aimed at preventing excessive strength in the peso. The bank has bought $2.36 billion this year and has pledged to continue the daily purchases through at least Nov. 4.

The central bank used a similar strategy in 2011, when it purchased $3.72 billion until October, then ended its policy of daily purchases as fears over the European debt crisis caused the peso to weaken on its own, rendering such intervention unnecessary.

The Colombian peso weakened slightly agains the dollar Monday to close at COP1,788.50 to the dollar, from COP1,786.00 a day earlier.

Write to Darcy Crowe at darcy.crowe@dowjones.com. [ 06-08-12 2017GMT ]"
DJ Foreign Investment Into Colombia Surges in First Half of Year,2012-07-16,"BOGOTA--Foreign direct investment into Colombia surged in the first half of this year, the latest indication that the peso's strength against the dollar is being driven by flows of the U.S. currency into this Andean nation.

Preliminary data released Monday by the central bank shows that foreign direct investment into Colombia jumped to US$9.38 billion in the first six months of 2012, up 26% from the year-earlier period.

The surge in foreign direct investment, which is largely geared at Colombia's oil and mining industries, is commonly cited by analysts as one of the key factors behind the peso's strength against the dollar. The peso has appreciated more than 7% so far this year and ranks as one of the world's best-performing currencies.

On Monday, the peso traded at COP1,777.2 after closing at COP1,776.60 on Friday.

Despite recurrent calls from exporters for the government to curb the peso's strength, Colombia's intervention in the foreign-exchange market consists of having the central bank buy at least $20 million daily in the spot market, a move designed to mop up excess dollar liquidity.

Over the course of this year, the bank has bought $1.96 billion, and it has vowed to continue the daily purchases through at least Nov. 4.

The government has called for a more aggressive foreign-exchange intervention by the central bank while also steering away from implementing capital controls, which limit foreign investment.

The trading volumes in the spot market can easily reach about $1 billion daily, leading many analysts to project that even if the bank steps up its dollar purchases, it will not be able to reverse the peso's appreciation.

Write to Darcy Crowe at darcy.crowe@dowjones.com

(END) Dow Jones Newswires

July 16, 2012 11:35 ET (15:35 GMT)"
POLL-Colombia cenbank seen holding rates steady on Fri,2012-06-25,"* Policymakers to decide interest rate on Friday

* Most analysts see rate at 5.25 pct through 2012

By Nelson Bocanegra

BOGOTA, June 25 (Reuters) - Colombia's central bank is seen keeping its benchmark interest rate unchanged at its policy meeting on Friday as inflation expectations remain contained and worries over the European economic crisis ease, according to the unanimous view of 30 analysts polled by Reuters.

The monetary authority has held the rate steady since March at 5.25 percent to provide economic stimulus amid concerns that weakness in the global economy could spill into Colombia.

The bank has raised borrowing costs 225 basis points since early last year to prevent Latin America's No. 4 economy from overheating and ease bank lending over fears that households are becoming too indebted.

The majority of the 30 analysts, based in Colombia and on Wall Street, c onsulted by Reuters thought the bank would keep the rate unchanged for the rest of 2012.

The number of analysts who expected the bank to raise rates again this year to cool the pace of consumer lending have gone down while more now believed that a rate cut could be on the table in the coming months.

Economic figures in the first quarter and in April come in stark contrast to 2011 when Colombia's full-year gross domestic product grew at its highest level in four years.

In the first quarter of 2012, the economy grew at its slowest rate in more than a year as last year's rate hikes took effect and the mining sector was weakened by lower commodities prices and renewed attacks by rebel groups.

The economy grew 0.3 percent in the first quarter versus 1.2 percent in the previous three months - the slowest quarterly growth rate since the third quarter of 2010.

Since Colombia's last policy meeting at the end of May, worries that Greece might leave the eurozone have subsided after elections that brought a conservative-led government to power.

""April activity numbers were negative, but we think still not bad enough so as to sway the majority of the board, some of whom remain concerned about credit growth, to act by loosening monetary policy,"" Bank Of America Merrill Lynch said in a note.

""We expect (the central bank) to remain on hold. Although the minutes showed significant concerns about the global economy, concerns about a slowdown have somewhat diminished relative to the moment at which the last meeting was held, given the outcome of the Greek elections.""

Colombia's slow economic growth in the first quarter and a fall in industrial production and retail sales in April showed that the economy was nearing its potential, according to one of the central bank's seven board members.

Monetary policy is determined by the seven-member central board, which meets monthly.

Some board members have said that the authority could adopt a countercyclical monetary policy if there were a significant deterioration in Europe.

Colombian policymakers are concerned that continued credit expansion is pressuring consumer prices even though inflation has remained relatively steady in recent months.

Consumer prices rose 3.44 percent during the 12-month period through May, slightly above the 3 percent midpoint of the central bank's 2- to 4-percent annual target range.

The majority of analysts ruled out additional measures to stem the rising peso currency, which is the strongest gainer among the world's 36 most-traded currencies.

Two experts polled by Reuters, however, believed the central bank would increase the amount of dollars it is purchasing at auction from the current $20 million or more daily - the peso has firmed 7.7 percent so far this year.

Finance Minister Juan Carlos Echeverry, a board member, has said he favored more aggressive intervention into the foreign exchange market to stem the peso.

Colombia has become one of the best performing economies in Latin America and attracted a flood of foreign investment, mainly into the oil and mining sectors.

Last year the country was granted an investment grade credit rating from Fitch, Moody's and Standard & Poor's.

(Writing by Jack Kimball Editing by W Simon)

COLOMBIA-RATES/ (POLL) | ABN | E | RBN | M | D | NAT"
Emerging Market  Currencies  and Debt Gain Modestly,2012-06-15,"Emerging market currencies and debt were a tad improved Friday, riding on hopes that central banks would ride to the rescue or Greece's pro-Europe party would take the lead in Sunday's election.

Emerging market currencies are on the cusp of what could be a hefty market rally. The May selloff of these currencies has brought most of them to levels investors find attractive and reasonable.

""A lot of these currencies don't look fundamentally overvalued, as they had, and are becoming a more attractive investment,"" said Keith Brakebill, a portfolio manager at Russell Investments. While the fund is long on emerging markets, it also has instituted a proxy hedge with a basket of developed-market currencies, such as the Canadian dollar, Australian dollar and the euro against the dollar.

His Russell Global Opportunistic Credit Fund (RGCAX), with $853 million in assets, also began buying U.S. high-yield and high-quality emerging-market dollar and local-currency bonds in May, once it was clear there would be another election in Greece. His reasoning is that if markets recover after the election, these two asset classes would provide high returns. However, if markets sell off, these bonds could be traded to raise liquidity and seek investments in other distressed opportunities.

Like him, many other investors returned to emerging markets in the latest week, according to data from EPFR Global. Net capital flows to emerging-market bond funds totaled $361 million, reversing three weeks of outflows.

But many other investors are on hold, worried that an unfavorable result in Greece could trigger another selloff, and prefer a larger-than-usual dose of cash.

The rally in equities Friday is another instance of investors getting overly optimistic without reason, cautions Jamie Stuttard, portfolio manager of the Fidelity International Bond Fund (FINUX) with $394 million in assets. He says investors expect coordinated central bank action and some more direction from the spate of policy meetings next week.

""It's another cycle of rescue versus reality,"" he said. The reality is Spanish bond yields are near 7%, and there is another bond auction next week that the beleaguered European sovereign has to clear.

""Portfolios should be pretty liquid in the current environment, and cash is healthy,"" he said.

In addition, he has been buying up options to hedge out risk of an extreme situation like the euro collapsing on Monday.

Others such as Nomura's trading desk, protectively, have gone long on the dollar, because there is only upside against the Colombia peso. Colombia's aggressive verbal intervention has helped keep the dollar above 1,783 Colombian pesos, giving the currency a break from its continued appreciation versus the dollar. If the weekend brought a positive outcome in Greece, the dollar's weakening beyond COP1,760 would be curbed by Colombia's central bank. If Greece's elections results were unfavorable, the dollar would gain. Currently, the dollar is trading at COP1,784.70, down 0.31% on the day, according to CQG data.

The Brazilian real also is gaining on the dollar. Investors have taken note of the country's indication that it may backtrack on some of its more aggressive moves to depreciate the currency, and see this as an opportune time to buy the real. The dollar, currently, is trading at BRL2.0441, down 0.57% on the day.

Meanwhile, emerging market debt was trading five basis points narrower at 386 basis points over comparable Treasury yields on the J.P. Morgan Emerging Markets Bond Index Global.

Write to Prabha Natarajan at prabha.natarajan@dowjones.com [ 06-15-12 1643ET ]"
"Emerging-Market  Currencies , Debt Rally on Hopes of Coordinated Action",2012-06-14,"Emerging-market currencies and debt were eerily calm most of Thursday as investors hunkered down ahead of Greece's elections on Sunday.

A late-afternoon report of global coordinated central-bank action helped lead a mild rally in these currencies, though market participants wondered about the endurance of such a move.

For most of the day, though, investors preferred dollars and stayed out of making any major moves. Earlier in the day, Brazil's backtracking on some of its aggressive taxes on foreign loans elicited little reaction from the currency.

One trader called it a case of ""too little, too late."" However, late in the day, as other higher-yielding assets rallied, the real also found its legs. The dollar was trading at BRL2.0574, down from its earlier high of BRL2.0770, according to CQG data.

Other proxies for emerging-market risk, such as the Mexican peso and the Chilean peso, made a strong late-afternoon recovery, too. The dollar, against the Mexican peso, slipped below MXN14, to trade at MXN13.9050, down nearly 0.9% on the day. Similarly, the dollar was more than 1% weaker against the Chilean peso at CLP498.20, according to CQG data.

The only commonly traded Latin American currency to buck the trend was the Colombia peso on central-bank intervention. On Thursday, Colombia's finance minister renewed calls for ""aggressive"" intervention to curb the peso's volatility. Such a move may halt the appreciation, but it won't weaken the peso, said David Rees, an emerging-market economist at Capital Economics.

The dollar is down 10% against the peso for the year, making it the best performing emerging-market currency this year. The central bank has been buying dollars daily to weaken the peso. But continued flows of foreign-direct investments into Colombia, its exports to the U.S. and stable commodity prices have made Colombia resilient. CapEcon expects the dollar to stick around the COP1750 range on interventions from its current level of COP1790.20, according to CQG data.

Elsewhere, emerging Europe remained hardy. The Hungarian forint, Czech koruna and Polish zloty were all up against the euro, and showed little signs of stress during the course of trading.

There was no sign of stress in local-debt markets of emerging economies, with foreign holdings of the bonds resilient despite the broader weakness globally, said Benoit Anne, head of emerging-markets strategy at Societe Generale.

Meanwhile, emerging-market debt was stronger by eight basis points on the J.P. Morgan Emerging Markets Bond Index-Global, at 386 basis points over comparable Treasury yields. Emerging-market issuers continued to stay out of the market.

Write to Prabha Natarajan at prabha.natarajan@dowjones.com. [ 14-06-12 2115GMT ]"
