title,date,text
UPDATE 1-Croatia cenbank buys euros to ease firming pressures on kuna  currency ,2020-12-15,"(Adds details)

ZAGREB, Dec 15 (Reuters) - The Croatian central bank said on Tuesday it had bought 130 million euros ($157.78 million) from commercial banks in an auction to relieve upward pressure on the kuna currency.

It said it had bought the euros at an average rate of 7.5360 kuna. The kuna was quoted at 7.5330 after the intervention from around 7.5130 earlier in the day.

In March, as the COVID-19 pandemic hit Croatia, the central bank intervened several times on the foreign exchange market to counter depreciation pressures on the kuna and sold more than two billion euros to the banks.

The last time the central bank intervened buying the euros from the commercial banks was in August 2019.

This year Croatia entered the European Exchange Mechanism (ERM-2), a waiting room of at least two years before adopting the euro. Zagreb hopes to meet all the macroeconomic criteria, like the budget gap or the public debt/GDP ratio, on time to join the euro zone in 2023.

As part of ERM-2, the European Central Bank (ECB) set the central rate of the kuna at 7.5345 per one euro ($1 = 0.8239 euros) (Reporting by Igor Ilic Editing by William Maclean) 

Released: 2020-12-15T14:36:56.000Z"
UPDATE 1-Croatia cenbank buys 345.5 mln euros from banks in  forex intervention ,2017-12-13,"(Adds details, quotes)               

ZAGREB, Dec 13 (Reuters) - Croatia's central bank said on Wednesday it bought 345.5 million euros ($405.82 million) from commercial banks on the local foreign exchange market to prevent appreciation pressures on the kuna currency.               

It bought the euros at an average rate of 7.5605 kuna per euro. The kuna eased after the intervention to 7.5533 per euro at 1035 GMT, easing from around 7.53 before it.               

""There were some mild appreciation pressures on the kuna and apparently the central bank wanted to act preventively,"" a dealer at a major local bank said.               

Another market participant, who asked not to be named, said that the central bank might have also wanted to give a boost to its own balance sheet at the end of the year.               

This was the fifth central bank's intervention this year to counter appreciation pressures on the kuna and the biggest one in volume. In those five interventions it altogether bought 947 million euros from commercial banks.               

In October Croatia tentatively set a goal of adopting the euro within seven to eight years.                              

Released: 2017-12-13T11:41:30.000Z"
CEE MARKETS-Croatian assets surge to multi-year highs as economy improves,2017-02-03,"
* Recovering economy boosts kuna, dealers watch central bank
    * Zloty touches new 2-month high, stocks firm
    * Price moves muted as investors await U.S. payroll data
    * Romanian assets off lows but edgy due to political turmoil

    By Sandor Peto and Igor Ilic
    BUDAPEST/ZAGREB, Feb 3 (Reuters) - Croatia's kuna, buoyed by
an improving economy, set its firmest level in over 4 years
against the euro on Friday, while central European currencies
were mixed.
    The region's assets got support in recent days from the
Federal Reserve and the European Central Bank as neither of the
banks signaled tighter than expected policies.
    The kuna, which like the zloty gradually gained
ground in the past weeks, was the strongest since October 2012
at 7.436 on Friday. Dealers said the central bank may intervene
in the market any time to stem the rally.
    Croatia, which enjoys a robust tourism sector, has current
account surpluses. Inflation, near zero, has not been a worry so
far and the economy is also on an upswing.
    The Croatian economy returned to growth last year after a
weak decade. Retail sales data published on Thursday showed a 
robust 5.9 percent annual rise. 
    The equities indices of Warsaw and the much smaller
Zagreb bourse have been the region's top gainers this
year, with 6.4 percent and 8.5 percent rise, respectively. On
Friday the Zagreb index was the highest since August 2011.
    The Croatian government also opened books on Friday for
domestic bond issues, one of the lead arrangers said, to
refinance a 5.5-billion-kuna ($800-million) 10-year bond,
maturing on Feb. 8. 
    Elsewhere in the region, investors were on the sidelines,
awaiting more economic data from the United States.
    ""Investors are cautious now ahead of the U.S. non-farm
payroll figures,"" one Budapest-based fixed income trader said.
Those figures are due at 1330 GMT.
    Hungarian and Polish bond yields rose 1-2 basis points.
    The forint was a tad weaker against the euro at
0936 GMT after data showing disappointing 3.2 percent annual
rise in retail sales in December. The zloty set a new
2-month high at 4.299.
    Romanian assets were off lows hit after a decree passed on
Tuesday triggered massive street protests against corruption
this week, which are likely to continue, and cracks in the
one-month-old government.  
    While inflation in Croatia is still hovering near zero, it
has rebounded in other countries of the region.
    Czech inflation has reached the central bank's target in
December. If the January data due on Feb. 10 are high, that may
refuel speculation that the bank could soon abandon its cap at
27 against the euro soon.
    The crown's exchange rate implied in six-month forward deals
 indicated that recent comments from the central
bank - including after Thursday's meeting - have tamed
speculation for early exit from the cap and a crown surge.
 
    The implied rate reached a 4-week low on Friday at 26.869
after the bank released its new inflation report. 
    
              CEE        SNAPS   AT  1036          
              MARKETS    HOT    CET           
                         CURRENCIES                
                         Lates  Previ  Daily  Chang
                         t      ous           e
                         bid    close  chang  in
                                       e      2017
 Czech crown             27.02  27.03   +0.0  -0.05
                            10     05     4%      %
 Hungary                 309.4  309.3  -0.03  -0.19
 forint                    000    050      %      %
 Polish                  4.300  4.314   +0.3  2.40%
 zloty                       8      5     2%  
 Romanian                4.515  4.520   +0.1  0.44%
 leu                         0      7     3%  
 Croatian                7.436  7.440   +0.0  1.60%
 kuna                        0      5     6%  
 Serbian                 123.9  124.0   +0.1  -0.48
 dinar                     400    600     0%      %
 Note: daily  calculate  previ  close  1800        
 change       d from     ous    at     CET    
                         STOCK                     
                         S                    
                         Lates  Previ  Daily  Chang
                         t      ous           e
                                close  chang  in
                                       e      2017
 Prague                  943.3  940.9   +0.2   +2.3
                             5      1     6%     6%
 Budapest                32640  32575   +0.2   +1.9
                           .27    .16     0%     9%
 Warsaw                  2071.  2065.   +0.3   +6.3
                            58     14     1%     5%
 Bucharest               7499.  7473.   +0.3   +5.8
                            05     61     4%     4%
 Ljubljana               744.0  741.1   +0.4   +3.6
                             9      6     0%     9%
 Zagreb                  2164.  2147.   +0.7   +8.5
                            80     92     9%     2%
 Belgrade     <.BELEX15  699.1  704.6  -0.78  -2.54
              >              6      3      %      %
 Sofia                   605.5  598.0   +1.2   +3.2
                             0      0     5%     5%
                         BONDS                     
                         Yield  Yield  Sprea  Daily
                                       d      
                         (bid)  chang  vs     chang
                                e      Bund   e in
 Czech                                        sprea
 Republic                                     d
   2-year     <CZ2YT=RR  -0.70  -0.03   +001  -5bps
              >              7      9    bps  
   5-year     <CZ5YT=RR  -0.08  -0.01   +023  -2bps
              >              9           bps  
   10-year    <CZ10YT=R  0.456  -0.01   +001  -3bps
              R>                    4    bps  
 Poland                                            
   2-year     <PL2YT=RR  2.186  0.017   +291   +0bp
              >                          bps      s
   5-year     <PL5YT=RR  3.135  0.053   +346   +4bp
              >                          bps      s
   10-year    <PL10YT=R  3.811  0.001   +337  -1bps
              R>                         bps  
              FORWARD    RATE   AGREEMENT          
                         3x6    6x9    9x12   3M
                                              inter
                                              bank
 Czech Rep            <   0.24   0.22   0.23      0
              PRIBOR=>                        
 Hungary              <   0.39    0.5    0.6   0.25
              BUBOR=>                         
 Poland               <  1.765  1.805  1.885   1.73
              WIBOR=>                         
 Note: FRA    are for                              
 quotes       ask                             
              prices                          
 **************************************************
 ************
 
 (Additional reporting by Luiza Ilie and Radu Marinas in
Bucharest; Editing by Tom Heneghan)

Released: 2017-2-3T11:50:42.000Z"
Central Europe  Currencies  To Gain on 'Bremain' -- Brexit Market Talk,2016-06-20,"0805 GMT Central European currencies would recover fully from their 0.8% to 3% losses against the euro last week if the U.K. votes to remain in the EU in Thursday's referendum, says Erste Bank. The Polish zloty has the strongest potential to appreciate, back towards 4.30 against the euro, while the Czech koruna has practically none given the central bank's floor for EUR/CZK, Erste says. EUR/PLN is at 4.4059. In the case of Brexit, central banks in Croatia, Romania and Serbia would need to intervene to reduce currency volatility, Erste says. The Hungarian and Polish central banks would allow some currency depreciation--above 318 in EUR/HUF and 4.50 in EUR/PLN--and take action only in case of excessive market turbulence. EUR/HUF is at 313.87. (margit.feher@wsj.com @margitfeher) 


 
Contact us in London. +44-20-7842-9464 
markettalk@wsj.com 
 

(END) Dow Jones Newswires

June 20, 2016 04:05 ET (08:05 GMT)"
Croatia  central bank  calls auction offering euros to banks,2015-09-30,"ZAGREB, Sept 30 (Reuters) - Croatia's central bank called an auction on Wednesday to prop up the national kuna currency, which has eased against the euro in recent days as banks seek euros to implement the conversion of Swiss franc loans.

The kuna was quoted at 7.6680 per euro ahead of the intervention.

Croatia's banks need to adjust their foreign currency positions after the conversion of Swiss franc loans on their books into euros. The central bank said the country's currency reserves could fall by about a billion euros due to the conversion. (Reporting by Igor Ilic)

Released: 2015-10-3T09:55:10.000Z"
CEE MARKETS 2-  Currencies  and bonds ease ahead of talks on Greek debt,2015-02-20,"
* CEE currencies, bonds ease as euro group discusses Greek
bailout
    * Crown eases, central bank chief defends weak crown policy
    * Croatian central bank sells euro after kuna falls to
11-year low
    * Serbian buys euro to stem dinar surge ahead of bond
auctions

 (Recasts with fall in currencies, central bank interventions)
    By Sandor Peto and Jakub Iglewski
    BUDAPEST/WARSAW, Feb 20  (Reuters) - Central European
currencies and government bonds fell on Friday as concern grew
over Greece's future in the euro zone, the main export market of
the region's emerging economies.
    Later today, euro zone finance ministers will meet on
whether to extend a loan agreement that Greece urgently needs.
Its current bailout programme expires on Feb. 28. 
    ""Greece is a No. 1 topic right now,"" one Warsaw-based
currency dealer said. ""All that investors care about is to close
riskier positions before the weekend. Risk-off attitude is
dominating emerging markets today and the zloty is losing, too.""
    The zloty slipped 0.4 percent against the euro by
1432 GMT. The forint, which earlier in the day traded
near a three-month high, shed 0.3 percent to 306.35. The leu
 eased 0.2 percent to 4.458. 
    Government bond yields rose, with Polish 10-year debt
trading at 2.33 percent, up 7 basis points and Hungary's
corresponding yield rising 1 basis point to 3.27 percent,
reversing an early drop.
    Analysts have said that the region's currencies and
relatively high-yielding government bonds could gain if Greece
reaches a deal on its debt.
    The Czech crown may be an exception. It decoupled
from its regional peers this week and got on a roller coaster
after Czech President Milos Zeman slammed the central bank's
""devaluation"" policy. 
    The bank's governor, Miroslav Singer, reacted late on
Thursday, saying that the bank will not end its policy of
intervening if necessary to keep the crown weak before the
second half of 2016. 
    The crown eased half a percent against the euro to 27.531. 
    ""In the next couple of days I see the crown in the range
27.400-700,"" one Prague-based dealer said. ""The main factor is
Greece, of course. The market is quite nervous because of it."" 
    The kuna bucked the regional trend, strengthening
by 0.2 percent against the euro to 7.713, after the Croatian
central bank sold 172.7 million euros to commercial banks. It
was the bank's second intervention this year to support the
kuna. 
    Companies in Croatia have been buying euros, while its
economy has contracted by about 13 percent in the past six
years. 
    Neighbouring Serbia's central bank, in contrast, sold euros
to stem a surge by the dinar, which it keeps in tight ranges.
The dinar still gained 0.7 percent to 120.14 per euro.
    The Serbian economy has also underperformed Central European
peers, but demand from foreign investors lifted the dinar before
next week's auctions of high-yielding 1-year and 3-year bonds,
dealers said. 
 *                                                            *
 **************** CEE MARKETS SNAPSHOT AT 1532 CET ************ 
 ************************* CURRENCIES *************************
                            Latest  Previous   Daily   Change  
                            bid     close      change  in 2015 
 Czech crown                 27.531    27.388   -0.52%  +0.44% 
 Hungary forint             306.350   305.500   -0.28%  +3.30% 
 Polish zloty                 4.184     4.168   -0.39%  +2.43% 
 Romanian leu                 4.458     4.447   -0.23%  +0.52% 
 Croatian kuna                7.713     7.726   +0.16%  -0.75% 
 Serbian dinar              120.140   121.010   +0.72%  +1.01% 
 Note: daily change calculated from previous close at 1800 CET 
 **************************** STOCKS **************************
                            Latest   Previous  Daily   Change  
                                     close     change  in 2015 
 Prague                      1014.73  1007.19   +0.75%  +6.64% 
 Budapest                   18023.85 18080.36   -0.31% +09.11% 
 Warsaw                      2349.63  2348.06   +0.07%  +1.14% 
 Bucharest                   7294.03  7285.89   +0.11%  +5.71% 
 Ljubljana                    781.26   780.56   +0.09%  +0.22% 
 Zagreb                      1751.11  1742.56   +0.49%  +0.63% 
 Belgrade                     661.17   662.70   -0.23%  +0.80% 
 Sofia                        487.67   483.29   +0.91%  -6.90% 
 ***************************** BONDS **************************
                        Yield    Yield    Spread     Daily     
                        (bid)    change   vs Bund    change in 
 Czech Republic                                      spread    
   2-year                0.076    +0.017   +030bps    +2bps    
   5-year                0.300    +0.025   +037bps    +3bps    
  10-year                0.668    -0.018   +032bps    +2bps    
 Hungary                                                       
   3-year                2.310    +0.000   +252bps    +2bps    
   5-year                2.840    -0.010   +291bps    +0bps    
  10-year                3.360    +0.050   +301bps    +8bps    
 Poland 
   2-year                1.678    +0.000   +190bps    +0bps  
   5-year                2.043    +0.071   +212bps    +8bps  
  10-year                2.344    +0.071   +199bps   +11bps  
 ******************* FORWARD RATE AGREEMENTS ******************
                            3x6     6x9    9x12 3M interbank
 Czech Rep                    0.400   0.290  0.290   0.33 
 Hungary                      1.930   1.840  1.840   2.10 
 Poland                       1.590   1.520  1.520   1.89 
 Note: FRA quotes are for ask prices 
 **************************************************************
 
 (Additional reporting by Jason Hovet in Prague/Zoran
Radosavljevic in Zagreb; Editing by Larry King)

Released: 2015-2-20T16:25:15.000Z"
CEE MARKETS 1-Assets in holding pattern as markets monitor Greek debt talks,2015-02-20,"
* Progress at Greek debt talks could lift CEE currencies,
bonds
    * Crown eases, central bank chief defends weak crown policy
    * Kuna hits 11-year low, central bank calls euro-selling
auction

    By Sandor Peto
    BUDAPEST, Feb 20  (Reuters) - Central European assets were
stuck in a holding pattern on Friday as investors awaited a
meeting of euro zone finance ministers to discuss Greece's
urgent need for more financial aid.
    If a deal can be reached, the region's currencies and
relatively high-yielding government bonds could climb. 
    Yields on debt in the region have risen in recent weeks from
near record lows on concerns over debt-laden Greece's future in
the euro zone.
    Hungary sold almost 50 percent more government bonds than
planned at its auctions on Thursday, however, with yields
falling in the secondary market. The yield on three-year paper
dropped a further six basis points on Friday to 2.18 percent.
    ""As already witnessed yesterday, the upward pressure, mainly
on longer-dated LCY (local currency) yields in the region, eased
with hopes of a viable solution to the Greek debt crisis,""
Raiffeisen said in a note.
    Poland's zloty eased 0.2 percent against the euro
by 0931 GMT while Hungary's forint firmed 0.1 percent
to 305.06.
    One trader said recent data showing good economic growth had
buoyed the forint. Figures on Friday showed a 6.7 percent annual
rise in gross wages in December. 
    The Czech crown has been on a rollercoaster in the
last few days, decoupling from regional peers after Czech
President Milos Zeman slammed the central bank's ""devaluation""
policy. 
    The bank's governor, Miroslav Singer, reacted late on
Thursday, saying that the bank will not end its policy of
intervening if necessary to keep the crown weak before the
second half of 2016. 
    The crown eased 0.2 percent against the euro to
27.435. 
    Raiffeisen said in its note that the crown could head back
towards 27.7, while Komercni Banka fixed income trader Dalimil
Vyskovsky said it could settle around 27.35.
    ""We do not think another big drop would be a threat today,
however, the FX market will be a crucial guide for trading rates
in the next days, or weeks,"" he added.
    Croatia's kuna touched 11-year lows against the
euro at 7.733 in early trade. The central bank called an auction
to sell euros in its second intervention this year to prop up
the currency. 
    Companies in Croatia have been buying euros, while the
economy has contracted by about 13 percent in the past six
years. 
    
 *                                                            *
 **************** CEE MARKETS SNAPSHOT AT 1031 CET ************ 
 ************************* CURRENCIES *************************
                            Latest  Previous   Daily   Change  
                            bid     close      change  in 2015 
 Czech crown                 27.435    27.388   -0.17%  +0.79% 
 Hungary forint             305.060   305.500   +0.14%  +3.74% 
 Polish zloty                 4.177     4.168   -0.23%  +2.60% 
 Romanian leu                 4.446     4.447   +0.04%  +0.79% 
 Croatian kuna                7.730     7.726   -0.06%  -0.97% 
 Serbian dinar              120.450   121.010   +0.46%  +0.75% 
 Note: daily change calculated from previous close at 1800 CET 
 **************************** STOCKS **************************
                            Latest   Previous  Daily   Change  
                                     close     change  in 2015 
 Prague                      1010.79  1007.19   +0.36%  +6.22% 
 Budapest                   18139.74 18080.36   +0.33% +09.81% 
 Warsaw                      2347.52  2348.06   -0.02%  +1.05% 
 Bucharest                   7275.57  7285.89   -0.14%  +5.45% 
 Ljubljana                    775.47   780.56   -0.65%  -0.52% 
 Zagreb                      1745.27  1742.56   +0.16%  +0.29% 
 Belgrade                     663.33   662.70   +0.10%  +1.13% 
 Sofia                        482.60   483.29   -0.14%  -7.87% 
 ***************************** BONDS **************************
                        Yield    Yield    Spread     Daily     
                        (bid)    change   vs Bund    change in 
 Czech Republic                                      spread    
   2-year                0.058    +0.000   +028bps    +0bps    
   5-year                0.210    -0.065   +027bps    -7bps    
  10-year                0.661    -0.025   +029bps    -1bps    
 Hungary                                                       
   3-year                2.340    +0.030   +254bps    +4bps    
   5-year                2.850    +0.000   +291bps    +0bps    
  10-year                3.350    +0.040   +298bps    +5bps    
 Poland 
   2-year                1.628    -0.055   +185bps    -5bps  
   5-year                2.001    +0.027   +206bps    +2bps  
  10-year                2.303    +0.027   +193bps    +4bps  
 ******************* FORWARD RATE AGREEMENTS ******************
                            3x6     6x9    9x12 3M interbank
 Czech Rep                    0.400   0.300  0.290   0.33 
 Hungary                      1.910   1.820  1.820   2.10 
 Poland                       1.570   1.490  1.490   1.89 
 Note: FRA quotes are for ask prices 
 **************************************************************
 
 (Additional reporting by Jason Hovet in Prague/Zoran
Radosavljevic in Zagreb; Editing by Hugh Lawson)

Released: 2015-2-20T11:22:25.000Z"
CEE MARKETS 2-Polish bonds retreat; attention shifts to output data,2014-09-16,"
* Polish data leave rate cut outlook unchanged
    * CEE currencies, equities rebound, Fed still eyed
    * Serbian central bank intervenes to defend dinar
    * Floods hit Serbia, Croatia again

    By Sandor Peto
    BUDAPEST, Sept 16 (Reuters) - Polish government bonds
retreated on Tuesday after employment and corporate wage figures
for August suggested the country's central bank would not cut
rates any more than expected.
    The move also reflected a small rise in the yields of
long-dated euro zone government debt.
    Poland's 10-year benchmark yield rose to 3.07
percent from a morning low at 3.03 percent. Earlier, Poland
reported that wages rose 3.5 percent in August on an annual
basis and employment continued to grow, albeit at a slightly
slower pace of 0.7 percent.
    Analysts said industrial output figures due on Wednesday may
provide more clues about when the Polish central bank will cut
its main interest rate, now 2.5 percent, and by how much. The
consensus forecast is for 0.7 percent growth in output.
    If the output figure disappoints, ""it may fuel expectations
that the overall (rate) cut will be bigger than we currently
expect (i.e. 25 basis pints in October and another 25 basis
points in November),"" Erste said in a note.
    Economic slowdown, partly due to the effects of conflict in
Ukraine, have made the region's central banks, especially
Poland's, increasingly dovish in the past months.
    Concern that the Federal Reserve may signal at its meeting
on Wednesday that it will soon raise rates has weighed on
long-dated bonds in recent weeks. But expectations the European
Central Bank will begin a programme of asset purchases have
started to prop up bond prices, and yields are lower than they
were six weeks ago.   
    The average yield on the 3-month Treasury bills Hungary sold
at an auction stayed at record lows at 1.38 percent. Longer debt
yields even dropped by a few basis points in the secondary
market in low turnover.
    
    CONCERNS EASE
    Concern over Wednesday's Fed meeting and turmoil in Ukraine
had eased by afternoon trade, and the region's equities and
currencies mostly recovered from early declines.
    The loss of the stocks of Hungarian pharmaceuticals Richter
, which exports to Russia and Ukraine, narrowed to 0.36
percent from more than 1 percent. Budapest's main stock index
 gained 0.25 percent, although turnover remained low.
    Prague's main stock index was still down by 1.1
percent, dragged lower mainly by a 2 percent decline of
electricity producer CEZ PR>. CEZ fell on profit-taking;
its shares had risen more than 10 percent since early August.
    The shares of Slovenia's telecom operator, Telekom
, jumped by more than 6 percent to 137.5 euros after
incoming finance minister Dusan Mramor said late on Monday the
privatisation of Telekom will continue. Ljubljana's blue-chip
SBI index gained 1.9 pct. 
    The privatisation was put on hold earlier in September, 
awaiting approval of the sale by the new centre-left government
that is expected to be sworn in on Thursday. 
    The dinar rose a third of a percent against the
euro to 118.72, strongly outperforming regional peers, after
hitting two-year lows a week ago because of concern over a delay
in much-needed fiscal reforms in Serbia.
    Dealers said the Serbian central bank, which repeatedly
intervened this year to protect the currency, bought the dinar
in the market again in early trade. 
    Croatia's kuna eased 0.1 percent.
    One person died in Serbia and hundreds were evacuated due to
new floods in the Balkans. Severe floods in May killed dozens
and worsened Croatia's and Serbia's recession and fiscal
problems.   
 *                                                            *
 **************** CEE MARKETS SNAPSHOT AT 1556 CET ************ 
 ************************* CURRENCIES *************************
                            Latest  Previous   Daily   Change  
                            bid     close      change  in 2014 
 Czech crown                 27.547    27.558   +0.04%  -0.78% 
 Hungary forint             314.250   314.120   -0.04%  -5.50% 
 Polish zloty                 4.197     4.198   +0.04%  -1.12% 
 Romanian leu                 4.415     4.410   -0.11%  +1.02% 
 Croatian kuna                7.625     7.620   -0.07%  -0.09% 
 Serbian dinar              118.720   119.120   +0.34%  -3.55% 
 Note: daily change calculated from previous close at 1800 CET 
 **************************** STOCKS **************************
                            Latest   Previous  Daily   Change  
                                     close     change  in 2014 
 Prague                       979.65   990.80   -1.13%  -0.74% 
 Budapest                   18723.13 18675.80   +0.25%  +2.12% 
 Warsaw                      2490.02  2489.77   +0.01%  +3.56% 
 Bucharest                   7108.83  7124.08   -0.21% +09.74% 
 Ljubljana                    830.68   815.35   +1.88% +29.59% 
 Zagreb                      1866.57  1861.02   +0.30%  +4.84% 
 Belgrade                     630.60   632.92   -0.37% +14.32% 
 Sofia                        552.41   555.45   -0.55% +12.42% 
 ***************************** BONDS **************************
                        Yield    Yield    Spread     Daily     
                        (bid)    change   vs Bund    change in 
 Czech Republic                                      spread    
   2-year                0.176    -0.022   +024bps    -3bps    
   5-year                0.439    -0.018   +022bps    -2bps    
  10-year                1.200    -0.037   +014bps    -3bps    
 Hungary                                                       
   3-year                3.320    -0.060   +334bps    -7bps    
   5-year                3.820    -0.070   +360bps    -7bps    
  10-year                4.830    -0.070   +377bps    -6bps    
 Poland 
   2-year                2.056    -0.010   +212bps    -2bps  
   5-year                2.493    +0.020   +227bps    +2bps  
  10-year                3.187    +0.005   +213bps    +2bps  
 ******************* FORWARD RATE AGREEMENTS ******************
                            3x6     6x9    9x12 3M interbank
 Czech Rep                    0.335   0.350  0.345   0.35 
 Hungary                      2.210   2.280  2.360   2.11 
 Poland                       1.960   1.870  1.880   2.46 
 Note: FRA quotes are for ask prices 
 **************************************************************
 
 (Additional reporting by Marja Novak in Ljubljana/Michal Janusz
in Warsaw/Ivana Sekularac and Aleksandar Vasovic in Belgrade;
Editing by Larry King)

Released: 2014-9-16T16:11:49.000Z"
"CEE MARKETS 3-Zloty leads  FX  bounce,  Croatia  cbank  intervenes ",2012-05-28,"* Romanian leu moves away from all-time low

* Stocks, bonds mixed as some Europe markets on holiday

* Hungary c.bank seen on hold while volatility persists

* Croatia c.bank intervenes to support kuna

(Adds Croatia details, comment)

By Jason Hovet and Sam Cage

PRAGUE/BUCHAREST, May 28 (Reuters) - Poland's zloty led central European currencies higher on Monday when investors dipped back into the region's riskier assets, though dealers said it was a short-term rebound and expectations of a rally looked misplaced.

Opinion polls on Saturday showed Greek conservatives regaining a lead that would allow the formation of a government that supports the country's international bailout, a commitment needed to keep the funds flowing.

With Europe's leaders now openly debating a possible exit of Greece from the euro zone, emerging EU assets have taken a beating this month due to the region's close banking, financing and export ties.

Markets are tipped to remain volatile until at least June 17, when Greeks vote again to choose a government that will largely determine if the country sticks with the euro.

By 1309 GMT the zloty, the region's most liquid currency, was bid 0.4 percent higher at 4.336 per euro.

The Romanian leu gained 0.3 percent to 4.467 after hitting a record low of 4.50 in late trade on Friday when the wealthiest Spanish region of Catalonia said it needed help with financing, showing the spread of the debt crisis.

The threat of central bank intervention to keep the currency away from lows was keeping the market on alert, dealers said.

""Overall it resembles more a relief rally in risky assets rather than a new trend,"" said one.

Stocks were mixed, with Bucharest a touch lower around a four-month low due to Romania's large exposure to Greece and Warsaw up 0.9 percent.

""Greek polls boosted sentiment, but we're not really seeing a significant increase in demand for riskier assets. It's more of a correction,"" said a Warsaw-based dealer

HUNGARY RATE CALL

Trading was muted with the U.S. and some major European centres closed for a holiday. In the debt market, Czech bond yields dipped, getting support from expectations of a rate cut in June. Polish yields were flat.

The Czech crown rose 0.3 percent and Hungary's forint, the most vulnerable in the region due to delays in getting an international credit line to help ease debt costs, rose 0.2 percent to in offshore trade with Budapest markets closed.

It has rebounded 2 percent since hitting a four-month low in the middle of last week.

The market turmoil is putting many central banks in a tight spot by impeding the reduction of interest rates that would help spur the economy.

Analysts expect the Hungarian central bank keep its growth-choking 7 percent base rate on hold on Tuesday, but they said the rate could be cut by 50 basis points by the end of the year if Hungary secures a loan from the International Monetary Fund and EU through talks that have been help up by policy disputes.

Croatia's central bank sold 266.4 million euros to commercial banks to prop up the kuna, which has come under mounting pressure in recent days as demand for euros from local banks has escalated, its fourth intervention this year.

The currency was bid 0.2 percent higher at 7.559 per euro, still weaker than the range of 7.50-7.55 in recent weeks under its managed float system.

""Despite this intervention... the kuna may remain exposed to depreciation pressures if demand for euros does not subside,"" a 


dealer at a major bank said.  	
--------------------------MARKET SNAPSHOT--------------------
Currency                    Latest   Previous Local    Local
                                   close    currency currency
                                            change   change
                                            today    in 2012 
Czech crown                  25.297    25.362  +0.26%   +0.98%
Polish zloty                 4.336    4.355  +0.44%   +2.97%
Hungarian forint             298.6    299.25  +0.22%   +5.36%
Croatian kuna                7.559    7.57  +0.15%    -0.57%
Romanian leu                 4.467    4.479  +0.27%    -3.27%
Serbian dinar                115.97    115.58   -0.34%    -7.78%
Yield Spreads
Czech treasury bonds           
2-yr T-bond   CZ2YT=RR    -1 basis points to  105bps over bmk*
7-yr T-bond   CZ6YT=RR    -4 basis points to  +147bps over bmk*
10-yr T-bond   CZ10YT=RR    0 basis points to  +235bps over bmk*
Polish treasury bonds           
2-yr T-bond   PL2YT=RR   +2 basis points to  +474bps over bmk*
5-yr T-bond   PL5YT=RR   +1 basis points to  +451bps over bmk*
10-yr T-bond PL10YT=RR    0 basis points to  +404bps over bmk*


*Benchmark is German bond equivalent.

All data taken from Reuters at 1509 CET.

Currency percent change calculated from the daily domestic

close at 1600 GMT.

For related news and prices, click on the codes in brackets: All emerging market news Spot FX rates 


Eastern Europe spot FX  Middle East spot FX Asia
spot FX          Latin America spot FX Other
news and reports  World central bank news Economic Data
Guide Official rates   Emerging Diary
Top events  Diaries Diaries Index


(Reporting by Reuters bureaus, writing by Jason Hovet; Editing by John Stonestreet)

MARKETS-EASTEUROPE/ (CEE MARKETS 3) | CZS | ABN | D | E | RBN | HX | M | PX | RDN | RNP | DNP"
Croatia cenbank calls auction to tame kuna gains,2009-10-22,"ZAGREB, Oct 22 (Reuters) - The Croatian central bank called an auction on Thursday to buy euros from commercial banks in its second effort this month to ease appreciation pressures on the national kuna currency.

The kuna was quoted at 7.21 per euro before the auction, which will close at 0845 GMT.

The market had anticipated a possible intervention. The kuna has in recent days been exposed to appreciation pressures as banks have been adjusting hard-currency positions ahead of upcoming borrowing abroad by the government and some state agencies.

The central bank also intervened two weeks ago to tame upward pressures on the kuna by buying 154 million euros.

This is the central bank's fourth intervention on the foreign exchange market this year to counter kuna gains. It has also intervened twice to boost the kuna.

MARKETS-CROATIA/CURRENCY|LANGEN|ABN|M|D"
