title,date,text
Why Are Europe’s Small Central Banks Stocking Up Foreign Money?,2017-03-07,"ZURICH—Europe’s smaller central banks are loading up on foreign currencies at rates usually associated with periods of intense global stress, highlighting the fragile underpinnings of the global economic recovery despite the recent upbeat mood in financial markets.

Switzerland’s holdings of foreign assets jumped last month at their fastest pace in over two years as its central bank fought the strong franc, which weakens exports and inflation. The Czech central bankintervened in January on a massive scale to maintain its currency target against the euro. Denmark has also stepped up its foreign-currency purchases to keep the krone from strengthening too much.

These central banks are showing crisis-like behavior to protect their currencies even in the absence of obvious trouble. This exposes them to losses if their currencies fail to weaken on their own. It also raises doubts as to how long they can keep this up in an era when economic and political uncertainties appear to be a lasting feature of the world economy.

“There is a little bit of survivor behavior,” said Peter Rosenstreich, head of market strategy at Swissquote Bank. “They’ve been protecting their currencies so long and it’s hard to give up that defensive position.”

The Swiss National Bank said Tuesday its foreign exchange reserves swelled nearly 25 billion Swiss francs ($24.63 billion) last month to 668 billion francs, the biggest rise since December 2014, the month before the Swiss abandoned a cap on the franc’s value. The pile of foreign reserves is greater than Switzerland’s entire gross domestic product.

“It’s quite bizarre. You’d think at some time you’d run out of surprises,” said Stefan Gerlach, chief economist at BSI Bank in Zurich and a former deputy governor at Ireland’s central bank.

The franc is regarded as one of the world’s safest currencies given Switzerland’s stable economy and low debt, meaning its value usually increases when investors seek safety instead of returns.

Analysts cited elections in France this spring, in Germany this fall and continued political uncertainty in Italy, the U.S. and U.K. as reasons for the relentless demand for the franc and other safe-haven currencies.

Central banks accumulate foreign reserves when they purchase assets denominated in other currencies, using freshly created money. They do this to weaken their currencies, protecting exports and giving a boost to inflation. Foreign reserves can waver slightly due to changes in currency values, but big increases like Switzerland’s signal aggressive intervention.

This tool has gained traction in recent years as official rates have turned negative in Denmark and Switzerland and are near zero in the Czech Republic.

The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. “It is an eye-popping number,” said Bruna Skarica, economist at Oxford Economics.

Czech officials have said they plan to discontinue this target in the middle of this year, which has spurred investor flows into the Czech currency, the koruna, in anticipation.

Denmark intervened last month to the tune of 4.7 billion kroner ($670 million), the most since last June.

Like the franc, the Danish krone typically rises in uncertain times, especially in the eurozone. The Czech Republic is seen as one of the more stable economies within central and Eastern Europe, so it sees similar trends.

What sets this latest episode apart is that there wasn’t a particular destabilizing stress point in the last few weeks like the Greek crisis or the U.K. vote to leave the European Union. Global markets have been mostly calm with U.S. equities marking record highs. Government bond yields have risen but not too much.

Meanwhile, the U.S. Federal Reserve and the European Central Bank are close to hitting their 2% inflation targets, and the Fed is expected to raise interest rates as soon as next week.

This should be a recipe for reduced demand for the Swiss, Danish and Czech currencies as investors seek higher returns elsewhere. But the opposite has occurred.

The euro traded at 1.0723 francs midday Tuesday, about 10% lower than it was when the SNB had the franc ceiling in place from 2011 to early 2015. The euro fetched 7.43 Danish kroner, which is within the Danish bank’s target of within 2.25% above or below 7.46. The Czech koruna is near the central bank’s target of 27 against the euro, but only due to the massive intervention.

“The global economy is doing better than in the last few years” and has broadened out, SNB Chairman Thomas Jordan said in a Swiss newspaper interview on March 4.

But alluding to the contrast between a better economy and heightened political tension that has bedeviled his central bank, Mr. Jordan noted the political risks are on the rise.

“Such phases of increased political uncertainty are problematic for us because the Swiss franc is considered a safe haven,” he said.

Corrections & Amplifications The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. An earlier version of this article incorrectly stated the amount of the intervention. (March 7)

Write to Brian Blackstone at brian.blackstone@wsj.com

(END) Dow Jones Newswires

March 07, 2017 08:40 ET (13:40 GMT)"
Why Are Europe's Small Central Banks Stocking Up Foreign Money?,2017-03-07,"ZURICH--Europe's smaller central banks are loading up on foreign currencies at rates usually associated with periods of intense global stress, highlighting the fragile underpinnings of the global economic recovery despite the recent upbeat mood in financial markets.

Switzerland's holdings of foreign assets jumped last month at their fastest pace in over two years as its central bank fought the strong franc, which weakens exports and inflation. The Czech central bankintervened in January on a massive scale to maintain its currency target against the euro. Denmark has also stepped up its foreign-currency purchases to keep the krone from strengthening too much.

These central banks are showing crisis-like behavior to protect their currencies even in the absence of obvious trouble. This exposes them to losses if their currencies fail to weaken on their own. It also raises doubts as to how long they can keep this up in an era when economic and political uncertainties appear to be a lasting feature of the world economy.

""There is a little bit of survivor behavior,"" said Peter Rosenstreich, head of market strategy at Swissquote Bank. ""They've been protecting their currencies so long and it's hard to give up that defensive position.""

The Swiss National Bank said Tuesday its foreign exchange reserves swelled nearly 25 billion Swiss francs ($24.63 billion) last month to 668 billion francs, the biggest rise since December 2014, the month before the Swiss abandoned a cap on the franc's value. The pile of foreign reserves is greater than Switzerland's entire gross domestic product.

""It's quite bizarre. You'd think at some time you'd run out of surprises, "" said Stefan Gerlach, chief economist at BSI Bank in Zurich and a former deputy governor at Ireland's central bank.

The franc is regarded as one of the world's safest currencies given Switzerland's stable economy and low debt, meaning its value usually increases when investors seek safety instead of returns.

Analysts cited elections in France this spring, in Germany this fall and continued political uncertainty in Italy, the U.S. and U.K. as reasons for the relentless demand for the franc and other safe-haven currencies.

Central banks accumulate foreign reserves when they purchase assets denominated in other currencies, using freshly created money. They do this to weaken their currencies, protecting exports and giving a boost to inflation. Foreign reserves can waver slightly due to changes in currency values, but big increases like Switzerland's signal aggressive intervention.

This tool has gained traction in recent years as official rates have turned negative in Denmark and Switzerland and are near zero in the Czech Republic.

The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. ""It is an eye-popping number,"" said Bruna Skarica, economist at Oxford Economics.

Czech officials have said they plan to discontinue this target in the middle of this year, which has spurred investor flows into the Czech currency, the koruna, in anticipation.

Denmark intervened last month to the tune of 4.7 billion kroner ($670 million), the most since last June.

Like the franc, the Danish krone typically rises in uncertain times, especially in the eurozone. The Czech Republic is seen as one of the more stable economies within central and Eastern Europe, so it sees similar trends.

What sets this latest episode apart is that there wasn't a particular destabilizing stress point in the last few weeks like the Greek crisis or the U.K. vote to leave the European Union. Global markets have been mostly calm with U.S. equities marking record highs. Government bond yields have risen but not too much.

Meanwhile, the U.S. Federal Reserve and the European Central Bank are close to hitting their 2% inflation targets, and the Fed is expected to raise interest rates as soon as next week.

This should be a recipe for reduced demand for the Swiss, Danish and Czech currencies as investors seek higher returns elsewhere. But the opposite has occurred.

The euro traded at 1.0723 francs midday Tuesday, about 10% lower than it was when the SNB had the franc ceiling in place from 2011 to early 2015. The euro fetched 7.43 Danish kroner, which is within the Danish bank's target of within 2.25% above or below 7.46. The Czech koruna is near the central bank's target of 27 against the euro, but only due to the massive intervention.

""The global economy is doing better than in the last few years"" and has broadened out, SNB Chairman Thomas Jordan said in a Swiss newspaper interview on March 4.

But alluding to the contrast between a better economy and heightened political tension that has bedeviled his central bank, Mr. Jordan noted the political risks are on the rise.

""Such phases of increased political uncertainty are problematic for us because the Swiss franc is considered a safe haven,"" he said.

Write to Brian Blackstone at brian.blackstone@wsj.com

Corrections & Amplifications

This article was corrected at 8:56 a.m. ET because the original version misstated the amount of the intervention in the 11th paragraph. The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, not 14.8 billion euros as originally stated.

7 Mar 2017 09:10 ET  Correction to Europe's Small Central Banks Story

The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. (""Why Are Europe's Small Central Banks Stocking Up Foreign Money?,"" at 1313 GMT, misstated the amount of the intervention in the 11th paragraph.)

(END) Dow Jones Newswires

March 07, 2017 09:10 ET (14:10 GMT)"
Why Are Europe's Small Central Banks Stocking Up Foreign Money?,2017-03-07,"ZURICH--Europe's smaller central banks are loading up on foreign currencies at rates usually associated with periods of intense global stress, highlighting the fragile underpinnings of the global economic recovery despite the recent upbeat mood in financial markets.

Switzerland's holdings of foreign assets jumped last month at their fastest pace in over two years as its central bank fought the strong franc, which weakens exports and inflation. The Czech central bankintervened in January on a massive scale to maintain its currency target against the euro. Denmark has also stepped up its foreign-currency purchases to keep the krone from strengthening too much.

These central banks are showing crisis-like behavior to protect their currencies even in the absence of obvious trouble. This exposes them to losses if their currencies fail to weaken on their own. It also raises doubts as to how long they can keep this up in an era when economic and political uncertainties appear to be a lasting feature of the world economy.

""There is a little bit of survivor behavior,"" said Peter Rosenstreich, head of market strategy at Swissquote Bank. ""They've been protecting their currencies so long and it's hard to give up that defensive position.""

The Swiss National Bank said Tuesday its foreign exchange reserves swelled nearly 25 billion Swiss francs ($24.63 billion) last month to 668 billion francs, the biggest rise since December 2014, the month before the Swiss abandoned a cap on the franc's value. The pile of foreign reserves is greater than Switzerland's entire gross domestic product.

""It's quite bizarre. You'd think at some time you'd run out of surprises, "" said Stefan Gerlach, chief economist at BSI Bank in Zurich and a former deputy governor at Ireland's central bank.

The franc is regarded as one of the world's safest currencies given Switzerland's stable economy and low debt, meaning its value usually increases when investors seek safety instead of returns.

Analysts cited elections in France this spring, in Germany this fall and continued political uncertainty in Italy, the U.S. and U.K. as reasons for the relentless demand for the franc and other safe-haven currencies.

Central banks accumulate foreign reserves when they purchase assets denominated in other currencies, using freshly created money. They do this to weaken their currencies, protecting exports and giving a boost to inflation. Foreign reserves can waver slightly due to changes in currency values, but big increases like Switzerland's signal aggressive intervention.

This tool has gained traction in recent years as official rates have turned negative in Denmark and Switzerland and are near zero in the Czech Republic.

The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. ""It is an eye-popping number,"" said Bruna Skarica, economist at Oxford Economics.

Czech officials have said they plan to discontinue this target in the middle of this year, which has spurred investor flows into the Czech currency, the koruna, in anticipation.

Denmark intervened last month to the tune of 4.7 billion kroner ($670 million), the most since last June.

Like the franc, the Danish krone typically rises in uncertain times, especially in the eurozone. The Czech Republic is seen as one of the more stable economies within central and Eastern Europe, so it sees similar trends.

What sets this latest episode apart is that there wasn't a particular destabilizing stress point in the last few weeks like the Greek crisis or the U.K. vote to leave the European Union. Global markets have been mostly calm with U.S. equities marking record highs. Government bond yields have risen but not too much.

Meanwhile, the U.S. Federal Reserve and the European Central Bank are close to hitting their 2% inflation targets, and the Fed is expected to raise interest rates as soon as next week.

This should be a recipe for reduced demand for the Swiss, Danish and Czech currencies as investors seek higher returns elsewhere. But the opposite has occurred.

The euro traded at 1.0723 francs midday Tuesday, about 10% lower than it was when the SNB had the franc ceiling in place from 2011 to early 2015. The euro fetched 7.43 Danish kroner, which is within the Danish bank's target of within 2.25% above or below 7.46. The Czech koruna is near the central bank's target of 27 against the euro, but only due to the massive intervention.

""The global economy is doing better than in the last few years"" and has broadened out, SNB Chairman Thomas Jordan said in a Swiss newspaper interview on March 4.

But alluding to the contrast between a better economy and heightened political tension that has bedeviled his central bank, Mr. Jordan noted the political risks are on the rise.

""Such phases of increased political uncertainty are problematic for us because the Swiss franc is considered a safe haven,"" he said.

Write to Brian Blackstone at brian.blackstone@wsj.com

Corrections & Amplifications

This article was corrected at 8:56 a.m. ET because the original version misstated the amount of the intervention in the 11th paragraph. The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, not 14.8 billion euros as originally stated.

7 Mar 2017 08:55 ET  Correction to Europe's Small Central Banks Story

The Czech central bank said Tuesday that currency intervention was 14.5 billion euros ($15.3 billion) in January, the largest amount by far since it introduced an exchange rate target against the euro in November 2013. (""Why Are Europe's Small Central Banks Stocking Up Foreign Money?,"" at 1313 GMT, misstated the amount of the intervention in the 11th paragraph.)

(END) Dow Jones Newswires

March 07, 2017 08:55 ET (13:55 GMT)"
Czech Republic - Factors To Watch on Oct 26,2016-10-26,"
PRAGUE, Oct 26 (Reuters) - Here are news stories, press
reports and events to watch which may affect Czech financial
markets on Wednesday.
           
    ALL TIMES GMT (Czech Republic: GMT + 2 hours)         
=========================ECONOMIC DATA==========================
    Real-time economic data releases.................... 
    Summary of economic data and forecasts........... 
    Recently released economic data.................. 
    Previous stories on Czech data............. 
  **For a schedule of corporate and economic events: 
    http://emea1.apps.cp.thomsonreuters.com/Apps/CountryWeb/#/2E/events-overview(""http://emea1.apps.cp.thomsonreuters.com/Apps/CountryWeb/#/2E/events-overview"")
==========================NEWS==================================
   
    TELECOMS: The European Commission said on Tuesday it is to
investigate whether a mobile telecoms network-sharing deal
between O2 CZ/CETIN SPTT.PR and T-Mobile CZ restricts
competition in the Czech Republic.
    Story: Related stories: 
    
    INTERVENTIONS: The Czech central bank's foreign assets
jumped by 2.1 billion euros ($2.28 billion) in the 10 days to
Oct. 20, a bank report showed on Tuesday, indicating it made
sizeable interventions to keep the crown currency weak.
    Story: Related stories: 
    
    O2 CR: Shares in O2 Czech Republic SPTT.PR climbed 3 percent
on Tuesday after the telecoms operator said it would propose
paying part of its share premium on top of a 2016 dividend.   
    Story: Related stories: 
    
    CEE MARKETS: The forint retreated and Hungarian government
yields steadied at record lows on Tuesday as the country's
central bank cut its short-term lending rates, whileassets in
Central Europe's fast-growing emerging economies were mixed.
    Story: Related stories: 
---------------------- MARKET SNAPSHOT ------------------------
 Index/Crown Currency    Latest     Prev   Pct change Pct change
                                    close    on day     in 2016
 vs Euro        27.019     27.012    -0.03     -0.08
 vs Dollar         24.777     24.859     0.33      0.34
 Czech Equities    934.05     934.05     -0.14     -2.33
 U.S. Equities 18,169.27  18,223.03     -0.3       4.27
 Pvs close or current levels vs prior domestic close at 1500 GMT
======================PRESS DIGEST=============================
    VITKOVICE: State-owned Czech Export Bank and EGAP insurer
claim 15.5 billion crowns ($625.58 million) from Vitkovice Power
Engineering, currently in insolvency, for the financing the CEB
provided for a power plant project in Turkey.
    Mlada Fronta Dnes, page 9
       
   (Reuters has not verified the stories, nor does it vouch for
their accuracy.)
                   
 For real-time stock market index quotes click in brackets: 
 Warsaw WIG20  Budapest BUX Prague PX 
 For updates on CEE currencies                       
 TOP NEWS -- Emerging markets                    
 
    Prague Newsroom: +420 224 190 477
    E-mail: prague.newsroom@thomsonreuters.com


($1 = 24.7770 Czech crowns)

 (Reporting by Prague Newsroom)

Released: 2016-10-26T07:34:22.000Z"
TABLE-Czech current account shows slight deficit in August,2016-10-14,"
PRAGUE, Oct 14 (Reuters) - The Czech current account showed
a deficit of 0.74 billion crowns ($30.71 million) in August,
central bank data showed on Friday.
    Analysts polled by Reuters had forecast a balanced current
account after a 30.12 billion crown deficit in July. 
  
    Dividends paid abroad in August reached 22.8 billion crowns,
the central bank said. The balance of goods and services was in
a surplus of 25.6 billion crowns.
    Primary and secondary income included a surplus of 3.6
billion crowns on transfers from the EU budget to the Czech
Republic.
    The central bank's own transactions via foreign exchangeinterventions and transactions executed for clients led to an
increase in international reserves of 60.3 billion crowns.
    
                                 08/16    07/16     08/15
 CZECH BALANCE OF PAYMENTS                               
  (CZK billion)                                          
 I. CURRENT ACCOUNT              -0.74   -30.12     -4.48
  Goods and services             25.65     9.65      8.74
 III. FINANCIAL ACCOUNT          16.15     9.38     -0.09
  Direct Investment              10.40   -42.91     19.68
  Portfolio Investment           -2.23   139.63    -15.13
  Financial derivatives           1.16     1.53     -1.74
  Other Investments             -53.46  -115.52   -115.90
  Reserve assets                 60.28    26.65    113.00
 IV. NET LENDING                 -0.74   -19.32     -2.25
  Net errors and omissions       16.89    28.69      2.17
    
    Details on http://www.cnb.cz/en/index.html(""http://www.cnb.cz/en/index.html"")
    
    NOTE. All 2016 figures are subject to revision. The 2015
figures are revised. The CNB releases the monthly figures
according to ECB methodology.
    
 

($1 = 24.0990 Czech crowns)

 (Reporting by Mirka Krufova; Editing by Jason Hovet)

Released: 2016-10-14T09:01:49.000Z"
Czech Republic - Factors To Watch on Sept 16,2015-09-16,"
PRAGUE, Sept 16 (Reuters) - Here are news stories, press
reports and events to watch which may affect Czech financial
markets on Wednesday. 
       
    ALL TIMES GMT (Czech Republic: GMT + 2 hours)         
=========================ECONOMIC DATA========================
    August producer prices data 0700 GMT.
    Real-time economic data releases................... 
    Previous stories on Czech data............ 
    Overview of economic data and forecasts......... 
    Updates on CEE currencies........................... 
===========================EVENTS==============================
    PRAGUE - Czech central bank governing board to hold a
regular weekly meeting. It is not scheduled to discuss monetary
policy issues.
    Related news:       
    PRAGUE - The lower house of parliament to continue a
session.
    Related news:       
===========================NEWS================================ 
  
    MIGRANTS: Hungary's right-wing government shut the main land
route for migrants into the European Union on Tuesday, taking
matters into its own hands to halt Europe's influx of refugees.
    Story: Related news: 
    
    FX INTERVENTIONS: The Czech Republic's central bank needs to
see inflation overshooting its 2 percent target in its policy
forecasts before it considers exiting its weak crown policy,
board member Jiri Rusnok was quoted as saying on Tuesday.
    Story: Related news: 

    FX INTERVENTIONS: The Czech central bank may be forced to
not only prolong its loose policy regime but to also ease
monetary conditions further depending on pressures from the euro
zone, board member Lubomir Lizal was quoted as saying on
Tuesday.
    Story: Related news: 
    
    CEE MARKETS: Central European currencies were mixed in early
trading on Tuesday, with Hungary's forint edging up before a
U.S. interest rate decision this week.
    Story: Related news: 

    CEE POWER: Forecasts for dwindling wind and low solar power
generation drove Czech and Slovak spot power prices higher on
Tuesday while Hungarian and Romanian day-ahead prices eased on
lower demand in the Balkans, traders said.
    Story: Related news: 
---------------------- MARKET SNAPSHOT ------------------------
 Index/Crown Currency    Latest     Prev   Pct change Pct change
                                    close    on day     in 2015
 vs Euro        27.061     27.049    -0.04       2.14
 vs Dollar         23.99      23.93     -0.25      -5.07
 Czech Equities  1,001.3    1,001.3       0.04       5.77
 U.S. Equities 16,599.85  16,370.96      1.4       -6.86
 Pvs close or current levels vs prior domestic close at 1500 GMT
======================PRESS DIGEST============================
    MIGRANTS: Czechs plan to close their borders in case at
least 750 migrants a day would enter the country for several
days in a row, documents presented to the paper showed.
    Pravo, page 1
   
    Reuters has not verified the media reports, nor does it 
vouch for their accuracy.
   
 For Instant Views of key economic data click on 
 For summary of economic data and forecasts     
 For diary of forthcoming Czech events          
 For calendar of east European economic indicators  
 TOP NEWS -- Emerging markets                   
 TOP NEWS -- Convergence watch                  
 
 For an economic indicator diary for the euro zone, the United 
 States and other Group of Seven countries see 
 
 For real-time stock market index quotes click in brackets: 
 Warsaw WIG20  Budapest BUX Prague PX 
 
    News editor of the day: Jason Hovet on +420 224 190 476
    E-mail: prague.newsroom@thomsonreuters.com

 (Reporting by Prague Newsroom)

Released: 2015-9-16T07:33:51.000Z"
UPDATE 1-Czech c.banker says need to see inflation above target to exit  FX  policy,2015-09-15,"(Adds quotes, estimated volume of interventions)

PRAGUE, Sept 15 (Reuters) - The Czech Republic's central bank needs to see inflation overshooting its 2 percent target in its policy forecasts before it considers exiting its weak crown policy, board member Jiri Rusnok was quoted as saying on Tuesday.

The central bank has pledged to keep the crown on the weak side of around 27 to the euro until at least the second half of 2016 to spur price growth.

Rusnok said the timing of the exit depended on future forecasts and reiterated the bank never ruled out delaying it.

""The forecasts quite evolve, although the moves are small, by tenths (of percentage points),"" he said in an interview with Hospodarske Noviny due to be published on Wednesday.

""We have to take it seriously. We never ruled out we could exit the interventions later. We have always said 'minimum' or 'at least'.""

The bank has forecast inflation, which slowed to an annual rate of 0.3 percent in August, reaching its target only in early 2017. Asked about the chances of an exit in 2017, Rusnok said it would rely on future forecasts.

""It will be key for us to see a clear reaching, but I would say overshooting, of the inflation target in the horizon of 12 to 18 months,"" Rusnok said.

""Inflation should head above 2 percent, that means between 2 and 3 percent.""

After launching the policy in 2013, the central bank has only now had to intervene to keep the crown at bay after it firmed this year thanks to an accelerating economy whose pace is among the fastest in the European Union.

The bank first intervened in mid-July. Data released last week showed it bought 1 billion euros that month.

Analysts estimate it tripled that amount in August and has accelerated the tactic even more this month. ING estimated the central bank printed 60 billion crowns (2.22 billion euros) in early September.

Rusnok echoed remarks by Governor Miroslav Singer - who will be replaced by Rusnok next July - that the central bank did not have to worry about its reserves.

""Should we get somewhere around the half of GDP, that would still be reserves of an acceptable level for a country of our type,"" he said.

""I don't see anything wrong with having very decent foreign exchange reserves.""

Rusnok said that the pressure for more monetary easing was less than half a year ago but said he could not rule out the option of negative interest rates if they were needed. (Reporting by Robert Muller and Jason Hovet; Editing by Hugh Lawson and Jonathan Oatis) 

Released: 2015-9-15T22:08:23.000Z"
Czech Republic - Factors To Watch on July 21,2015-07-21,"
PRAGUE, July 21 (Reuters) - Here are news stories, press
reports and events to watch which may affect Czech financial
markets on Tuesday. 
       
    ALL TIMES GMT (Czech Republic: GMT + 2 hours)         
=========================ECONOMIC DATA========================
    Real-time economic data releases................... 
    Previous stories on Czech data............ 
    Overview of economic data and forecasts......... 
    Updates on CEE currencies........................... 
=========================EVENTS================================
    PRAGUE - Prime Minister Bohuslav Sobotka meets Foxconn
officials for talks on their investment in the Czech Republic,
news conference at 18:15.
===========================NEWS================================ 
  
    INTERVENTIONS: The Czech central bank said on Monday it had
sold crowns last Friday, stepping into the foreign exchange
market for the first time since launching its weak-crown policy
in November 2013.
    Story: Related news: 
    
    BONDS: The Czech Finance Ministry will offer 5 billion to 13
billion crowns ($200.58 million-$521.50 million) worth of
domestic government bonds in two primary auctions in August, the
ministry said on Monday.
    Story: Related news: 
    
    LOANS: Czech banks expect credit standards for corporate
loans to ease further in the third quarter while demand is set
to grow, mostly from large businesses, the central bank's July
lending survey showed on Monday.
    Story: Related news: 
    
    CEE MARKETS: The Czech crown hovered close to the central
bank's cap of around 27 to the euro on Monday, and investors
were on the lookout for official intervention to prevent any
further strengthening.
    Story: Related news: 

    CEE POWER: Coal and nuclear power plant outages along with
warm weather that spurred demand across the region sent Czech,
Slovak and Hungarian day ahead power prices soaring on Monday,
traders said.
    Story: Related news: 
---------------------- MARKET SNAPSHOT ------------------------
 Index/Crown Currency    Latest     Prev   Pct change Pct change
                                    close    on day     in 2015
 vs Euro        27.085     27.063    -0.08       2.05
 vs Dollar         25.008     24.931    -0.31      -9.53
 Czech Equities  1,030.18   1,030.18      0.51       8.82
 U.S. Equities 18,100.41  18,086.45      0.08       1.56
 Pvs close or current levels vs prior domestic close at 1500 GMT
 
======================PRESS DIGEST============================
    REALITIES: Financial group PPF of the richest Czech, Petr
Kellner, bought an office complex in Moscow for estimated $370
million, in cooperation with investment fund Hines. The
companies did not reveal their shares or the price paid.
    Hospodarske Noviny, page 12
    
    
    Reuters has not verified the media reports, nor does it 
vouch for their accuracy.
   
 For Instant Views of key economic data click on 
 For summary of economic data and forecasts     
 For diary of forthcoming Czech events          
 For calendar of east European economic indicators  
 TOP NEWS -- Emerging markets                   
 TOP NEWS -- Convergence watch                  
 
 For an economic indicator diary for the euro zone, the United 
 States and other Group of Seven countries see 
 
 For real-time stock market index quotes click in brackets: 
 Warsaw WIG20  Budapest BUX Prague PX 
 
    News editor of the day: Jan Lopatka on +420 224 190 476
    E-mail: prague.newsroom@thomsonreuters.com

 (Reporting by Prague Newsroom)

Released: 2015-7-21T07:39:44.000Z"
CEE Morning Briefing: Hungary  Central Bank  in Focus,2015-07-21,"
 
TODAY'S CALENDAR 
Local/GMT 
1400/1200 Hungary central 
          bank rate call 
1500/1300 Hungary central 
          bank statement 
 

Hungary is widely expected to continue its easing cycle on Tuesday as its currency has weathered the financial market storm caused by the Greek crisis relatively well.

""Things have turned slightly worse but remain at very supportive levels. Put simply, we think the Hungarian central bank cares that Hungary is not standing out in risk-terms versus peers, especially as it moves to cut [interest rates] below [those of regional peer] Poland,"" said Nonumar economist Peter Attard Montalto.

Poland's benchmark monetary policy rate is at 1.5%, the same as Hungary's key rate. But both are still above the Czech Republic's headline rate of 0.05% and near-zero interest rates in the euro area, the main trading partner for all economies in Central Europe.

Hungary is set to cut its main rate to a fresh record low, albeit at a slower pace than in each of the previous three months, 15 of the 17 economists polled said. Most of them forecast a 0.10 percentage-point easing this time around, compared with the 0.15-percentage-point moves in each of the previous three months.

The Hungarian easing cycle is predicted to bottom out at either 1.2% or 1.3%. 

FOREX 
 
EUR/CZK 
0350 GMT 27.060-122 
Previous 27.056-118 
%Chg +0.01 
 
EUR/HUF 
0350 GMT  309.69-10.21 
Previous  309.81-10.33 
%Chg -0.04 
 
 
EUR/PLN 
0350 GMT  4.1235-51 
Previous  4.1236-52 
%Chg 0.00 
 
 
FIXED INCOME 
 
Hungary 
          Mon    Fri 
3 yrs    2.05%  2.03% 
5 yrs    2.75%  2.75% 
10yrs    3.63%  3.66% 
 
Poland 
          Mon    Fri 
3 yrs    1.78%  1.77% 
5 yrs    2.31%  2.32% 
10yrs    2.87%  2.89% 
 
Czech Republic 
          Mon    Fri 
3 yrs    0.17%  0.13% 
5 yrs    0.40%  0.41% 
10yrs    1.17%  1.13% 
 
STOCKS 
 
WIG 20 
2,244.63  -40.40  -1.77% 
 
BUX 
22,475.89  -14.33  -0.06% 
 
PX 
1,030.18  +5.24  +0.51% 
 
 
OTHER NEWS 

CZECH REPUBLIC: The Czech National Bank last week intervened on foreign exchange markets--the first time since imposing a ceiling for the koruna against the euro in November 2013, the bank's spokeswoman said Monday.

Write to Margit Feher at margit.feher@wsj.com and Leos Rousek at leos.rousek@wsj.com

(END) Dow Jones Newswires

July 21, 2015 00:22 ET (04:22 GMT)"
Czech  Central Bank  Willing to Resume  Forex Intervention ,2015-02-05,"PRAGUE--The European Central Bank's latest measures to combat eurozone deflation are taking their toll on the Czech Republic, whose central bank Thursday warned that it may intervene again to keep the koruna weak against the euro.

The Czech central bank also extended the duration of keeping the koruna weak from the previously stated exit date of early 2016 until at least the second half of next year, and possibly for the duration of the year.

The weakening euro and falling oil prices are creating ""unusually high levels of uncertainty"" and adding fresh downward pressure to Czech prices, central bank Governor Miroslav Singer said, adding that as a result the bank expects deflation later this year.

That is a cold shower for the bank which was forced to devalue the koruna in late 2013 after earlier setting its interest rates at near zero levels.

In November 2013, the Czech central bank spent more than EUR7 billion in a one-day assault on markets that weakened the koruna more than 5% against the euro, staved off domestic deflation, and pulled the country out of a two-year long recession. The central bank said at the time it wouldn't allow the koruna to firm beyond 27 against the euro.

The Czech central bank's benchmark interest rate is 0.05%, making it the loosest monetary policy east of the eurozone. The monetary policy board says it won't move into negative interest rates.

So with deflation looming, the only primary tool left to further ease monetary conditions is another devaluation. Mr. Singer is ready to act if needed.

""The central bank is prepared to move the exchange rate commitment to a weaker level if there were to be a long-term increase in deflationary pressures capable of causing a slump in domestic demand, renewed risks of deflation in the Czech economy and a systematic decrease in inflation expectations,"" Mr. Singer said.

Unlike in most countries in central Europe, Czech inflation was accelerating for most of 2014. But as of late, consumer price growth has stagnated and deflationary tendencies are looming largely due to the euro's weakness. Since the central bank's 2013 intervention, the euro has lost over 15% to the dollar.

On Thursday afternoon the koruna was trading steadily at 27.72 to the euro. Some analysts say the currency is too strong at current levels and barring another devaluation, prices are bound to decline.

William Jackson, analyst at Capital Economics in London, said it is looking increasingly likely that Czechs will weaken the koruna, and he suggested 29 to the euro as an estimate.

Mr. Singer said it is impossible to predict where the central bank will set a new ceiling, saying the scope of such a policy step would be determined later by market sentiment, market interest rates and other macroeconomic factors.

The Czech central bank has an inflation target of 2% and on Thursday said it now expects consumer price growth of 1.1% in the first quarter of next year and 1.6% in the second quarter. The bank previously forecast inflation at 2.1% and 2.3%, respectively.

Negative spillover from the ECB's quantitative easing policy is also being felt in Denmark, where the central bank Thursday cut its deposit rate for the fourth time in less than three weeks. It has also intervened multiple times on the foreign-exchange market to prevent the krone from appreciating to what would be painful levels for the economy.

Write to Sean Carney at sean.carney@wsj.com"
