title,date,text
Danish  central bank  sold 3.7 bln DKK in  forex  market in November,2022-12-02,"COPENHAGEN, Dec 2 (Reuters) - Denmark's central bankintervened in the foreign exchange market in November, selling 3.7 billion Danish crowns ($520.91 million) to stabilize the crown currency, it said on Friday. ($1 = 7.1030 Danish crowns) (Reporting by Nikolaj Skydsgaard and Jacob Gronholt-Pedersen) 

Released: 2022-12-2T17:02:04.000Z"
Danish  central bank  sold 22.3 bln DKK in  forex  market in October,2022-11-02,"COPENHAGEN, Nov 2 (Reuters) - Denmark's central bankintervened in the foreign exchange market in October, selling 22.3 billion Danish crowns ($2.96 billion) to stabilize the crown currency, it said on Wednesday. ($1 = 7.5395 Danish crowns) (Reporting by Nikolaj Skydsgaard) 

Released: 2022-11-2T17:03:13.000Z"
Danish  central bank  sold 23 bln DKK in  forex  market in September,2022-10-04,"COPENHAGEN, Oct 4 (Reuters) - Denmark's central bankintervened in the foreign exchange market in September, selling 23 billion Danish crowns ($3.08 billion) to stabilize the crown currency, it said on Tuesday. ($1 = 7.4703 Danish crowns) (Reporting by Nikolaj Skydsgaard; Editing by Frank Jack Daniel) 

Released: 2022-10-4T16:04:54.000Z"
UPDATE 2-Danish bonds rally as  FX interventions  stoke rate cut talk,2022-01-05,"(Updates with analyst comment, context)

By Dhara Ranasinghe

LONDON, Jan 5 (Reuters) - Denmark's short-dated borrowing costs fell on Wednesday, as news of heavy currency market interventions to weaken the Danish crown stoked speculation that the central bank would soon resort to an interest rate cut.

According to data released on Tuesday, Denmark's central bank last month sold 47 billion Danish crowns, worth more than $7 billion, to defend its currency's peg against the euro.

While it has been selling crowns to stabilise its strengthening currency since March 2021, December marked the biggest monthly intervention since early 2020.

Those purchases have taken Denmark's foreign exchange reserves to the highest since 2015, at almost 530 billion Danish crowns ($81 bln).

But economists reckon authorities may have to follow up those interventions by cutting interest rates.

Denmark's central bank does not have regular monetary policy meetings but the board of governors convenes whenever necessary. It usually announces rate decisions on a Thursday at 5pm local time.

Another cut soon would follow a September move, which came after months of currency interventions failed to sufficiently weaken the crown.

The Danish central bank's sole mandate is to maintain the peg and keep the crown within a band of 7.29252 to 7.62824 crowns per euro.

The rate cut speculation, is now playing out in bond markets where yields fell sharply, suggesting investors are starting to position for such a move.

The yield on Denmark's three-year bond was down almost 7 basis points (bps) on Wednesday at -0.50%.

Five-year bond yields were down 3 bps at -0.34%.

""They have shown a long-standing willingness to defend the exchange rate peg and that won't change anytime soon,"" said David Oxley, a senior European economist at Capital Economics, referring to Danish central bank policy makers.

""In September, the rate cut was a logical solution to the upward pressure on the peg so if the crown is under pressure again that they will do what it takes to maintain the peg.""

While money market futures so far suggest only a 20% chance of a 10 bps rate cut in February, speculation is building.

Nordea analysts said another rate cut could be imminent while Soren Kristensen, chief economist at Sydbank, saw a possible 10-15 bps move during the first quarter.

Oxley at Capital Economics said Denmark could cut rates to as low as -0.75% without opening up too much of a gap with the European Central Bank's key rate at -0.50%.

At -0.60%, the key Danish interest rate is already among the lowest in the world and a rate cut would contrast with policy in most other developed economies, where central banks are scaling back stimulus and lifting borrowing costs from ultra-low levels as inflation picks up.

Not all see a rate cut as a done deal. Danske Bank noted upward crown pressure was now receding, meaning currency interventions might be considered sufficient.

Claus Hvidegaard, head of fixed income research Denmark, at SEB, says higher currency intervention were more of a reflection of the central bank's wish to boost excess liquidity, and keep money market rates stable versus the euro area.

""We see it as much more of a liquidity exercise, so we think they will have to intervene more in currency markets to boost liquidity before they consider another rate cut.""

(Reporting by Dhara Ranasinghe in London and Nikolaj Skydsgaard in Copenhagen; Editing by Sujata Rao, Mark Potter and Hugh Lawson) 

Released: 2022-1-5T15:59:47.000Z"
UPDATE 1-Danish bond yields drop as  FX interventions  stoke rate cut talk,2022-01-05,"(Updates with context, detail , chart)

By Dhara Ranasinghe

LONDON, Jan 5 (Reuters) - Denmark's short-dated borrowing costs fell sharply on Wednesday, as news of heavy central bank interventions to weaken the Danish crown in recent weeks stoked speculation over a cut in interest rates.

According to data released on Tuesday, Denmark's central bank sold 47 billion Danish crowns, worth more than $7 billion, last month to defend the currency's peg against the euro.

While it has been selling crowns to stabilise its strengthening currency since March 2021, December marked its biggest monthly intervention since early 2020.

Economists reckon that intervention may be followed up with a rate cut to dent the crown. The Danish central bank's sole mandate is to maintain the peg and keep the crown within a band of 7.29252 to 7.62824 crowns per euro.

The rate cut speculation is clearly playing out in bond markets where bond yields fell sharply.

The yield on Denmark's three-year bond was down almost 7 basis points (bps) on Wednesday at -0.50%.

Five-year bond yields were down 3 bps at -0.34%.

Rate cuts tend to push down borrowing costs in financial markets and the fall in bond yields suggest investors are starting to position for a move.

At -0.60%, the key Danish interest rate is already the among the lowest in the world and a rate cut would contrast with policy in most other developed economies, where central banks are scaling back stimulus and lifting borrowing costs from ultra-low levels as inflation picks up.

Denmark cut interest rates in September after months of currency interventions failed to sufficiently weaken the crown. While money market futures so far suggest only a 20% chance of a 10 bps rate cut in February, speculation is building.

""The Danish central bank has yet again been forced to intervene markedly in the FX market to counter the pressure for a stronger Danish krone,"" Nordea chief analyst Jan Størup Nielsen chief analyst said in a note.

""Unless excess liquidity starts to increase more substantially, another interest rate cut could be imminent.""

Soren Kristensen, chief economist at Sydbank, agreed a rate cut was likely, seeing a possible 10-15 bps move during the first quarter.

(Reporting by Dhara Ranasinghe in London and Nikolaj Skydsgaard in Copenhagen Editing by Sujata Rao and Mark Potter) 

Released: 2022-1-5T11:06:05.000Z"
Danish  central bank  sold 47 bln DKK in  forex  market in December,2022-01-04,"COPENHAGEN, Jan 4 (Reuters) - Denmark's central bankintervened in the foreign exchange market in December, selling 47 billion Danish crowns ($7.15 billion) to stabilise the crown currency, it said on Tuesday.

Foreign currency reserves stood at 529.8 billion crowns at the end of December, compared with 481.5 billion at the end of November, the central bank said. ($1 = 6.5757 Danish crowns) (Reporting by Jacob Gronholt-Pedersen; Editing by Kevin Liffey) 

Released: 2022-1-4T17:06:51.000Z"
Danish  central bank  sold 5.2 bln DKK in  forex  market in July,2021-08-03,"COPENHAGEN, Aug 3 (Reuters) - Denmark's central bankintervened in the foreign exchange market in July and sold 5.2 billion crowns to stabilise the crown currency, it said on Tuesday.

Foreign currency reserves were at 458.6 billion Danish crowns ($73.13 billion) at the end of July, compared with 458.4 billion at the end of June, the central bank said. ($1 = 6.2711 Danish crowns) (Reporting by Stine Jacobsen Editing by David Goodman) 

Released: 2021-8-3T16:11:35.000Z"
Danish cbank sold 17 bln DKK in  forex  market in March,2021-04-07,"COPENHAGEN, April 7 (Reuters) - Denmark's central bankintervened in the foreign exchange market in March and sold 17 billion crowns in order to stabilise the crown currency, it said on Wednesday.

Foreign currency reserves were at 446.5 billion Danish crowns at end-March, up from 429.4 billion at end-February, the central bank said. (Reporting by Nikolaj Skydsgaard Editing by Mark Heinrich) 

Released: 2021-4-7T16:05:49.000Z"
"DENMARK'S  CENTRAL BANK  CHIEF SAYS NEW IMBALANCES MAY TRIGGER  FX INTERVENTIONS , NEW RATE HIKE",2020-03-20,"DENMARK'S CENTRAL BANK CHIEF SAYS NEW IMBALANCES MAY TRIGGER FX INTERVENTIONS, NEW RATE HIKE

Released: 2020-3-23T18:04:43.000Z"
UPDATE 1-Danish  FX  reserves shrink after large  central bank intervention ,2020-01-03,"(Adds analyst comments, background)

COPENHAGEN, Jan 3 (Reuters) - Denmark's foreign exchange reserves fell by more than 4 billion crowns in December after the central bank made its largest intervention in the currency market in three months, it said on Friday.

""We need to go back four years, since there has been an intervention three months in a row, and the central bank is potentially not done,"" chief economist at Arbejdernes Landsbank, Jeppe Borre, said in a note.

Denmark's foreign exchange reserves fell to 435.4 billion crowns ($65.05 billion) in December from 440.7 billion crowns at the end of November, the central bank said.

It bought 4.1 billion crowns in December to keep the currency stable against the euro, to which it is pegged, it said.

In October and November, the central bank only bought 0.4 and 1.2 billion crowns respectively.

Since the central bank cut its key rate to its lowest level ever in September, mirroring a cut by the ECB, the crown has steadily weakened to levels not seen since 2015.

In 2015, the Danish central bankintervened heavily to stave off foreign investors buying crowns in the hopes that Denmark would abandon its fixed peg to the euro.

""The central bank's rate cut has, all things being equal, been more significant than that of the ECB, which contributes to the weakening of the crown,"" chief economist at Arbejdernes Landsbank, Jeppe Borre, said in a note.

($1 = 6.6934 Danish crowns) (Reporting by Nikolaj Skydsgaard; Editing by Kirsten Donovan and Nick Macfie) 

Released: 2020-1-3T17:40:29.000Z"
