title,date,text
Kenya  shilling nudges higher on  intervention  talk,2008-09-12,"NAIROBI, Sept 12 (Reuters) - Kenya's shilling firmed slightly against the dollar on Friday, thanks to talk in the market that the Central Bank of Kenya was considering intervening to stem further falls, dealers said.

The central bank declined to comment.

At 1058 GMT, commercial banks posted the unit at 70.40/50 against the dollar compared with Thursday's close of 70.80/90.

Dealers said the unit was likely to stay stable at around 70.50/60 in the next few days.

""There was some material news which hit the market after it closed on Thursday. There was an attempt by the Central Bank to verbally intervene,"" said Chris Muiga, a senior dealer at Kenya Commercial Bank.

Traders said the regulator offered to sell dollars to stop the unit's slide. It had not, however, intervened in the end.

The shilling has been losing ground for the last week on heavy demand for greenbacks from importers.

""There is a feeling in the market that the Central Bank may not be happy with a weak shilling, so I think it will be anchored around 70.50/60,"" said Muiga.

James Ndegwa, an Imperial Bank trader, also said the unit was likely to stay stable.


 <KES=> <KES1=>............Shilling spot rates
 <KESF=>...............Shilling forward rates         
 <EURKES=> <KESX=>.Cross rates        
 <KE/CONT1=>............All Kenya Contributors
 <CBKINDEX>........Central Bank of Kenya Index
 <KE/DEBT>......Kenyan Bonds contributor pages       
 <CBK03>    <CBK06> <KE3MTB=>.Treasury bill yields
 <KEIBR=>,<CBK02>..Daily interbank lending rate
 <0#KETSY=>...Kenya Bond pricing                           
 SPEED GUIDES:                                    
 <REUTERS> <KES/1> <KE/DEBT> <MONEY>
          


(Reporting by Duncan Miriri; Editing by Ron Askew)

KENYA-CURRENCY/|LANGEN|ABN|M|D|RBN|AFN|RNP|DNP|PTD|PMF"
"Kenya shilling firms vs dlr, some banks cautious   ",2007-05-22,"NAIROBI, May 22 (Reuters) - The Kenyan shilling <KES=> crept firmer against the dollar on Tuesday and some dealers said players were trading cautiously due to market concerns that the central bank could intervene to check further strengthening.   

At 1050 GMT, leading commercial banks traded the unit at 66.75/85 per dollar compared with 66.85/95 at the close of Friday's trade. It rose to 66.70/80 in earlier trade but demand by the telecommunications sector checked those gains.   

""People are looking at CBK ( Central Bank of Kenya) to give any communication whether they will intervene or not,"" said Duncan Kimani, a dealer at  Bank of Africa.

""People want to be on the safe side. No one wants to hold extreme positions.""   

However, another trader said the central bank was unlikely to interfere with the market, although the local unit has strengthened to a four-year high.   

""I think CBK still believes the move is due to fundamentals,"" Peter Njuguna, a dealer at  Commercial Bank of Africa, said.   

Exporters have asked the central bank to check the rate as it was hurting their earnings.   

The central bank has said it would only intervene if it detected speculation. Traders said the next psychological barrier was the 66.50 level.   


         
 <KES=> <KES1=>............Shilling spot rates
 <KESF=>...............Shilling forward rates
 <EURKES=> <KESX=>.Cross rates
 <KE/CONT1=>............All Kenya Contributors
 <CBKINDEX> ........Central Bank of Kenya Index
 <KE/DEBT>......Kenyan Bonds contributor pages
 <CBK03> <CBK06> <KE3MTB=>.Treasury bill yields
 <KEIBR=>,<CBK02>..Daily interbank lending rate
 <0#KETSY=>...Kenya Bond pricing
   

SPEED GUIDES:   

<REUTERS> <KES/1> <KE/DEBT> <MONEY>   

KENYA-CURRENCY/|LANGEN|ABN|M|D|RBN|AFN|RNP|DNP|PTD|PMF"
"Intervention  props Uganda, Tanzania shillings  ",2006-05-31,"NAIROBI, May 31 (Reuters) - The Kenya shilling <KES=> held steady against the dollar, while the Tanzanian <TZS=> and Ugandan <UGX=> currencies had to be propped up by intervention in the week to Wednesday, dealers said.  

KENYA

The Kenya shilling held steady against the dollar in the week to Wednesday. At 1125 GMT the shilling traded at 72.05/25 to the dollar, compared with last Wednesday's close of 72.00/10.  

The shilling initially strengthened to touch 71.60/80 to the dollar as banks sold off the U.S. currency, then it weakened to touch 72.50/60 to the dollar, undermined by importers demand.  

""It has been quite volatile. We experienced a bit of turbulence,"" said Peter Njuguna, of Commercial Bank of Africa.  

The shilling has since regained ground, lifted by dollar inflows and as banks took profits, dealers said.  

""Initially people took long positions, anticipating end month demand, but as we came into this week there was not much demand and we've seen interbank players sell into the market,"" said a dealer at Barclays Bank.  

Dealers said they expect the shilling to trade in the 71.75-72.60 range against the dollar in coming days, with a bias for it to hover around 72.00.  

UGANDA  

The Ugandan shilling weakened against the dollar, undermined by increased dollar demand from banks and corporate clients, but central bank intervention prevented further losses.  

At 1100 GMT commercial banks quoted the shilling at 1,848/1,853 to the dollar, compared with 1,835/1,840 at last Wednesday's close.  

""We have seen the shilling slide lower against the dollar due to increased corporate demand mainly from the telecommunication sector and the interbank market,"" Catherine Kijjaggulwi, a dealer at Barclays Bank, said.  

Dealers said the central bank intervened on Monday and Wednesday, putting brakes on the shilling's weakening.  

""The central bank has intervened on the sale side mainly to smoothen out depreciation of the shilling,"" said David Bagambe, chief dealer at DFCU Bank.  

Dealers forecast the shilling will continue to depreciate in the absence of central bank intervention to close the week at 1,855 levels.  

""Anticipated end-month inflows are too weak to meet the surge in dollar demand in the market. Unless the central bank intervenes with substantial amounts to prop the shilling, the market will continue to see it slide,"" Bagambe said.  

TANZANIA  

The Tanzania shilling <TZS=> firmed marginally against the dollar in the week to Wednesday, amid increased demand from the telecoms and energy sectors, buoyed by central bank intervention.  

At 0935 GMT the local unit traded at 1,247/1,257 to the dollar, compared with last Wednesday's close of 1,250/1,258, dealers said.  

During the week, the shilling weakened to levels of 1,255/1,265, but central Bank of Tanzania (BOT) came to the market to sell the dollar at 1,250 shillings.  

""There was high demand for the dollar, especially from the telecoms and the oil sector. The demand could not match the supply,"" said Rose Mollel, a senior dealer at CRDB Bank.  

Dealers said that BOT intervened three times during the week.  

""This has been the result of central bank coming to the market and selling dollars at very low prices from where the market was,"" said Samwuel Marco, a dealer at Stanbic Bank.  

Dealers said they expect the shilling to continue gaining against the dollar, boosted by BOT's continued presence in the market, and by corporate clients selling dollars to meet their shilling-denominated end-month payments.  

MARKETS-EAST AFRICA-CURRENCY|LANGEN|ABN|M|D|AFN|RBN|AFA|CSA|LBY|RWSA|RWS|REULB|GNS|RNP|DNP|PTD|PMF|SXNA"
"East African  currencies  mixed vs dlr, Tanzanian up  ",2006-04-12,"NAIROBI, April 12 (Reuters) - East African currencies traded mixed against the U.S. dollar in the week to Wednesday, traders said.  

The Kenyan and Ugandan units were marginally weaker while the Tanzanian shilling strengthened on the back of central bank intervention.  

KENYA

The Kenya shilling <KES=> was slightly weaker versus the dollar but traders expect it to stay in a range in coming days.  

At 1000 GMT, leading commercial banks posted the currency at 71.05/71.25 compared with 71.00/71.20 at close of trading last Wednesday.  

The unit weakened to a low of 71.80/90 in early Tuesday's trade but clawed back its losses on some agricultural export supplies.  

""Demand and supply are kind of matching up,"" said Moses Kiboi, a senior dealer at Citibank, predicting a 71.00 - 71.80 range. ""Unless we get any new factors, there is no reason for it to change out of its comfort zone.""  

A Barclays Bank dealer said the local unit had weakened from dwindling inflows from tourism and horticulture industries.  

""The shilling has been weakening gradually because of importer demand and also we are seeing reduced flows from the tourism and horticulture sectors,"" the Barclays dealer said.  

UGANDA  

The Ugandan shilling <UGX=> eased against the greenback despite light corporate demand matching minimal U.S. dollar inflows, dealers said.  

Leading commercial banks quoted the local unit at 1,822/1,828 per dollar compared to last week's close of 1,825/1,830.  

""We have seen some inflows from traditional sources like the non-governmental organisations and the tourism sector which have been matched by the light corporate demand,"" said Moses Elungat, head of trading at Barclays Bank.  

The shilling is expected to come under pressure as corporate players step up demand.  

""The shilling could remain under pressure as long as the current level of demand is sustained,"" another dealer said.  

""However, if the inflows outstrip dollar demand, then the shilling will ease off to levels of 1,825/1,830 after the Easter holidays this weekend.""  

TANZANIA  

The Tanzania shilling <TZS=> appreciated slightly against the dollar on the back of dollar sales by the central bank amid weakening demand for greenbacks by oil importers, dealers said.  

Banks posted the unit at 1,222/1,227 shillings to a greenback compared with 1,225/1,230 at last Wednesday's close.  

""We saw Bank of Tanzania in the market selling dollars. This calmed the market a bit,"" said Alex Ngusaru, treasurer at Citibank. ""They may sell more since they have enough foreign reserves. I don't see why they should not come in.""  

Another dealer said the market received less dollar demand by oil importers as rains in the country have helped raise the water levels in hydroelectric dams.  

Tanzanian electricity authorities were earlier this year forced to cut supply by up to 12 hours per day due to a severe drought that had hit the region.  

Many people in the country were compelled to purchase fuel-run generators to provide power.  

Dealers anticipate more central bank intervention should the shilling come under pressure, but they also expect banks to unwind long dollar positions.  

""We are seeing some tightness in shilling liquidity and due to that, we might see banks offloading positions they hold which means an appreciation of the shilling in the short term,"" said Aziz Chacha, head of market making at Barclays Bank Tanzania.  

(Reporting by Sylvia Juuko in Kampala, Jack Kimball and Helen Nyambura-Mwaura in Nairobi)  

MARKETS-EAST AFRICA-CURRENCY|LANGEN|ABN|M|D|RBN|AFA|CSA|LBY|RWSA|RWS|REULB|GNS|AFN|RNP|DNP|PTD|PMF|SXNA"
Kenya anti-graft body says probed c.bank governor  ,2006-03-07,"NAIROBI, March 7 (Reuters) - The Kenya anti-corruption agency said on Tuesday it had investigated central bank governor Andrew Mullei over corruption allegations and forwarded its recommendations to the attorney general for action.  

""We did receive some complaints, allegations, which we did investigate some time back,"" Nicholas Simani, the spokesman of the Kenya Anti-Corruption Commission (KACC) told Reuters.  

""We came up with specific recommendations which we forwarded to the attorney general for appropriate action,"" he added but refused to divulge details of the recommendations.  

Kenya's tabloids have repeatedly carried stories accusing Mullei of nepotism and corruption at the central bank.  

The Standard, one of Kenya's leading newspapers, reported on Tuesday that the Ministry of Finance had asked KACC to investigate Mullei over allegations of corruption.  

There was no immediate comment from the Ministry of Finance or the governor's office.  

The Standard said KACC had received the letter from the Ministry of Finance on Feb. 27 and had not acted on it. But Simani said KACC had completed its own investigations on the governor on Feb 23.  

The anti-graft body has no powers to prosecute which are vested in the office of the attorney general.  

The allegations of corruption in the central bank are the latest to rock President Mwai Kibaki's government whose image has suffered badly after three senior ministers resigned over graft.  

The finance, energy and education ministers resigned last month after their names were linked to two graft scandals in which millions of state funds were corruptly paid out.  

Mullei, who has strongly rejected recent pressure by manufacturers and exporters to intervene in the currency market to weaken the strong Kenya shilling, has previously faced allegations of wrongdoing over a banknotes printing tender.  

He denied any wrongdoing over the tender which was later awarded to Britain's De La Rue Currency.  

Mullei was appointed by Kibaki in March 2003. As the governor, he enjoys security of tenure. Under Kenyan laws, the governor can be sacked if convicted of dishonesty or fraud or upon the recommendations of a tribunal appointed by the president to investigate him.  

KENYA-CORRUPTION-GOVERNOR|LANGEN|ABN|M|E|RBN|D|AFN|AFA|CSA|LBY|RWSA|RWS|REULB|GNS|G|RNP|DNP|PGE|SXNA"
Strong Kenya  currency  to slash tea farmers earnings  ,2006-02-06,"NAIROBI, Feb 6 (Reuters) - Kenyan tea farmers could lose 10 percent of their earnings if the local shilling <KES=> keeps its strong tone against the dollar, a key agency grouping small-scale tea producers said on Monday.  

The Kenyan shilling has been trading at a 2-1/2 year high against the dollar in the last few days and the Central Bank of Kenya (CBK) Governor Andrew Mullei has said he would not intervene to influence the value of the currency.  

""Ours is an appeal to the government to do something about it because what will happen at the end of the year is that farmers will loose 10 percent of their income,"" David Kimani, the finance director at the Kenya Tea Development Agency (KTDA) told reporters.  

""We are talking about a balance that ensures we exporters survive and importers too, survive.""  

At 1400 GMT, the shilling traded at 71.00/20 shillings to a dollar.  

Kenya is one of the world's biggest exporters of black tea earning the east African country about 43 billion Kenya shillings ($604.8 million) annually.  

""The current exchange rates are literally killing the industry. I don't know how much longer we can operate at the shilling's current rate,"" Lerionka Tiampati, KTDA's managing director said.  

The agency, which accounts for over 60 percent of Kenya's annual tea production, said a severe drought in the country had affected production with some regions picking green leaf only three days in a week instead of six days.  

Industry players expect that poor rains in the last three years will slash the country's production by about 30 percent.  

Tea was once known as Kenya's green gold, but oversupply, spiralling production costs, stagnant prices, competition from emerging markets growing lower quality but cheaper tea and the trend towards coffee have hit the industry hard.  

KENYA-TEA-CURRENCY|LANGEN|ABN|C|SOF|GRO|MTL|PCM"
UPDATE 1- Kenya  cenbank won't  intervene  over shilling  ,2006-02-03,"(adds details)  

NAIVASHA, Kenya, Feb 3 (Reuters) - Kenya's Central Bank will not intervene in local currency markets despite the current strength of the shilling against the U.S. dollar, governor Andrew Mullei said on Friday.  

""The CBK shall not take measures that influence the exchange position of exchange rate,"" he told reporters in the town of Naivasha, north of Nairobi, after opening a seminar.  

Mullei said there was no justification for intervention.  

""The bank can only intervene if we see that the exchange rate is being influenced by speculative attacks which is not currently the case,"" he said.  

""Currently the exchange rate is influenced by growth in the supply and limited demand for (foreign) currency in Kenya.""  

Exporters say the strong shilling, trading around a 2-1/2 year high at 71.30/58 against the dollar, is seriously harming them. But Mullei sought to reassure them relief would come eventually.  

""In due course we shall see that the shilling exchange rate conforms to what might be of use to exporters,"" he said, adding that intervention to inject demand for foreign exchange would lead to inflationary pressure.  

""The CBK acts say that the Bank ensures that inflation is kept under control and thus we can't take action that perpetuates inflation,"" he added.  

ECONOMY-KENYA-CBANK (UPDATE 1)|LANGEN|ABN|M|D|AFN|AFA|CSA|LBY|RWSA|RWS|REULB|GNS"
UPDATE 2- Kenya  cenbank won't  intervene  over shilling  ,2006-02-03,"(adds market comment)  

NAIVASHA, Kenya, Feb 3 (Reuters) - Kenya's Central Bank governor Andrew Mullei said on Friday the institution would not intervene in local currency markets despite the current strength of the Kenyan shilling against the U.S. dollar.  

""The CBK shall not take measures that influence the exchange position of exchange rate,"" he told reporters in the town of Naivasha, north of Nairobi, after opening a seminar.  

Mullei said there was no justification for intervention.  

""The bank can only intervene if we see that the exchange rate is being influenced by speculative attacks which is not currently the case,"" he said.  

""Currently the exchange rate is influenced by growth in the supply and limited demand for (foreign) currency in Kenya.""  

The local unit rose to 70.95/71.15 shillings to a dollar, a new 2-1/2 year high, after Mullei's comments were reported by Reuters. The rate later corrected to 71.15/35 shillings per greenback.  

""There was heavy selling by the interbank ... but it reversed after heavy corporate demand due to the attractive rates,"" Benson Kaburu, a dealer at Standard Chartered Bank said.  

""We expect it to be range-bound between 71 and 72 in the coming week.""  

Exporters say the strong shilling is seriously harming them. But Mullei sought to reassure them relief would come eventually.  

""In due course we shall see that the shilling exchange rate conforms to what might be of use to exporters,"" he said, adding that intervention to inject demand for foreign exchange would lead to inflationary pressure.  

""The CBK acts say that the Bank ensures that inflation is kept under control and thus we can't take action that perpetuates inflation,"" he added.  

ECONOMY-KENYA-CBANK (UPDATE 2)|LANGEN|ABN|M|D|AFN|AFA|CSA|LBY|RWSA|RWS|REULB|GNS|DNP"
ANALYSIS-No let up in Kenya shilling rally despite concerns  ,2005-09-19,"NAIROBI, Sept 19 (Reuters) - The Kenya shilling is expected to continue its advance against the dollar in the short term and could touch the key 73/dollar level this week, but may struggle to break higher, currency analysts said on Monday.  

The shilling has gained nearly 6.8 percent so far this year, triggering complaints from local manufacturers and other exporters who say it has made their products uncompetitive.  

The shilling on Monday rose to a fresh five-and-a-half month high of 73.25/45.  

After pushing through a series of resistance levels in quick succession in the last few weeks, analysts say the 73.00 level is at hand.  

""All the flows that we have been seeing coming in from the export sector and the limited demand that we have been seeing from, especially the energy sector, have served to drive the shilling higher and higher,"" said Kihara Maina, the treasurer at Barclay Bank.  

""We are looking at touching the year high because the market is seeing it is within sight,"" he said, referring to the 73.10 level that was the highest the shilling has been in the past 12 months.  

But dealers said they expect the 73 level to provide strong resistance for the shilling.  

""We may see some importers taking advantage of these low levels to take up forwards and cover their requirements through to the end of the year,"" said Timothy Kabiru, treasurer at the Cooperative Bank of Kenya.  

CURRENT ACCOUNT  

Kenya's current account deficit widened by $838 million in the 12 months to May 2005, in part due to high global oil prices and increased imports of machinery and transport equipment, suggesting the local currency should have come under pressure.  

However, heavy inflows particularly from tea, horticulture and coffee exporters, combined with receipts from a booming tourism sector, have lent strong support for the shilling.  

Even more significant are relatively high domestic interest rates. The average yield on benchmark 91-day treasury bill stood at 8.5 percent at the last auction on Thursday compared with 2.9 percent posted the same time last year.  

""Obviously people are keen to get the shilling yield at rates of about eight and a half percent as opposed to the dollar at about three and a half percent,"" Barclay's Maina said.  

The high rates also have discouraged importers, especially oil companies, from hedging themselves in the forward market.  

While the shilling's rally has led many importers to stay on the sidelines, a recent comment by Central Bank governor Andrew Mullei that the gains reflected the country's improved economic performance was providing further support.  

""Comments like the one that the central bank has issued that this is a reflection of the economy and things like that, that has given an impetus to the shilling,"" said Jeremiah Kendagor, the head of foreign exchange at Kenya Commercial Bank.  

INTERVENTION

Mullei, who has rejected calls to intervene in the market to weaken the shilling, said 10 days ago that the exchange rate reflected the brisk growth in the domestic economy and investor optimism which was attracting strong foreign inflows.  

The Kenyan economy expanded by 4.3 percent in 2004 compared with 2.8 percent in 2003. A survey by a leading local research firm on business confidence released last week showed that most chief executives were bullish on the economy's prospects.  

""What you see now with the shilling is a by-product of a very rapidly growing economy. Because if the economy was declining in performance, we would be seeing the exchange rate depreciating,"" Mullei told reporters at a function where he released the central bank's monetary policy on Sept. 9.  

The governor said he expected to see the shilling weaken as demand for imports to support the growing econonomy increases.  

""I see the reversal of the exchange rate of the shilling torwards either stability or depreciation.""  

(Additional reporting by George Obulutsa)  

KENYA-SHILLING (ANALYSIS)|LANGEN|ABN|M|D|AFN"
Traders predict a weaker path for Kenyan shilling.   ,2005-04-01," NAIROBI, April 1 (Reuters) - The Kenya shilling  is expected to fall to a range of 76.00-77.50 to the dollar in the short-term after verbal intervention by the central bank and on an anticipated rise in importer demand, analysts said on Friday.    

 The shilling has risen steadily in recent months, gaining 10 percent since mid-December when it started its latest rally.    

 It rose to a 21-month high of 72.90/73.10 on March 21, and the central bank, worried about Kenya's competitiveness, warned that it would intervene to stem any speculation on the shilling.    

 Dealers said the shilling's gains were overdone and the central bank's comments were the trigger that was needed to reverse the shilling's path.    

 The unit closed on Thursday at 74.60/80 to the dollar.    

 ""I think the move down to 73.00 was overdone. It was only a matter of time before it reversed. These levels were not sustainable at the end of the day,"" said Robert Otieno, the treasurer at Stanbic Bank.    

 Experts say the local unit has been well-supported by dollar receipts from the farm and tourism sectors, strong inflows from non-governmental organisations and investors seeking to purchase high-yield shilling-denominated government bonds.    

 On the other hand, dollar demand has been severely subdued, with most importers, especially the key oil companies, already hedged and staying on the sidelines as the shilling appreciated.    

 But dealers and analysts said the shilling's previous pattern suggests that the unit is headed lower and importers are just about to return to the market.    

 NET IMPORT ECONOMY    

 ""The shilling is going to see some weakness because cyclically we are about due for that kind of weakening and even structurally, with a net import economy, you would generally tend to have a weaker currency,"" said Kihara Maina, the treasurer at Barclays Bank of Kenya. ""I see a consolidation around the 76, the 77 level.""    

 OIL PRICES    

 Analysts said higher oil prices are also expected to exert pressure on the local unit. Oil surged back above $55 a barrel on Thursday and analysts said prices could rise further.    

 ""The $50 a barrel is still a lot for an oil-importing country like Kenya and that suggests that it is unlikely that the shilling would be able to hold on to its strengths indefinitely,"" Razia Khan, Standard Chartered Bank's chief Africa economist.    

 ""Despite the near-term strength in the shilling we think 77.50 in a few weeks time is still a possibility and then gradually weakening beyond that,"" she told Reuters from London.    

 Although higher interest rates - at 8.67 percent - were a key factor supporting the shilling, an aggressive interest rate hike in the U.S. could pressure the Kenyan unit, analysts said.    

 ""Kenyan interest rates would have to be somewhat higher with the Fed continuing to hike rates so that yields attraction will remain in place,"" Khan said.    

 The market had its eyes fixed on the outcome of a two-week visit by a mission from the International Monetary Fund (IMF) currently in the country to review its programme.    

 ""I think obviously people are waiting to see what happens when the current negotiations between the...IMF, who are around, and the government to see whether they are releasing aid to Kenya,"" Otieno said."
