title,date,text
Latvian c.bank net  interventions  at zero last week,2010-04-26,"RIGA, April 26 (Reuters) - Latvia's central bank said on Monday it had a zero net position for its currency interventions last week, down from a net 33 million euros ($44.36 million) the previous week.

On Monday, the lat <EURLVL=> continued to trade at the weaker end of its band against the euro and was quoted at a little firmer at 0.7069/79 euros compared with 0.7073/83 a week ago.

A zero position can mean that there was no trade or that the buying and selling of lats was balanced.

One trader said the market was stable and there were no significant changes expected as there was plenty of lats in the money markets.

The central bank automatically accepts offers to buy lats in what it calls passive intervention when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028.

Latvia took a 7.5 billion euro rescue package from the International Monetary Fund, the European Union and other donors at the end of 2008 to keep its currency stable.

Central bank interventions this year have been limited or even aimed at capping gains, cooling speculation the government would have to devalue the currency. (Reporting by Aija Braslina; Editing by Neil Stempleman)

LATVIA-CURRENCY|LANGEN|ABN|M|D"
Latvia  central bank  reserves up by 10 pct in March,2010-04-07,"TALLINN, April 7 (Reuters) - Latvia's central bank said on Wednesday its foreign currency reserves rose by 9.94 percent in February to 5.57 billion euros ($7.44 billion) from 5.01 billion euros in the previous month as the third instalment of rescue package funds were paid to the government.

The Latvian lat has moved away from the weak end of its trading band to be close the same level last seen in December last year. The country is still awash with unplaced lats with banks not giving Lat denominated loans and so helping pull down yields on treasury bills, one of the few places to place lats.

The Latvian central bank said the increase in the reserves' was ""mostly due to the third instalment of the loan received from the European Commission to the amount of 495.2 million euro.""

The Latvian central bank added that it held convertible foreign currency of 5.228 billion euros up from 4.726 billion euros at the end of February.

Lithuania's official reserve assets were down by 15.3 percent month on month, or 2.99 billion litas ($1.16 billion) lower at 16.4 billion litas at the end of March.

The Lithuanian central bank said the central government's deposits contracted by 2.42 billion litas over the month.

Estonia's central bank's official reserve and foreign currency assets fell by 2.6 percent to 41.7 billion Estonian kroons ($3.56 billion) in March from 42.8 billion kroons at the end of February, the Estonian central bank said on its website on Wednesday.

Latvia announces its net currency position after its foreign exchange interventions every Monday, including on Reuters page <LVBANK11>.

(Reporting by David Mardiste; editing by Ron Askew)

BALTIC-RESERVES/|LANGEN|ABN|M|D|DA|FN|NW|SW"
Latvian c.bank net  interventions  at zero last week,2010-03-29,"RIGA, March 29 (Reuters) - Latvia's central bank said on Monday it had a zero net position for interventions for the second week running last week, seen as a signal of easing pressure on the currency's band against the euro.

The lat's trading band come under pressure in 2008 and 2009 during an economic crisis that sent it to the IMF for help, but intervention this year has been limited or even aimed at capping gains, easing speculation the government would have to devalue.

In early trade, the lat <EURLVL=> was little changed from last week, with the euro quoted at 0.7074/84 lats compared with a 0.7075 close on Friday. The lat is still clear of the 0.7098 level at which the central bank intervenes.

However, one trader saw little chance the lat will appreciate further in its band.

""Banks have to make provisions for bad loans and therefore there is demand for euros,"" said one trader.

In Latvia, most loans are issued in euros and banks have to make provisions for bad loans, which have soared in the crisis, in that currency.

The central bank automatically accepts offers to buy lats in what it calls passive interventions when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028 lats.

The trader also noted that Latvian banks have started using a new central bank 7-day deposit facility, placing 397.2 million lats on March 26.

""That means that liquidity is still high and there is a surplus of lats in the market,"" said the trader.

The bank set an an interest rate of 1 percent on the facility, introduced to make liquidity more predictable.

Markets have remained calm in recent weeks despite the withdrawal of the largest party from the government, turning it into a minority administration.

(Reporting by Aija Braslina; editing by Patrick Graham)

LATVIA-CURRENCY/|LANGEN|ABN|M|D|RBN|RNP|DNP|PTD|PMF"
Latvian c.bank says no net  interventions  last week,2010-03-22,"RIGA, March 22 (Reuters) - Latvia's central bank said on Monday it ended last week with balanced net currency interventions and dealers said local markets remained calm despite political ups and downs.

The bank, which reports its currency interventions on a Monday for the previous week, made net purchases of 45 million euros two weeks ago.

In early trade, the lat <EURLVL=> was a touch weaker, with the euro quoted at 0.7072/87 lats after ending Friday at 0.7074/84, though it was still clear of the 0.7098 level at which the central bank intervenes.

""Events on the political stage have not affected the market as there are plenty of lats,"" said one trader.

Prime Minister Valdis Dombrovskis has been left with a minority government after the largest coalition party quit the government last week.

Dombrovskis is to hold talks this week with an opposition party as he seeks to rebuild his parliamentary majority.

The local financial market has taken the political shifts in its stride, banking that even if the opposition does not join the government it will not undermine Latvia's bailout programme with the International Monetary Fund and European Union.

Ratings agency Moody's said last week that Latvia had greater financial buffers now than a year ago and also that Dombrovskis did not face any big political decisions ahead of an Oct. 2 election that would be crucial for the bailout.

The trader said demand for euros could rise with the approach of the end of the month, when banks often tackle provisioning for bad loans, which has to be done in euros. This could drive the lat back up to intervention levels.

The central bank automatically accepts offers to buy lats in what it calls passive interventions when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028 lats. (Reporting by Aija Braslina, editing by Mike Peacock)

LATVIA-CURRENCY/|LANGEN|ABN|M|D|DA|FN|NW|SW"
Latvia and Lithuanian c.bank reserves firm in Feb,2010-03-05,"TALLINN, March 5 (Reuters) - Latvia's central bank said on Friday its foreign currency reserves rose by 3.18 percent in February to 5.07 billion euros ($6.89 billion) from 4.9 billion euros in the previous month after more rescue package funds was deposited in the country in the month.

Latvia's currency has remained close to the weak end of its trading band with the euro with the local money market awash with lats, but with limited opportunities for banks to invest in the local market and yields on t-bills fall to record lows.

The Latvian central bank said the increase in the reserves' was ""mostly due to the third installment of the loan received from the International Monetary Fund for the amount of 200.26 million euro"".

The Latvian central bank added that it held convertible foreign currency of 4.726 billion euros up from 4.484 billion euros at the end of January.

Lithuania's official reserve assets totaled 19.4 billion litas ($7.63 billion) at the end of February to show a 18 percent or 2.96 billion litas growth from the end of February.

Estonia's central bank's official reserve and foreign currency assets fell by 2.6 percent to 41.8 billion kroons ($3.63 billion) in February from a revised up amount of 42,9 billion kroons at the end of January, the Estonian central bank said on its website on Friday.

Latvia announces its net currency position after its foreign exchange interventions every Monday, including on Reuters page <LVBANK11>. (Reporting by David Mardiste; Editing by Toby Chopra)

BALTIC-RESERVES/|LANGEN|ABN|M|D|DA|FN|NW|SW"
Latvia c.bank says bought net 55 mln euros last week,2010-02-08,"RIGA, Feb 8 (Reuters) - Latvia's central bank said on Monday its foreign exchange interventions last week led to a net purchase of 55 million euros, up from net balanced positions for the last three weeks.

Traders said that the net interventions last week were most likely due to some State Treasury activities as the market was calm and stable and the euro price was at the top of the fluctuation band.

In early trade on Monday, the lat <EURLVL=> was still off the intervention levels, with the euro quoted at 0.7075/90 lats versus 0.7081/91 lats last Monday.

""In the market there is no interest to go and buy lats from the central bank,"" said one trader.

The central bank automatically accepts offers to buy lats in what it calls passive intervention when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028 lats.

The central bank's only previous net intervention this year was in the first week of January when it purchased 5 million euros.

The central bank announces its net interventions for the previous week on Mondays, including on the <LVBANK11> Reuters page. (Reporting by Aija Braslina; Editing by Andy Bruce)

LATVIA-CURRENCY/|LANGEN|ABN|M|D|DA|FN|NW|SW"
Latvia  central bank  reserves rise in Jan,2010-02-05,"TALLINN, Feb 5 (Reuters) - Latvia's central bank said on Friday its foreign currency reserves rose by 2.2 percent in January to 4.9 billion euros ($6.72 billion) on the back of government deposits.

Latvia's currency has remained close to the weak end of its trading band with the euro with the local money market awash with lats, but with limited opportunies for banks to invest in the local market.

The bank said the increase in the reserves' was ""due to the expansion of foreign currency funds deposits by the Latvian Government"".

It added it held convertible foreign currency of 4.584 billion euros up from 4.484 billion euros at the end of December.

Latvia was the worst hit of the European Union's three small Baltic states in the financial crisis, forced to reach out to the IMF for support as it bid to keep its currency peg to the euro unchanged. Lithuania and Estonia have followed similar paths, although their decline has been less steep.

Lithuania's reserves rose by 2.8 percent from a month ago to 16.5 billion litas ($6.56 billion), the Lithuanian central bank also said on Friday.

Estonia's central bank reserves and foreign currency assets fell by 2.2 percent to 41.1 billion kroons ($3.60 billion) in January from the end of December, data on the Estonian central bank's website showed.

Latvia announces its net position after its foreign exchange interventions every Monday, including on Reuters page <LVBANK11>.

(Reporting by David Mardiste; editing by Patrick Graham)

BALTIC-RESERVES/|LANGEN|ABN|M|E|RBN|D|RNP"
Latvia  c.bank: net  fx interventions  balanced,2010-02-01," RIGA, Feb 1 (Reuters) - Latvia's central bank said on Monday its net position for currency intervention in the last week was balanced for the third week in a row.

 In early trade, the lat <EURLVL=> remained off its intervention levels, with the euro quoted at 0.7081/91 lats, little changed from the end of last week.

 Traders said during the lat exchange rate weakened a little last week, but the price did not hit the intervention levels.

 They said interest in euro purchases was most likely linked for the need for euros to make end of month payments for euro denominated loans.

 The central bank automatically accepts offers to buy lats in what it calls passive interventions when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028 lats.

 Traders said the market was calm with little reason for any change expected, adding that the high liquidity in the lat market will take the yields on t-bills lower again this week.

 In the last month there has been an oversupply of lats on the local market with limited options for liquidity managers to place them.

 The central bank announces its net interventions for the previous week on Mondays, including on the <LVBANK11> Reuters page.  (Reporting by Aija Braslina, editing by Mike Peacock)  

LATVIA-CURRENCY/|LANGEN|ABN|M|D|DA|FN|NW|SW"
"Latvia c.bnk reserves stable, Lithuania's fall in Dec",2010-01-07,"RIGA, Jan 7 (Reuters) - Latvia's central bank said on Thursday its foreign currency reserves firmed 0.02 percent in December to 4.805 billion euros ($6.9 billion) from 4.804 billion euros in the previous month.

In late December Latvia's currency returned to the weak end of its trading band with the euro after companies squared their positions at the end of the year and an increase in end of month provision occurred.

The Latvian central bank said the small increase in the reserves' net position was due to the Latvian government depositing 31.83 million euros, while a decrease in domestic credit institutions foreign currency deposits reduced foreign currency reserves over the month.

The Latvian central bank added it held convertible foreign currency of 4.484 billion euros up from 4.479 billion euros at the end of November.

Lithuania's reserves fell by 12.4 percent from a month ago to 16 billion litas ($6.69 billion). The bank's reserves firmed by 1.4 percent at the end of 2009 compared to end of 2008, the Lithuanian central bank said also on Thursday.

The bank said its reserves contracted due to central government deposits falling by 2.4 billion litas and deposits of commercial banks were down by 0.3 billion.

Estonia's central bank's official reserve and foreign currency assets firmed to 43.3 billion kroons ($3.97 bln) in December from 41.7 billion kroons at the end of November, the Estonian central bank said on its website on Thursday.

Latvia announces its net position after its foreign exchange interventions every Monday, including on Reuters page <LVBANK11>. (Reporting by David Mardiste and Nerijus Adomaitis; Editing by Toby Chopra)

BALTIC-RESERVES/|LANGEN|ABN|M|D|DA|FN|NW|SW"
Latvia c.bank bought 19 mln euros last week,2010-01-04,"RIGA, Jan 4 (Reuters) - Latvia's central bank said on Monday its foreign exchange interventions last week led to a net purchase of 19 million euros, down from net euro purchases of 45 million euros two weeks ago.

In early trade on Monday, the lat <EURLVL=> was slightly firmer, with the euro quoted at 0.7086/96 lats versus 0.7083/98 lats the Wednesday before the New Year holidays.

The central bank automatically accepts offers to buy lats in what it calls passive intervention when the euro hits 0.7098 lats, the top end of its 1 percent fluctuation band based on a central rate of 0.7028 lats.

""The positive position was due most likely to Latvian state treasury operations, as it must convert euros for lats via the central bank as part of the agreement with the IMF, while the market was opposite, with the lat at the weak end of its trading band,"" one trader said.

Traders expected a quiet week with little pressure on the lat and maybe some clients buying lats while it was weaker against the euro. They saw little speculative pressure.

The main cloud on the horizon is the hitch in talks with the International Monetary Fund and the European Union after a constitutional court ruling that plans to cut pensions were illegal.

This means the government needs to find a further 100 million lats in the budget this year, either from spending cuts, revenue rises or letting the budget deficit rise.

Any of these measures have to coordinated with the lenders, the government has said. Latvia at the end of 2008 struck a deal for a 7.5 billion euro international bailout, led by the IMF and EU and its fiscal policy has to be agreed with the lenders.

The central bank announces its net interventions for the previous week on Mondays, including on the <LVBANK11> Reuters page. (Reporting by David Mardiste, editing by Mike Peacock)

LATVIA-CURRENCY/|LANGEN|ABN|M|D|DA|FN|NW|SW"
