title,date,text
Lebanese security forces fire tear gas at crowds protesting pound devaluation,2023-03-22,"BEIRUT, March 22 (Reuters) - Lebanese security forces on Wednesday fired tear gas at hundreds of protesters, mostly retired members of the security forces, who had gathered near government buildings in Beirut in anger at deteriorating economic conditions.

Crowds gathered in the streets of downtown Beirut between parliament and the government serail, carrying Lebanon's tricolour or flags bearing the logos of security forces.

They were outraged at the deteriorating value of state pensions paid in the local currency. The pound has lost more than 98% of its value against the U.S. dollar since 2019.

""Our kids are hungry. We're hungry,"" said Mohamad el-Khateeb, a 59-year-old who had served in the army for 32 years.

""We left the army with nothing. No healthcare, no welfare, our kids are out of school and prices are rising obscenely. What do you expect?"" Khateeb told Reuters.

Some of the men tried to cross one of the checkpoints leading to a government building, prompting security forces to fire tear gas to keep them back, according to a Reuters witness.

Protesters dashed away from white clouds emanating from locations around the serail. One soldier was seen treating a young boy who was affected by the tear gas.

""If he fires on us, he's firing on our rights and on his rights at the same time,"" said army veteran Ahmad Mustafa, 60.

""He's suffering just like me,"" he told Reuters, clutching two of the tear gas canisters fired just moments earlier.

There was no immediate statement from the Lebanese army.

Lebanon's economic meltdown began in 2019 after decades of profligate spending and alleged corruption. Its onset prompted the most wide-ranging protests the country had seen in years, but they fizzled out and rallies have been sporadic since.

The country's top financial and political leaders have allowed the crisis to fester, with the Lebanese pound hitting an all-time low of 140,000 to the U.S. dollar on Tuesday before an intervention by the country's central bank.

Lebanon's army troops and members of the security forces are receiving salary support in U.S. dollars from the United States and Qatar for the first time.

(Reporting by Issam Abdallah, Mohamed Azakir and Ahmed Kurdi; Writing by Maya Gebeily; Editing by Bernadette Baum) 

Released: 2023-3-22T12:25:03.000Z"
UPDATE 1-Lebanon's  central bank  offers dollars amid deep financial crisis,2021-12-16,"(Adds details, background)

BEIRUT, Dec 16 (Reuters) - Lebanon's central bank said on Thursday it would sell U.S. dollars to commercial banks at the rate on its Sayrafa foreign exchange platform, but analysts said offering more hard currency would do little to steady the already crippled Lebanese pound.

Lebanon's economy has been in freefall since 2019, when a mountain of debt and political gridlock, drove the nation into its deepest crisis since the 1975-1990 civil war.

The Lebanese pound, which was exchanged freely at 1,500 to the dollar before the crisis, has collapsed to around 25,000 on the unofficial market. On the central bank's foreign exchange platform, known as Sayrafa, Thursday's rate was 22,300.

Beirut-based financial adviser Mike Azar said the central bank's latest move was ""to stabilise the lira but an insolvent bank that is bleeding FX ... cannot stabilise the currency by market intervention. It has no credibility.""

As Lebanon plunged into crisis, depositors - many of whom had dollar accounts - were locked out of their savings and only allowed to withdraw them in Lebanese pounds at a rate that was far below the unofficial exchange rate on the street.

Last week, the central bank said depositors withdrawing from their dollar accounts would receive Lebanese pounds at a rate of 8,000 to the dollar, an improvement on the previous rate of 3,900, but still well below the street rate or Sayrafa rate.

In Thursday's statement, the central bank said depositors could use Lebanese pounds they had withdrawn to buy back dollars but at the Sayrafa rate, effectively meaning they receive a roughly 70% 'haircut' on the value of their original dollar deposit.

(Reporting by Lilian Wagdy and Maha el Dahan; Editing by Andrew Heavens and Edmund Blair) 

Released: 2021-12-16T16:36:36.000Z"
Lebanon 's  central bank  to  intervene  to contain exchange rate -presidency,2021-03-19,"BEIRUT, March 19 (Reuters) - Lebanon's central bank will allow banks to conduct currency transactions similar to exchange dealers and will step in to rein in the pound/dollar rate, the presidency said on Friday.

Sharp new falls in the Lebanese pound, which has lost 90% of its value, have fueled unrest in recent weeks.

""As of next week, banks will be allowed to deal with currencies like legitimate exchange dealers...via the (central bank's electronic) platform,"" a spokesman for President Michel Aoun said after his adviser met Central Bank Governor Riad Salameh. (Reporting by Laila Bassam and Ellen Francis; editing by Jason Neely) 

Released: 2021-3-19T13:02:29.000Z"
RPT-ANALYSIS-Lebanon's fractious politics puts French lifeline at risk,2020-09-24,"(Repeats Sept. 22 with no changes to text)

* France has drawn up timeline to deliver reforms

* Lebanese leaders already missed cabinet deadline

* New government faces huge task to save economy

* Sectarian politics throws up roadblocks to change

By Ellen Francis

BEIRUT, Sept 22 (Reuters) - Lebanon's sectarian politicians have overshot one deadline they had agreed with France and missing more may put at risk a French lifeline to haul the Middle East nation out of its worst crisis since a 1975-1990 civil war.

France has drawn up a timeline for Lebanon to tackle corruption and deliver reforms to help secure billions of dollars in foreign aid to save a country drowning in debt.

But the leaders who oversaw years of wasted state spending and corruption have stumbled at the first hurdle by failing to deliver on a promise to French President Emmanuel Macron to form a new cabinet by mid-September.

Yet choosing a cabinet may prove the easy bit. Once named, the ministers have a mountain of challenges, ranging from reviving a paralysed banking industry to fixing a power sector that cannot keep the lights on in a nation of about 6 million.

Macron, who visited Beirut after a devastating Beirut port blast in August, has told politicians they could face sanctions if graft gets in the way. And Paris has repeatedly said there will be no aid without change.

WHAT PREVENTED LEBANON NAMING A GOVERNMENT QUICKLY?

Factional, sectarian politics is to blame. At the heart of the cabinet logjam has been a demand by the two main Shi'ite Muslim parties, Iran-backed Hezbollah and its ally Amal, to pick several ministers and to keep the finance post in their hands.

The finance ministry will have a vital role in drawing up plans to exit the economic crisis.

Prime Minister-designate Mustapha Adib, a Sunni under Lebanon's sectarian power-sharing system, had sought to shake up the leadership of ministries, some of which have been controlled by the same factions for years.

Hezbollah, whose political influence has grown, and Amal view moves to shift them out of key cabinet posts as a bid to weaken their sway, politicians say.

They have a parliament majority with their Christian and other allies, although the cabinet dispute has put them at odds. President Michel Aoun, a Maronite Christian allied to Hezbollah, has said no sect should claim any ministry.

But Washington's decision in September to impose U.S. sanctions on Hezbollah's allies deepened the Shiite bloc's resolve to dig in over cabinet appointments, political sources say. Washington deems Hezbollah a terrorist group.

Yet foreign pressure could also deliver results. Macron's intervention prompted Lebanon's bickering leaders to agree on the prime minister-designate hours before the French president arrived in Beirut on his second visit in less than a month.

WHAT'S AT STAKE?

France has said Lebanon faces collapse if it doesn't change course. The Lebanese president has said the country is going ""to hell"" if doesn't name a cabinet. Many Lebanese, thousands of whom took to the streets last year to demand change, have already been plunged into poverty as the economy has crashed.

Lebanon needs cash - and fast - after defaulting on its towering sovereign debt and with its banks on their knees. The Beirut port blast, which killed almost 200 people, handed the nation with a new repair bill estimated at up to $4.6 billion.

The central bank has been using up dwindling foreign reserves to subsidise vital imports of wheat, fuel and medicine. Lifting subsidies, which the central has said cannot go on indefinitely, will bring more misery and may stoke tensions.

Minor episodes of sectarian unrest and factional skirmishes have accompanied the economic freefall. Further deterioration threatens more flare-ups, while security forces are paid in a currency that is rapidly losing its value.

Donors who promised billions of dollars to help Lebanon in a 2018 Paris conference refused to hand over the cash when the country failed to deliver reforms. They have made changing course a condition for any future help.

Macron delivered a stark message in Beirut on Sept. 1: ""If your political class fails, then we will not come to Lebanon's aid.""

WILL THINGS GET EASIER WITH A GOVERNMENT IN PLACE?

There are big challenges ahead. France has drawn up a detailed roadmap for the new cabinet, ranging from swiftly restarting talks with the International Monetary Fund to launching tenders to start building new power stations.

Crucially, France has said the government must start to tackle endemic corruption quickly in order to secure funds at another donor conference that Paris has said it is ready to hold in the second half of October.

This means any new government faces a tight deadline. It may prove a tall order for Lebanon's fractious politicians who have already failed to name a cabinet on time. (Editing by Tom Perry and Edmund Blair) 

Released: 2020-9-24T07:00:00.000Z"
"Lebanon: The ""Pearl of the Middle East"" crisis",2020-08-07,"""The city's Christian quarters have been largely destroyed. People don't even have money to buy new windows or whatever it takes to rebuild their homes. They have no money, because there are no dollars in the country, everything has to be imported, and now there is no port. Basically people are abandoned,"" says Third Martin Keulertz, an academic in the food safety program at Beirut's American University, which describes the plight of the Lebanese capital, after it was hit by two explosions on Tuesday, which left at least 150 dead and more than five thousand injured. It is estimated that 12% are still unable to return to their homes.

A fire in the port of Beirut - known as the Ali Baba Cave for its corruption - blew up 2,750 tons of ammonium nitrate that were there, after a ship was confiscated in 2013. The investigations now focus on port staff and the President, Michel Aoun, yesterday said that he learned of the huge amount of explosives nearly three weeks before they exploded, but that he had ordered action to be taken, clarifying that he had no authority over the port facility.

In a column published by Foreign Policy magazine, analyst Oz Katerji notes that the explosion was Lebanon's Chernobyl. ""It's like a Soviet disaster, it's the work of immense incompetence, endemic corruption and neglect, and its impact will spread beyond the initial explosion.""

Keulertz agrees and says that what happened at the port ""is a symptom of a state that has neglected its central services, not only is ammonium nitrate, but it is also garbage that is not collected, lack of electricity, lack of water supply, lack of food available to people, is a lack of foreign exchange, so it is basically a symptom of the country where the corrupt elite has taken all the financial resources and has taken all the financial resources and has abandoned everything else, including their core duties.""

Faysal Itani, deputy director of The Center for Global Policy in Washington in the late 1990s, worked as a teenager entering port data during the digitization process. ""This reflects a systemic problem with Lebanon's public institutions. They are directed and staffed according to criteria of political or sectarian affiliation, not merit. Corruption is widespread and work ethic and morals are bad. This seems to be a case of great incompetence and is on par with the way other public institutions are handled,"" he tells La Tercera.

In it, Heiko Wimmen line, a Lebanon-based analyst at the International Crisis Group thinks that ""the networks of political influence, clientelism and corruption that political elites built over three decades have compromised accountability, due process and professional conduct at all levels.""

How did Lebanon, which was considered the pearl of the Middle East, end in this crisis? The country is going through its worst moments since the long civil war (1975 to 1990). Even before the coronavirus pandemic earlier this year, Lebanon seemed to be on a road to collapse, with power outages of up to 20 hours a day, mountains of garbage in the streets and long lines at gas stations.

In March, Lebanon for the first time in its history went into default on foreign debt payments. Prime Minister Hasan Diab revealed that the country is dragging a public debt of 170% of GDP. In addition, it admitted that more than 50% of the population will soon findbelow the poverty line. In a speech on 24 April, Diab directly accused the governor of the Lebanese Central Bank, Riad Salame, of the free fall of the local currency. Unemployment stands at 25%.

On October 17 last year a series of protests, known as the ""revolution for hope,"" led to the resignation of Saad Hariri's government in January, and Diab assumed. His appointment was agreed by the coalition composed of the Shiite groups Hezbollah and Amal, as well as the Christian and ally Free Patriotic Current, the two that occupy the most seats in Parliament after the 2018 elections. Then came the coronavirus, which has only come to worsen the economic situation of the country.

It was in this context that the explosion that destroyed the port, which is the heart of Lebanon's supplies, occurred. Itani points out that the country imports about 80% of all its essential requirements, especially food, including 90% of its wheat. About 60% of its total imports pass through the port of Beirut. ""Now that the port is destroyed there is no way to get food. Of course, we have the airport. But this is more expensive and you can't bring large amounts of cereal, for example. Smaller ports, such as Tripoli in the north, now have to be used, but it's not enough. What Lebanon needs is to open its borders to Syria. They have no choice,"" Keulertz says.

Meanwhile, outrage continues to grow in the population, which on Thursday night came out to protest against the ruling elite. ""It is unclear how the country can move from protests to real political change, because ruling elites are deeply entrenched and there is no organized alternative. On top of that, you have Hezbollah as a key beneficiary of the current political system and is unlikely to accept real change,"" Itani says.

For Wimmen, there will be more protests, although it is not clear what dimensions they will have, because the Lebanese are very angry. ""The new demonstrations could get completely out of control,"" he says. In the same vein, Keulertz says it is time for international intervention, because otherwise Lebanon is on its way to becoming a ""failed state,"" with serious implications for the whole Middle East and Europe."
Dollars trade at 4300-4500 Lebanese pounds after pledge of market  intervention ,2020-06-15,"BEIRUT, June 15 (Reuters) - Scarce dollars traded at 4300-4500 Lebanese pounds on Monday, market participants said, not far from rates seen last week when the president said the central bank would intervene to prop up the battered currency.

Lebanon's President Michel Aoun said on Friday that the central bank would start injecting dollars into the market on Monday, trying to stop a currency crash that has led to economic hardship and sparked unrest.

There was no statement from the central bank or the presidency on the supply of dollars on Monday.

Market participants said there was chaos with differing exchange rates across the informal market, now a main source of cash for most people after banks imposed tight controls.

The local currency has lost more than 60% of its value since late last year, when Lebanon plunged deep into a financial crisis that has pushed the government to seek help from the IMF.

The heavily indebted state has kept an official dollar peg of 1,507.5 pounds but with foreign reserves dwindling, that rate is now only available for imports of fuel, medicine, and wheat.

One currency dealer said the price of dollars was 4,300 pounds on Monday, while another dealer and a customer said the greenback changed hands at 4,500.

A second customer said he sold dollars at 4,000 pounds.

The rate had jumped to about 5,000 last week, igniting protests in several cities, but then fell to 4,500 at some exchange bureaus on Friday after Aoun's announcement.

In a bid to rein in the parallel market, the central bank launched a unified pricing system this month with the goal of lowering the price to 3,200. But importers have said dollars at the lower rate, which was set at 3,910 on Monday, have been unavailable. (Reporting by Ellen Francis and Tom Perry; Editing by Kirsten Donovan) 

Released: 2020-6-15T14:50:22.000Z"
Lebanon's PM vows to curb devaluation and inflation,2020-05-21,"Lebanese Prime Minister Hasan Diab on Thursday pledged to curb the currency's devaluation and subsidize commodities against inflation on Thursday.

Since September 2019 Lebanon has experienced the worst crisis since the end of the civil war (1975-1990), amplified by strengthening measures related to coronavirus.

The Lebanese pound lost more than half its value against the dollar, leading to inflation predictions of more than 50% in 2020.

In April, the oenegé Human Rights Watch warned that more than half of the population could be unable to meet their basic needs.

""The central bank governor promised me that the Bank of Lebanon (BDL) will intervene in the market from today to protect the Lebanese pound and curb the exchange rate increase,"" Diab announced in a speech, coinciding with the first hundred days of his government after gaining the trust of parliament.

""I also announce that the importation of basic food products will be subsidized (...) and that Lebanese will soon see a fall in the prices of these products,"" he added.

The currency, which since 1997 has a fixed parity against the US currency of 1,507 pounds per dollar on the official market, sank in recent months on the parallel market to fall below the historical threshold of 4,000 pounds per dollar.

ah/bek/mdz/pc/mb"
Iran's Noxious Influence on  Lebanon  and Iraq Crisis,2019-11-02,"Lebanese security forces are intervening to separate protesters protesting in the capital's central district of Beirut during the 13th day of anti-government protests on October 29, 2019. - An unprecedented intersectonal movement has paralyzed Lebanon's major cities since 17 October, as protesters continue to demand complete reform of the political system. (Photo by ANWAR AMRO / AFP) (AFP/)Each day that passes it is easier to observe and recognize the extent to which the Iranian regime has become unpopular in Iraq and Lebanon. This situation has nothing to do with the media coverage of Al-Arabiya TV or the hashtags of an electronic army, as Iranian regime officials claim. Across Iraq, there is no internet or social media. Iraq's government has blocked the Internet to please the Khomeinist regime, while in Tehran they reaffirm that waves of incitement come from cyberspace. However, the uprising is still alive and continues in both Iraq and Lebanon.

Tehran claims Saudi Arabia and Israel have influenced the millions of protesters who have flooded the streets of Iraqi and Lebanese cities in the past two weeks. Iran wants to close its ears to the protesters as it has been largely responsible for causing its poverty through the domination of the Shiite Khomeinist militias in bothcountries, all of which led to the failure of both governments in both Beirut and Baghdad. Reality and current chaos indicate that all accusations against the Iranian regime match reality.

All armed militias in Iraq are affiliated with Iran or its allies. In Lebanon, Hezbollah is stronger than the Lebanese national army, and the Shiite organization is The Occupying Army of Iran in the country, so most governments around the world have been forced to refrain from dealing with Iraq and Lebanon because of the influence of and Iran in both states.

An anti-government protester waves a Lebanese flag during a protest in Beirut, Lebanon, on October 25, 2019. (AP Photo/Hassan Ammar) (Hassan Ammar/)Saudi Arabia supported Lebanon's currency by depositing funds with its central bank, while Iran caused an absolute and total depreciation due to Hezbollah's dominance of state institutions. Lebanese is being subject to harsh financial sanctions for its economy for direct responsibility for Iran and Hezbollah. These are well-known facts and people don't need TV channels or hashtags to know the source of their economic misery and the monster that's closing their rights and freedoms.

In Iraq, the Iranian project was based on the seizure and hijacking of state institutions: Parliament, political parties and the armed forces were seenforced to incorporate Iran's militias into their soil. Thus, the situation worsened and people rose up in Iraq, not as Sunnis against Shiites, nor as a party against another. The uprising was not led by the remnants of Saddam Hussein's Baath Party, nor did the black flag of ISIS criminal extremism be raised. The Iraqi uprising is purely peaceful and patriotic, despite attempts by the Iranian media to describe it as driven by the United States and Israel. Their spectrum is broad and their demands refute their accusations.Peaceful protests have taken place in Baghdad, Basra, Karbala, Nayaf and other parts of Iraq, almost all of these governorates have a Shia majority posing lawsuits that all support. They demand an end to corruption, an improvement in government performance, and the elimination of armed terrorist militias under Iran's influence.

Protesters call for Iraq's independence and respect for its Arab identity. While Iran threatens to demolish everything over the heads of 30 million Iraqis if they stand in their Persian-Islamic expansionist project of governing and controlling the country.

In Lebanon, the movement has similar characteristics. Protests are against government corruption, mafias and sctorysm. Mass protests took place not only in Beirut, but also in large cities such as Tripoli (mostly Sunni) and Nabatieh and Baalbek (mostly Shiites).

Anti-government demonstrators shout slogans and wave flags in downtown Beirut on Sunday, October 20, 2019. (AP Photo/Hussein Mesh) (Hussein Mesh/)Christian protesters have called for the elimination of corrupt Christian ministers, so were Sunnis the first to demand the resignation of Prime Minister Saad Hariri (Sunni), and many Shiite clerics expressed their rejection of Hezbollah ( completely pro-irani shiite). It has become clear that the calamitous economic situation of Lebanese citizens has tested people's patience and caused them to break their silence.

It is known that in terms of arms, the balance of power is not on the side of the protesters either in Lebanon or Iraq, but their resolve and determination, as their massive public support, will bring about significant and minimal changes, their message has already been sent to the community in ternational.

What remains to be known is ""if that message of rejection of expansionist terrorism by the Iranian regime, as well as the corruption of its local politicians and the mafias in the shadows of power was received by the free world."" And in such a case, that temperament will take the international community with the regional leaders of these issues.

MORE ON THIS THEME:

Lebanon: those behind the crisis"
"UPDATE 2- Lebanon 's  FX  reserves fine for now, future  intervention  possible - central bank  head",2017-05-15,"* Finance minister asks cabinet to extend term of c.bank governor

* Lebanon FX reserves stable for now -c.bank

* C.bank could intervene again to guarantee monetary stability

* C.bank has no plans to raise interest rates (Adds finance minister asking for extension of c.bank head's term)

By Lisa Barrington

BEIRUT, May 15 (Reuters) - Lebanon's central bank governor said foreign currency reserves were stable and did not require immediate boosting via intervention, but the bank would take measures to maintain monetary stability if necessary.

Governor Riad Salameh 's term of office expires at the start of August and the Lebanese finance minister has asked cabinet to extend it, a Lebanese government source told Reuters on Monday.

Salameh has steered the central bank for almost 24 years and is widely seen as a guarantor of monetary stability.

Under his leadership the central bank last year carried out what the International Monetary Fund termed ""unconventional"" financial engineering to boost falling foreign currency reserves.

""Today we have a situation that is stable which doesn't warrant any special operations,"" governor Riad Salameh told Reuters on the sidelines of a Euromoney conference in Beirut on Monday.

""Depending on what would be necessary, we have various strategies we can implement, it is not essential that we go back to the same strategy we used in 2016.""

Between June and August, the central bank exchanged some of its Lebanese pound-denominated debt holdings for dollar-denominated Finance Ministry Eurobonds, while private banks transferred in dollars and were given the Eurobonds and newly issued dollar certificates of deposit in exchange.

The central bank also bought pound-denominated bonds held on local banks' books for the full principal amount plus interest up to maturity, instantly boosting their local currency reserves.

By mid-October reserves had risen to $41 billion from around $35 billion before the financial operations. Since then they have declined again and on 30 April stood at $39.3 billion, according to the latest central bank figures.

Salameh said there was currently no need for ""immediate special initiatives.""

GROWTH SHORTFALL

Lebanon's economy has for years been hindered by regional unrest, including the war in neighbouring Syria, and political crisis at home.

The IMF said its GDP increased by 1 percent in 2015 and projected a similar rate for 2016, compared with a potential growth rate of 4 percent.

Public debt stood at 138 percent of GDP in 2015.

Salameh said the appointment of President Michel Aoun after a two-and-a-half-year period without a president, and the formation of a government with Saad al-Hariri as prime minister late last year has created a basis for better growth, Salameh said.

But Lebanon is on the brink of crisis again with its politicians at odds over an election law at the heart of the nation's sectarian system, threatening to leave the country without a parliament for the first time.

Parliament 's term expires on June 20 and without a compromise Lebanon faces what one minister has called the most serious political crisis since the end of its 1975-90 civil war.

Salameh said while the IMF was predicting growth of 2-3 percent for 2017, the impact of the political situation was as yet unclear.

Salameh has been in his post since 1993 and banking figures have called for his term of office to be extended past August to send a message of stability to markets.

He told Reuters the government had not yet decided if his term was to be extended, but a government source said it was likely.

""The finance minister (Ali Hassan Khalil) sent a letter to the council of ministers asking for the extension of the term of the governor of Banque du Liban by six years,"" the source said, speaking on condition of anonymity.

""The atmosphere is headed towards approval of the appointment, but it is not certain it will happen this week.""

Salameh said the central bank does not plan to change rates.

""The central bank has a mandate from the government to keep stability for the Lebanese pound and there is a necessity to keep interest rates stable,"" he told Reuters.

(Reporting by Lisa Barrington, additional reporting by Laila Bassam; Editing by Catherine Evans) 

Released: 2017-5-15T14:27:39.000Z"
INTERVIEW-Lebanon's  central bank  to provide further stimulus,2013-09-16,"BEIRUT, Sept 16 (Reuters) - Lebanon's central bank plans a further boost next year to an economy hit by war in neighbouring Syria and domestic turmoil, but the package will be smaller than this year's $1.46 billion, its governor said on Monday.

Riad Salameh said the stimulus plan had been vital to keeping Lebanon's economy growing at a rate which he estimated at between 2.0 and 2.25 percent this year, and additional support would be needed in 2014.

""But it will not be the same amount because we have to balance economic needs and the liquidity we are putting in the market,"" he said, pointing to the need to contain inflation and keep exchange and interest rates steady.

Lebanon's economy grew 8 percent a year between 2007 and 2010, but growth has been relatively sluggish since the collapse of a unity government and the start of Syria's uprising in 2011.

Tourism and construction, two mainstays of the economy, have both suffered from Syria's conflict and the spread of violence and political instability, which has scared off wealthy Gulf Arab tourists and some investors.

Salameh said about three quarters of this year's stimulus package, which included housing loans and support for renewable energy projects, had already been taken up.

The bank plans to roll over what has not yet been taken up and add more, although no decision would be taken before December, he said.

""If an increase is needed, bearing in mind our targets on inflation and the stability of the country, we will make that increase,"" he said, adding that he expected inflation this year would be under 4.0 percent, in line with the bank's target.

The Central Bank and Finance Ministry also agreed to extend the term of some loans, including those to small and medium-sized businesses, by three years, typically converting a seven-year loan into a 10-year loan, Salameh said.

POLITICAL PARALYSIS

The bank's active intervention has come about partly because of paralysis in Lebanon's government since the resignation six months ago of Prime Minister Najib Mikati.

His designated successor has been unable to assemble a cabinet, leaving Mikati's caretaker administration nominally in charge but unable to take day-to-day decisions.

""We feel that as long as the situation is not clear in Lebanon politically and security-wise, the Central Bank has to be pro-active to help the economy,"" said Salameh, a 20-year veteran as governor.

He said Lebanese banks, which have a strong regional presence, had cut their exposure to Syria from around $5 billion at the outbreak of the crisis in March 2011 to $1 billion, and could ride out unrest in Egypt and economic troubles in Cyprus.

""We do not expect any negative news impacting the banks in the rest of 2013 or in 2014 due to these crises,"" he said.

The Central Bank's foreign currency and gold reserves were enough to guarantee the stability of Lebanon's pound, which is pegged at close to 1,507.5 the dollar, he said, but public debt remains a concern.

State debt is now around 140 percent of GDP, a figure which had fallen in the years of fast growth but which could increase again, particularly after the country recorded a primary budget deficit last year for the first time since 2006, when Lebanese Hezbollah guerrillas fought a 34-day war with Israel.

""It is essential for Lebanon to have an acting government that can put in place the necessary measures so that this debt to GDP (ratio) will not increase further,"" he said. (Editing by Ruth Pitchford)

LEBANON-ECONOMY/ (PIX, TV) | ABN | D | E | RBN | GBN | GFN | M"
