title,date,text
"Central Bank  of Malta - Open day on the occasion of the anniversaries of the CBM, ESCB, ECB and Eurosystem",2008-06-02,"Release date - 28052008

In 2008 the Central Bank of Malta is celebrating its 40th anniversary while the European System of Central Banks (ESCB) and the European Central Bank (ECB) are commemorating their 10th anniversary.

Furthermore the euro and the Eurosystem will be ten years old on 1 January 2009.

The Central Bank of Malta 1968-2008

The establishment of a central bank in Malta was first recommended in January 1964 by a UN mission headed by Professor Wolfgang F. Stolper on the grounds that there were serious gaps in Malta’s financial infrastructure, particularly concerning advice to the Government on financial and monetary matters.

In response to this recommendation, the Maltese Government obtained technical advice from the Bank of England and the International Monetary Fund. In February 1967 a senior official of the Bank of England, Dr Philip L. Hogg, arrived in Malta to carry out the necessary organisational and legislative work. Legislation was enacted on 11 November 1967 and five months later, on 17 April 1968, the Central Bank of Malta was formally established. Dr Hogg became the first Governor of the Bank.

The operational history of the Central Bank of Malta until 2008 can be subdivided into three main periods (listed hereunder) which reflect the Bank’s evolution over the years from an organization carrying out central banking functions in the context of Malta’s fixed exchange rate regime to an institution which is now part of the Eurosystem, which sets and implements monetary policy in the fifteen countries of the euro area.

1968 - 1994

Following its establishment in 1968 the Central Bank of Malta focused mainly on the implementation of exchange rate policy, the management of the country’s reserves, the supervision of the banking system, the issue of currency and the provision of banking services to the government, public sector bodies and banks.

1994 - 2002

This period was marked by a notable change in the Bank’s policy orientation as part of an overall modernization of the financial services sector as reflected in the introduction of new legislation and an extensive revision to the existent laws. The Bank was granted greater autonomy for the formulation and implementation of monetary policy. A Monetary Policy Council was set up and the Bank launched its first open market operations with a view to shifting from a system of direct monetary controls and administered interest rates to a more market-oriented intervention and market-driven interest rates.

2002 - 2007

Malta’s preparations for European Union (EU) membership meant that the Bank had to adapt itself to a new environment in line with the country’s new commitments. The Bank was granted full independence to formulate and implement monetary policy. When Malta joined the EU the Bank became part of the ESCB. The Governor of the Bank began to sit on the General Council of the ECB and experts from the Bank became members of ESCB committees.

On 1 January 2008 Malta joined the euro area and the euro substituted the lira as Malta’s national currency. The Central Bank of Malta joined the Eurosystem and was integrated within the decision making bodies of the ECB. The Governor became a member of the Governing Council of the ECB and experts from the Bank started to participate in Eurosystem committees. The Central Bank of Malta Act was brought in line with Eurosystem requirements.

The ESCB and the ECB 1998-2008

The history of the ESCB and of the ECB is closely linked with the evolution of Economic and Monetary Union (EMU) in Europe.

On the basis of the Delors report the European Council, in 1989, decided that the first phase of EMU, which consisted of the dismantling of all internal barriers to the free movement of persons, goods, services and capital within Europe should start on 1 July 1990. At the same time negotiations began on the Treaty on the European Union, or the Maastricht Treaty, which was signed in 1992 and entered into force on 1 November 1993.

In January 1994 the second phase of EMU began with the creation of the European Monetary Institute (EMI). This phase covered the technical preparations for the introduction of the single currency, the control of excessive deficits and the achievement of convergence in the economic and monetary policies of participating Member States.

Following agreements on the Stability and Growth Pact and on a new exchange rate mechanism (ERM II), the Council of the European Union, in May 1998, decided that 11 EU Member States (Belgium, Germany, Spain, France, Ireland, Italy, Luxembourg, the Netherlands, Austria, Portugal and Finland) had met the convergence criteria to enable them to participate in the third and final stage of EMU and adopt the euro as their national currency.

In June 1998 the EMI was liquidated and the ECB was set up in Frankfurt am Main, Germany, under the presidency of Willem F Duisenberg. At the same time the ESCB, which comprises the ECB and the national central banks (NCBs) of all EU Member States, also began to function. The third stage of EMU commenced on 1 January 1999 with the introduction of the euro as the single currency in its virtual form. The concept of the Eurosystem was also introduced concurrently with the introduction of the euro. The Eurosystem is made up of the ECB and the NCBs of euro area Member States.

Greece joined the euro area in 2001 and, a year later, the euro banknotes and coins were put in circulation, making the single currency a reality to the European public. In 2003 Jean-Claude Trichet was appointed as President of the ECB. The euro area continued to expand with the inclusion of Slovenia in 2007 and Cyprus and Malta in 2008, bringing the total number of participating countries to 15.

Throughout their ten years of existence the ESCB and the Eurosystem had a major role in ensuring that Europe and, especially the euro area, benefited from stability in prices and interest rates, sustained GDP growth and low unemployment. They were also instrumental in safeguarding the integrity of the financial system and facilitating payment services in a world which has become more integrated. The euro has firmly established itself as a major currency.

Anniversary events

The ESCB is commemorating its 10th anniversary through various activities organized by the ECB in collaboration with the various NCBs. Among other activities the ECB has organized a series of Cultural Days in Frankfurt, covering a range of events involving artists from the various EU countries. The Central Bank of Malta has contributed to these Cultural Days in various ways, including the lending of paintings from its collection for an exhibition at the ECB’s premises and the co-financing with other NCBs of a concert. Staff members from the Bank have also participated in sports events which have been organized for ESCB employees.

Open Day

To mark the anniversaries, the Central Bank of Malta, in line with other EU NCBs, is holding an Open Day on Sunday 1 June 2008 from 09:00 to 12:30 at its main building in Pjazza Kastilja, Valletta. The public will have the opportunity to visit the Bank’s currency exhibition and the Bank’s Boardroom where various memorabilia are being displayed. Various information materials will also be distributed. A panel exhibition covering the history of the Bank as well as the history of EMU is also on display in the foyer.

[Editorial queries for this story should be sent to newswire@enpublishing.co.uk]"
Maltese Hoard Local  Currency  Ahead Of Switch To Euro -AFP   ,2007-12-29,"VALLETTA, Malta (AFP)--Some EUR466 million in Maltese liri is being hoarded in people's homes, Malta's bank chief said Saturday, just two days before the island nation enters the euro zone.   

Central bank governor Michael Bonello said one of the difficulties Malta had on its way to joining the euro was ""the high volume of money in circulation.""   

""However, from a high of EUR1.165 billion worth of Maltese liri in circulation in 2005, over EUR656 million have entered again into the system,"" he said.   

Joseph Zahra, chairman of the National Euro Changeover Committee, said he was satisfied even if ""sometimes there was tension in the Committee between representatives of the consumers and those of the retailers.""   

The  Central Bank of Malta said Friday it had cut its central intervention rate to 4.0% to complete the convergence of official rates in Malta to those in the eurozone area.   

The tiny Mediterranean island nations of Cyprus and Malta join the euro zone on Jan. 1, turning the single-currency area from a 13-country zone into a club of 15.   

Both have earned high marks from the European Commission for their preparations, aimed primarily at attracting new investment.   

The NECC has led a massive euro information campaign in Malta that has earned a ""best practice"" distinction from the European Union. It meant that euro assistants paid 21,000 visits to over 7,000 retail units to explain the changeover.   

The NECC administered the Fair Agreement In Retail Pricing, which compels retailers not to take advantage of the changeover to try and increase prices. [ 29-12-07 1535GMT ]"
Malta's  Central Bank  Cuts Rates To 4.0% On Eve Of Euro Entry   ,2007-12-28,"DOW JONES NEWSWIRES   

The  Central Bank of Malta cut its central intervention interest rate to 4.0% Friday, just ahead of the island nation's entry into the euro currency union.   

The rate cut, from 4.25%, completes the process of convergence of official interest rates in Malta with those of the euro area, Governor Michael Bonello said.   

Malta, along with Cyprus, will join the European Monetary Union Jan. 1.   

The European Central Bank's main refinancing rate is 4.0%.   

The Monetary Policy Advisory Council of the  Central Bank of Malta will be dissolved after Friday's meeting.   

The council also noted that Malta's economic growth continued to be strong while adding that inflation has accelerated on the back of higher food and oil prices. It also urged that fiscal policy be used to anchor macroeconomic stability.   

Malta faces general elections next year.   

-By Christopher Emsden, Dow Jones Newswires; +39-02-58-21-99-05; chris.emsden@dowjones.com [ 28-12-07 1151GMT ]"
INTERVIEW-Malta won't have to follow ECB if it hikes rates  ,2005-11-23,"VALLETTA, Nov 23 (Reuters) - Malta's central bank governor expects the European Central Bank to raise interest rates next week but said the island nation will not necessarily have to follow suit even though its currency is pegged to the euro.  

Michael Bonello, governor of the Central Bank of Malta, told Reuters in an interview that sustained economic growth could eventually enable the European Union's smallest member state to cut its own benchmark rate.  

He said Malta was committed to trimming its budget deficit and debt before joining the euro in 2008, but it was not clear whether the EU would block new members from adopting the currency if they failed narrowly to meet admission criteria.  

Bonello, without indicating any first-hand knowledge of the ECB's intentions, said he sensed the Frankfurt-based bank's Governing Council would tighten credit next week.  

""We now sense that the ECB is going to raise rates on the first of December,"" Bonello, 60, said on Tuesday.  

A 25-point rise in the ECB rate would leave a 100-basis-point gap with Malta's intervention rate, which the central bank raised in April by 25 basis points to 3.25 percent.  

But Bonello, who has led the central bank since 1999, said he did not think a narrowing of the gap would spark an outflow from Malta's lira, which has been pegged to the euro since May.  

""I don't think it will lower it by enough to make people think it is worth their while to go into a foreign currency.""  

Malta's central bank spent an estimated $300 million between September 2004 and March this year to support the lira before Malta fixed its currency at 0.4293 per euro.  

But Bonello said that since May, Malta's reserves had increased by more than 100 million Maltese liri (230 million euros), roughly offsetting the preceding outflow.  

""Corporate customers now feel confident enough to take out loans in euros, which means they believe the (exchange) rate will stick,"" said the Oxford-educated Bonello, who previously worked for a local brewer and as a U.N. diplomat.  

'REALM OF RIDICULE'  

Yields on Malta's 10-year bonds, at about 4.4 percent, have started converging on the euro rate of 3.0 to 3.15 percent.  

Bonello said any move to bring Malta's short-term rate in line with the ECB would depend on whether it could generate a ""sustainable recovery"" in growth, which could ease the current account and budget deficits and reduce borrowing requirements.  

""But we have to remember that we succeeded in bringing money back partly because it was more advantageous for people to invest in Maltese liri assets than in euro assets,"" he said.  

Bonello said Malta would not have to reduce rates gradually.  

""You can wait if necessary and then just do it all in one go. One hundred basis points by recent standards is a lot maybe, but it's not in absolute terms. It's not impossible,"" he said.  

Bonello said Malta had adopted the fiscal discipline needed for it to meet its goal of adopting the euro by 2008.  

Inflation, forecast by the government to rise to 3.1 percent in 2006 from 2.8 percent this year, has to be watched but will not necessarily be so high as to disqualify Malta from joining the euro as oil price rises also hit other countries, he said.  

Earlier this week, Prime Minister Lawrence Gonzi said oil-driven inflation could delay Malta's euro entry.  

Growth, however, will be crucial to Malta's aspirations to join the euro. The government forecasts modest GDP growth of about 1.5 percent this year, falling to 1.1 percent next year.  

""So if we make 1.1 percent growth, we are home and dry. If we make a little more, then it is a little easier. If not, we are in trouble,"" he said.  

Bonello said Europe's leaders would have to decide how strictly to apply the Maastricht criteria to the 10 new EU members seeking to join the euro. He noted that Slovenia, Lithuania and Estonia -- the three scheduled to join the euro first -- ""are tending to have high inflation"".  

""When they're having all these shenanigans with the Greeks, the Italians and everybody else, and the Portuguese, are they going to be sort of holier than thou and say, 'No, but you know it's got to be 3.0, it can't be 3.05 percent of GDP'?"" he said.  

""I think we would get into a realm of ridicule there. What's so magical about this three percent anyway?""  

But he added Malta must stick to its fiscal targets.  

""Credit rating agencies think that there are one or two notches that will come down if we meet the targets, and we are close enough,"" he said.  

ECONOMY-MALTA (INTERVIEW)|LANGEN|ABN|M|E|RBN|D|BNX"
ECB Sets  Intervention  Rates For New ERM  Currencies ,2005-05-02,"FRANKFURT (Dow Jones)--The European Central Bank Monday said it has set the compulsory intervention rates for the Cyprus pound, the Latvian lats and the Maltese lira after the three countries joined the European Exchange Rate Mechanism Friday.  

The ECB said the intervention rates will take effect as of Monday. [ 02-05-05 0705GMT ]  

The ECB said the intervention rates have been agreed by common accord between the ECB and the national central banks of Cyprus, Latvia and Malta.  

The ECB's euro central rates and compulsory intervention rates are unchanged for the Danish krone, Estonian kroon, Lithuanian litas, and Slovenian tolar.  

A table of the currency rates versus the euro, provided by the ECB, follows below:  


 
                      Upper Rate       7.62824 
Danish Krone          Central Rate     7.46038 
                      Lower Rate       7.29252 
 
                      Upper Rate      17.9936 
Estonian Kroon        Central Rate    15.6466 
                      Lower Rate      13.2996 
 
                      Upper Rate       0.673065 
Cyprus Pound          Central Rate     0.585274 
                      Lower Rate       0.497483 
 
                      Upper Rate       0.808225 
Latvian Lats          Central Rate     0.702804 
                      Lower Rate       0.597383 
 
                      Upper Rate       3.97072 
Lithuanian Litas      Central Rate     3.45280 
                      Lower Rate       2.93488 
 
                      Upper Rate       0.493695 
Maltese Lira          Central Rate     0.429300 
                      Lower Rate       0.364905 
 
                      Upper Rate     275.586 
Slovenian Tolar       Central Rate   239.640 
                      Lower Rate     203.694 
   

-By Klaus Brune and Oliver Biggadike, Dow Jones Newswires; +49-69-2972-5500; oliver.biggadike@dowjones.com. [ 02-05-05 0732GMT ]"
Maltese  central bank  cuts interest rates by 25 bp.  ,2003-09-26,"VALLETTA, Sept 26 (Reuters) - The Central Bank of Malta said on Friday it had lowered the central intervention rate by 25 basis points to 3.0 percent.  

Governor Michael C. Bonello decided to cut rates since reserves had been growing as foreign exchange flowed in and inflation had fallen.  

""The Central Bank's external reserves, which are a key indicator of the sustainability of the exchange rate peg, expanded in August and in September to date, reinforcing the underlying upward trend,"" the bank said after a Monetary Policy Advisory Council meeting.  

""This continued inflow of foreign exchange contributed to a further rise in financial market liquidity, leading to downward pressures on market rates.""  

It added that the decision to lower the official interest rate was supported by a recent further fall in annual inflation to 1.8 percent, below that of Malta's major trading partners.  

The Maltese pound is pegged to a basket of currencies dominated by the euro but which also includes the British pound and U.S. dollar.  

The bank cut its intervention rate to 3.25 percent on June 24."
Malta's Cenbank leaves offical rate unchanged. ,2003-08-27," VALLETTA, Aug 27 (Reuters) - Malta's Central Bank left its central intervention rate unchanged at 3.25 percent on Wednesday following a meeting of its Monetary Policy Advisory Council. 

 Governor Michael C. Bonello ""considered that the current interest rate level was consistent with the rationale underlying the bank's monetary policy,"" the bank said in a statement. 

 ""The stable trend in the external reserves and in domestic money market rates through August, and the relatively low level of inflation suggest that the prevailing interest rate differential in favour of the Maltese lira (pound) provides strong support to the exchange rate peg,"" it added. 

 The Malta pound is pegged to a basket of currencies dominated by the euro at 70 percent but which also includes the sterling and the U.S. dollar. The Central Bank had cut its intervention rate to 3.25 percent on June 24."
Malta  central bank  cuts official rate to 3.25 pct. ,2003-06-24," VALLETTA, June 24 (Reuters) - The Malta Central Bank said on Tuesday that it had lowered the central intervention rate by 25 basis points to 3.25 per cent. 

 The decision was made by Governor Michael C. Bonello at the end of a meeting of the Monetary Policy Advisory Council. 

 ""Recent developments in the relevant indicators have rendered a further cut in the central intervention rate compatible with the maintenance of the exchange rate peg. The Central Bank's external reserves expanded in May and remained stable going into June,"" the bank said. 

 At the same time, it said, the international economic environment continued to show signs of weakness, leading once again to downward revisions in growth forecasts and to lower official and market interest rates abroad. 

 The Malta pound is pegged to a basket of currencies dominated by the euro at 70 per cent but also including sterling and the U.S. dollar. The Central Bank of Malta in May reduced the central intervention rate by 25 basis points to 3.50 percent."
Malta's  central bank  keeps rates on hold. ,2003-03-27," VALLETTA, March 27 (Reuters) - The Central Bank of Malta said on Thursday it had left its central intervention rate unchanged at 3.75 percent. 

 The bank said in a statement that despite the fall in domestic money-market rates and interest rates overseas, it had opted to leave rates on hold following the monthly meeting of its Monetary Policy Advisory Council. 

Central Bank Governor Michael Bonello considered that ""the support provided to the exchange-rate peg by the premium on the Maltese lira at its current level was appropriate, given the financial market volatility abroad and the current climate of uncertainty,"" the statement said. 

 A likely further weakening of Malta's main export markets due to the war in Iraq had clouded medium-term prospects for the balance of payments, it said. 

Foreign exchange reserves, key to the sustainability of the Maltese pound (lira's) exchange-rate peg, increased at a slower pace during the first quarter of 2003 than in the previous period, it said. The Maltese pound is pegged to a basket of currencies composed of the euro (weighted at 70 percent), the pound sterling (20 percent) and the US dollar (10 percent). 

 The bank last adjusted its key interest rate in December, when it was reduced by 25 basis points."
Malta leaves official interest rates unchanged. ,2003-02-20," VALLETTA, Feb 20 (Reuters) - The Central Bank of Malta on Thursday left its central intervention rate unchanged at 3.75 percent following the monthly meeting of its Monetary Policy Advisory Council. 

 Bank governor Michael Bonello considered the decision was appropriate in the current global climate of growing uncertainty, as manifested in declining consumer confidence and business sentiment world-wide, it said. 

 ""Money market rates abroad fell, leading to an increased premium on the Maltese lira, which gave additional support to the exchange rate peg,"" it said. 

 Domestically, the Central Bank's external reserves resumed growth in January and into February, suggesting an absence of downward pressures on the exchange rate peg. 

 The Maltese pound (lira) is pegged to a basket of currencies composed of the euro at 70 per cent, the pound sterling at 20 percent and the U.S. dollar at 10 percent. 

 The bank also noted that its reduction of official interest rates in December had been transmitted to retail bank lending and deposit rates. The bank in December reduced the central intervention rate by 25 basis points to their current level."
