title,date,text
DJ Dollar Steady Against Yen as China Data Helps Spur Risk Appetite,2013-05-08,"--Dollar hovers near Y99

--Strong Asian shares, Chinese data lift risk appetite

--New Zealand dollar takes hit after RBN governor talks of intervention

By Alexander Martin

The dollar hovered around the Y99 level during Asian trading Wednesday, as strong Japanese share prices and better-than-expected Chinese data helped lift risk appetite.

Asian stock markets rallied on the back of a fresh record high Tuesday for the Dow Jones Industrial Average, with the Nikkei Stock Average up 1.4% at midday.

""Strong Asian share prices have helped lift the dollar/yen after it fell toward the mid Y98 level earlier in the session,"" said Kengo Suzuki, forex strategist at Mizuho Securities in Tokyo. But as the Nikkei began paring some of its earlier gains in afternoon trading, the dollar also seemed to be edging lower aginst the yen, he added.

As of 0450 GMT, the dollar was at Y98.96 from Y99.00 in late New York trading Tuesday. It briefly climbed to Y99.16, having fallen as low as Y98.63 earlier in the morning.

Traders and analysts said a large amount of selling orders around Y99.50 will serve as a heavy cap on the pair, and it may take some time before the dollar can breach the key Y100 level.

""Both the upside and downside of the dollar/yen appear limited. Another dose of strong U.S. data may be necessary to lift the pair higher,"" said Minori Uchida, chief analyst at the Bank of Tokyo-Mitsubishi UFJ. He said next week's U.S. retail sales data would be closely watched for cues.

Junichi Ishikawa, market analyst at IG Securities in Tokyo, said that while better-than-expected U.S. labor market data last week saw the dollar rally, it wasn't enough to clear all uncertainty over a U.S. economic recovery.

""The market is probably assuming it can embark on further dollar buying after the release of major economic indicators from next week onwards,"" he said.

Stronger-than-expected Chinese trade data also helped lift risk appetite, pushing up the Australian dollar, which fell Tuesday after the Reserve Bank of Australia lowered its benchmark interest rate.

China posted an $18.16 billion trade surplus in April, higher than a median forecast of $15.55 billion in a Dow Jones Newswires survey of economists. The Australian dollar climbed to $1.0194 from $1.0172 after the release of the data. As of 0450 GMT it was at $1.0187 from $1.0185, while the euro was at $1.3094 from $1.3079, and Y129.59 from Y129.48.

The New Zealand dollar fell after Reserve Bank of New Zealand Gov. Graeme Wheeler reportedly said the central bank sold the Kiwi to weaken it and is capable of doing so again to protect economic growth.

The Wall Street Journal Dollar Index, which measures the dollar against a basket of currencies, was at around 73.648 from 73.678.

Interbank Foreign Exchange Rates At 0150 EDT / 0450 GMT 


                             Latest       Previous   %Chg    Daily    Daily   %Chg 
   Dollar Rates                             Close             High     Low    12/31 
   USD/JPY Japan            98.94-95       98.98-09  -0.06    99.14    98.66 +14.06 
   EUR/USD Euro            1.3093-94      1.3077-80  +0.11   1.3097   1.3074  -0.77 
   GBP/USD U.K.            1.5479-82      1.5482-87  -0.03   1.5489   1.5472  -4.71 
   USD/CHF Switzerland    0.9398-402      0.9401-06  -0.04   0.9411   0.9400  +2.71 
   USD/CAD Canada          1.0048-52      1.0041-50  +0.04   1.0054   1.0044  +1.24 
   AUD/USD Australia       1.0185-88      1.0183-87  +0.02   1.0192   1.0156  -1.99 
   NZD/USD New Zealand    0.8394-400      0.8454-60  -0.71   0.8464   0.8362  +1.44 

Euro Rate 


   EUR/JPY Japan           129.54-56      129.46-50  +0.05   129.80   129.00 +13.19 

Source: ICAP PLC

Write to Alexander Martin at alexander.martin@dowjones.com

(END) Dow Jones Newswires

May 08, 2013 01:44 ET (05:44 GMT)

(END) Dow Jones Newswires

08-05-13 0641GMT"
DJ  Central Banks in Asia Boost Efforts to Deal with 'Hot Money' Flows-3-,2013-05-08,"HONG KONG--Central banks in Asia, Australia and New Zealand are ratcheting up moves to deal with an influx of capital that is keeping currencies strong and complicating efforts to manage growth.

New Zealand's central bank said Wednesday it intervened in foreign-exchange markets to blunt the rise of its currency and would continue to do so, a day after Australia's central bank cut interest rates to their lowest level ever and noted the stubborn strength of the Australian dollar. Elsewhere, China is moving to curb bets on the rising yuan while Thailand is mulling effects to curb the strongest level of the baht since the 1997 Asian financial crisis.

Driving the surging flows of capital to the region are the ultra-loose monetary policies of the developed world that have forced interest rates to near zero, leading investors to look for higher-yielding assets such as those offered in Asia. Last week's interest-rate cut by the European Central Bank added to continuing operations by Japan and the U.S. that are pumping capital into the global financial system. The recent pickup in China's currency gains against the dollar has also attracted speculators inside and outside China to dive into yuan, putting pressure on policy makers there to stem the inflows.

""Asia is still where the growth is, relatively speaking. It's quite clear where their [investors'] money will go. Asia is benefiting from that front,"" said Craig Chan, foreign-exchange analyst for Nomura in Singapore.

Data from provider EPFR Global show that investors have added nearly $8 billion to Asian emerging-market bond mutual funds so far this year, similar in size to the strong growth of capital inflows that occurred in 2010. A World Bank analysis of flows to emerging markets globally showed an increase through April of 42% over the year earlier, to $64 billion.

Another measure: Asia's central banks are again scooping up capital inflows and putting them into foreign-currency reserves. World Bank data show developing Asian economies have added $120 billion in foreign-exchange reserves so far this year to bring total reserves to nearly $4.3 trillion.

While attracting investment from overseas is often a good thing, left unchecked, inflows strengthen local currencies, which causes countries' goods to become less competitive on the global market. In addition, government policy makers worry, money that arrives quickly can leave just as fast, destabilizing local banking, stock and currency markets.

""The dilemma these central banks face is they could respond to inflows by cutting interest rates...but in some economies you have overheating risks and asset bubbles"" that would be made worse with easier monetary policy, said Stephen Schwartz, economist for BBVA in Hong Kong.

Philippines, which recently was upgraded to investment-grade status by two ratings companies, has been fighting hot money inflows with several measures, including making it easier for locals to take money abroad and lowering a deposit rate for banks that do cross-border business.

The effect in Asia isn't uniform, as the U.S. dollar has had broad strength globally. Some countries, such as India and Indonesia, have seen their currencies stay weak in reaction to trade deficits. Compared to 2010, when Asian central banks routinely intervened in currency markets, this year has been less dramatic.

China moved Sunday to stanch upward pressure on its currency by forcing banks and exporters to sell yuan in favor of dollars. Regulators also issued a warning to exporters, which have been suspected of sneaking money into the country through accounting maneuvers related to the invoicing of goods. The moves are meant to dissuade Chinese banks and investors from trying to speculate on the strengthening of the yuan against the dollar.

Thailand's central bank has been under pressure from the government to intervene aggressively to tamp down the strength of the baht. The central bank issued a statement on April 30 noting that the ""rapid appreciation"" of the baht was ""not justified by economic fundamentals."" The bank promised to work with the government on measures to respond. No official disclosures have been made, but analysts expect either a rate cut or other moves to stem capital inflows.

Nearby, the Philippines has also cut rates on certain deposits last month to slow so-called hot money flows.

So far, though, the moves haven't made much of a dent in these strong currencies. While Australia's central bank on Tuesday cut interest rates for the seventh time since late 2011, the Australian dollar has fallen only about two cents against its U.S. counterpart over that time period.

Buoying the Australian dollar has been strong demand from overseas investors. More than 70% of Australian government bonds are held offshore--double the level in foreign hands a decade ago.

In nearby New Zealand, the head of the central bank said the bank has intervened in currency markets to slow the appreciation of its currency but admitted there was only so much it could do.

""We would not expect, given the strength of the flows, that intervention would materially change the level of the exchange rate, but we could take potentially the tops off rallies,"" said Graeme Wheeler, governor of the Reserve Bank of New Zealand.

--Rebecca Howard and Rachel Pannett contributed to this article.

Write to Alex Frangos at alex.frangos@wsj.com.

(END) Dow Jones Newswires

08-05-13 1323GMT"
DJ New Zealand Dollar Steadies; Euro Climbs On Strong German Data,2013-05-08,"-- New Zealand dollar steadies after RBNZ intervention admission triggers losses overnight

-- Euro rallies after German industrial production rose in March economists had expected a decline

-- Norwegian, Polish central bank rate decisions due later Wednesday

By Jessica Mead

The New Zealand dollar settled near its weakest levels for the month Wednesday after suffering heavy losses overnight on the Reserve Bank of New Zealand's admission it had intervened to prevent further currency strength, while the euro rallied after better-than-expected German industrial production data.

The New Zealand dollar, or Kiwi, had tumbled almost a cent against the U.S. dollar in Asian trading hours to $0.8361 after RBNZ Governor Graeme Wheeler said the central bank had stepped into the currency market and would do so again to contain the currency, which has risen about 10% over the past year against a basket of major currencies. Given the recent strong performance of the Kiwi, market participants believe the interventions were small in size.

""The takeaway from the RBNZ is that its pain thresholds for New Zealand dollar appreciation have been reached, and the central bank is prepared to step up its resistance by threatening rate cuts and intervention, in our view,"" said strategists at Credit Suisse in a note to clients.

In European hours, the Kiwi stabilized at around the $0.84 level with currency strategists skeptical that this has marked the start of more frequent interventions, citing Mr. Wheeler's comments that the central bank would expect to take the tops off rallies rather than materially change the exchange rate.

""I don't think we are going to see [the New Zealand dollar] tumble further. People have been buying the currency for diversification purposes, for yield. And as long as they are in that mindset, then they will still be buying it,"" said Jane Foley senior currency strategist at Rabobank in London, adding that it appears the central bank just wants to take the edge off the currency's gains.

The euro notched up gains after German March industrial production rose 1.2% on the month, confounding expectations for a 0.2% decline. The common currency rallied to as high as $1.3148 against the dollar and nudged briefly back above Y130 against the yen.

The figures are the second successive positive surprise for the economy, following Tuesday's publication of much stronger-than-expected manufacturing orders for March.

In the session ahead, few data releases are scheduled and the focus will be on the Polish and Norwegian central bank rate decisions.

The Polish rate decision is usually announced around 1100 GMT and most economists think the Polish central bank will leave borrowing costs unchanged at 3.25% after the half-point cut in March. Some, however, are calling for a quarter-point cut and others, such as Barclays, are expecting another half-a-point cut.

The Norwegian decision is due at 1200 GMT. It is widely expected that the Norges Bank will keep rates on hold at 1.5% for the seventh consecutive meeting, although some economists anticipate the bank mirroring the recent rate cut by the European Central Bank.

At 1017 GMT, the euro was trading at $1.3139 against the dollar, compared with $1.3079 late Tuesday in New York, according to trading system EBS. The dollar was at Y98.94 against the yen, compared with Y99.00, while the euro was at Y129.96 compared with Y129.47. Meanwhile, the pound was trading at $1.5502 against the dollar, compared with $1.5485 late Tuesday in New York.

The Wall Street Journal Dollar Index, which tracks the dollar against a basket of currencies, was trading at 73.514, compared with 73.678 late Tuesday in New York.

A summary of key levels for chart-watching technical strategists is below: 

Forex spot:       EUR/USD    USD/JPY    GBP/USD    USD/CHF 
Spot 1018 GMT     1.3136     98.94      1.5501     0.9389 
3 Day Trend       Range      Bearish    Bearish    Bullish 
Weekly Trend      Bullish    Range      Bullish    Range 
200 day ma        1.3041     89.03      1.5625     0.9345 
3rd Resistance    1.3220     99.95      1.5556     0.9458 
2nd Resistance    1.3180     99.45      1.5540     0.9437 
1st Resistance    1.3160     99.16      1.5525     0.9420 
Pivot*            1.3093     99.09      1.5494     0.9403 
1st Support       1.3104     98.63      1.5447     0.9360 
2nd Support       1.3087     98.40      1.5429     0.9340 
3rd Support       1.3070     97.95      1.5405     0.9313 
Forex spot:       EUR/NZD 
Spot 1018 GMT     1.5654 
3 Day Trend       Bullish 
Weekly Trend      Bullish 
200 day ma        1.5735 
3rd Resistance    1.5770 
2nd Resistance    1.5735 
1st Resistance    1.5700 
Pivot*            1.5453 
1st Support       1.5588 
2nd Support       1.5569 
3rd Support       1.5503 
 
 

Nina Adam iand Dow Jones Technical Strategist Francis Bray contributed to this article.

Write to Jessica Mead at jessica.mead@dowjones.com

(MORE TO FOLLOW) Dow Jones Newswires

08-05-13 1126GMT"
DJ   New Zealand Central Bank  Admits  Currency Intervention ,2013-05-08,"WELLINGTON--New Zealand's central bank said it had intervened in foreign currency markets and would do so again if needed to contain a soaring local currency that's dragging on tourism and denting the competitiveness of the nation's agricultural exports.

The remarks, by Reserve Bank of Australia Governor Graeme Wheeler, sent the Kiwi tumbling nearly a cent lower to US$0.8361 from US$0.8460 on Wednesday. The governor also said the Kiwi was ""overvalued... perhaps significantly,"" signaling the currency's high level remained a concern.

The New Zealand dollar has risen about 10% in the past year against a basket of major currencies. Official data already shows the central bank has actively intervened by selling New Zealand dollars in recent months, but the Reserve Bank until now hasn't explicitly called it an intervention.

""We've indicated on the record that we are prepared to intervene in the exchange rate,"" Mr. Wheeler said in a testimony to lawmakers. ""We would not expect, given the strength of the flows, that intervention would materially change the level of the exchange rate, but we could take potentially the tops off rallies. And in terms of activity, there has been some.""

In December, the central bank sold nearly NZ$200 million in the most significant sale in nearly four years, official data show. The pace of its sales slowed early this year, with the central bank selling only NZ$28 million in the first three months of the year combined. The Reserve Bank is due to release foreign currency transaction data for April later this month and some analysts say the intervention may have gathered pace again.

""Activity may have picked up very recently,"" Gareth Berry, a currency strategist at UBS said. He added that Mr. Wheeler's remarks Wednesday didn't look like the start of an ""aggressive foreign exchange intervention campaign.""

Bank of New Zealand economist Stephen Toplis said the market reaction Wednesday was a ""storm in a teacup,"" adding that the central bank was likely to continue selling small amounts of its reserves ""as part of their normal operations"" whenever the local currency rose sharply.

Write to Rebecca Howard at rebecca.howard@wsj.com

(END) Dow Jones Newswires

08-05-13 0722GMT"
New Zealand  Dollar Down Late as RBNZ Governor Mentions  Intervention ,2013-05-08,"WELLINGTON--The New Zealand dollar was lower late Wednesday following Reserve Bank of New Zealand Governor Graeme Wheeler's confirmation of some currency ""intervention,"" but moves were pared by traders who decided it was more leaning than intervention.

The New Zealand dollar fell sharply to US$0.8361 around 0050 GMT from about US$0.8460 after Mr. Wheeler told a parliamentary committee that ""we've indicated on the record that we are prepared to intervene in the exchange rate. We have also indicated that we would not expect, given the strength of the flows, that intervention would materially change the level of the exchange rate, but we could take potentially the tops of rallies. And in terms of activity, there has been some.""

However, the sharp fall was somewhat reversed as market players mulled over the news and decided it wasn't significant intervention in the market but only the central bank's ongoing policy to lean against the currency.

The central bank has been ""steadily selling small amounts of the New Zealand dollar against notably the U.S. dollar,"" said ANZ Senior FX Manager Sam Tuck. ""We haven't got the April number but we don't expect it to be much larger than any of the prior months.""

In December the central bank sold 199 million New Zealand dollars after selling NZ$64 million in November. The two sales marked the first significant moves by the central bank since mid-2008.

The central bank has also been grappling with an elevated Kiwi--up around 10% in the past year on a trade-weighted index basis--that is making it more difficult for companies in the country, which mostly exports agricultural products, to compete in global markets.

At 0530 GMT, the New Zealand dollar was trading around US$0.8398 compared with US$0.8497 late Tuesday. It was at A$0.8248 late in New Zealand from A$0.8337 late Tuesday.

Earlier Wednesday Mr. Wheeler said at the release of the Financial Stability Report that the New Zealand dollar was ""over valued... perhaps significantly"" and that it could continue appreciating which is a ""significant concern.""

The New Zealand April 2015 government bond fell 1 basis points to end at 2.45% and the April 2023 bond was unchanged at 3.20%.

Write to Lucy Craymer at lucy.craymer@wsj.com [ 08-05-13 0556GMT ]

1062 20711 4171"
DJ  FX  CHAT:  New Zealand central-bank intervention  likely small -TD,2013-05-08,"RBNZ Gov. Wheeler revealing there's been ""some intervention"" by the central bank to lower the New Zealand dollar prompts TD to look back at past intervention statements, and the investment bank concludes the conditions aren't there for policy makers to step into the market in a big way--as it did in 2007 (an intervention that had little lasting effect). Earlier this year, Wheeler said the kiwi would need to be ""exceptionally"" overvalued for the central bank to intervene, but in testimony today, he called the currency only ""significantly"" out of alignment. ""We doubt [the intervention] is as massive as 6 years ago,"" says TD. The kiwi is at US$0.8386, versus US$0.8459 late Tuesday, according to CQG. (matthew.walter@dowjones.com; @mbwalter4)

(END) Dow Jones Newswires

May 08, 2013 10:10 ET (14:10 GMT)"
FX  CHAT:  New Zealand central-bank intervention  likely small -TD,2013-05-08,"RBNZ Gov. Wheeler revealing there's been ""some intervention"" by the central bank to lower the New Zealand dollar prompts TD to look back at past intervention statements, and the investment bank concludes the conditions aren't there for policy makers to step into the market in a big way--as it did in 2007 (an intervention that had little lasting effect). Earlier this year, Wheeler said the kiwi would need to be ""exceptionally"" overvalued for the central bank to intervene, but in testimony today, he called the currency only ""significantly"" out of alignment. ""We doubt [the intervention] is as massive as 6 years ago,"" says TD. The kiwi is at US$0.8386, versus US$0.8459 late Tuesday, according to CQG. (matthew.walter@dowjones.com; @mbwalter4) [ 05-08-13 1010ET ]

1085"
UPDATE 2-RBNZ  intervened  to curb NZD as global flood of money raises economic risks,2013-05-08,"* RBNZ confirms has intervened to lower NZ dollar

* Market participants expect biggest NZD selling since mid-2007

* Analysts: Intervention to have limited impact on NZD strength

(Adds comment, details)

By Gyles Beckford and Naomi Tajitsu

WELLINGTON, May 8 (Reuters) - New Zealand's central bank confirmed selling its own currency for only the second time since the ""kiwi"" was floated in 1985, reflecting concerns that a flood of global money could undermine a budding economic recovery.

The Reserve Bank of New Zealand usually keeps intervention quiet, and its rare admission came after the currency surged to 20-month highs of $0.8676 last month, undercutting exporters and pressuring an economy finding its feet after devastating earthquakes in Christchurch in the last two years.

The intervention demonstrated the widespread unease among smaller economies over the impact of massive monetary expansionary campaigns in the United States and Japan.

""There has been intervention ... We've indicated on the record that we are prepared to intervene in the exchange rate,"" Governor Graeme Wheeler told a parliamentary committee on Wednesday.

On Tuesday, the Australian central bank, also grappling with a high-flying currency, cut interest rates to a record-low 2.75 percent.

The Australian dollar is not far from 28 year peaks when measured against a basket of currencies, which is ""unusual given the decline in export prices and interest rates,"" Reserve Bank of Australia Governor Glen Stevens said.

The kiwi has surged to similarly uncomfortable levels.

In April, when traders suspect the RBNZ conducted its latest intervention, the kiwi's trade-weighted index, the currency measure closely followed by the central bank, rose to 79.39, a record for the free float era.

During the last quarter of 2012 the New Zealand economy grew at its fastest pace in three years. It is expected to show annual growth of about 3 percent for the next couple of years, led by improving domestic demand and the rebuild of earthquake damaged Christchurch.

The high currency, however, is putting pressure on exporters' earnings.

Wheeler's comments helped drive down the New Zealand dollar

more than half a U.S. cent to a session low, but it is still hovering near a post-float high around $0.8850 hit in August 2011.

And market participants believe the intervention by the RBNZ would do little to weaken the kiwi, which is the 10th most traded currency in global markets.

Wheeler admitted as much: ""We've also indicated that we would not expect the strength of the flows from intervention to materially change the exchange rate, although it could potentially take the top off (currency strength).""

The message was not lost on the currency market.

""What he's doing is talking about tools and waving a stick as the currency goes,"" said Alex Sinton, director, institutional FX, global markets at ANZ.

ATTRACTIVE YIELDS

Currency diversification by sovereign investors and the wall of money unleashed by massive monetary easing campaigns by major central banks have driven the ""kiwi"" higher.

Investors are drawn to its attractive yields, with the central bank expected to raise interest rates from a record low of 2.5 percent in the next year.

New Zealand's 10-year bond is currently trading around 3.2 percent, compared with a yield of 1.78 percent for its U.S. Treasury counterpart.

Wheeler told the committee the currency may appreciate more if investors expected the country's economy to outperform, raising expectations of higher rates.

The central bank's latest balance sheet, which covers transactions through March, shows scant selling of New Zealand dollars from the bank's reserves during the first three months of the year, after it sold a net NZ$199 million in December.

Market participants said that while the RBNZ's selling in April would be higher than the December amount, it would not be on the scale of the RBNZ's last major confirmed intervention in June-July 2007, when it sold a total of NZ$2.2 billion to stem kiwi strength.

The central bank has appeared to have sold the currency sporadically since then, but Wednesday's confirmation was only the second time the RBNZ has declared its hand since 2007.

""The RBNZ is playing a similar game to many other central banks in attempting to weaken or at least prevent strength in their currencies,"" analysts at Credit Agricole CIB said in a note. ""The bottom line is that more smoothing is likely but a significant push to change NZD direction is highly unlikely.""

(Reporting by Gyles Beckford; Editing by Shri Navaratnam)

NEWZEALAND-ECONOMY/RBNZ  (UPDATE 2) | ABX | BNX | FUN"
"Dollar significantly overvalued, hurting exporters - NZMEA",2013-05-08,"The Reserve Bank of New Zealand (RBNZ) has admitted to intervening in currency markets responding to the appreciation of our currency, say the New Zealand Manufacturers and Exporters Association (NZMEA).

NZMEA Chief Executive John Walley says, ""It is good to see the RBNZ make some moves to lower our currency, but they can do much more than ""take the top off the rallies"". The sharp drop in the currency across the board shows just what action from a central bank can do. If the RBNZ were to commit to a more long term set of actions to bring down the currency, we would see a sustained effect on the dollar. This could be achieved through a co-ordinated mix of currency intervention, monetary policy and other macro-prudential tools.""

""We consistently reference the example for the Swiss  Central Bank(""http://www.realeconomy.co.nz/206-rbnz_lessons_from_the_swiss.aspx"") using the infinite capacity of a central bank to place and enforce a currency ceiling.""

""The Reserve Bank of Australia (RBA) has also cut a further 25 basis points off its cash rate to a record low 2.75%. They are taking action against the appreciation of their currency.""

""Much of Australia's recent economic success has been built on the back of their strong natural resource based businesses. Now their exporting sector is struggling, largely due to strength of their currency.""

""Why is this important for New Zealand? Australia has been a bright spot for exporters in recent times; meaning businesses exporting to Australia for Australian consumption have been doing okay, compared to those selling into the U.S and Europe. The RBA takes action to lower the pressure on the AUS$ and places upwards pressure on the NZ$; this will hurt New Zealand exporters.""

""We are pleased to see the Reserve Bank of New Zealand (RBNZ) commit to putting new tools into place for increasing reserves for high Loan to Value Ratio loans as well as some currency intervention.""

""Even so, our dollar remains significantly overvalued, hurting exporters."""
UPDATE: NZ  Central Bank  Threatens  Intervention  to Curb Kiwi,2013-02-20,"WELLINGTON--New Zealand's central bank threatened to take steps to weaken the local currency, as its strength makes it increasingly difficult for the tiny exporting nation to compete in global markets.

Reserve Bank of New Zealand Gov. Graeme Wheeler said Wednesday the New Zealand dollar is ""significantly over-valued,"" and the central bank will intervene in foreign exchange markets ""when the circumstances are right"". He also said the central bank could use the country's cash rate as a tool to apply downward pressure on the currency.

Currency levels have become a politically charged issue globally as aggressive monetary policy steps taken by central banks, including the Federal Reserve and Bank of Japan, have contributed to a sharp appreciation in currencies such as the New Zealand and Australian dollars as foreign investors seek out higher-yielding assets.

New Zealand's economy is far from a global powerhouse, but its currency plays an outsize role in the daily foreign-exchange market as one of the 10 most-traded currencies in the world, according to the Bank for International Settlements. In 2010, the kiwi accounted for about 1.6% of global foreign-exchange daily turnover.

So far in 2013, the kiwi, as it is commonly called, has gained around 1.7%. That makes it one of the best performers among Group of 10 nations when compared with the U.S. dollar. Part of its appeal is that the central bank has kept its benchmark interest rate at 2.5%, attracting yield-hungry investors.

Manufacturers and exporters have been lobbying the government to take action as the kiwi's strength undermines the competitiveness of the country's crucial farm exports. Dairy products account for a quarter of the nation's annual exports, valued at around 46 billion New Zealand dollars (US$39 million). Exporters have said that for every 1% increase in the exchange rate, exporters lose around NZ$200 million annually.

The kiwi tumbled following Mr. Wheeler's remarks, made at a gathering of exporters in Auckland, and was trading at US$0.8411 at 0438 GMT versus US$0.8469 before the speech.

Still, some analysts were skeptical about whether Mr Wheeler would follow through on his tough rhetoric.

Annette Beacher, the Singapore-based head of Asia-Pacific research for TD Securities, said Mr. Wheeler is ""toothless tiger"" and ""highly unlikely"" to cut the cash rate or directly intervene in the currency. Neither move would have much impact on the kiwi, she added.

Policymakers pledged during a weekend meeting of Group of 20 industrial and developing nations in Moscow to ensure that monetary policy is focused on price stability and growth, rather than on weakening currencies, as countries globally try to devalue their currencies because of falling global trade.

""There are no simple solutions available to the Reserve Bank on the exchange rate challenges we face,"" Mr. Wheeler said.


 
   Write to Rebecca Howard at rebecca.howard@wsj.com 
 

[ 20-02-13 0624GMT ]"
