title,date,text
"UPDATE 1- Currency intervention  costly and inefficient,  Norway  c.bank chief says",2023-05-09,"(Updates with comment on currency intervention, quote)

OSLO, May 9 (Reuters) -

Currency market intervention is costly and unlikely to be an efficient policy tool over time, Norway's central bank Governor Ida Wolden Bache told a hearing in parliament on Tuesday.

""Historical experience... shows that currency interventions to secure a certain level of the currency are costly and not very efficient over time,"" Bache said.

Norway's floating currency exchange rate allows the country to set policy interest rates at levels that are the most appropriate for the economic outlook, she said.

Norges Bank

last intervened

in the currency market to support the crown in March 2020 to counter a slump during the early stage of the COVID-19 pandemic.

Bache reiterated that Norges Bank's currency transactions on behalf of the government and the sovereign wealth fund are not part of the country's monetary policy. (Reporting by Terje Solsvik, editing by Anna Ringstrom) 

Released: 2023-5-9T10:05:35.000Z"
FOREX -Yen rallies after Japan  intervenes  with first support since 1998,2022-09-22,"

        * 
      ""We have taken decisive action,"" says Japan's Kanda 
    

        * 
      Dollar still up 23% despite Japan intervention
    

        * 
      Sterling, Swiss franc, Norway's crown slide after rate hikes 
    

        * 
      Dollar hits new multi-year high vs sterling, euro
    

  
 (New throughout, updates prices, market activity and comments)
    By Gertrude Chavez-Dreyfuss and Alun John
       NEW YORK/LONDON, Sept 22 (Reuters) - The Japanese yen soared across the board on Thursday after
monetary authorities intervened in the foreign exchange market to boost the battered currency for the first
time since 1998, although analysts said Japan may struggle to keep the yen strong.
    The dollar was last down 1.2% at 142.33 yen. It hit a low of 140.31 after the intervention,
having earlier reached a fresh 24-year peak of 145.9 yen. The spread between the day's high and low for the
pair was the widest since June 2016. 
    North American traders cautiously pushed the dollar higher against the yen after Japan stepped in, but
for now, few are challenging Japan's action.
        ""The market is nervous,"" said Steven Englander, head of global G10 FX research and North America
macro strategy at Standard Chartered in New York. 
  
        ""There is a risk that Japan becomes a permanent presence in the market for intervention to be
successful. Not that Japan has to step in everyday, but the market has to be afraid of intervention,"" he
added.
  
    The euro, pound, Swiss franc, the Australian and New Zealand dollars, among others, also plunged against
the yen. 
    ""We have taken decisive action,"" Japan's Vice Finance Minister for international affairs Masato Kanda
told reporters, responding in the affirmative when asked if that meant intervention.
    Confirmation of the intervention came just hours after the BOJ decided to maintain low interest rates to
support the country's fragile economic recovery.
    BOJ Governor Haruhiko Kuroda told reporters the central bank could hold off on hiking rates or changing
its dovish policy guidance for years.
    In contrast, central banks around the world, most notably the Federal Reserve, are raising rates
aggressively and the policy divergence has weighed on the yen. 
    However, analysts said Japan can't keep propping up the currency on a sustained basis.
    ""Over the next three to six months or possibly even longer, as long as those diverging paths of monetary
policy are still in place and those differences persist, you'll continue to see a weaker yen,"" said Brendan
McKenna, international economist and FX Strategist at Wells Fargo Securities. 
    Even after Thursday's moves, the dollar is still up 23.6% against the yen so far this year, on track for
its largest yearly percentage gain in 43 years.
    CENTRAL BANK BONANZA 
    In a busy day for markets, the pound pared the small advance it had made in London trading after the
Bank of England raised interest rates by 50 basis points. 
    The hike was in line with expectations, although markets had been pricing in a small chance of a larger
75 bp move. 
    Sterling was last down 0.2% at $1.1251, not too far from a fresh 37-year low of $1.1213, hit in
Asia trading. 
    The euro was little changed at $0.9832, recovering from a new 20-year trough of $0.9807 hit
earlier in the global session.
    The dollar index, which measures the greenback's value against a basket of six  major currencies,
slipped 0.1% to 111.32, sliding from a 20-year high of 111.81 hit early in the day following the conclusion
of the Fed's policy meeting on Wednesday. 
     The Fed issued new projections showing rates peaking at 4.6% next year with no cuts until 2024. It
raised its target interest rate range by another 75 basis points (bps) overnight to 3%-3.25%, as widely
expected. 
    The dollar was already supported by demand for safe-haven assets after Russian President Vladimir Putin
announced on Wednesday he would call up reservists to fight in Ukraine.
    Separately, the Swiss franc tumbled after Switzerland's central bank raised rates by 75 bps, when some
had talked up the possibility of a full percentage point move. 
    The dollar and euro both climbed roughly 1.2% against the franc, with the greenback last at 0.9783
francs and the euro at 0.9619 francs. 
    The Norwegian crown eased against the euro and dollar after the country's central bank hiked interest
rates by an expected 50 bps, and signalled a more gradual approach to tightening ahead. 
    The euro was last up 0.5% at 10.2203 crowns, while dollar rose 0.3% to 10.3955.
        ========================================================
    Currency bid prices at 3:04PM (1904 GMT)
 Description      RIC         Last           U.S. Close  Pct Change     YTD Pct       High Bid    Low Bid
                                              Previous                   Change                   
                                              Session                                             
 Dollar index                 111.2800       111.4700    -0.15%         16.325%       +111.8100   +110.4600
 Euro/Dollar                  $0.9835        $0.9838     -0.01%         -13.47%       +$0.9908    +$0.9807
 Dollar/Yen                   142.4400       144.1050    -1.16%         +23.72%       +145.8900   +140.3100
 Euro/Yen                     140.09         141.73      -1.16%         +7.50%        +143.7000   +138.7200
 Dollar/Swiss                 0.9787         0.9663      +1.30%         +7.32%        +0.9849     +0.9622
 Sterling/Dollar              $1.1255        $1.1270     -0.11%         -16.76%       +$1.1363    +$1.1213
 Dollar/Canadian              1.3487         1.3466      +0.16%         +6.68%        +1.3544     +1.3410
 Aussie/Dollar                $0.6643        $0.6633     +0.18%         -8.58%        +$0.6670    +$0.6574
 Euro/Swiss                   0.9624         0.9507      +1.23%         -7.18%        +0.9715     +0.9468
 Euro/Sterling                0.8736         0.8729      +0.08%         +4.00%        +0.8759     +0.8692
 NZ                           $0.5843        $0.5853     -0.16%         -14.62%       +$0.5887    +$0.5806
 Dollar/Dollar                                                                                    
 Dollar/Norway                10.3970        10.3560     +0.34%         +17.96%       +10.4330    +10.2930
 Euro/Norway                  10.2318        10.1766     +0.54%         +2.19%        +10.2519    +10.1386
 Dollar/Sweden                11.0681        11.0627     -0.14%         +22.74%       +11.1375    +10.9718
 Euro/Sweden                  10.8611        10.8759     -0.14%         +6.13%        +10.9290    +10.8530
    
 (Reporting by Gertrude Chavez-Dreyfuss in New York and Alun John in London; Additional reporting by Bansari
Mayur Kamdar in Bengalaru and Harry Robertson in London, Kevin Buckland in Tokyo; Editing by Kirsten
Donovan)

Released: 2022-9-22T20:41:37.000Z"
UPDATE 2-Norway  central bank  to buy more foreign  currency  for wealth fund,2022-08-31,"(Adds Nordea comment, more background)

OSLO, Aug 31 (Reuters) - Norway's central bank said on Wednesday it would sharply increase its purchase of foreign currency for its sovereign wealth fund in September, amid a surge in the country's oil and gas revenues.

Norges Bank plans to exchange 3.5 billion Norwegian crowns ($355.41 million) per day into foreign currency, up from 1.5 billion per day in August, which will in turn be invested abroad by the $1.2 trillion wealth fund, already the world's largest.

DNB Markets had predicted in advance that Norges bank would increase the daily purchases to 2.5 billion Norwegian crowns.

The crown currency weakened on the news, falling to 9.90 against the euro at 0926 GMT from 9.82 just ahead of the announcement.

""This large shift points toward a weaker NOK ahead,"" said Nordea Markets, adding that the increase in currency purchase would also alleviate upward pressure on Norwegian interbank interest rates.

The crown may also in the time ahead be hit by stock market weakness, said Nordea, forecasting an exchange rate of 10.3 crowns per euro by year-end.

This year's spike in the price of petroleum, Norway's main export, has led to a big inflow of tax revenues that exceeded government spending.

Economists have said that a larger purchase of foreign exchange, and thus larger sales volumes of crowns, may weaken the Norwegian currency.

Norges Bank says its transactions are conducted for fiscal reasons on behalf of the state, and are not to be regarded as market intervention.

Norway is western Europe's largest oil and gas producer, with daily output of more than 4 million barrels of oil equivalent. ($1 = 9.8477 Norwegian crowns) (Reporting by Terje Solsvik, Editing by Stine Jacobsen and Gareth Jones) 

Released: 2022-8-31T10:35:23.000Z"
BUZZ- Norway 's plans are equivalent to massive  FX intervention ,2022-03-31,"* Norway central bank to buy currency for wealth fund

* Plans to exchange 2 billion crowns ($231.9 mln) daily into foreign currency

* In three months Norway will match SNB's bigger Q4 intervention

* If maintained this is roughly $55 billion of FX purchased in next 12 months

* NOK is a relatively illiquid currency pair, recently in high demand

* Long liquidation could put crown under great pressure

* EUR/NOK which was oversold may soon head back above 10.00

*

(Jeremy Boulton is a Reuters market analyst. The views expressed are his own)

Released: 2022-4-3T11:30:26.000Z"
Norway Currency Interventions  Unlikely For Now -- Market Talk,2020-05-13,"1048 GMT - Norway's central bank is likely to shelve its interventions in the foreign exchange market as the krone recovers against the euro, Commerzbank says. ""Unless there is a renewed wave of NOK selling, there is no need for interventions with EUR/NOK slowly drifting further downwards,"" Commerzbank FX analyst Antje Praefcke says. Oil prices and risk appetite will continue to drive the krone's moves in the short term, she says. EUR/NOK falls 0.4% to 10.9901.(renae.dyer@wsj.com)

1038 GMT - CreditSights is advising clients not to buy Telefonica 's 7.25-year and 12-year euro bonds on offer Wednesday at a spread lower than 32 basis points below their initial price talks. This means buying the 7.25-year bond at a spread up to 133 bps over the mid-swap level, which implies a yield of 1.08% and buying the 12-year bond at a spread of up to 173 bps over mid-swaps, implying a yield of 1.65%. These levels offer a new premium concession of 5 basis points over Telefonica 's comparable existing bonds, says the credit research firm. (lorena.ruibal@wsj.com; @lorena_rbal)

1023 GMT - The 11.3% decline in the eurozone's industrial production in March is massive, but it will be even worse for April, says Bert Colijn , eurozone senior economist at ING. ""From there on, there will be significant recovery as the reopening of plants will surely increase production from the very low April bottom,"" Colijn says. The recovery will be gradual due to the slow easing of measures, supply chain disruptions amid an uneven reopening of the global economy, and demand at lower levels than before the coronavirus crisis, he says. ""It seems likely that production levels of 2017 will be out of sight for a long time to come,"" Colijn says. (maria.martinez@wsj.com)

1003 GMT - The U.S. Federal Reserve probably won't take interest rates into negative territory but speculation of such a move could build and send the dollar lower, MUFG Bank says. President Donald Trump 's call for negative rates and expectations for a rate cut in the futures markets mean a speech by Fed Chairman Jerome Powell later Wednesday ""will be important,"" MUFG's Derek Halpenny says. ""Anything less than a forthright rejection of negative rates could well fuel further speculation of negative rates being possible,"" he says. ""A deeper negative yield implied in the futures market could well start to weigh more on the dollar and is a source of downside risk we previously had not considered."" The dollar index is steady at 99.954. (renae.dyer@wsj.com)

0958 GMT - The effects of the corona epidemic that Nordea had expected in Sweden's March inflation numbers came in April instead. Inflation is currently a bit tricky to interpret, but there is little doubt that price pressures are very low, Nordea says. ""We expect the Riksbank to leave the repo rate unchanged at zero, but the record low inflation highlight risks of a rate cut."" (dominic.chopping@wsj.com)

0956 GMT - While it still remains unlikely, negative U.S. interest rates would give gold a ""massive boost,"" Carsten Fritsch at Commerzbank says. Negative real rates have been one of the main drivers of gold's recent strength and expectations that they will linger for some time have led many analysts to expect gold to rise further this year. Negative interest rates would further push down real rates and reduce the opportunity cost of holding gold. ""So far, the Fed has ruled out any such step"" to cut rates below zero, says Fritsch, and it would be very surprising if Powell were to express a different tone"" when he speaks later today. Still, speculation continues with some fed fund futures pricing in the possibility, he notes. (william.horner@wsj.com)

0921 GMT - Almost one-third of people in the UK expect to face a pay cut or lose their job in the next two to four weeks, according to a survey conducted by UBS . The poll results, based on 1,000 responses, also shows that about half of them have no savings or have enough to last for less than three months. 42% of the respondents expect their financial situation to worsen in the next year, the medium-income group being the most pessimistic. (xavier.fontdegloria@wsj.com)

0912 GMT - While the Riksbank will look through the energy-driven plunge in Swedish headline inflation , the further fall in underlying price pressures will be harder to ignore, so it's increasingly a question of ""when"" rather than ""if"" the bank cuts again, says Capital Economics . With resource utilisation falling off a cliff, underlying inflation is set for a prolonged period below the Riksbank 's 2.0% target, it says. While minutes published earlier this week showed the governing council did not think a policy rate cut would be effective at the moment, they appear to be keeping their powder dry until the recovery phase gathers pace, Capital Eocnomics says. ""Accordingly, we still expect the bank to cut its policy rate back into negative territory later in the year.""(dominic.chopping@wsj.com)

0910 GMT - The pound's modest gains in reaction to better-than-forecast first-quarter U.K. economic growth data are likely to be brief, ActivTrades says. Sterling's respite is ""unlikely to be long-lived"" as March, when the lockdown started, registered a record 5.8% monthly decline in gross domestic product, suggesting the second quarter figures will be ""considerably worse,"" ActivTrades analyst Ricardo Evangelista says. The U.K. economy contracted 2.0% in the first quarter, according to the official preliminary estimate Wednesday, although that was smaller than the consensus forecast of 2.5%, he says. GBP/USD rises 0.1% to 1.2270 and EUR/GBP falls 0.2% to 0.8834. (renae.dyer@wsj.com)

0909 GMT - The Japanese yen should continue to strengthen against the dollar as the U.S. currency declines on the Federal Reserve 's actions, Societe Generale FX strategist Kit Juckes says. ""The yen continues to disappoint those who think it should do better in times of crisis, yet it is still out-performing the dollar even as the latter benefits from its dominant status,"" Juckes says. ""That makes long yen attractive for anyone who think that it is only a matter of time before the U.S. makes a more concerted effort to weaken its currency."" The Fed could face pressure from President Donald Trump to cut interest rates further to curb the dollar's strength, he says. USD/JPY falls 0.1% to 107.012. (renae.dyer@wsj.com)

0907 GMT - The U.K.'s first-quarter economic contraction of 2.0% compares favorably with many other countries but that doesn't mean it is better placed than others, HSBC says. ""Recall that the U.K. did not enter full lockdown until March 23,"" HSBC economist Elizabeth Martins says. ""Although clearly, activity will have started to tail off before then, this 2% fall for an entire quarter actually reflects only a single week of full lockdown."" The numbers for the second quarter ""will be much worse,"" Martins says. HSBC expects the economy to shrink by a quarterly 13% in the second quarter as the U.K. remains largely locked down six weeks into the period while other European economies start to reopen. (renae.dyer@wsj.com)

0849 GMT - A marked rise in U.K. unemployment is likely to limit the economy's recovery after the coronavirus lockdown eases, EY Item Club says after data showed gross domestic product fell 2.0% in the first quarter. ""EY Item Club predicts that the economy is unlikely to return to its size of the fourth quarter of 2019 until the first quarter of 2023,"" EY economist Howard Archer says. The U.K. economic forecasting group now expects U.K. GDP to drop 7.5% in 2020, compared to its previous estimate for a 6.8% decline. It also downgrades its forecast for second quarter GDP to a 15% quarterly fall from a 13% decrease. (renae.dyer@wsj.com)

(END) Dow Jones Newswires

May 13, 2020 06:48 ET (10:48 GMT)"
Norway Currency Interventions  Unlikely For Now -- Market Talk,2020-05-13,"1048 GMT - Norway's central bank is likely to shelve its interventions in the foreign exchange market as the krone recovers against the euro, Commerzbank says. ""Unless there is a renewed wave of NOK selling, there is no need for interventions with EUR/NOK slowly drifting further downwards,"" Commerzbank FX analyst Antje Praefcke says. Oil prices and risk appetite will continue to drive the krone's moves in the short term, she says. EUR/NOK falls 0.4% to 10.9901.(renae.dyer@wsj.com)

(END) Dow Jones Newswires

May 13, 2020 06:48 ET (10:48 GMT)"
Norway Foreign Exchange Interventions  Unlikely -- Market Talk,2020-04-23,"1157 ET - Norway's central bank is unlikely to act on its recent threat to intervene in the foreign exchange market to limit the krone's decline in the face of weak oil prices, Commerzbank says. ""I think Norges Bank will not do much more than keep an eye on the development of EUR/NOK as we are still a long way off the levels seen in mid-March,"" Commerzbank FX analyst Antje Praefcke says. ""Moreover, there is a risk that it would have to stand up against the market and would gain very little while intervening on a falling oil price."" A weaker currency also helps exporters who are ""having a tough time"" due to coronavirus. EUR/NOK falls 1.8% to 11.4454 as oil prices recover. (renae.dyer@wsj.com)

1107 ET - The Polish zloty has much further to fall against the euro due to the impact of coronavirus on the country's economy, Rabobank says. With Poland's consumer confidence and labor market suffering from restrictions to contain the spread of coronavirus, private consumption could ""fall significantly"" in the coming months with ""negative consequences for the entire economy,"" Rabobank FX strategist Piotr Matys says. ""The latest set of data supports our argument that EUR/PLN has not peaked yet and the current period of consolidation marked as a descending triangle will be followed by another leg higher towards the global financial crisis high at 4.9307 over the one to three month horizon."" EUR/PLN is last flat at 4.5465. (renae.dyer@wsj.com)

1105 ET - European leveraged issuance ceased completely in March as efforts to contain the coronavirus pandemic shattered businesses and markets, says Moody's Investors Service . ""March leveraged finance issuance ground to a virtual halt with no bonds issued and only one $45 million loan launched,"" says the credit rating firm, adding that the lack of issuance reflected a ""dramatic reversal"" from February's activity. A volume of $10 billion bonds and loans were issued that month after a historic peak of $44 billion in January, it adds.(lorena.ruibal@wsj.com; @lorena_rbal)

1056 ET - Bank of America expects the dollar to appreciate further in coming months, particularly against commodity sensitive currencies such as the Norwegian krone and Canadian dollar following the recent collapse in oil prices. ""The chaotic turn in the oil markets indicates likely downward macro pressure that will do more damage in the commodity space, putting pressure on commodity currencies,"" BofA analysts say. The dollar should benefit from demand for safe haven assets as markets focus on the ""massive economic fallout"" from coronavirus, they say. BofA expects USD/NOK to rise to as high as 11.47 this year, up from 10.5470 currently, and USD/CAD to hit a high of 1.55 compared to 1.4018 at present. (renae.dyer@wsj.com)

1002 ET - The Swedish krona would weaken on a possible interest rate cut by the central bank at its April 28 policy meeting to shield the economy from coronavirus, Rabobank says. There is speculation that the Riksbank could return to negative rates after data sparked concerns that the economy could this year see the ""worst recession since World War II,"" Rabobank 's Jane Foley says. ""EUR/SEK has been on an upward trend since 2012 and for the most part this will have been welcomed by the Riksbank given soft inflation and the importance of its export sector,"" she says. ""If rates are pushed back below zero, the risk of a further extension of the uptrend will increase."" EUR/SEK falls 0.4% to 10.8871. (renae.dyer@wsj.com)

0827 ET - Treasurys are little changed as extremely poor European economic data is offset by an uptick in oil prices. Traders will be paying attention at 11am when the Treasury Department announces the size of next week's note auctions, as analysts continue to debate how the market will digest increased issuance to finance economic rescue packages. The 10-year yield was recently 0.625% vs. 0.618% Wednesday. (sam.goldfarb@wsj.com)

0820 ET - The Swedish economic sentiment indicator recorded by far the biggest drop ever in April to stand at a record low of 58.6. Consumer confidence plunged to 73.9 from 89.4 and confidence in manufacturing industry dropped too, but could have been worse, says Nordea . Confidence in the total business sector dropped to 53.1, the lowest reading ever. All in all, sentiment plunged like never before, Nordea says, adding that a massive drop was expected but it's still painful to see. ""The survey indicates a huge drop in GDP and close to a two digit decline. The downturn in 2Q is important, but even more important is for how long the standstill will last.""(dominic.chopping@wsj.com)

0818 ET - The European Central Bank will have to overcome the likelihood of a higher loss in order to be able to buy 'fallen angels', corporate bonds that have been downgraded to junk status, says BNP Paribas . ""The one item that might pose an issue to the ECB is the high risk profile of BB fallen angels and the fact that, unlike repo operations, no haircut protects the Eurosystem from potential losses,"" says the bank. This might explain why the ECB didn't announce the inclusion of fallen angels as eligible bonds of its bond purchase programmes, though it will accept 'fallen angels' as collateral for banks to access ultra-cheap loans, it says.(lorena.ruibal@wsj.com; @lorena_rbal)

0816 ET - The eurozone composite purchasing managers index plunged to a new record low of just 13.5 in April, confirming that an unprecedented contraction in gross domestic product is occurring, says Simon Wells , chief European economist at HSBC. This sharp decline means a big downside risk to HSBC 's forecast of GDP falling 11% in the second quarter. ""Whatever the magnitude of slump, what is more important is the shape of the recovery and how quickly activity bounces back,"" Wells says. HSBC expects April to be the trough in European PMIs. As lockdowns are eased in some countries and exit strategies are discussed, some firms should see rising output in May, he says. (maria.martinez@wsj.com)

0815 ET - Metzler revises its forecasts for the year-end levels of 10-year German Bund and the 10-year U.S. Treasury yields. The coronavirus ""has led to a downright crash of global economic activity, to unprecedented measures by the major central banks and to massive market distortions,"" Metzler says. In view of the pandemic, the economic consequences and the question of how to finance the costs incurred, it has adjusted yield forecasts. Metzler now sees the year-end level of the 10-year German Bund yield at -0.60%, compared with its previous forecast of -0.80%, and it sees the U.S. 10-year Treasury yield at 0.5% at year-end, down from its previous forecast of 1.2%. The 10-year German Bund yield trades at -0.416%, while the 10-year U.S. Treasury yield trades at 0.624%, according to Tradeweb . (emese.bartha@wsj.com)

0811 ET - Hungary's central bank is likely to keep interest rates on hold at its April 28 policy meeting after unexpectedly raising lending rates earlier this month to shore up the forint, TD Securities says. ""We think further tightening remains purely a function of EUR/HUF performance,"" TD strategist Izidor Flajsman says. ""The higher the pair, the greater the odds of new hikes of short-term rates."" If EUR/HUF tops 365, a deposit rate rise ""would not be too much of a surprise."" The central bank on April 7 raised its overnight and one-week collateralized loan rates to 1.85% from 0.9% and launched bond-buying and lending programs. EUR/HUF rises 0.2% to 357.706, having earlier reached a two-week high of 358.5825, according to FactSet. (renae.dyer@wsj.com)

0807 ET - The European Central Bank 's decision to relax collateral rules for high-yield corporate debt increases the likelihood that this paper will become eligible for purchase under the central bank's bond purchase program, says BNP Paribas . ""We now think there is a 2/3 probability that BB fallen angel bonds that respect the collateral rules will be included as eligible paper for both the Corporate Sector Purchase Program and the Pandemic Emergency Purchase Programme, possibly as early as next week's ECB meeting."" The ECB said it would allow banks to maintain their access to the central bank's ultra-cheap liquidity during the current crisis by using bonds that have been downgraded to junk as collateral. This would effectively shield the financial system from a wave of credit rating downgrades.(lorena.ruibal@wsj.com; @lorena_rbal)

(END) Dow Jones Newswires

April 23, 2020 11:57 ET (15:57 GMT)"
Norway Foreign Exchange Interventions  Unlikely -- Market Talk,2020-04-23,"1557 GMT - Norway's central bank is unlikely to act on its recent threat to intervene in the foreign exchange market to limit the krone's decline in the face of weak oil prices, Commerzbank says. ""I think Norges Bank will not do much more than keep an eye on the development of EUR/NOK as we are still a long way off the levels seen in mid-March,"" Commerzbank FX analyst Antje Praefcke says. ""Moreover, there is a risk that it would have to stand up against the market and would gain very little while intervening on a falling oil price."" A weaker currency also helps exporters who are ""having a tough time"" due to coronavirus. EUR/NOK falls 1.8% to 11.4454 as oil prices recover. (renae.dyer@wsj.com)

(END) Dow Jones Newswires

April 23, 2020 11:57 ET (15:57 GMT)"
"POLL-Swedish, Norwegian  currencies  seen rebounding from virus crisis",2020-04-03,"* reuters://realtime/verb=Open/url=cpurl://apps.cp./Apps/fx-polls?RIC=EURSEK= EURSEK poll data

* reuters://realtime/verb=Open/url=cpurl://apps.cp./Apps/fx-polls?RIC=EURNOK= EURNOK poll data

By Terje Solsvik and Colm Fulton

OSLO/STOCKHOLM, April 3 (Reuters) - The Swedish and Norwegian currencies are expected to gradually recover from recent weakness against the euro and dollar in the next 12 months following a turbulent start this year, a Reuters poll of foreign exchange strategists showed on Friday.

Both countries are experiencing unprecedented drops in business activity amid global shutdowns to combat the coronavirus pandemic, and Norway has taken a double hit as the price of oil, its biggest export, has crashed.

The Norwegian crown tumbled to all-time lows in mid-March before staging a partial comeback when the central bank threatened to intervene in the currency market for the first time in more than two decades.

The Swedish crown similarly hit 11-year lows against the euro and its weakest level in 18 years against the dollar in recent weeks, although it too has recovered some lost ground along with a partial rebound in stock markets.

By this time next year, the Swedish crown is predicted to rise to a level of 10.6250 to the euro from 10.9506 currently, the median forecast showed, albeit with forecasts ranging from 10.10 to 11.40 per euro.

Nordea Markets, which predicted some short-term weakness for the Swedish crown, said the longer term prospects were brighter.

""Looking to the second half of this year, if things will have improved and we are past the coronavirus, in such an environment, the Swedish crown should gain some strength,"" Nordea Chief Analyst Niels Christensen said.

With public debt at 43-year lows, the government launched a raft of measures, including subsidies for shorter working hours, tax rebates and loan guarantees, while the central bank has poured money into the financial system.

The Norwegian crown is meanwhile seen trading at 10.60 to the euro one year from now, up from 11.26 currently and a 20% rise from the all-time low of 13.1678 set March 19.

The price of North Sea Brent crude, although still down 60% year-to-date, has risen in recent days amid signs a price war between Russia and Saudi Arabia could come to an end.

""Less downside risk to the oil price is likely a key driver of the crown's strength,"" Nordea Markets said of the Norwegian currency.

While Norges Bank has declined to comment on any level it might seek to establish for the Norwegian crown, the most recent movement in the currency was likely also driven by central bank intervention, Morgan Stanley said in a note to clients.

Norway has launched business loans, tax deferment and fiscal spending worth at least 360 billion Norwegian crowns ($35 billion) to aid the economy, and the central bank slashed its benchmark interest rate to record lows.

Ultimately, the duration of coronavirus lockdowns and their impact on the global economy could be key also to the Nordic currencies.

""We can easily get a new wave of market unrest and if so, smaller currencies will suffer,"" Nordea's Christensen said.

(Other stories from the global foreign exchange poll: )

($1 = 10.2898 Norwegian crowns)

(Additional reporting by Simon Johnson in Stockholm; Polling by Khushboo Mittal, Indradip Ghosh and Sujith Pai in Bengaluru; Editing by Chris Reese) 

Released: 2020-4-3T05:05:00.000Z"
Norwegian Krone Soars on First Signs of Market  Intervention  in Over 20 Years,2020-03-24,"The Norwegian krone posted its biggest daily gain in over a decade, as analysts point to likely market intervention by Norway's central bank.

The krone rose 5% against the dollar and 4.6% against the euro on Tuesday. It traded at 11.09 kroner to $1, rising the most in a day since March 2009.

According to Magne Ostnor, an FX strategist at DNB Markets, the move was likely an indication that the central bank is now intervening.

Norges Bank said last week that it was considering purchases of Norwegian kroner due to the recent high levels of volatility in the currency markets.

This would be the first time the central bank has bought kroner since 1999. At that time, Norway had an exchange rate target to the euro and would buy and sell kroner to keep the value within a set band. Several central banks regularly trade their own currencies to maintain a certain valuation, including the Swiss National Bank and the People's Bank of China.

Norges Bank has historically shied away from moves to prop up its currency, despite frequent volatility as a result of oil price fluctuations. Norway is Western Europe's biggest energy exporter. The krone is currently the worst performing of all G10 currencies, having lost more than a fifth of its value against the dollar since the beginning of the year.

The currency has been hit by a combination of a 54% reduction in the price of benchmark Brent crude since the beginning of the year and investors' preference for holding U.S. dollars above all other currencies during market turbulence. The continuing global health crisis from the coronavirus, coupled with an oil price war, has prompted investors around the world to liquidate assets for dollars.

Norway's pension funds have been exacerbating the currency's plunge by rebalancing their FX hedges on their portfolios, selling krone and buying dollars and euros, according to Joachim Bernhardsen, a global macro analyst at Nordea. This action amid the global selloff has reduced liquidity in the market.

""If you look back to last week, the market was basically not working,"" Mr. Bernhardsen said. Bid-ask spreads in the foreign exchange market were as much as four times higher than in normal conditions. The central bank is likely stepping in to smooth out trading conditions and restore liquidity, he said.

However, ""it is a very jumpy market and even smaller volumes are moving markets a lot,"" he said.

The U.S. Federal Reserve has also recently intervened in global foreign exchange and money markets with the goal of improving liquidity, opening swap lines with 15 other central banks and providing $1.5 trillion into short-term borrowing through the repurchase market.

--Caitlin Ostroff contributed to this article.

Write to Anna Hirtenstein at anna.hirtenstein@wsj.com.

(END) Dow Jones Newswires

March 24, 2020 10:22 ET (14:22 GMT)"
