title,date,text
"CEE MORNING BRIEFING: Hungarian Flood, Czech Data in Focus",2013-06-10,"
 
TODAY'S CALENDAR 
Local/GMT 
  N/A Flood situation in Budapest 
  0900/0700 Czech May inflation data 
  0900/0700 Czech May unemployment data 

Hungary has declared a national emergency after the River Danube topped its highest recorded levels in Budapest Monday. Soldiers and civilian volunteers have been pressed into service to build dams out of sandbags.

In the Czech Republic, the focus will continue to be on clean-up following severe flooding.

Czech inflation is expected to continue dropping in May, due to falling energy prices, enabling the country's central bank to maintain its accommodative monetary policy.

FOREX 
EUR/CZK 
Latest 0150 GMT 25.553-89 
Previous 2150 GMT 25.517-606 
%Chg +0.04 
 
EUR/HUF 
Latest 0150 GMT 295.39-6.22 
Previous 2150 GMT 294.67-5.79 
% Chg +0.19 
EUR/PLN 
Latest 0150 GMT 4.2367-470 
Previous 2150 GMT 4.2286-500 
% Chg +0.06 
 
FIXED INCOME 
 
Hungary 
         Fri   Thu 
3 yrs   4.75%  4.75% 
5 yrs   5.30%  5.35% 
10yrs   5.85%  5.90% 
 
Poland 
         Fri   Thu 
3 yrs   2.83%  2.85%(1) 
5 yrs   3.26%  3.30% 
10yrs   3.73%  3.73% 
(1) 2 yrs 
 
Czech Republic 
         Fri   Thu 
3 yrs   0.50%  0.50% 
5 yrs   1.25%  1.24% 
10yrs   2.07%  2.08%(1) 
(1) 11 yrs 
 
STOCKS 
 
WIG 20 
 957.45 +0.72 +0.08% 
 
BUX 
19,632.63 +428.93 +2.23% 
 
PX 
 2,488.84 +42.55 +1.74% 
 
OTHER NEWS 

CZECH REPUBLIC: The Czech government will meet its goal to lower its budget deficit below 3% of the country's total economic output this year despite floods wreaking havoc across many areas last week and heavy thunderstorms causing localized flash floods over the weekend, Prime Minister Petr Necas said.

""We will stick to our strategy to maintain the deficit of public finances at below 3%,"" Mr. Necas said Sunday in a live interview on the Czech public television news broadcaster CT24.

POLAND: Poland's central bank may again intervene in the local currency market to limit the Polish zloty's volatility, central bank governor Marek Belka told state news agency PAP late Friday, hours after the bank intervened in the market for the first time since December 2011.

HUNGARY: Hungary's flood defenses held firm on Sunday morning as central Europe's worst floods in a decade moved through the northwest of the country toward the capital Budapest.

Thousands of emergency workers, troops and volunteers in Germany battled the flooding on Sunday which have forced evacuations and which one politician termed a ""national catastrophe.""

ROMANIA: Romania's unemployment rate edged down to 5.03% in May, from 5.29% a month earlier, the country's employment agency ANOFM said Friday, news agency Mediafax reports. In May 2012, the unemployment rate was 4.9%, ANOFM data showed.

Write to Marynia Kruk at marynia.kruk@wsj.com

Go to http://blogs.wsj.com/emergingeurope(""http://blogs.wsj.com/emergingeurope"") for the WSJ blog on Central and Eastern Europe, covering business, politics, society and more, written by our correspondents across the region. [ 06-09-13 2204ET ]

1806 75091"
Poland  May  Intervene  Again to Curb Zloty Volatility - Central Bank  Governor,2013-06-08,"WARSAW--Poland's central bank may again intervene in the local currency market to limit the Polish zloty's volatility, central bank governor Marek Belka told state news agency PAP late Friday, hours after the bank intervened in the market for the first time since December 2011.

The central bank's intervention Friday took the market by surprise as it came only two days after the governor said the recent weakening of the zloty was a welcome trend as it helped the slowing economy regain competitiveness.

""We never pre-announce these things, and if someone thought that we will not do it then I am sorry, but we do not act in the interest of FX market speculators,"" Mr. Belka said. ""Somebody thought he will make money on the zloty weakening and got burned.""

As a result of the bank's actions the zloty strengthened to around 4.23 against the euro from above 4.30 before the intervention.

Poland's finance ministry and the central bank have a history of intervening in the local currency market. When both institutions acted to strengthen the zloty in 2011 the currency was not only weaker against the euro than it is now, but the country's public debt was closer to an automatic austerity threshold of 55% of GDP.

However, recent fiscal tightening has pushed the debt level to 52.7% of GDP in 2012 while the government changed the way it values its foreign debt pile, limiting the forex market's impact on debt size.

""The timing is quite strange given Governor Belka tried to talk the zloty down during the press conference on Wednesday. He said the PLN weakening was very welcome and hasn't influenced the recent rate cut at all,"" ING economist Rafal Benecki wrote Friday.

Mr. Belka explained that the central bank's goal was not to defend some specific zloty level but rather curb recent volatility in the currency, which pushed it to the weakest level in a year against the euro on Thursday.

""This absolutely isn't an attempt to fight a trend or anything, things just got a little wild recently and we had to give [the market] a kick,"" Mr. Belka said.

The zloty, Polish bonds and other emerging market assets have been under immense pressure since the Federal Reserve indicated late last month that it may consider unwinding its bond-buying stimulus program if the U.S. economy continues to improve.

The prospect of tighter policy in the U.S. has prompted investors to exit riskier assets and rush to safe-haven currencies and bonds.

The Polish central bank's signal that it was close to ending its rate-cutting cycle also prompted global investors to sell the country's treasury bonds.

Write to Patryk Wasilewski at patryk.wasilewski@dowjones.com [ 08-06-13 0823GMT ]"
"Polish  central bank  back in  FX  market, zloty extends gains",2013-06-07,"WARSAW, June 7 (Reuters) - Poland's zloty currency extended its gains to 1.7 percent against the euro on Friday, and two dealers said the central bank launched a second major intervention in the foreign currency market in the space of just over one hour.

""They're back in the market,"" one of the dealers said after the second big intervention. (Reporting by Dagmara Leszkowicz; Writing by Christian Lowe)

POLAND-ZLOTY/INTERVENTION (URGENT) | ABN | D | PX | M"
Polish  central bank  confirms  intervention  on  FX  market,2013-06-07,"WARSAW, June 7 (Reuters) - Poland's central bank confirmed it sold some amount of foreing currencies in exchange for zlotys on Friday, it said in a statement.

Earlier in the day dealers told Reuters the central bank intervened on the spot market several times, a move that has sent the zloty up nearly 2 percent against the euro.

It was the first central bank's intervention in 18 months. (Reporting by Dagmara Leszkowicz; Editing by Adrian Krajewski)

POLAND-ZLOTY/CBANK (URGENT) | ABN | D | M | PX | DNP"
UPDATE 3- Poland intervenes  to bolster zloty,2013-06-07,"* Several interventions after zloty hit one-year low

* Central bank had earlier said weak zloty not a concern

* Zloty gains as much as two percent versus euro

* Intervention aimed at trimming excessive volatility, c.bank head says

By Dagmara Leszkowicz

WARSAW, June 7 (Reuters) - Poland's central bankintervened on the currency market on Friday to prop up the zloty for the first time in 18 months after the currency hit a one-year low the previous session.

Over the past month, the zloty has fallen because of lower Polish interest rates and fears that the U.S. Federal Reserve could wind down its quantitative easing campaign, something which has hit emerging market currencies around the world.

Some analysts thought Polish officials were moved to act by concerns that a falling zloty could boost the value of the country's debts, which could trigger painful spending cuts.

The central bank confirmed it sold some foreign currencies on the spot market. Dealers said it had entered the market several times and that state-owned BGK bank also stepped into the market in the late afternoon trade, helping the zloty to extend its sharp gains.

Poland's central bank governor, Marek Belka, told the state news agency PAP that the bank's move was aimed at trimming excessive fluctuation on the foreign exchange market.

""It is absolutely not a test of betting against the trend. We just had a couple of crazy days recently (on the FX market) and we had to stop it,"" Belka said, adding that further interventions are not ruled out.

The currency jumped by around 2 percent versus the euro after the central bank's move. By 1615 GMT it had given up some gains to trade at 4.2325 per euro.

Traders said the bank intervened for the first time at the zloty level of 4.30 to the euro. They did not give details on the total amount of intervention or the amount of zlotys.

The bank last stepped into the market to lift the zloty in December 2011, when officials were seeking to keep the value of the government's foreign-denominated debt below a constitutionally set level of 55 percent of gross domestic product.

Breaching the level would have forced the government to reduce spending substantially.

On Thursday, the zloty fell to its lowest levels since June 2012 after Belka said currency weakness was not a concern.

Rafal Benecki, chief economist at ING Bank Slaski, said the intervention was a surprise that contradicted the governor's statement.

""It's strange, because Belka seemed as if he had wanted to weaken the zloty on Wednesday and now they are strengthening it,"" Benecki said.

""The bank most likely wants to reduce the volatility of the currency, because there is a large risk of debt breaching the 55 percent of GDP threshold.""

The ratio stood at 52.7 percent of GDP at the end of last year, according to Polish accounting rules.

The central bank brought its main rate to a new low of 2.75 percent earlier this week, 200 basis points lower than in November, when it launched an easing campaign to help boost the flagging economy.

POLAND-ZLOTY/ (UPDATE 3) | C | D | E | M | O | U | MTL | GRO | SOF | OIL | BNX | PX | DNP"
"CEE MARKETS 2-Leu hits two-month low, Polish PMI data supports zloty",2013-06-03,"* Romania sells bonds as planned, yields edge up


    * Retreat from Romanian debt hits leu
    * PMIs help zloty, forint, but rate outlooks hurt
    By Jason Hovet
    PRAGUE, June 3 (Reuters) - The leu hit a two-month low on
Monday, dropping for a second day as investors started to
retreat from Romanian bonds and as concerns over how long global
stimulus programmes would last rattled central European markets.
    The Polish zloty - hard hit in the past week - steadied off
recent lows after a purchasing managers' survey showed a slight
pickup in manufacturing activity in Poland although the prospect
of lower interest rates still weighed on the currency.
    Central European markets have become more volatile in the


past month with investors rattled by uncertainty over when the U.S. Federal Reserve might slow its stimulus programme - part of the ""wall of money"" that has fuelled investor appetite for emerging market assets. Any cutback would hit the region. Romania sold a planned 500 million lei ($147.5 million) in five-year treasury bonds on Monday, with the average accepted yield up 13 basis points from two weeks ago. Analysts said investors were starting to back off Romanian debt, reversing a rally seen earlier in the year that had sent yields in Romania and around central Europe to record lows. Czech 10-year yields hit a two-month high on Monday. Moves in Romania's smaller debt markets can have a bigger impact on the leu than elsewhere in the region and the retreat has caused the leu to lose 1.1 percent since Thursday's close. It bid down 0.3 percent on the day at 4.402 to the euro and had weakened as far as 4.42 before the auction. ""The weakening appears to be a short squeeze ... and now some profit taking after yields at the bond tender were somewhat higher,"" one trader in Bucharest said. 


    
    RATE CUTS WATCHED
    The zloty was up less than 0.1 percent to bid at
4.266 to the euro - after touching a session low of 4.28. The
forint also inched up 0.1 percent to 295.4. Both were
just off 11-month and one-month lows, respectively.
    A Polish manufacturing purchasing managers' index (PMI)


edged up slightly in May but business activity still shrank for the 14th month running. Hungarian manufacturing also contracted, according to a PMI survey, but Czech manufacturing grew last month for the first time in more than a year. The zloty has weakened on expectations the Polish central bank will cut borrowing costs by a quarter percentage point to a new low of 2.75 percent at a meeting on Wednesday.


    ""EUR/HUF and EUR/PLN continue to be weak given the prospect
of further monetary policy easing ... and a global environment
characterised by increasing uncertainty with regards to central
bank policy,"" Raiffeisen analysts said in a note.
    ""In Poland, we would also not exclude verbal intervention in
favour of the zloty in the days ahead.""
    Some analysts said the recent weakness in the zloty might
prompt the central bank to hold fire on rates for now. A Reuters
poll last week, though, showed 17 of 19 analysts expected a cut
on Wednesday. 
    In May, the bank defied analysts' forecasts and cut rates in
response to data that showed the economy was hovering on the
brink of recession. 
    Elsewhere, the Czech crown was a touch weaker
after benefitting last week from the unwinding of short
positions versus the zloty and forint, helping it recover from a
three-year low. 
    Analysts see further downside for the crown given a still


weak Czech economy, stuck in its longest recession in two decades, and persistent threats from the central bank that it could intervene to weaken the currency if it needs to ease monetary policy now that interest rates are near zero. Stock markets in central Europe fell by up to 1 percent because of concerns over the U.S. Fed's bond-buying programme. 


                  CEE MARKETS SNAPSHOT AT 1358 CET
 ************************** CURRENCIES ************************
                             Latest  Previous   Daily   Change
                             bid     close      change  in 2013
 Czech crown                 25.739    25.697   -0.16%  -2.68%
 Hungarian forint           295.360   295.600  +0.08%  -1.49%
 Polish zloty                 4.267     4.270   +0.07%  -4.52%
 Romanian leu                 4.402     4.388   -0.30%  +0.94%
 Croatian kuna                7.539     7.550   +0.14% +0.16%
 Serbian dinar              113.040   112.710    -0.29%   -0.65%
 Note: daily change calculated from previous close at 1600 GMT
 **************************** STOCKS **************************
                             Latest  Previous   Daily   Change
                                     close      change  in 2013
 Prague                      957.46    957.86   -0.04%  -7.82%
 Budapest                  19170.72  19262.77    -0.48%  +5.49%
 Warsaw                     2456.36   2485.50    -1.17%  -4.90%
 Bucharest                  5419.90   5395.49  +0.45%  +5.25%
 ***************************** BONDS **************************
                         Yield    Yield    Spread    Daily
                         (bid)    change   vs Bund   change in
 Czech Republic                                      spread
   2-year                0.427    -0.004   +31bps     -4bps
   5-year                1.171     -0.016   +61bps      -8bps
  10-year                1.877   +0.122   +31bps    +7bps
 Poland
   2-year                2.680    -0.010    +256bps    -5bps
   5-year                3.100    0.000    +254bps    -6bps
  10-year                3.560   -0.010    +199bps    -7bps
 ******************* FORWARD RATE AGREEMENTS ******************
                              3x6     6x9    9x12  3M interbank
 Czech Rep                    0.460   0.460  0.460   0.46
 Hungary                      4.000   3.890  3.890   4.39
 Poland                       2.470   2.430  2.455   2.74
 Note: FRA quotes are for ask prices
 **************************************************************
 For related news and prices, click on the codes in brackets: All
emerging market news   
Spot FX rates
Eastern Europe spot FX  Middle East spot FX Asia
spot FX          Latin America spot FX Other
news and reports  World central bank news Economic Data
Guide Official rates   Emerging Diary
 Top events  Diaries Diaries Index


(Reporting by Reuters bureaus; writing by Jason Hovet; editing by Stephen Nisbet and Susan Fenton)

MARKETS-EASTEUROPE/ (CEE MARKETS 2) | CZS | ABN | D | E | RBN | HX | M | RDN | PX | RNP | DNP | PTD"
WSJ BLOG: Polish  Central Bank  Chief Wants Criterion Waived Ahead of Euro Entry,2013-04-04,"(This story has been posted on The Wall Street Journal Online's Emerging Europe blog at http://blogs.wsj.com/emergingeurope.)

By Patryk Wasilewski

WARSAW--Poland's central bank governor said the country should be allowed to join the euro without first putting its currency through the usual two-year transition in the European Union's exchange rate mechanism known as ERM2, which he claimed could be an open invitation to currency speculators.

Marek Belka's comments mark the strongest call yet from a Polish official for the euro entry rules to be relaxed. Poland has the biggest economy among the ex-communist euro candidates.

Countries adopting the euro are obliged to keep their currencies in the ERM2 grid where they must trade within a relatively narrow band for two years. Poland must also meet other fiscal and monetary criteria.

""I dislike ERM2 very much,"" Mr. Belka told a meeting of economists alongside President Bronislaw Komorowski on Thursday. ""We should openly say that ERM2 is bad for Poland, bad for a country like Poland. The spot market in the zloty is bigger than in the Brazilian real.""

Brazil's population and its economy are about five times the size of Poland's in nominal terms.

""If the Swedes wanted to join the euro for political reasons, a red carpet would be rolled out and they'd say: forget about that ERM2. I'm waiting for a moment like this for Poland,"" Mr. Belka said, adding the currency grid is ""very dangerous"" for the Polish economy because it would ""invite massive speculation"" in the zloty.

The central bank chief is an influential voice in Poland's euro debate. On his watch the National Bank of Poland has intervened several times to support the zloty during the euro's debt crisis.

Poland doesn't have a target date for adopting the euro but government officials have said they would like the country to meet all the criteria by 2015 with the exception of the two-year ERM2 stint. A political decision would follow parliamentary elections set for that year.

Dropping the ERM2 condition would require a treaty change accepted by the EU's soon-to-be 28 nations. Mr. Belka said that he was aware of the obstacle but that ""the EU has shown a flexible approach"" to its treaties.

It doesn't look very realistic in the short term ""but it doesn't mean we shouldn't talk about it,"" he said.

The central bank believes it will be able to keep its inflation in check to meet the price stability criterion without changing its consumer price index targeting, where it aims for annual inflation of 2.5%.

Write to Patryk Wasilewski at patryk.wasilewski@wsj.com


 
 -For continuously updated news from The Wall Street Journal, see WSJ.com at http://wsj.com(""http://wsj.com""). 
 

[ 04-04-13 1440GMT ]"
"CEE MARKETS 1-Hungary's forint extends gains, crown firmer before cbank",2013-03-27,"PRAGUE, March 27 (Reuters) - The forint climbed more against a weak euro on Wednesday after Hungary cut interest rates again but refrained from any radical easing measures, while the crown edged up on bets that the threat of Czech intervention has eased.

Poland's zloty also edged up against the euro after Polish Prime Minister Donald Tusk dropped his objections to a referendum on joining the shared currency on Tuesday.

The Hungarian central bank, which is trying to jumpstart a recession-hit economy, cut interest rates to a record low on Tuesday but avoided any policy surprises under its new governor, helping the forint jump almost 1 percent.

By 1004 GMT on Wednesday, the forint had risen another 0.2 percent and was bid at 303.74 to the euro.

The currency is now 1.5 percent off a 14-month low hit last week, and some say that if Hungary's central bank is cautious in its policy moves it could avoid a long-term slide that would hurt the many Hungarian households and companies with loans in euros or Swiss francs.

""The press release (after the rate decision) was rather cautious and in line with expectations, which we see as a tactical way for it to gain the markets' confidence back and take some pressure off the weak currency,"" SEB said in a morning trading note.

""(The forint) can potentially reach the (record low) at 324 but our forecast is 310 in one month and end of Q2, 305 at the end of Q3, and thereafter stabilising at the 300 level.""

Still, the central bank indicated on Wednesday it was exploring ""tools"" other than interest rates to aid economic growth, while underlining that any steps it takes cannot jeopardise its primary goal of keeping inflation under control.

Prime Minister Viktor Orban has picked close ally and former economy minister Gyorgy Matolcsy to head the bank with a mandate to help the economy, sparking fears it may implement unconventional measures that would weaken the forint.

All three of central Europe's bigger former communist economies have been cutting rates steadily in a bid to bolster growth as most of the euro zone falters.

Only Romania, which meets on Thursday, has stayed on hold due to inflation pressures. Analysts do not expect loosening there until later in 2013.

The Romanian leu, the Polish zloty and the crown all gained around 1 percent, with the latter bid at 25.714 to the euro.

With Czech interest rates already at ""technical zero"", the central bank has said interventions could be its next easing tool to help the contracting economy. But the weakening of the crown to a nine-month low in the past month has reduced those chances, analyst have said.

The Czech central bank meets on Thursday and investors will look for clues of whether more easing is ahead. Six of 21 economists said they now expected the bank to intervene, versus 12 who said so in February. Those who foresaw intervention generally predicted it would happen some time in the second half of this year.

""We have been testing 25.800/850 area without breaking higher, so now a bit of a correction,"" a Prague dealer said.

""I don't think that people expect anything exciting from tomorrow's (central bank) meeting with EUR/CZK at these levels.""


--------------------------MARKET SNAPSHOT--------------------
Currency                    Latest   Previous Local    Local
                                   close    currency currency
                                            change   change
                                            today    in 2013 
Czech crown                  25.714    25.731  +0.07%    -2.59%
Polish zloty                 4.176    4.18  +0.1%    -2.44%
Hungarian forint             303.74    304.33  +0.19%    -4.21%
Croatian kuna                7.592    7.592   0%    -0.54%
Romanian leu                 4.402    4.408  +0.14%   +0.93%
Serbian dinar                111.94    111.67   -0.24%   +0.32%
Yield Spreads
Czech treasury bonds           
2-yr T-bond   CZ2YT=RR   +1 basis points to  45bps over bmk*
7-yr T-bond   CZ6YT=RR   +2 basis points to  +92bps over bmk*
10-yr T-bond   CZ10YT=RR   +2 basis points to  +54bps over bmk*


*Benchmark is German bond equivalent.

All data taken from Reuters at 1107 CET.

Currency percent change calculated from the daily domestic

close at 1700 GMT.

For related news and prices, click on the codes in brackets: All emerging market news Spot FX rates 


Eastern Europe spot FX  Middle East spot FX Asia
spot FX          Latin America spot FX Other
news and reports  World central bank news Economic Data
Guide Official rates   Emerging Diary
Top events  Diaries Diaries Index


(Reporting by Reuters bureaus; Writing by Jason Hovet)

MARKETS-EASTEUROPE/ (CEE MARKETS 1) | ABN | M | D | E | RBN | HX | PX | CZS | RDN | RNP | DNP | PTD"
Polish Central Bankers to Reassess Policy,2013-02-19,"WARSAW--Poland's rate setters are in the process of reassessing their monetary policy options for the medium term, Marek Belka, the central bank governor, told The Wall Street Journal.

At its March sitting, the 10-member rate panel will likely choose between a cut or a pause in the easing cycle that has so far taken the benchmark rate down one percentage point to 3.75%. But the four monthly cuts made to date mean the central bank is close to the end of the current policy phase.

""What we need, we think, is to look at the next projections--inflation and gross domestic product projections that will be issued in a matter of weeks. Secondly, we have to look at the things we usually haven't looked at, like the situation on the treasury-bond market,"" Mr. Belka said. ""It's not really about making a pause or not. It's about realizing that we're at a certain moment in the Polish economy, when we need to ask: what do we need now? This is something we're discussing at the moment.""

Following the February rate cut, the central bank said that a similar move in March was less of a done deal, although it kept its informal easing bias.

The Polish economy is going through a rough patch. Growth slowed to 2% last year from 4.3% in 2011, and the government has put part of the blame on the central bank, calling cuts to borrowing costs too little too late. The central bank currently expects average inflation to ease to 2.5% with growth slowing further to 1.5% in 2013.

The economy is, however, expected to bottom out this year, with contraction unlikely in any quarter and growth accelerating in the second half of the year.

The central bank also has an additional factor to consider--a rally last year pushed yields on 10-year Polish government bonds sharply lower, from more than 5.6% in early 2012 to around 4% at present, with foreign investors increasing their holdings. With that comes additional risks, Mr. Belka said.

""Growing demand for Polish bonds could be interpreted as fantastic, but we're not extremely happy about the increasing share of non-residents in this market,"" Mr. Belka said.

Foreign investors have flocked to Poland in search of higher yields, which despite all the buying remain significantly above those of many euro-zone sovereigns. The rally has pushed yields down more quickly than the Polish central bank has cut its benchmark rate, which has made the paper less attractive for Polish financial institutions.

The central bank said capital flight from Poland could destabilize the bond market as well as the Polish currency, which would weaken rapidly. The National Bank of Polandintervened several times in 2011 to stop investors from betting against the zloty, which was depreciating at the time. The zloty was around PLN4.19 ($1.33) to the euro on Monday afternoon, some 3% weaker than at the beginning of the year, with recent poor macroeconomic readings boosting expectations of more rate cuts.

Write to Patryk Wasilewski at patryk.wasilewski@wsj.com and Gordon Fairclough at gordon.fairclough@wsj.com"
"WSJ BLOG: CEE Morning Briefing: Poland Seen Cutting Rates, Czechs to Focus on  FX ",2013-02-06,"(This story has been posted on The Wall Street Journal Online's Emerging Europe blog at http://blogs.wsj.com/emergingeurope .)

By Sean Carney

TODAY'S CALENDAR


   -- Local/GMT 
 
   -- N/A - Poland central bank monetary policy decision 
 
   -- 1300/1200 Czech central bank monetary policy decision 

Monetary policy in the cooling Polish economy and the recession-struck Czech Republic will be in focus Wednesday, with the entrenched bias toward easing likely to result in lower rates in Warsaw and talk of intervention in Prague.

Poland's central bank is expected to cut interest rates for the fourth time in a row, bringing the benchmark rate to 3.75% from 4%. The Polish economy sharply decelerated last year with growth slowing to 2% annually from 4.3% the previous year.

With investors and analysts already counting on an interest rate cut, the market will be looking for hints in the post-decision commentary that the rate-setting panel is ready to pause in its easing campaign.

In Prague, the Czech central bank has nowhere to go with interest rates, having cut the benchmark rate to 0.05% late last year.

But as inflation is tame and the economy has been contracting steadily since late 2011, policy makers may focus on ways to counteract slowing price growth while giving exports a boost.

Continued talk of foreign-exchange market intervention is also in the offing.

Last autumn, the Czech central bank issued a series of verbal warnings that resulted in the koruna losing roughly 5% to the euro. For the central bankers, that easing in conditions may be sufficient, as no intervention has yet taken place and the warnings have become less frequent.

The central bank is also due to issue its latest macroeconomic forecasts, which analysts say will likely include downward revisions to gross domestic product expectations, meaning the economy is expected to remain weaker for longer than previously expected.

OTHER NEWS

POLAND: Poland's biggest gas consuming companies will derive the first benefits from market determined gas prices starting July this year, with all other businesses following a year later, the energy regulator URE said Tuesday.

From July 2014, gas trading on the recently launched commodity exchange is expected to cover about 70% of the market.

POLAND: Poland's government drew a line in the sand ahead of the upcoming European Union's summit, saying proposed 30 billion euros ($39.9 billion) of additional budget cuts were ""inconceivable.""

EU leaders will Feb. 7-8 meet to try to agree on the size and structure of the bloc's budget for 2014-2020 after the failure of their previous attempt in November over the EUR30 billion of more cuts proposed by Germany.

HUNGARY: Hungary plans to double the volume of its trade with Turkey by 2015 to goods and services worth 5 billion euros ($6.79 billion), Prime Minister Viktor Orban said after talks with his Turkish counterpart Recep Tayyip Erdogan Tuesday.

Mr. Orban echoed Czech Prime Minister Petr Necas's comment Monday, saying his government also fully backs Turkey's European Union bid for membership.

HUNGARY: Hungary's governing Fidesz party Tuesday night denied a local press report that the decision has been made to name Economy Minister Gyorgy Matolcsy as the successor to departing central bank Governor Andras Simor.

Business daily Vilaggazdasag's report in its online edition earlier in the evening, which cited ""a trusted source"" about the matter, is unfounded and a hoax, Fidesz communication director Mate Kocsis told state news agency MTI.

ROMANIA: Romania's central bank kept its key interest rate unchanged at 5.25% for the seventh consecutive meeting Tuesday, in line with expectations, despite a weakening economy, news agency Mediafax reported.

The central bank also maintained the minimum reserve requirements unchanged at 15% for Romanian leu-denominated liabilities and at 20% for foreign currency liabilities.

BULGARIA: Bulgarian investigators on Tuesday for the first time linked Shiite group Hezbollah to a deadly July bomb attack on Israeli tourists in the country and identified two of the perpetrators as residents of Lebanon traveling on Australian and Canadian passports.

Patryk Wasilewski in Warsaw contributed to this article.

Write to Sean Carney at sean.carney@dowjones.com


 
 -For continuously updated news from The Wall Street Journal, see WSJ.com at  http://wsj.com (""http://wsj.com""). 
 

[ 06-02-13 0944GMT ]"
