title,date,text
Romania - Factors to Watch on July 12   ,2007-07-12,"BUCHAREST, July 12 (Reuters) - Here are news stories, press reports and events to watch which may affect Romanian financial markets on Thursday.   

EU FUNDS AGREEMENT   

Romanian Prime Minister Calin Tariceanu and European Commissioner for Regional Policy Danuta Hubner will sign an agreement concerning the new EU member's strategic framework for absorbtion of EU funds.   

CONFERENCE ON EU STRUCTURAL FUNDS   

European Commissioner for Regional Policy Danuta Hubner and Romanian Finance and Economy Minister Varujan Vosganian open a two-day conference on EU structural funds for the new bloc member.   

NO ROMANIA FX INTERVENTION RECENTLY-CBANK ECONOMIST   

Romania's central bank has not intervened on the forex market in recent days to curb a strong appreciation of the leu currency, chief economist Valentin Lazea said on Wednesday.   

[ID:nL11822304]   

ROMANIA SELLS 139 MLN LEI IN 6-MONTH T-BILLS   

Romania sold 139 million lei ($61.02 million) worth of 6-month T-bills at an auction on Wednesday, with the average accepted yield at 6.83 percent against 6.05 percent at a previous tender on Feb. 12.   

[ID:nBUC000749]   

ROMANIAN PENSION CHIEF SEES ENOUGH CASH FOR HIKES   

Romania may be able to fund a 7 billion lei pension hike next year with little help from the state budget, relying largely on measures to raise the collection of social insurance contributions, a senior official said on Wednesday.   

[ID:nL11815773]   

GOVT TO SHOW PRESIDENT PENSION HIKE MONEY NEXT WEEK   

The government will answer next week to a request from President Traian Basescu to explain its strategy for funding increases in state pensions that will almost double them in two years. The strategy should also include social insurance budget forecasts until 2013.   

Evenimentul Zilei, Page 1   

C.BANK SAYS PENSION HIKES SHOULD NOT WEIGH ON CPI   

Central bank spokesperson Mugur Stet said a plan to nearly double state pensions in two years will not impact inflation significantly, as long as the hikes will not lead to unbalances in the social insurance budget and a rise in the consolidated budget deficit.   

Ziarul Financiar, Page 2   

A second unit at Romania's sole nuclear power plant in Cernavoda will be connected to the national grid by the end of July and become fully functional in September, said the general director of the plant's operator, Nuclearelectrica.   

The two units will provide roughly 19 percent of the country's emergy production.   

Ziarul Financiar, Page 3   

ING BANK MAY MAKE ACQUISITION IN ROMANIA-ING BANK ROMANIA   

ING Bank is considering making an acquisition in Romania, as it moves to expand in Southeast Europe and Asia, but plans are not yet concrete, said the general director of  ING Bank Romania.

Ziarul Financiar, Page 6   

NOTE - For a diary of forthcoming Romanian events, double click [RO/DIARY], and a calendar of east European economic indicators, see [CONV/DIARY].   

For other related news, double click on:    


 ---------------------------------------------------------------
 Romania Market Debt     [RO-DBT]   Romanian forex      [RO-FRX]
 Romania Market Report   [ROL/]     Romanian money      [RO-M]
 Emerging Market Debt    [EMRG/DBT] Emerging forex    [EMRG/FRX]
 All Emerging Markets news [EMRG]   CEE indicators  [CONV/DIARY]
 All East Europe News       [EEU]   E.Europe equities     [.CEE]
 TOP NEWS -- Emerging markets   [TOP/EMRG]
 TOP NEWS -- Convergence watch  [TOP/EAST]
 Romanian indicators        [RO/ECI]
 Main page of Reuters poll  <RO/POLL1>
 ---------------------------------------------------------------
   

LANGEN|RDN|REVU|G|RBN|GNN|RNP|DNP|PGE|PMF"
UPDATE 1-No  Romania fx intervention  recently-cbank economist   ,2007-07-11,"BUCHAREST, July 11 (Reuters) - Romania's central bank has not intervened on the forex market in recent days to curb a strong appreciation of the leu currency, chief economist Valentin Lazea said on Wednesday.   

Asked whether the bank stepped in recently to temper the high-yielding currency's rise, Lazea told reporters:   

""No, it did not intervene.""   

The leu soared to its highest level against the euro in five years last week, boosted by robust foreign and local demand for the high-yielding unit and ignoring warnings from international observers about future risks to the sizzling economy.   

It has since lost some ground and several local players said the central bank may have intervened covertly.   

Lazea, who attended a meeting of Romanian exporters, who complained that a strong leu hurts their business, said the bank had two levers to temper a steep rise and may have to use one.   

""We have two options: lowering interest rates and intervening in the foreign exchange market. Both remain open. We cannot say when and how we will action.   

""There is always the option to have a wait-and-see attitude, but in the context we spoke of, I suggested that we may need to pick one of the two options,"" Lazea said.   

By 1500 GMT, the leu was quoted at 3.1265/25 per euro <EURRON=> compared with a five-year high of 3.0870 hit last Monday.   

ROMANIA-CBANK/ (UPDATE 1)|LANGEN|ABN|M|D|RDN|GNN|DNP"
DJ MARKET TALK:  Romania  Ctrl Bnk May  Intervene  If Leu Rises -ING   ,2007-06-26,"Jun 26, 2007 (DJCS via Comtex) --   

1050 GMT [Dow Jones] Romania's central bank may intervene in the currency markets if the leu strengthens and the EUR/RON rate pushes below the 3.17 support level, says ING economist Ciprian Dascalu in Bucharest. Notes Governor Mugur Isarescu recently said intervention is possible ""at any time, if necessary."" Says Monday's interest rate cut is not likely to curb the currency's strengthening trend, in line with regional currencies. But he expects a widening current account deficit to take RON lower and force rate hikes in early 2008. EUR/RON +0.1% at 3.173. (CRE)   

Contact us in London. +44-20-7842-9464
Markettalk.eu@dowjones.com
   

(END) Dow Jones Newswires   

06-26-07 0650ET"
Romania - Factors to Watch on June 25   ,2007-06-25,"BUCHAREST, June 25 (Reuters) - Here are news stories, press reports and events to watch which may affect Romanian financial markets on Monday.   

C.BANK MEETING   

The central bank (BNR) board holds its monetary policy meeting. Eight out of 12 analysts polled by Reuters last week expect the bank to cut its benchmark rate by at least 25 basis points to 7 percent.   

BUDGET DATA   

The Finance and Economy Ministry may issue official budget data for the first five months.   

MONEY SUPPLY DATA   

The central bank may release May money supply data.   

NASTASE TRIAL   

Former Prime Minister Adrian Nastase is called for the first hearings at the Supreme Court of Justice in a new graft trial against him.   

ROMANIA CENBANK GOV-PREFER CURRENCY TO FIND OWN LEVEL   

Romania's central bank is concerned that the strength of the leu will prove unsustainable but would prefer the currency to find its own level, its governor said on Friday.   

In an interview with Reuters, Mugur Isarescu played down a jump in the leu to a fresh 4-1/2 year high against the euro on Friday, and said the central bank was focused on longer-term trends.   

[ID:nL22846062]   

LEU AT 4-1/2 HIGHS AFTER CBANK COMMENTS   

The Romanian leu surged almost one percent to a new 4-1/2 high on Friday, outperforming the emerging sector as the country's central bank head signalled there were no immediate plans to intervene and stem its rise.   

[ID:nL22646518]   

ROMANIA MAY BUY WHEAT FROM EU'S INTERVENTION STOCKS   

Romania may be forced to buy wheat from the European Union's intervention stocks after a prolonged drought scorched thousands of hectares under grain, officials said on Friday.   

[ID:nL2296072]   

FIGHT AGAINST FRAUD STALLS IN ROMANIA AND BULGARIA   

Six months after joining the European Union, Romania and Bulgaria have failed to demonstrate credible progress in fighting systemic corruption and organised crime, despite broad legislative reforms.   

[ID:nL22875832]   

ROMANIAN ANTI-GRAFT DRIVE AT RISK, CAMPAIGNERS WARN   

Rights groups warned on Sunday that attempts by Romania's government and parliament to pass laws protecting private interests risk undermining the new European Union member's anti-corruption reforms.   

[ID:nL24625571]   

PIC SALES   

Romanian retailer Pic expects its sales to rise by 50 percent on the year to 90 million euros ($121.1 million) in 2007, after investments in network expansion   

Ziarul Financiar, page 9   

NOTE - For a diary of forthcoming Romanian events, double click [RO/DIARY], and a calendar of east European economic indicators, see [CONV/DIARY].   

For other related news, double click on:    


 ---------------------------------------------------------------
 Romania Market Debt     [RO-DBT]   Romanian forex      [RO-FRX]
 Romania Market Report   [ROL/]     Romanian money      [RO-M]
 Emerging Market Debt    [EMRG/DBT] Emerging forex    [EMRG/FRX]
 All Emerging Markets news [EMRG]   CEE indicators  [CONV/DIARY]
 All East Europe News       [EEU]   E.Europe equities     [.CEE]
 TOP NEWS -- Emerging markets   [TOP/EMRG]
 TOP NEWS -- Convergence watch  [TOP/EAST]
 Romanian indicators        [RO/ECI]
 Main page of Reuters poll  <RO/POLL1>
 ---------------------------------------------------------------
   

LANGEN|RDN|REVU|G|RBN|GNN|RNP|DNP|PGE|PMF"
INTERVIEW-Romania cenbank gov-prefer  currency  to find own level   ,2007-06-22,"ZURICH, June 22 (Reuters) - Romania's central bank is concerned that the strength of the leu will prove unsustainable but would prefer the currency to find its own level, its governor said on Friday.   

In an interview with Reuters, Mugur Isarescu played down a jump in the leu to a fresh 4-1/2 year high against the euro on Friday, and said the central bank was focused on longer-term trends.   

Intervention was a last resort, although always an option.   

""As long as it's possible to not intervene in the market, the National Bank of Romania would like the currency to find it's own level,"" he said. ""But we have a managed float and we could intervene at any time, if necessary.""   

Isarescu confirmed earlier comments that the central bank would not intervene to stem the leu's rise unless it was ""deeply concerned"", but declined to name a precise level which would set alarm bells ringing.   

""We are concerned generally that levels will prove to be unsustainable,"" he said. ""I don't know if I am deeply concerned and I can't say exactly when I would be deeply concerned.""   

""One day's movement is not enough ... let's see where we are on Monday or Tuesday.""   

Isarescu said policymakers would take the rise in the leu into account in their June 25 interest rate decision but declined to say whether it made another cut more likely.   

The central bank has cut benchmark interest rates by 150 basis points so far this year, in part due to currency worries, to 7.25 percent.   

""It's one element but the key element is our forecast for inflation as so far its well within target,"" he said.   

In the longer term, however, inflation pressures could reappear. ""Wages are rising more rapidly than productivity growth, I do not consider this is sustainable,"" he said.   

NO RUSH FOR EURO   

Isarescu said the government's recent pledge to cut the budget deficit was a sound move in the lead-up to preparations to adopt the euro early next decade.   

""This is very welcome, it will be good for inflation and for the sustainability of economic growth, it's good for the current account deficit in a period of such rapid economic growth that the budget deficit should be as low as possible.""   

But he said Romania was not in a hurry to adopt the common currency. Bulgaria, which also joined the European Union in January, hopes to join euro proving ground ERM-2 this year but Romania is aiming for 2010-2012.   

""We are not in a currency board so we have no urgency,"" Isarescu said. ""Personally I do not consider it good to enter into a race to adopt the euro.""   

He declined to comment on renewed calls for a change to the inflation test for euro entry.   

Isarescu said Romania had the necessary rules and regulations in place for fully-functioning capital markets and the central bank was doing its bit by keeping inflation low.   

""I am sure that this time next year we will have a well-functioning capital market in Romania,"" he said.   

Romania has a small stock exchange and a nascent bond market with virtually no secondary trade.   

Some analysts say it needs to create more opportunities for foreign players eager to invest their cash in long-term instruments to help offset a vast current account deficit.   

ROMANIA/CENBANK (INTERVIEW)|LANGEN|ABN|M|E|RBN|D|RDN|BNX"
Romania  c.bank cautious about  intervention -MNSI   ,2007-06-22," BUCHAREST, June 22 (Reuters) - Romania's central bank will not intervene in currency markets to stem the rise in the leu unless it becomes ""deeply concerned"" about appreciation, central bank head Mugur Isarescu was quoted as saying on Friday.   

 News agency MNSI reported Isarescu saying on the sidelines of a  Swiss National Bank event in Zurich that he would not fully rule out intervention.   

 ""As long as we are not deeply concerned with the exchange rate developments, we are not intervening and we did not for almost two years,"" Isarescu said.   

 ""But to say publicly that I never will intervene in my view is too much, at least for a small open economy,"" he said.   

 The Romanian leu hit its highest level against the euro in four and a half years on Friday, hitting 3.1920 per euro <EURRON=> after a week of sharp gains.   

 The bank has cut interest rates by 150 basis points so far this year, bringing the benchmark rate to 7.25 percent, in part due to concerns about leu appreciation.      

ROMANIA-CBANK/|LANGEN|ABN|M|D"
Short-term outflows cannot hurt Romania-c.banker   ,2007-05-25,"BUCHAREST, May 25 (Reuters) - Romania's financial stability is not threatened by current short-term capital inflows, central bank governor Mugur Isarescu said on Friday, calling the level of hot cash in the country ""reasonable"".   

Analysts have warned Romania could be at risk of sudden capital outflows if its gaping current account deficit widened sharply or there were signs that foreign investment cash is not sufficient to cover the shortfall.   

""We have 2 billion euros in short-term capital by non-residents, mostly bank deposits. If we compare that with any indicator, they are at a reasonable level,"" Isarescu told a banking seminar.   

Foreign investors have snapped up Romania's leu currency, which has firmed 3 percent against the euro since the start of the year, when Romania joined the European Union. Most of the inflows land in deposits or the vibrant real estate market.   

Hot cash is the equivalent of around 2 percent of last year's gross domestic product and some 10 percent of the central bank's hard currency reserves.   

""I don't see a serious problem if that amount leaves ... we have a liquidity surplus in the market and we continue to sterilise ... Making a quick assessment of a current account correction based on monetary levers, risks are limited,"" Isarescu said.   

The current account deficit, which poses a major risk for Romania's fast growing economy, more than doubled in the first quarter compared with the same 2006 period. It was covered 43 percent by foreign investment.   

The International Monetary Fund sees the deficit widening to around 12 percent of GDP this year against 10 percent in 2006.   

Isarescu said sharp outflows can potentially trigger a central bank intervention, in theory.   

""If capital outflows occur, a central bank bank can take that into accont and possibly react through the rate policy. If that cannot temper the amplitude of the currency depreciation, I believe that a bank can take into account a potential intervention. But I'm not making any projections.""   

ROMANIA-C.BANK/|LANGEN|RDN|GNN|ABN|M|D|BNX|DNP"
Romania - Factors to Watch on April 30   ,2007-04-30,"BUCHAREST, April 30 (Reuters) - Here are news stories, press reports and events to watch which may affect Romanian financial markets on Monday.   

PUBLIC HOLIDAY   

The government has set April 30 as public holiday ahead of Labour Day on Tuesday. Public institutions and the Bucharest stock exchange are closed, but the money market is opened.   

ROMANIAN CEN.BANK SEEN KEEPING RATES FLAT IN MAY   

Romania's central bank is likely to keep its key interest rate unchanged in May, a slim majority of analysts forecast, as potential inflationary pressures later this year and a recent political crisis call for prudence.   

[ID:nL27192013]   

INTERVENTION TALK BRIEFLY HURTS BUOYANT LEU   

The Romanian leu lost one percent against the euro on Friday, sliding away from its highest level in nearly five years amid speculation of central bank intervention, later denied by the bank.   

[ID:nL27547418]   

ROMANIA TO HOLD NATO SUMMIT IN 2008   

New European Union member Romania will hold next year's NATO summit, the alliance's Secretary General Jaap de Hoop Scheffer said on Friday.   

[ID:nL27212697]   

ANTIBIOTICE TURNOVER UP 14 PCT Y/Y in Q1   

Romania's sole state-controlled drugmaker  Antibiotice Iasi , which authorities plan to privatise by October, said its turnover rose 14 percent on the year to 41.7 million lei ($17.08 million) in the first quarter of this year.   

Ziarul Financiar, page 5   

ALRO SEES 2007 TURNOVER DOWN   

Romania's Alro Slatina , one of Europe's largest aluminium smelters, forecast its turnover will decrease by 5 percent on the year to $741 million in 2007, while its net profit will remain steady at about $135 million.   

The company said the forecast is based on falling aluminium prices on commodities markets.   

Ziarul Financiar, page 5   

NOTE - For a diary of forthcoming Romanian events, double click [RO/DIARY], and a calendar of east European economic indicators, see [CONV/DIARY].   

For other related news, double click on:    


 ---------------------------------------------------------------
 Romania Market Debt     [RO-DBT]   Romanian forex      [RO-FRX]
 Romania Market Report   [ROL/]     Romanian money      [RO-M]
 Emerging Market Debt    [EMRG/DBT] Emerging forex    [EMRG/FRX]
 All Emerging Markets news [EMRG]   CEE indicators  [CONV/DIARY]
 All East Europe News       [EEU]   E.Europe equities     [.CEE]
 TOP NEWS -- Emerging markets   [TOP/EMRG]
 TOP NEWS -- Convergence watch  [TOP/EAST]
 Romanian indicators        [RO/ECI]
 Main page of Reuters poll  <RO/POLL1>
 ---------------------------------------------------------------
   

LANGEN|Table|RDN|REVU|G|RBN|GNN|RNP|DNP|PGE|PMF"
Romanian cbank denies it  intervened  in  FX  market   ,2007-04-27,"BUCHAREST, April 27 (Reuters) - Romania's central bank denied talk on Friday that it had intervened in currency markets to weaken the leu, the bank's spokesman said. ""The central bank did not intervene on the foreign exchange market. (Today's) evolution of the leu's exchange rate is not related to the presence of the central bank on the market,"" Mugur Stet, the bank's spokesman, told Reuters.   

The leu fell as low as 3.3350 per euro <EURRON=>, compared to highs of around 3.30 which it hit on Thursday and tested again on Friday.   

By 1125 GMT it recovered some ground to trade at 3.3100.   

ROMANIA-MARKETS/LEU-CBANK (URGENT)|LANGEN|ABN|M|D|RDN|GNN|DNP"
Romania  cbank has no comment on  intervention  talk   ,2007-04-27,"BUCHAREST, April 27 (Reuters) - The Romanian central bank declined to comment on Friday on market rumours it had intervened in currency markets against the leu.   

""The central bank explains very rarely if it intervenes or not. We do not talk about interventions except in exceptional circumstances,"" Adrian Vasilescu, an adviser to central bank governor Mugur Isarescu told Reuters.   

The leu fell sharply against the euro earlier in the session, dropping back from the previous session's rise to near five year highs.   

ROMANIA-CBANK/ (URGENT)|LANGEN|ABN|M|D|GNN|RDN|DNP"
