title,date,text
"Hungary, Factors to watch, March 12",2014-03-12,"BUDAPEST, March 12 (Reuters) - Following is a list of events in Hungary and the region, as well as news stories and press reports which may influence financial markets.               

(For any queries: Budapest editorial +36 1 327 4745)                              

WHAT IS HAPPENING IN HUNGARY (ALL TIMES GMT)               

BUDAPEST - Trade balance, Jan (0800)                              

IN THE REGION               

ROMANIA - Trade balance, Jan (0800)               

SLOVAKIA - Inflation, Feb (0800)               

SLOVAKIA - Industry output, Jan (0800)               

CZECH - NATO conference with NATO Sec Gen Robertson, Czech PM, President (0900)               

CZECH - Conference on CNB FX interventions with Czech, Slovak cbank governors (1330)                              

IN THE NEWS REUTERS               

Hungary's annual inflation 0.1 percent in February - stats               

Hungary's headline inflation was 0.1 percent in annual terms in February after year-on-year inflation fell to zero in January, the Central Statistics Office (KSH) said on Tuesday.               

TABLE                              

CEE MARKETS - Forint dips as low CPI fuels rate cut expectations               

The forint eased on Tuesday after inflation rose less than expected in Hungary, reinforcing expectation the country's central bank will cut interest rates again.                              

Czech PM wants EU support for energy security investment               

Released: 2014-3-12T07:50:35.000Z"
FACTBOX-Five facts on Slovak cbank governor Sramko,2008-12-31,"BRATISLAVA, Dec 31 (Reuters) - Ivan Sramko, governor of the National Bank of Slovakia (NBS), will take a seat on the policy-making Governing Council of the European Central Bank (ECB) after Slovakia becomes the 16th member of the euro zone on Jan. 1.

Following are five facts about Ivan Sramko:

-- Sramko was born on Sept. 3, 1957 in Bratislava and graduated from the Bratislava-based Economic University in 1980. He is married and has three children.

-- He became NBS governor on Jan. 1, 2005, after having served as the bank's deputy governor since Jan. 11, 2002.

-- Sramko joined the central bank from his post as a board member of Tatra Banka, Slovakia's third largest bank and a unit of Austria's Raiffeisen Bank. He was the CEO of small local bank Istrobanka before.

-- Under Sramko's leadership, the NBS repeatedly intervened to slow the appreciation of the Slovak crown. It also propped up the crown in 2006 when it weakened due to investors fearing the new leftist government would dismantle market-friendly reforms and abandon the 2009 euro adoption target.

-- Sramko oversaw Slovakia's entry to the exchange rate mechanism ERM-2 in 2005 and two revaluations of the crown's parity rate within the pre-euro currency grid. Before the unit was irrevocably fixed to the euro in July 2009, Sramko said the exchange rate had a minor impact on inflation and cautioned about the negative effect of too strong a currency on the economy, which the market viewed as a sign he was against an overly strong conversion rate for the euro switchover.

In the end, Prime Minister Robert Fico had advocated as strong a conversion rate as possible, and the fixing rate of 30.1260 crowns per euro was the unit's strongest level ever. (Reporting by Peter Laca; Editing by Michael Winfrey/Tony Austin)

SLOVAKIA-EURO/SRAMKO (FACTBOX)|LANGEN|ABN|M|D|CZS|DNP"
Slovakia - Factors To Watch on Oct 17   ,2007-10-17,"BRATISLAVA, Oct 17 (Reuters) - Here are news stories, press reports and events to watch which may affect Slovak financial markets on Wednesday.   

GOVERNMENT MEETING   

Government will hold its regular weekly meeting, 0800 GMT.   

SEPT JOBLESS DATA   

Labour Office will release September jobless rate data, 0900 GMT.   

NO BIG NEED FOR RATE HIKE-SLOVAK CBANKER   

Slovak EU-norm inflation has picked up more than expected due to food price growth, but there is no big need to tighten monetary conditions, central bank (NBS) board member Ludovit Odor said on Tuesday.   

[ID:nL16552908] [RTRS-PLCY-CEN--SK]   

SEPT CPI OFF RECORD LOW, BUT EURO ON TRACK   

Rising food prices lifted Slovak EU-norm inflation from record lows in September, but analysts said interest rates would stay on hold as the country appeared on track to meet a key euro entry test.   

[ID:nL16530233] [RTRS-MCE-ECI-SK]   

[ID:nL16891453] [RTRS-MCE-ECI-SK]   

C.BANK SAYS SEPT INFLATION ABOVE ITS FCAST   

Slovak EU-norm inflation, running at 1.7 percent year-on-year, was above the central bank's (NBS) forecast in September mainly due to a sharper increase in food prices, the NBS said on Tuesday.   

[ID:nPRG000544] [RTRS-MCE-ECI-CEN-SK]   

ENEL MAY RETHINK SLOVAK INVESTMENT IF RULES CHANGE   

Italy's Enel could rethink its plans to invest $4.64 billion in Slovakia if the government intervenes in the free energy market, Enel's Slovak unit said on Tuesday.   

[ID:nL16265500] [RTRS-UTIL-ELEU-ELG-SK]   

CBANK DRAINS SKK 156 BLN IN REPO TENDER   

The Slovak central bank (NBS) accepted all bids in a regular two-week repo tender on Tuesday, draining 156.046 billion crowns ($6.59 billion) from the market, NBS data showed.   

[ID:nL16362482] [RTRS-CEN-MMT-INT-SK]   

PRESS DIGEST   

------------   

PENSION SYSTEM   

Slovak ruling coalition parties have agreed on changes to the pension system. Parliament is expected to debate the draft later his month.   

Sme, page 2   

FICO MEETS GYURSCANY   

Prime Minister Robert Fico is expected to meet his Hungary's counterpart Ferenc Gyurscany in Lisbon later this week, seeking ways to calm political tensions between Slovakia and Hungary.   

Sme, page 2   

SONY LAUNCHES PRODUCTION   

Sony starts mass production at its 73 million-euro ($103.7 million) plant near the western Slovak town of Nitra.   

Sme, page 6   

HIGHWAY CONSTRUCTION   

The government is expected to debate the transport ministry's plan to build 151 kilometers of highways through public-private partnerships. The finance ministry's analysis advises to cut the planned volume by 30 percent.   

Sme, page 9   

PM FICO ILL   

Prime Minister Robert Fico was forced to scrap his program for an illness on Wednesday.   

Pravda, page 4   

For news on upcoming events in the United States and other Group of Seven countries, see <G7TODAY>. For a diary of forthcoming Slovak events, double click [SK/DIARY], and a calendar of east European economic indicators, see [CONV/DIARY].   

News editor of the day: Peter Laca on +421 2 5341 8402; fax: +421 2 5341 8403   

E-mail: editorial@reuters.sk   

Reuters Messaging: peter.laca.reuters.com@reuters.net   

For real-time index quotes, double click in brackets:   

Warsaw WIG20 <.WIG20> Budapest BUX <.BUX> Prague PX50 <.PX50> Other related news:    


 Slovak equities      [SK-E]  E.Europe equities           [.CEE]
 Slovak money         [SK-M]  Czech debt                  [CZ-D]
 Slovak Indicators  [SK-ECI]  Emerging forex          [EMRG/FRX]
 Eastern European     [EEU]   All emerging markets        [EMRG]
 Hot stocks           [HOT]   Stock markets                [STX]
 Market debt news     [DBT]   Forex news                   [FRX]
 TOP NEWS -- Emerging markets                         [TOP/EMRG]
 TOP NEWS -- Convergence watch                        [TOP/EAST]
   

SLOVAKIA-FACTORS/|LANGEN|Table|ABN|M|D|E|RBN|CZS|REVU|RNP|DNP|PTD|PMF"
TABLE-Slovak c.bank  forex  reserves rise to $17.66 bln   ,2007-06-01,"June 1 (Reuters) - The Slovak central bank's (NBS) foreign currency reserves edged up to $17.658 billion as of May 30, from $17.603 billion a week ago, the bank said on Friday.   

Central bank reserves jumped seven weeks ago after the NBS intervened on the foreign exchange market to weaken the crown.   

The NBS said, after a monthly monetary policy meeting on Tuesday, the size of its April 4 intervention reached 700 million euro. SLOVAK FOREIGN RESERVES MAY 30 MAY 23 MAY 16 ($ million)    

Central Bank               17,657.5    17,602.6   17,702.1
 Commercial banks            2,029.7     2,307.3    3,295.7
 Total banking sector       19,687.2    19,909.9   20,997.8
 NOTE: Reserves data are calculated according to methodology
compatible with European Central Bank standards.
  (Reporting by Martin Santa in Bratislava)
   

SLOVAKIA-CBANK/RESERVES|LANGEN|Table|ABN|M|D|CZS"
Slovakia - Factors To Watch on May 30   ,2007-05-30," BRATISLAVA, May 30 (Reuters) - Here are news stories, press reports and events to watch which may affect Slovak financial markets Wednesday.   

 GOVERNMENT MEETING   

 The government will hold a regular meeting in the eastern Slovak town of Sobrance.   

 TELEFONICA NEWS CONFERENCE   

 Mobile phone services provider, Telefonica O2 Slovakia, to hold a news conference, 0830 GMT.   

 CBANK HOLDS RATES, SIGNALS EASING PAUSE   

 The Slovak central bank (NBS) left interest rates unchanged at a policy meeting on Tuesday and signalled a pause in the current monetary policy easing as recent inflation and trade data were worse than expected.   

 [ID:nL29581569] [RTRS-CEN-PLCY-SK]   

 CBANKER: BOARD UNANIMOUS IN HOLDING RATES   

 The Slovak central bank (NBS) held interest rates at a policy meeting on Tuesday because recent economic data differed slightly from forecasts and the NBS needs more time to analyse the figures, Governor Ivan Sramko said.   

 [ID:nPRG000365] [RTRS-CEN-PLCY-SK]   

 CBANK APRIL INTERVENTION HIT 700 MLN EUROS   

 The Slovak central bank (NBS) said on Tuesday it had bought 700 million euros in one intervention aimed at curbing the crown's strength on April 4.   

 [ID:nL29191430] [RTRS-MMT-FRX-CEN-SK]   

 END-MARCH CURRENT ACCOUNT SURPLUS SKK 0.7 BLN   

 Slovakia's current account showed a preliminary surplus of 0.7 billion crowns ($27.79 million) at the end of the first quarter, compared with a gap of 23.3 billion a year ago, the central bank (NBS) said on Tuesday.   

 [ID:nPRG000366] [RTRS-MCE-ECI-CEN-SK]   

 GAS FIRM SPP 2006 PROFIT JUMPS, DIVIDENDS UP   

 Slovakia's top natural gas firm  Slovensky Plynarensky Priemysel (SPP) reported on Tuesday a 17.6 percent jump in its net profit for 2006, and decided to pay the entire amount out in dividends.   

 [ID:nL29658442] [RTRS-ELG-NGS-SK]   

 CROWN DOWN VS EURO ON REGION, IGNORES C.BANK   

 Bearish sentiment on emerging markets pushed the Slovak crown weaker against the euro on Tuesday and analysts said the unit was likely to ease further in the short-run.   

 [ID:nL2911162] [RTRS-MMT-FRX-SK]   

 CBANK DRAINS SKK 168 BLN IN 2-WK REPO   

 The Slovak central bank (NBS) accepted all bids in a regular two-week repo tender on Tuesday, draining 167.892 billion crowns ($6.64 billion) from the market.   

 [ID:nL2963826] [RTRS-FRX-CEN-SK]   

 END-FEB FOREIGN DEBT RISES TO $32.2 BLN   

 Slovakia's gross foreign debt rose to $32.177 billion at the end of February from $31.280 billion at the end of January, the central bank (NBS) said on Tuesday.   

 [ID:nL29293475] [RTRS-MMT-ECI-CEN-SK]   

 PRESS DIGEST   

 ------------   

 CBANK DEPUTY GOVERNOR   

 Viliam Ostrozlik, appointed to the central bank's policy-making board earlier this year, is the most likely candidate for the post of central bank deputy governor, sources who wished not to be named said.   

 Pravda, page 2   

 FUEL PRICES   

 Prime Minister Robert Fico wants to bring Slovak petrol fuel prices to the lowest level in the European Union. The government would have to cut excise taxes to achieve that goal and make fuels less expensive, analysts said.   

 Sme, page 7   

 SLOVAKIA, CZECH REPUBLIC, POLAND SUE EU   

 Slovakia, Czech Republic and Poland will file a lawsuit against the European Commission (EC), against its fine for excess inventories of some goods.   

 Sme, page 9   

 AUSTRIA IMMORENT TO INVEST $238 MLN IN KOSICE   

 Austria's Immorent is expected to build an industrial-logistic centre, worth 6 billion crowns ($238.2 million), in the eastern Slovak town of Kosice.   

 Hospodarske Noviny, page 13   

 For news on upcoming events in the United States and other Group of Seven countries, see <G7TODAY>. For a diary of forthcoming Slovak events, double click [SK/DIARY], and a calendar of east European economic indicators, see [CONV/DIARY].   

 News editor of the day: Peter Laca, on +421 2 5341 8402; fax: +421 2 5341 8403   

 E-mail: editorial@reuters.sk   

 Reuters Messaging: peter.laca.reuters.com@reuters.net   

 For real-time index quotes, double click in brackets:   

 Warsaw WIG20 <.WIG20>  Budapest BUX <.BUX>  Prague PX50 <.PX50>  Other related news:    


 Slovak equities      [SK-E]  E.Europe equities           [.CEE]
 Slovak money         [SK-M]  Czech debt                  [CZ-D]
 Slovak Indicators  [SK-ECI]  Emerging forex          [EMRG/FRX]
 Eastern European     [EEU]   All emerging markets        [EMRG]
 Hot stocks           [HOT]   Stock markets                [STX]
 Market debt news     [DBT]   Forex news                   [FRX]
 TOP NEWS -- Emerging markets                         [TOP/EMRG]
 TOP NEWS -- Convergence watch                        [TOP/EAST]
   

Slovakia - Factors To Watch on May 30|LANGEN|ABN|M|D|E|RBN|CZS|REVU|RNP|DNP|PTD|PMF"
Slovak  cbank April  intervention  hit 700 mln euros   ,2007-05-29,"BRATISLAVA, May 29 (Reuters) - The Slovak central bank (NBS) said on Tuesday it had bought 700 million euros in one intervention aimed at curbing the crown's strength on April 4.   

The crown, the fastest rising currency in central Europe last year, hit a record of 32.710 per euro on March 19 after its peg to the euro within the exchange rate mechanism ERM-2 was revalued by 8.5 percent.   

The Slovak unit has lost 3.9 percent to the euro since then, partly due to NBS efforts to stem its rise.   

Apart from interventions, the central also flooded the market with excess crown liquidity to make it less attractive for hot money.   

The crown was quoted at 34.035 per euro <EURSKK> as of 1300 GMT, following the central bank Tuesday's decision to leave key two-week repo rate unchanged at 4.25 percent, after two 25 basis-points cuts in March and April.   

SLOVAKIA-CBANK/INTERVENTION|LANGEN|Table|ABN|D|M|CZS|DNP"
"Slovak crown further down on region, euro rumour   ",2007-05-25,"BRATISLAVA, May 25 (Reuters) - The Slovak crown weakened through 34.0 level against the euro to a 10-week low on Friday amid easing on global emerging markets and rumours of an early setting of an euro conversion rate for the currency.   

The crown traded in a volatile session as low as 34.130 to the euro, its weakest level since its peg to the euro in the exchange rate mechanism ERM-2 was revalued by 8.5 percent in mid-March, before rebounding slightly to 34.050 as of 1330 GMT.   

It traded at 33.850 late on Thursday.   

""There is profit taking in the whole region, which is mostly felt on the crown,"" said Tatra Banka trader Milan Cavojec. ""It is partly an the effect of the interventions.""   

The Slovak central bank sold an estimated 2.5 billion euros on the market in March and April interventions aimed at halting fast firming of the crown. Analysts have said the interventions allowed foreign players to open bigger positions, which has made the crown more vulnerable to changes of sentiment on emerging markets.   

The crown also traditionally comes under pressure in April and May as local companies pay dividends to their foreign shareholders, traders said.   

In addition, several traders in Bratislava said the crown was also affected by a rumour that its conversion rate to the euro will be fixed in the near future.   

Slovakia plans to adopt the euro in 2009, with the conversion rate expected to be set at around mid 2008, but it has yet to meet inflation and fiscal criteria for euro zone entry.   

""The rumour is a factor moving the crown, however incredible or improbable it sounds,"" a foreign bank trader in Bratislava said.   

SLOVAKIA-CROWN/AFTERNOON|LANGEN|CZS|ABN|M|D|RBN|RNP|DNP|PTD|PMF"
TABLE-Slovak c.bank  forex  reserves fall to $17.6 bln   ,2007-05-25,"May 25 (Reuters) - The Slovak central bank's (NBS) foreign currency reserves fell to $17.603 billion as of May 23 from $17.702 billion a week ago, the bank said on Friday.   

Central bank reserves jumped six weeks ago after the NBS intervened on the foreign exchange market to weaken the crown.   

The NBS is expected to announce the size of its April intervention after a monthly monetary policy meeting on May 29. SLOVAK FOREIGN RESERVES MAY 23 MAY 16 MAY 9 ($ million)    

Central Bank               17,602.6   17,702.1   17,786.5
 Commercial banks            2,307.3    3,295.7    2,309.4
 Total banking sector       19,909.9   20,997.8   20,095.9
 NOTE: Reserves data are calculated according to methodology
compatible with European Central Bank standards.
  (Reporting by Martin Santa in Bratislava)
   

SLOVAKIA-CBANK/RESERVES|LANGEN|Table|ABN|M|D|CZS"
TABLE-Slovak c.bank  forex  reserves dip to $17.7 bln   ,2007-05-18,"May 18 (Reuters) - The Slovak central bank's (NBS) foreign currency reserves dipped to $17.702 billion as of May 16 from $17.787 billion a week ago, the bank said on Friday.   

Central bank reserves jumped five weeks ago after the NBS intervened on the foreign exchange market to weaken the crown.   

The NBS is expected to announce the size of its April intervention after a monthly monetary policy meeting on May 29. SLOVAK FOREIGN RESERVES MAY 16 MAY 9 MAY 2 ($ million)    

Central Bank              17,702.1   17,786.5    17,759.5
 Commercial banks           3,295.7    2,309.4     2,224.1
 Total banking sector      20,997.8   20,095.9    19,983.6
 NOTE: Reserves data are calculated according to methodology
compatible with European Central Bank standards.
  (Reporting by Martin Santa in Bratislava)
   

SLOVAKIA-CBANK/RESERVES|LANGEN|Table|ABN|D|M|CZS"
TABLE-Slovak c.bank  forex  reserves rise to $17.79 bln   ,2007-05-11,"May 11 (Reuters) - The Slovak central bank's (NBS) foreign currency reserves edged up to $17.787 billion as of May 9 from $17.760 billion a week ago, the bank said on Friday.   

Central bank reserves jumped one month ago after the NBS intervened on the foreign exchange market to weaken the crown.   

The NBS is expected to announce the size of its April intervention after a monthly monetary policy meeting on May 29.   

SLOVAK FOREIGN RESERVES MAY 9 MAY 2 APRIL 25 ($ million)    

Central Bank              17,786.5    17,759.5     17,739.3
 Commercial banks           2,309.4     2,224.1      2,426.3
 Total banking sector      20,095.9    19,983.6     20,165.6
 
 NOTE: Reserves data are calculated according to methodology
compatible with European Central Bank standards.
  (Reporting by Martin Santa in Bratislava)
   

SLOVAKIA-CBANK/RESERVES/(TABLE)|LANGEN|Table|ABN|D|M|CZS"
