title,date,text
Goldman trims forecast gains in South African rand.  ,2000-07-12," LONDON, July 12 (Reuters) - Goldman Sachs cut its forecasts for how much the South African rand will strengthen against the dollar over the next 12 months, according to its latest client note.  

 The U.S. investment bank said it continued to recommend investors maintain short dollar positions against the rand but cut its forecasts to 6.7 rand in three months, 6.4 in six months and 6.7 in 12 months from its previous forecasts of 6.30, 6.25 and 6.40 respectively.  

 The rand stood at 6.7975/8075 per dollar at 0950 GMT.  

 The relatively peaceful outcome of elections in Zimbabwe and signs that South African inflation would shortly be peaking were seen as rand supportive.  

 But Goldman said it expected rand strength to be capped by the likely intervention of the South Africa Reserve Bank to reduce its forward book.  

 The central bank's net open foreign exchange position (NOFP) - which measures its uncovered exposure to the forward foreign exchange market - fell to $10.1 billion in June from $10.2 billion in May.  

 Goldman Sachs expects the central bank to hold the repo rate at 11.75 percent for the rest of this year and sees further easing in the second quarter of next year.  

 It saw this coming amid a significant decline in inflation as the effect of higher oil prices and this year's currency correction dissipated and the positive benefits of structural reform dominated.  

 The bank maintained its forecast of 12.8 percent yield on the R150 bond for the end of 2000 and 12 percent by mid-2001. It was yielding around 13.25 percent on Wednesday.  

 ((London Capital Markets, +44 20 7542 6176, andy.reierson@reuters.com))."
"Emerging  FX - Currencies  hit new highs, new lows. ",2000-03-06," LONDON, March 6 (Reuters) - The Israeli shekel and Slovak crown broke through new levels on Monday as investment flows pushed currencies ever higher while the rand hit an 18-month low against the dollar, echoing weakness in the local bond market. 

 The shekel broke through 4.0 to the dollar and was trading at 3.9997 bid at 1430 GMT, after hitting its highest levels since October 1998. 

 ""It's heading for a very key level around 3.99 because the turning point between a possible bounce and a continuance downwards,"" said one trader. ""If it breaks 3.99 it should continue to around 3.95."" 

 He said the market was waiting to see what the Nasdaq would do after making strong gains on Friday. 

 ""There is a kind of umbilical cord between the two. If the Nasdaq does shoot above the 5,000 level we'll see the Shekel gain ground,"" the trader said. 

 The Nasdaq opened unchanged. 

 The Slovak crown pushed ahead to its highest levels against the euro since the euro's birth, trading at 41.62 compared to Friday's close of 41.75, helped by positive sentiment on the country's outlook. 

 ""We like the economy - there's an improving current account performance and lots of state asset sales in the pipeline. There are good reasons for the improvement in the crown,"" said Tim Ash, economist at WestLB. 

 Ash said the market was now trying to find a level after the central bank stopped intervening at 42.3 to the euro. 

 In South Africa the rand was telling a different story, hitting lows against the dollar not seen for the last 18 months, at 6.48 compared to Friday's close of 6.45. 

 ""Fundamentally there's nothing that's been driving this. News has been very encouraging,"" said Razia Khan at Standard Chartered. She said the central bank had lost some credibility last week when it said its inflation targeting policy had been a bit rushed, though it is still likely to meet the targets. 

 With no major data due out in the next week for South Africa and investors also shunning the bond market, there is little to change the current situation, Khan said. 

 ""Until we see a real recovery in the euro it is unlikely the rand will strengthen much against the dollar. But if you take into account the movements against the currencies of all South Africa's trading partners, in real terms the rand has been holding up strongly."" 

 (Caroline Smith, London Capital Markets, +44 171 542 6414, caroline.smith@reuters.com). 

 (C) Reuters Limited 2000."
Cbank  intervention  seen restraining S.Africa rand. ,1999-12-03," JOHANNESBURG, Dec 3 (Reuters) - South Africa's currency is expected to hold steady in coming weeks, economists say, but lurking central bank intervention will stop it strengthening as much as it could. 

 Over the past six months, the rand has held comfortably to a band between 6.00 and 6.20 to the dollar, with only brief spikes out of the range. Any strengthening through six has quickly been followed by a move back towards 6.10. 

 In its quarterly economic bulletin, released on Thursday, the Reserve Bank revealed one major reason for the pattern. 

 ""The appreciation in the weighted effective value of the rand could have gone further...had it not been for the Reserve Bank's steady purchases of foreign currency,"" the December edition of the bulletin said. Earlier in the day, more information emerged on how much foreign currency the central bank has been buying. 

 Releasing November reserves data, the Bank said its net open foreign exchange position (NOFP) - its uncovered exposure to fluctuations in the foreign exchange market - declined by $900 million on the month to $14 billion. 

 The numbers were encouraging, and came on the back of a healthy decline in the NOFP (and forward book) in recent months, from $18.3 billion in June this year. 

INTERVENTION HOLDS BACK RAND 

 While economists are pleased with the reduction in a liability that makes foreign investors wary and has negative implications for interest rates, it is also holding up the rand. 

 ""A base has been formed under the rand, it should be stronger - somewhere closer to 5.80 than 6.15,"" said Colen Garrow, economist at ABN-Amro in Johannesburg. 

 ""But while the rand may not have reached its full potential, the forward book has come down a lot and that's encouraging from several points of view. (Reserve Bank Governor) Tito Mboweni is hell bent on getting the forward book down and he's doing it."" 

 Garrow reckons the Bank will continue siphoning dollars out of the market as long as the currency holds between six and 6.25 and for as long as capital inflows to local securities give the currency fundamental support. 

 ""As foreigners show interest in the equity market and, to a lesser extent, the bond market, the Bank will take dollars out...we're likely to see the currency around 6.10 in the run up to the budget (in February) rather than 5.90 or below."" 

 Some currency traders are concerned the central bank's unspecified intervention floor could prompt speculators, who had a bash at the currency last year, to have another go. 

 But most think the Bank's policy will just prevent the rand from moving too close to six to the dollar and that foreign buying of local assets will prevent weakness on the other side. 

 ""They're just taking dollars out very calmly, in a very orderly way. The rand is basically rangebound and steady,"" said one senior trader. 

 With the currency seen stable, and bonds and equities expected to get a boost from fresh capital flows after the millennium, the risk on the horizon may come with the budget. 

 Economists say that if Finance Minister Trevor Manuel decides to loosen exchange controls further, as everyone is clamouring for him to do, there would likely be a period of rand weakness as currency leaves the country. 

 ((Johannesburg newsroom, +27 11 775 3131, fax +27 11 775 3132, email newsroom@reuters.co.za)). 

 (C) Reuters Limited 1999."
S.Africa cbank says no comment on  fx intervention . ,1999-06-22," JOHANNESBURG, June 22 (Reuters) - The Reserve Bank of South Africa on Tuesday declined to comment on market speculation it had taken advantage of the rampant rand to purchase dollars and unwind its heavy exposure in the forward forex market. 

 Bertus van Zyl, general manager of foreign exchange trading, told Reuters the Bank's policy of permitting two-way volatility in the currency remained intact. 

 This, he said, allowed it to buy small amounts of either rand or dollars from time to time, depending on the circumstances. But he declined to be drawn on specifics. 

 Analysts reckon the bank should sell rand for dollars in order to trim its hefty oversold forward dollar position, which stood at $22.2 billion rand at the end of May. 

 They also say the rand's resurgence - it has jumped to its strongest levels since early February in celebration of the country's peaceful June 2 election - is damaging the country's fragile exports and that the Bank would prefer to see it weaken. 

 South African export earnings have been pressured by the slump in bullion prices to a fresh 20-year low of $258 per ounce and would benefit from a weaker rand, which would make goods made here cheaper in foreign markets. 

 The rand has been boosted by dollar selling after traders said offshore hedge funds cut the long-dollar positions they had established ahead of the elections in anticipation of rand weakness. 

 With such a strong inflow of the U.S. currency into the market, dealers say it would be natural for the central bank to take advantage by soaking up the extra liquidity. 

 ((Johannesburg newsroom, +27-11-775-3131, 

 fax: +27-11-775-3132, e-mail: newsroom@reuters.co.za)). 

 (C) Reuters Limited 1999."
Medium term prospects bearish for rand - Warburg. ,1998-11-16," LONDON, Nov 16 (Reuters) - The medium term prospects for the rand are poor, although the short term outlook, buyoed by further interest rate cuts among G7 countries, is more favourable, analysts at Warburg Dillon Read said. 

 ""With the rand now at levels reflecting overvaluation ... and with the possibility of the economy only running sustained current account surpluses in the next five years at the earliest, the rand remains vulnerable to further bouts of turbulence,"" analyst Mansoor Mohi-uddin wrote in a client note published on Friday. 

 Warburg said the rand would fall to 7.00 per dollar by the end of 1999, after rising from a low of 6.84 to the dollar in late August to a recent 3-1/2 month high of 5.48 as hedge funds and proprietary desks have closed out long dollar positions. 

South Africa's central bank has held back from intervening to cap the rand's gains, allowing it to strengthen. 

 ""In the short term, we believe that the absence of leveraged players/proprietary desks and the further prospect of G7 interest rate cuts will provide further near term support for the rand,"" Warburg said. 

 But looking further ahead: 

 ""While national elections in 1999 and the appointment of a new governor to the SARB are less likely to provoke currency turbulence...the 'reliquification' of global markets by U.S. interest rate cuts will enable leveraged players in the medium term to target more liquid emerging market currencies once again."" 

 Warburg said the outlook for South African government debt was likely to be similar. 

 While bond yields may fall over the following three months: ""over a one-year time horizon, bouts of currency turbulence are likely to reflect in yields periodically spiking higher again, and pre-crisis highs in the bond market, when yields fell to 12.4 percent, look out of reach."" 

 ((Carolyn Cohn, London newsroom +44 171 542 6320, uk.forex.news@reuters.com)). 

 (C) Reuters Limited 1998."
PRESS DIGEST - South Africa - Sept 25. ,1998-09-25," JOHANNESBURG, Sept 25 (Reuters) - These are the leading stories in the South African press on Friday. 

 Reuters has not verified these stories and does not vouch for their accuracy. 

 - - - - 

 BUSINESS DAY 

 - The rand firmed against the dollar last night, accompanied by a firmer gold price, as Japanese and Hong Kong stock prices surged on Thursday. 

 - Voicing faith in Deputy President Thabo Mbeki's ""assertive leadership"" and government's commitment to prudent fiscal and monetary policy, US credit rating agency Duff & Phelps said it saw no reason to downgrade South Africa's long-term foreign currency and rand debt from BBB-and A-respectively, and declared the outlook ""stable"". 

 - The Federal Reserve Bank in New York has co-ordinated a 3.5 billion dollar baleout of one of the largest U.S. hedge funds, following fears that a collapse could worsen the contagion in financial markets. 

 - The Financial and Fiscal Commission, the body charged with advising government on provincial finances, is worried that government is stalling the devolution of taxation powers to the provinces. 

 - The Food and Allied Workers' Union (Fawu), racked by claims of financial irregularities, is unable to pay staff salaries this month. 

 - - - - 

 BUSINESS REPORT 

 - South Africa's vehicle manufacturers were owed an estimated 1.5 billion rand by the government for taxes paid in lieu of export benefits that should have been tax free, Roger Pitot, a consultant to the National Association of Automobile Manufacturers of South Africa (Naamsa), said on Wednesday. 

 - The Russian central bank called for tough price controls on Thursday, warning that without prompt action inflation could explode to between 400 percent and 450 percent by the end of the year. 

 - Eskom, the state electricity utility, was expected to pump 40 million rand to 60 million rand annually into Esmed, its medical aid scheme, a top Eskom source said on Thursday. Esmed was not expected to break even in the next four years. 

 - A bitter row between the Council for Nuclear Safety (CNS) and the department of minerals and energy over radiation safety in mines had to do with money rather than safety, senior government and industry sources said this week. 

 - - - - 

 THE STAR 

 - As an uneasy calm returned to a devastated Maseru on Thursday after three days of looting and mayhem, President Nelson Mandela angrily described criticism of South Africa's military intervention in Lesotho as ""ignorance"". 

 - Cultural diversity was the theme of Thursday's Heritage Day festivities as South Africans celebrated with prayer, dance and song. 

 - It's get-away weather for those who want to get out and about this weekend, with the Weather Bureau predicting that most of Gauteng will be fine but partly cloudy. 

 - - - - 

 THE CITIZEN 

 - The voluntary removal from Fourways High School, Johannesburg of four girls accused of involvement in tuckshop thefts to totalling 48,000 rand was ""tantamount to expulsion"", governing body chairman Mike Hogan said on Thursday. 

 - A planned rolling protest by organised agriculture against farm killings has drawn support from a wide spectrum of other organisations and could turn into a mass demonstration against crime and the government's handling of it. 

 ((Johannesburg newsroom, +27 11 482-1003 

 newsroom@reuters.co.za)). 

 (C) Reuters Limited 1998."
IMF praises as well as chides S.Africa - finmin. ,1998-09-09," CAPE TOWN, Sept 9 (Reuters) - South African Finance Minister Trevor Manuel said on Wednesday an annual review of the country's economy by the International Monetary Fund (IMF) had praised as well as criticised financial policy. 

 Manuel told a news conference the Cabinet had noted the report issued last week, which he said was positive on the progress South Africa had made in controlling expenditure in its provinces. He said the IMF was also content with the country's tight monetary and fiscal policy and financial sector regulation. 

 ""There were a number of headings where it was indicated that these issues were being dealt with adequately,"" he said. 

 The report was particularly encouraging on South Africa's performance in regulating the financial sector and banking supervision, which was particularly important in the wake of banking crises in South East Asia, Manuel said. 

 The finance minister admitted that the Washington-based agency had taken South Africa to task over central bank intervention in the forward market to support the rand earlier this year and inadequate labour market flexibility. 

 The IMF report said South Africa had been wrong to intervene to protect the rand and should in future raise interest rates instead. The agency said South Africa's ""uneven monetary policy"" coupled with buying the rand on the currency markets had expose the economy to greater risk. 

 The rand came under heavy selling pressure in May as other emerging market economies suffered devaluations in the wake of last year's financial crisis that engulfed Asian countries. 

 Official interest rates in South Africa have surged to 21.855 percent from 15 percent in April as the central bank defended the rand from speculators who have robbed the currency of 25 percent of its value against the dollar. 

 The IMF said South Africa should close all its forward market operations run by the central bank, linked to its currency intervention, and urgently adopt a comprehensive policy response to restore market confidence in the currency. 

 This should include keeping a tight monetary policy, refraining from currency intervention, achieving its 1998/99 fiscal year budget targets and accelerating previously announced economic reforms, it said. 

 The finance minister said the document would become a basis of engagement at the forthcoming IMF annual meeting. 

 ""You take these points, but it doesn't mean that there is an absolute correctness because it comes from the IMF,"" Manuel said. ""We would reserve the right to take decisions as a sovereign member of the IMF and differ with them."" 

 Manuel said Cabinet had also improved the draft Insider Trading Bill which aims to improve monitoring, investigation and penalties of irregular share dealing and said the legislation should be passed early next year. 

 ((-Emma Thomasson, Parliamentary newsroom +27 21 4032502 reutercp@iafrica.com)). 

 (C) Reuters Limited 1998."
S.Africa markets face rough ride after IMF critique. ,1998-09-02," JOHANNESBURG, Sept 2 (Reuters) - South Africa's bruised financial markets faced another rough ride on Thursday after a damning report on the country's foreign exchange policy from the International Monetary Fund (IMF). 

 The Washington-based agency said on Wednesday that South Africa had been wrong to intervene to protect its battered rand and should in future raise interest rates instead. 

 ""I think the markets will take it quite badly tomorrow morning when they wake up to this IMF report,"" said Mike Schussler, an economist at FBC Merchant Bank in Johannesburg. 

 ""It's very unfortunate that the IMF would come out with a statement criticising South Africa's policy when the general consumer is in danger of falling over."" 

 South Africa's economy has been reeling from a four-month currency crisis that has seen interest rates raised to the highest levels in a decade, threatening growth and dashing the hopes of an improved life for millions of poor blacks. 

 The rand has shed 30 percent of its value against the dollar since late May as speculators targeted the currency amid growing emerging market jitters. 

 The Johannesburg bourse has suffered a 42 percent collapse since April, taking stocks to levels not seen since the eve of South Africa's first all-race elections in 1994 when many feared a civil war. 

 The recent Russian financial crisis added to South Africa's woes last week, but Wednesday's session had seen stock and money markets begin to stabilise. 

 ""That is a very bad report to have in these circumstances,"" another economist said in forecasting a tough day for domestic markets on Thursday. 

 The rand eased to around 6.23 (bid) to the dollar in overnight trading from 6.21 (bid) when the local market closed at 1400 GMT on Wednesday. 

 In its review, the IMF said South Africa's ""uneven monetary policy"" and buying of the rand on currency markets had exposed the economy to greater risk earlier this year. 

 ""Directors expressed concern that, following an initial increase in interest rates, the authorities' intervention in the spot and forward exchange markets and the pursuit of an uneven monetary policy had exacerbated the pressures and may have risked converting a contagion problem into one that was more specific to South Africa,"" said the IMF report. 

 The IMF urged a comprehensive policy response to restore market confidence in the currency, including keeping a tight monetary policy, refraining from currency intervention, achieving government budget targets and accelerating previously announced reforms. 

 ""If renewed pressures develop, the Reserve Bank (of South Africa) would need to tighten monetary policy again,"" the IMF report said. 

 It also warned that reducing interest rates too hastily would encourage inflation and risk a further speculative attack on the currency. 

 In hindsight, the central bank could have raised interest rates earlier to defend the currency, economists said, but they considered the IMF's criticism unfair. 

 ""It's very easy to criticise the Reserve Bank, but you must remember at the time it was unclear that the contagion effect would go as far as it did,"" said John Reed of ABN-AMRO in Johannesburg. 

 There was no immediate comment from the central bank, but Reserve Bank Governor Chris Stals said earlier on Wednesday that global market turmoil prevented a quick rate reduction. 

 The central bank is facing growing domestic pressure to ease monetary policy as the country teeters on the edge of a recession. 

 Official rates have soared to 21.855 percent from 15 percent in April, threatening homeowners and businesses. 

 Stals said South Africa had the stamina to weather the storm buffeting world markets, but the immediate future was beyond official control. 

 ""Return of stability to these markets will pave the way for lower rates in South Africa...For any individual country such as South Africa to break out of these shackles at this stage will be almost impossible,"" he said. 

 ((Johannesburg newsroom, 27 11 482 1003, newsroom@reuters.co.za)). 

 (C) Reuters Limited 1998."
SAfrica's Stals says rand currently undervalued. ,1998-07-30," JOHANNESBURG, July 30 (Reuters) - South African Reserve Bank governor Chris Stals said on Thursday that the heavy losses of the rand in an 11 week currency crisis had thrust the unit into oversold territory against the country's main trading partners. 

 ""If you look at the average weighted value of the rand against the (trade weighted) basket of currencies...we have seen a depreciation of 20 percent. That is more than can be justified in terms of inflation differentials,"" he said. 

 Stals, speaking to journalists after addressing a South African Chamber of Business conference, said that the rand appeared to be stablising and that the central bank had been able to withdraw from intervention for much of July. 

 ""We intervened in the first week of July but since then the market has become much more quiet and volumes have declined. On a net basis there was not that much intervention over the last three weeks,"" he said. 

South Africa's currency has slumped 20 percent since late May in the face of speculative attack, as widening concerns over emerging markets shook investor confidence worldwide and made the unit an easy target for foreign sellers. 

 Stals said that the rand now appeared cheap - but declined to predict when it might recover - if ever. 

 ""The rand is certainly undervalued at the present level. But what is the right exchange rate and where will it be at the end of this year? (That) no one can really predict or forecast."" 

 ((-Johannesburg newsroom, 27-11-482-1003 newsroom@reuters.co.za)). 

 (C) Reuters Limited 1998."
FOCUS-SAfrica rand plunges as attack renewed. ,1998-06-29," JOHANNESBURG, June 29 (Reuters) - South Africa's rand plunged on Monday as speculators renewed their month-long assault against the currency that has inflicted crushing losses against the dollar and pound. 

 The rand vaulted 6.00 against the dollar in a headlong slide to a fresh all-time low of 6.150. 

 This represents a 13 percent loss on Thursday morning's 5.420 against the dollar and 21 percent since May 22 when a widening emerging market crisis provoked the first blatant speculative attack. 

 Economists reckon the heavy decline in the rand's value is not justified by its macroeconomic fundamentals - which might be weak in some areas like the balance of payments and growth but are generally regarded as solid. 

 But this has cut little ice with hedge-fund sellers, who shrugged off reported intervention on behalf of the Reserve Bank of South Africa by the Federal Reserve and Bank of England late on Friday and on Monday were swift to take up cudgels again. 

 ""This is a very unhappy situation. The rand's movement is not justified by fundamentals, but the global environment is not favourable,"" said economist Peter Worthington at JP Morgan. 

 Dealers reported unprecedented central bank aid from Britain and the United States on Friday afternoon, but this failed to halt the headlong slide. There has been no official comment on reports of a concerted round of intervention. 

 The Reserve Bank has limited options at its disposal to defend the rand. It is expected to lift official interest rates at its daily money market repo auction at 1000 GMT to back over 20 percent, from 18.31 percent on Friday. 

 But analysts fear a such a step would penalise the fragile economy and have little chance of scaring off speculators. 

 They were equally sceptical that official intervention could stem the tide running against the rand. 

 The country's gross official reserves stood at just 32.9 billion rand at the end of May - nowhere near enough to stave of market selling that time and again has demonstrated that it can master almost any amount of official support. 

 June reserves will be posted on Tuesday and a Reuters survey expected them to decline to around 31 billion rand. 

 No one was prepared to stick their neck out over how much the Bank's crucial uncovered position on its forward foreign exchange book would have changed over the month after it soared unexpectedly to $17.9 billion at end-May from $12.8 billion in April. 

 South Africa has now endured over a month of abuse at the hands of international currency speculators and JP Morgan's Worthington said it was extremely hard to judge when this would be exhausted. 

 But he predicted a sharp recovery in rand values when the selling stopped - mirroring the boost it gained when its last trail by foreign exchange dealer in 1996 ended. 

 Then, a collapse to 4.50 against the dollar from 3.60 on an attack sparked by fears over the health of President Nelson Mandela saw prices bounce back to 4.30 once the attack faded. ((Johannesburg newsroom, 27-11-482-1003 newsroom@reuters.co.za)). 

 (C) Reuters Limited 1998."
