title,date,text
"EM ASIA  FX -Yen rebound supports Asia  FX , still set for weekly losses",2014-11-21,"* Won to fall 4th week, longest weekly loss since May 2013               

* S.Korea intervention suspected; won down vs yen               

* Rupiah up 0.4 pct for week on fuel price, rate hikes   (Adds text, updates prices)               

By Jongwoo Cheon               

SINGAPORE, Nov 21 (Reuters) - Emerging Asian currencies rose on Friday as the yen rebounded after Japanese Finance Minister Taro Aso warned against the currency's recent swift fall, although most regional units were set for another week of losses.               

The yen gained as Aso earlier described the currency's weakening as ""too rapid,"" but ruled out intervention to halt the slide.               

South Korea's won rebounded from a near 15-month low as investors covered short positions and on demand from exporters for month-end settlements. The Malaysian ringgit  advanced as traders also cut bearish bets.               

Still, emerging Asian currencies are unlikely to extend gains as the yen remains on a broadly weakening trend, traders and analysts said.               

The Japanese currency pared some of its sharp gains as Prime Minister Shinzo Abe dissolved parliament's lower house for a snap election on Dec. 14.               

""The yen's move today is just a correction as the recent slide was seen excessive. Its depreciation trend remains intact,"" said Yuna Park, a currency and bond analyst at Dongbu Securities in Seoul.               

""Asian currencies may rebound a bit, but they are not free from the yen. In addition, the dollar will stay firm too,"" Park added.               

Most emerging Asian currencies were already poised to post weekly losses, led by the won, as the yen hit a seven-year low against the dollar on Thursday.               

The won has lost 1.1 percent against the dollar so far this week, on course for its fourth week of declines, according to Thomson Reuters data. That would be the longest weekly losses since May last year.               

South Korea's foreign exchange authorities were suspected of intervening to check the won's strength against the yen  on concerns its exporters will erode their competitiveness against Japanese rivals.               

The Taiwan dollar has slid 0.5 percent with the island's exporters also seen vulnerable to weakness in the yen and the won. The ringgit has fallen 0.3 percent.               

India's rupee and the Philippine peso  have eased 0.2 percent each.               

The Indonesian rupiah stood firm in the face of falls in regional peers, having risen 0.4 percent, continuing to benefit from President Joko Widodo long-awaited decision to raise fuel prices and free up funds to rejuvenate Southeast Asia's biggest economy. The currency also has been underpinned by the central bank's surprise rate hike, which was aimed at tempering an expected upsurge in inflation following the fuel-hike move.               

China's yuan has gained 0.1 percent on expectations of inflows thanks to a new link between the Hong Kong and Shanghai stock exchanges.                              

WON               

The won pared some of its daily gains as traders sold the currency when it rose above 1,110 per dollar with the authorities suspected of intervening.               

Against the yen, the won lost as much as 0.6 percent to 9.4536. On Thursday, the South Korean currency hit a six-year high of 9.3660.               

""It is a great chance to lift the yen/won,"" said a foreign bank trader in Seoul, referring to the yen's rebound on Friday.               

RINGGIT               

The ringgit rose as investors covered short positions, tracking the yen's rebound.               

Still, the upside in the Malaysian currency was limited due to persistent concerns over a slowing economy.               

Malaysia's inflation rose 2.8 percent in October from a year earlier due to higher fuel prices after the government cut subsidies, data showed.                              

CURRENCIES VS U.S. DOLLAR               

Currency    Latest bid   Previous day    Pct Move
 Japan yen       117.69         118.20       +0.43
 Sing dlr        1.2979         1.2999       +0.15
 Taiwan dlr      30.920         31.015       +0.31
 Korean won     1112.20        1115.10       +0.26
 Baht             32.77          32.81       +0.14
 Peso             45.02          45.07       +0.12
 Rupiah        12165.00       12170.00       +0.04
 Rupee            61.85          61.94       +0.15
 Ringgit         3.3550         3.3668       +0.35
 Yuan            6.1226         6.1245       +0.03
 
 Change so far in 2014
 Currency    Latest bid  End prev year    Pct Move
 Japan yen       117.69         105.28      -10.55
 Sing dlr        1.2979         1.2632       -2.67
 Taiwan dlr      30.920         29.950       -3.14
 Korean won     1112.20        1055.40       -5.11
 Baht             32.77          32.86       +0.29
 Peso             45.02          44.40       -1.38
 Rupiah        12165.00       12160.00       -0.04
 Rupee            61.85          61.80       -0.07
 Ringgit         3.3550         3.2755       -2.37
 Yuan            6.1226         6.0539       -1.12
              
              


(Additional reporting by KyoungHo Lee in SEOUL; Editing by) 

Released: 2014-11-21T06:15:41.000Z"
EM ASIA  FX -Rupiah hits 2-week high as Indonesia c.bank meets after fuel hike,2014-11-18,"
* Indonesia fuel price hike to save govt $8 bln in 2015
    * Bank Indonesia starts monetary policy meeting
    * Some expect rate hike on higher inflation
    * Some predict no change amid growth worries

 (Adds text, updates prices)
    By Jongwoo Cheon
    SINGAPORE, Nov 18 (Reuters) - Indonesia's rupiah hit a
two-week high on Tuesday, with some expectations that its
central bank will raise interest rates    a day after President
Joko Widodo announced a long-awaited increase in subsidised fuel
prices.
    The increases of more than 30 percent are expected to save
the government of Southeast Asia's biggest economy more than $8
billion next year, and help bring down both the fiscal and
current account deficits. 
    Bank Indonesia (BI) started an unscheduled meeting earlier
on Tuesday to discuss monetary policy, as the rise in fuel
prices is expected to add 2 percentage points to the annual
inflation rate this year.
    The rupiah earlier rose as much as 0.8 percent to
12,100 per dollar, its strongest since Nov. 5. 
    Jakarta shares gained 0.5 percent.
    ""The fuel price hike delivered in Indonesia should be
welcomed by the market,"" said Jonathan Cavenagh, senior FX
strategist with Westpac in Singapore.
    ""This will no doubt fuel expectation of a fresh rate hike,
which the market has not generally been looking for,"" Cavenagh
said, referring to the central bank's extra policy meeting.
    A surprise rate hike could lift one-month non-deliverable
forwards (NDFs) for the rupiah to 12,000-12,100
per dollar, he added. The NDFs stood at 12,168 as of 0400 GMT,
compared with its previous close of 12,170.
    Economists were split over whether the central bank will
raise its policy rate by 25 basis points or leave it unchanged,
for fear it could dampen economic growth.
    ""BI has limited room to raise rates, in our view, because of
the slowdown in growth, which will be exacerbated by this fiscal
tightening,"" Nomura said in a note to clients, adding it expects
no rate hike until December at the earliest.
    Nomura said it expected the central bank confine itself to
reiterating that it stands ready to increase rates if there are
signs that impact causes persistent inflation pressures.
    It also took a cautious stance on the rupiah, saying the the
fuel price hike in and broadly stronger dollar were priced in.
