title,date,text
Sweden 's Riksbank Won't Comment On  Intervention  Rumors ,1995-09-11," STOCKHOLM (AP-DJ)--A Swedish Riksbank official declined to comment on whether the central bank has been intervening in foreign exchange markets Monday. 

 'It is, and has been, our policy not to comment on market operations,' the Riksbank official said in response to market rumors the central bank has been active in the market buying kronor during Monday's session. 

 (MORE) AP-DOW JONES NEWS 11-09-95 

 0903GMT"
Sweden's Riksbank stuns market with bullish comments. ,1995-09-08," STOCKHOLM, Sept 8 (Reuter) - Sweden's central bank, the Riksbank, on Friday took markets by surprise with an upbeat assessment of the country's fight against inflation and even threatened to intervene in the foreign exchange market. 

 Riksbank Deputy Governor Thomas Franzen told Reuters in an interview that Sweden was well on the way to price stability and he saw conditions for a stronger crown and lower market rates. 

 ""This is a statement which has to do with our belief that the tone has changed in the market. It is an honest declaration that we do not rule out (the possibility) of reinforcing it,"" Franzen said. 

 The Swedish crown strengthened around four ore after the report. The 10-year bond traded at 9.72 percent, 25 basis points down on Thursday's close. The crown burst through 4.83 against the mark compared to Thursday's 4.92 close. 

 Franzen also said he saw conditions for a stronger crown and lower market interest rates. 

 ""(Our) competitiveness is good, the trade balance is going very well and one senses a better tone when it comes to confidence, the conditions are good,"" Franzen said. 

 He said he also believed long debt yields could fall. 

 ""If inflation indicators keep falling there are also conditions for lower rates,"" he said. 

 ""In effective terms, the crown was strengthening until the middle of July. The trend then stopped. In the past few days the trend has returned, but one naturally does not wish to draw too big conclusions. But the trend is clearly welcome,"" he said. 

 However, if the crown failed to strengthen sufficiently, he reasserted an earlier Riksbank policy that there was still room for key rate hikes. 

 Franzen added the Riksbank had received queries from the market about possible interventions on the foreign exchange market after recent international interventions on foreign exchange markets. 

Sweden has not intervened to support the crown for about two years. 

 (c) Reuters Limited 1995"
Swedish Riksbank does not rule out  intervention . ,1995-09-08," STOCKHOLM, Sept 8 (Reuter) - Sweden's Riksbank may in the near future intervene on the foreign exchange market to further reinforce what it calls a ""positive trend"". 

 ""I do not want to rule out that we relatively soon may be in a position to reinforce the positive tone through interventions,"" Deputy Central Bank Governor Thomas Franzen told Reuters in an interview. 

 Franzen said there was no concrete plan and that interventions could not replace a ""decisive monetary policy"". 

 ""This is a statement which has to do with our belief that the tone has changed in the market. It is an honest declaration that we do not rule out (the possibility) of reinforcing it,"" Franzen said. 

 Franzen added the Riksbank had received queries from the market about possible intervention on the foreign exchange market after recent international intervention. 

 -- Gran Lind 08-700 1010 

 (c) Reuters Limited 1995"
Swedish  central bank  says not  intervening . ,1995-08-02," STOCKHOLM, Aug 2 (Reuter) - Sweden's central bank, the Riksbank, said it was not intervening on foreign exchange markets in support of the dollar. 

 ""No, we are not in the market,"" a Riksbank dealer told Reuters. 

 Dealers in the U.S. earlier said the U.S. Federal Reserve bank was buying dollar/mark at 1.3920 marks. --Stockholm newsroom + 46 8 7001017 

 (c) Reuters Limited 1995"
Swedish Riksbank buys dollars in  intervention . ,1995-05-31," STOCKHOLM, May 31 (Reuter) - Sweden's central bank, the Riksbank, said it was buying dollars in a round of concerted intervention. 

 A Riksbank spokesman declined to say with which currency or at what rate levels the bank had entered the market. 

 --Stockholm newsroom +46 8-700 1017 

 (c) Reuters Limited 1995"
Intervention  May Provide Some Short-Term Aid For Dollar ,1995-05-31," LONDON (AP-DJ)--Wednesday's coordinated intervention exercise may provide some short-term support for the dollar against the Deutsche mark and the yen, unlike previous attempts to help the U.S. currency this year. 

 But, market analysts warned, the impact on the market has been largely psychological and the dollar will only be able to extract longer-term benefits if the operation is backed by policy. 

 'The key question is whether this is a prelude to interest rate changes,' said Michael Burke, currency analyst at Citibank in London. If not, he suggested, the dollar will end up right where it started. 

 The exercise, the first intervention by the major central banks since April 5, certainly came as a surprise. 

 Central banks outside the U.S. had previously made it plain they didn't see the dollar's decline as their problem. Although as many as 19 had participated at one stage last year, their presence in later intervention exercises had become conspicuously token. 

 This time round, however, market sources reported a two rounds sharp round of intervention led by the U.S. Federal Reserve and backed by the other countries in the Group of Ten major industrialized nations (G-10). 

 The Central Bank of Ireland confirmed that smaller countries such as itself weren't asked to participate. The group actually consists of eleven countries: the U.S., Japan, Germany, France, Canada, Italy, Britain, the Netherlands, Sweden, Belgium and Switzerland. 

 The total amount of intervention was hard to gauge with estimates for the exercise ranging up to $5 billion. Julian Jessop, an economist at Midland Global Markets, described it as 'very aggressive.' 

 (MORE) AP-DOW JONES NEWS 31-05-95 

 1504GMT 

 1149"
Swedish Riksbank buys dollars again. ,1995-03-03," STOCKHOLM, March 3 (Reuter) - Sweden's Central Bank, the Riksbank, said it intervened for a second time to buy dollars as part of concerted European buying to try to support the U.S. currency. 

 The Riksbank gave no details of its intervention. 

 -- Stockholm newsroom (46 8 700 1004) 

 (c) Reuters Limited 1995"
Sweden 's Riksbank -2: Hops On Third Round Of  Intervention ,1995-03-03," STOCKHOLM (AP-DJ)--The Riksbank, Sweden's central bank, says at 1439 GMT Friday it is buying dollars again, according to a currency trader at the Riksbank. 

 As late as 1432 GMT, the trader claimed the bank wasn't participating in the third wave of concerted central bank intervention. 

 (END) AP-DOW JONES NEWS 03-03-95 

 1444GMT"
"Market Talk Roundup: Riksbank Raises Rate by 25 Basis Points, Krona Drops",2023-06-29,"Sweden's Riksbank raised the policy rate by 25 basis points to 3.75% and signaled the need to increase rates further. Some had anticipated a bigger rise, however, and the Swedish krona reaches a record low against the euro later in the day. The Riksbank announced a plan to hedge 25% of its currency reserves, which analysts consider will be insufficient to stop the krona's weakening. The following is a selection of analyst comments.

Riksbank Stresses Hedging Plan Isn't Currency Intervention

1350 GMT - In a surprise move, the Riksbank said it is considering hedging part of its FX reserves to reduce financial risks, but governor Erik Thedeen repeatedly stated in Thursday's press conference that the measure was not to be seen as FX intervention, SEB's Sweden chief strategist Olle Holmgren says in a note. ""Considering that the measure was presented at the same time as the rate decision which states that a weaker SEK is the main upside risk for inflation...it seems probable that the Riksbank hopes that the currency hedging will support the krona."" EUR/SEK dropped back after the initial run higher this morning, but has headed higher again since Thedeen's comments, SEB says. (dominic.chopping@wsj.com)

Swedish Krona Falls to Record Low Vs Euro as Rate Outlook Looks Uncertain

1327 GMT - The Swedish krona falls to a record low against the euro, according to FactSet, extending losses after the Riksbank earlier hiked interest rates by 25 basis points to 3.75%, when some had anticipated a bigger 50bp increase. The Riksbank faces similar challenges to other central banks but they are ""more extreme,"" leaving substantial uncertainty about the future path of monetary policy, HSBC global economist James Pomeroy says in a note. ""Inflation is still well-above its target, the currency remains weak, and the economy is hardly growing in aggregate, with consumer spending falling sharply in recent quarters."" HSBC expects data will justify a pause in rate rises in September. EUR/SEK hits a high of 11.8437, FactSet data show. (jessica.fleetham@wsj.com)

Riksbank's Higher Rate Path Addresses Continued Inflation Risks

1125 GMT - The Riksbank stuck to its initial plan of raising its policy rate by 25 basis points but responded to the increased upside risk in inflation by raising the rate path by an additional 20 basis points, which was more than expected, DNB Markets economist Oddmund Berg says in a note. The new rate path peaks at 4.05%, implying another 25 basis points hike later this year and the probability of a final quarter-percentage point hike thereafter. ""In our view, the increase [in rate path] is a direct result of international rates rising far more than expected in April and the upside risk to inflation if the SEK continues to weaken."" (dominic.chopping@wsj.com)

Riksbank Guidance Looks on the Hawkish Side

1000 GMT - The Riksbank's 25 basis points rate increase to 3.75% was widely expected, but its forward guidance is somewhat more hawkish than expected, Swedbank analysts say in a note. The Riksbank now signals at least one more hike this year, and Swedbank expects 25 basis points in September and November, to a terminal rate of 4.25%. ""We continue to view inflationary risks as tilted to the upside, not least due to the record weak SEK. That, coupled with surprisingly hawkish decisions from other central bank recently, is likely to keep the Riksbank in hiking mode for longer."" The resilient Swedish economy also makes it easier for the Riksbank to steer monetary policy toward further tightening, Swedbank says. (dominic.chopping@wsj.com)

Riksbank's Currency Hedging Plan Unlikely to Halt Krona's Fall

0930 GMT - The Riksbank's decision to hedge 25% of its SEK400 billion currency reserves will render a positive flow of up to SEK100 billion, which looks a modest amount and is unlikely to stop the trend of the Swedish krona falling, SEB chief strategist Carl Hammer says in a note. ""However it is a sign that the weakened exchange rate is pressuring Riksbank and more measures could be implemented should we approach 12.00 in EUR/SEK."" EUR/SEK last trades at 11.745, having briefly jupmed to a high of 11.8289 after the Riksbank raised its policy rate by 25 basis points. (dominic.chopping@wsj.com)

Riksbank's 25Bps Rate Rise Disappointed, Weakening The Krona

0918 GMT - The Swedish krona weakened following the Riksbank's rate decision as some had hoped for a larger 50 basis points rate hike rather than the 25 basis points that was delivered, Handelsbanken senior economist Johan Lof says in a note. A practically unanimous economist consensus ahead of Thursday's decision saw the Riksbank raising its key policy rate by 25 basis points, and that was the main scenario among market participants as well, he says. The quantitative tightening acceleration was also widely anticipated. ""However, markets were pricing a non-trivial probability for an ultra-hawkish 50 basis points hike surprise, so despite the main scenario materialising, market interest rates declined and the krona weakened on impact.""(dominic.chopping@wsj.com)

Riksbank Shows Hawkish Face With Rate Rise, Higher Path

0832 GMT - The Riksbank has shown its hawkish face by raising the policy rate 25 basis points to 3.75% and lifting the rate path by a further 30 basis points to peak at 4.05%, clearly outstripping its April forward guidance, Handelsbanken senior economist Johan Lof says in a note. Adding to the hawkish tilt today is the decision to accelerate the reduction of asset holdings. Despite the more restrictive policy, the Riksbank revised its GDP forecast up, its unemployment forecast down and its CPIF excluding energy forecast up. ""All told, that signals an increased awareness of a deeper entrenched inflation problem."" Handelsbanken still sees two more 25 basis-point rate rises, in September and November, before cautious rate cuts begin next summer. (dominic.chopping@wsj.com)

Swedish Krona Falls to Multi-Year Low Vs Euro After Riksbank Raises Rates by 25Bps

0754 GMT - The Swedish krona falls to its weakest level in more than a decade after the Riksbank raised its policy rate by 25 basis points to 3.75%, disappointing some in the market who had anticipated a bigger 50bp rise. The falls come even as the Riksbank said rates would rise at least once more this year and opted to increase the pace of government-bond sales from September. The central bank separately announced it was considering hedging around a quarter of its foreign-exchange reserves. EUR/SEK rises to a peak of 11.8289 after the decision, its highest since 2009, according to FactSet, from around 11.7538 beforehand. (jessica.fleetham@wsj.com)

(END) Dow Jones Newswires

June 29, 2023 10:02 ET (14:02 GMT)"
Riksbank Stresses Hedging Plan Isn't  Currency Intervention  -- Market Talk,2023-06-29,"0950 ET - In a surprise move, the Riksbank said it is considering hedging part of its FX reserves to reduce financial risks, but governor Erik Thedeen repeatedly stated in Thursday's press conference that the measure was not to be seen as FX intervention, SEB's Sweden chief strategist Olle Holmgren says in a note. ""Considering that the measure was presented at the same time as the rate decision which states that a weaker SEK is the main upside risk for inflation...it seems probable that the Riksbank hopes that the currency hedging will support the krona."" EUR/SEK dropped back after the initial run higher this morning, but has headed higher again since Thedeen's comments, SEB says. (dominic.chopping@wsj.com)

0942 ET - The rise in Germany's services inflation--to 5.3% in June from 4.5% in May--could spook some European Central Bank policymakers, but they needn't worry, Pantheon Macroeconomics' chief eurozone economist Claus Vistesen says in a note. Base effects in transport services--owing to the anniversary of government rail-fare subsidies--have been well flagged, he says. Indeed, the separate regional CPIs clearly suggest that the jump in services inflation was driven by a jump in the transport services component, Vistesen says. Core inflation will remain elevated due to base effects in transport until August, but then there will likely be a big drop in September as underlying disinflation in goods and services hit the data more meaningfully, he adds. (edward.frankl@wsj.com)

0936 ET - Yield has returned to higher-quality, liquid segments of European fixed-income markets through a combination of higher government bond yields and wider credit spreads, Allspring's fixed-income team says. ""We think this presents an opportunity for European and global bond investors to return to euro-denominated credit after many years of sourcing yield globally,"" Henrietta Pacquement, senior portfolio manager and head of global fixed income and Martijn de Vree, head of fixed income solutions in global fixed income, say. The size of European credit markets offers significant diversification opportunities as well, they say, adding that European investment-grade debt yields about 4%, and yields rise close to 6% when hedged back to the U.S. dollar. (emese.bartha@wsj.com)

0936 ET - Dockworkers at Canada's western ports of Vancouver and Prince Rupert warn of a three-day strike action starting Saturday over a salary increase impasse with employers. Unions and the British Columbia Maritime Employers Association have been trying to reach a new annual contract since the last contract expired in March. The strike will mostly affect boxships as tankers and other vessels will be allowed to dock. Vancouver and Prince Rupert are Canada's largest and third largest box ports, respectively, and also serve as big gateways for US cargo. (costas.paris@wsj.com)

0933 ET - German inflation figures for June, which were stronger than expected, won't change the European Central Bank's hawkish resolve in its tightening cycle, Franziska Palmas, senior Europe economist at Capital Economics, says in a note. The CPI increased mainly on base effects, with core inflation ticking up entirely due to a jump in services inflation to 5.3% from 4.5%, reflecting the anniversary of the introduction of the EUR9 transport ticket, she says. But even if core inflation edges down in other countries, ECB officials are concerned that the tight labor market will slow the return of the core to target, Palmas says. ""Only substantial and repeated falls in core and particularly services inflation would ease those worries,"" she adds. (edward.frankl@wsj.com)

0928 ET - The US median home listing price slipped 0.9% annually in June, posting the first yearly decline since 2017, Realtor.com says. At the same time, while home shoppers had more homes to choose from this month, improvement stalled as the active inventory growth rate slowed for the fourth month in a row, 7.1%, and came in well below May's 21.5% rate. Price gains have been weakening since last summer as rising mortgage rates have added to ongoing affordability challenges and further cooled buyer demand. Realtor.com says its revised 2023 outlook expects only a modest drop in home prices of 0.6% for the year. (chris.wack@wsj.com)

0928 ET - Higher yields have boosted returns in many bond portfolios year to date, helping investors weather economic uncertainties that continue to unfold around the world, Allspring's fixed income team says in its mid-year outlook. Inflation remains high in both Europe and the U.K., and core inflation in the U.S. remains sticky, it says, adding that this is keeping central banks in inflation-fighting mode. ""However, an inflection point may have been reached in the first half of 2023, when central banks had to begin dealing with challenges beyond fighting inflation as global growth slowed and cracks appeared in the financial system,"" it says. (emese.bartha@wsj.com)

0927 ET - The Swedish krona falls to a record low against the euro, according to FactSet, extending losses after the Riksbank earlier hiked interest rates by 25 basis points to 3.75%, when some had anticipated a bigger 50bp increase. The Riksbank faces similar challenges to other central banks but they are ""more extreme,"" leaving substantial uncertainty about the future path of monetary policy, HSBC global economist James Pomeroy says in a note. ""Inflation is still well-above its target, the currency remains weak, and the economy is hardly growing in aggregate, with consumer spending falling sharply in recent quarters."" HSBC expects data will justify a pause in rate rises in September. EUR/SEK hits a high of 11.8437, FactSet data show. (jessica.fleetham@wsj.com)

0925 ET - The tone of the Brazilian central bank's quarterly inflation report was consistent with the start of a cycle of rate cuts, probably as soon as the next monetary policy meeting in August, says Goldman Sachs economist Alberto Ramos in a research note. The bank also raised its forecast for economic growth this year to 2.0% from 1.2%, boosted by the improved outlook for industry, especially mining and utilities, and for services, Ramos says. (jeffrey.lewis@wsj.com)

0920 ET - The rise in German inflation in June should only be a temporary pause before consumer prices ease once again, ING's global head of macro Carsten Brzeski says in a note. The rebound to 6.4%, from 6.1% in May, marks end of the disinflationary trend seen over the last six months, but there is evidence the trend could gain stronger momentum after the summer, he says. On-month food prices dropped for the third consecutive month, while clothing prices fell for the first time since January--a tentative sign of weaker demand and price discounts, Brzeski says. ""With still lower-than-expected energy prices, dropping food prices and fading pipeline price pressures in both services and manufacturing, German inflation could come down faster than the ECB expects,"" he adds. (edward.frankl@wsj.com)

0913 ET - Today's fall in weekly jobless claims ""is more likely noise than signal,"" Pantheon's Ian Shepherdson says in a note about today's data showing a decline to 239K from 265K. ""We have no specific explanation for this sudden dip, after three straight weeks in a narrow range from 262K to 265K, but observations for individual weeks always have to be viewed with skepticism, especially when they move against the established trend in claims and other data,"" Shepherdson says. He adds that, considering seasonal factors, ""a modest net dip in claims over the next few weeks is a reasonable bet, even as the underlying trend continues to rise."" (paulo.trevisani@wsj.com; @ptrevisani)

0910 ET - Consumer spending grew at a 4.2% annual rate in 1Q, the fastest pace since mid-2021, when the economy was rebounding from pandemic lockdowns. Stronger consumer spending was a key driver behind the upward revision to 1Q GDP growth. Consumers splashed out on long-lasting goods in the first three months of the year, despite higher interest rates. Consumer spending on durables rose at a 16.3% annual rate. Their spending on services, which includes dining out and traveling, also notched a solid annual gain of 3.2% in 1Q. (sarah.chaney@wsj.com)

(END) Dow Jones Newswires

June 29, 2023 09:50 ET (13:50 GMT)"
