title,date,text
Thai  Central Bank : Recent Baht Weakness Still In Line With Regional Units,2011-09-26,"BANGKOK (Dow Jones)--The Bank of Thailand stands ready to intervene in the foreign exchange market in case there is any excessive volatility in the movement of the baht, but so far the local unit has been moving in line with regional currencies, Deputy Governor Atchana Waiquamdee said Monday.

She said the recent baht weakness is caused by portfolio outflows as well as dollar buying by importers and gold traders.

The bank will consider the impact of the softer baht on inflation, Atchana said, but she didn't elaborate.

Investors unwinding their positions in Thai stocks sent the benchmark stock market index down 7.8% by midday Monday, and this helped push up the U.S. dollar to THB31.08-THB31.10 from THB30.85 in late Asian trade Friday.

-By Bangkok Bureau, Dow Jones Newswires; 662-690-4200; djnews.bangkok@dowjones.com [ 26-09-11 0603GMT ]"
Thai  Central Bank : Have Not  Intervened  In  FX  Market,2011-09-23,"BANGKOK (Dow Jones)--The Bank of Thailand's Deputy Governor Atchana Waiquamdee said Friday that the bank has not intervened in the foreign exchange market to curb volatility of the local unit.

The bank is not worrying about the baht's recent weakness as it is still moving in line with regional currencies, Atchana told reporters.

The U.S. dollar was higher late Friday at THB30.85 from THB30.71-THB30.72 late Thursday in Asia on portfolio outflows after hefty falls in Thai shares. The pair was off a THB30.88 session high, with local dealers suspecting that the central bank may have stepped in to sell dollars.

-By Bangkok Bureau, Dow Jones Newswires; 662-690-4200; djnews.bangkok@dowjones.com [ 23-09-11 1046GMT ]"
"Flight From Risk Thrashes Emerging-Market  Currencies , Debt",2011-09-22,"-Global economic anxieties pummel emerging-market assets

-Host of central banks suspected of intervening as their currencies tumble

-South Africa, the Czech Republic hold policy rates steady


 
   Cynthia Lin 
   Of DOW JONES NEWSWIRES 
 

NEW YORK (Dow Jones)--Emerging-market assets fell under severe pressure Thursday as fears about the euro-zone credit crisis and global economic slowdown hit a boiling point despite the Federal Reserve's latest stimulus plan.

U.S. central bankers confirmed market expectations Wednesday, announcing that it will implement what most market participants call ""Operation Twist,"" by buying longer-dated Treasurys and selling shorter-dated ones. The central bank's decision did little to allay mounting fears about the sputtering global economy, sparking an exodus out of risky assets and into the refuge of U.S. government debt.

As Treasury yields plummeted, the risk premium investors demand to hold what they perceive as riskier emerging-market debt increased. This spread as reflected on the J.P. Morgan Emerging Markets Bond Index Global, or Embig, was 32 basis points wider to 449 basis points above Treasurys. In price terms, the index lost 1.49%. The Latin America regional sub-index lost 1.69% in price as its spread blew out 34 basis points to 5.14% over Treasurys.

Emerging-market currencies also took a beating across the board as the U.S. dollar soared, led by notable declines in the Mexican peso, Chilean peso and Korean won.

A slew central banks in Asia--including Korea, Taiwan and Thailand--were suspected to have intervened in the foreign exchange markets to lend support to their currencies. The Korean won was a notable underperformer in its region, weakening to KRW1,181.1 a dollar from KRW1,148.6--now the weakest since last September, according to CQG.

In Brazil, the country's central bank announced midday and quickly implemented an auction of $2.7 billion in foreign-exchange swap contracts to rein in the depreciating real. The battered Brazilian currency opened at 1.92 reais to the dollar, weakening sharply to BRL1.94 at one point. On the Embig, Brazil's risk premium increased 29 basis points to 285 basis points, losing 0.97% in price.

Such efforts come in stark contrast to moves these central banks conducted just months ago, when many complained that their currencies were strengthening too quickly and hurting exporters at home. Earlier in the year, these assets showed impressive resilience even when the situation in advanced nations began to crumble. But the rout since the start of September shows that these regions are still inextricably linked to the developed world.

""The emerging-market space is interesting because it held and held and held,"" said Michael Mata, portfolio manager at ING's global bond fund, ""but, in the end, there's no way to decouple from 50% of global GDP."" Mata's team believes there's still more room from emerging-market currencies to fall as these nations' policymakers cut rates and reduce the interest-rate differential that made their currencies so appealing.

These days, inflation and other issues that come with red-hot economic growth is taking a back seat, with fears of a double-dip recession and the intensifying euro-zone credit crisis dominating investors' fears. The latest economic reports Thursday show the euro zone's composite purchase manufacturing index falling into the sub-50 contraction territory for the first time since 2009, while China's PMI sank deeper in the contraction range to 49.4 from 49.9.

South Africa's central bank decided to keep its policy rate at 5.5%, caught in a dilemma of slowing growth and rising inflation. The South African rand weakened to ZAR8.2963 a dollar from ZAR8.2530, which Reserve Bank Governor Gill Marcus acknowledged is putting the country's goal of keeping inflation under 6% at risk.

Monetary authorities of the Czech Republic also convened Thursday and decided to keep rates steady a record-low 0.75%. Central and Eastern European currencies have been rattled this month give their ties to the neighboring euro zone.

By Cynthia Lin; Dow Jones Newswires; 212-416-4403; cynthia.lin@dowjones.com

-Tom Murphy contributed to this article. [ 22-09-11 2033GMT ]"
WORLD  FOREX : Asian  Currencies  Scale New Heights On US Debt Woes,2011-07-27,"-- U.S. dollar swoons against Asian currencies

-- Asia FX gains prompt Korea and Thailand intervention for a second straight day

-- Singapore dollar, Malaysian ringgit at long-term highs


 
   By Martin Vaughan 
   Of DOW JONES NEWSWIRES 
 

SINGAPORE (Dow Jones)--Asian currencies soared to new highs against the dollar Wednesday, as investors showed the greenback no mercy on increasing expectations the U.S. will lose its triple-A credit rating.

The U.S. currency fell to Y77.78, its lowest since the post World War II-low of Y76.25 marked in March. Japan Finance Minister Yoshihiko Noda reiterated that he will continue to closely monitor the market.

Central banks in Thailand and South Korea for a second straight day intervened to keep their currencies from rising too quickly and damaging their export-dependent economies.

Wednesday's gains extended a months-long trend of investors piling into Asian currencies and out of currencies like the dollar and euro, which are burdened by seemingly intractable fiscal problems.

""Now more than ever, Asia is seen as a region where there are strong fundamentals,"" said Thomas Harr, head of Asian FX strategy at Standard Chartered Bank.

""These flows coming into Asia are safe-haven flows; they are increasing even though you could say that risk appetite is not very strong,"" he said.

The U.S. dollar hit an all-time low against the Singapore dollar, breaching the key psychological barrier of S$1.2000 to hit S$1.1992 before rebounding gently. The Malaysian ringgit was at its strongest in 14 years, as the greenback sank to MYR2.9350 from MYR2.9535 late Tuesday in Asia.

Dollar selling lifted the Indonesian rupiah to a seven-year high. A dealer said Bank Indonesia may be checking prices in the market but there was no evidence of intervention.

Many market observers expect the U.S. to be hit by a ratings downgrade even if the White House and Congress agree on a deal to raise borrowing limits by Tuesday, a deal which for the moment remains elusive. Wednesday's dollar losses are in part front-running that expected downgrade, Harr said.

The threat of central bank intervention tempered investor enthusiasm in some markets. ""With the central bank present, punters are pushing the baht up with caution,"" said a Bangkok dealer.

The Aussie dollar, already riding high on the U.S. debt woes, hit a fresh 30-year high at $1.1062 after a stronger-than-expected consumer inflation reading. The Aussie was trading around $1.1055 at 0450 GMT, up from $1.0951 as Asian trading got underway.

The euro climbed to a three-week high at $1.4537 earlier in the day but eased back to $1.4520 at 0450 GMT. The common currency was at Y113.01, unchanged from New York trade. The dollar was at Y77.82 from Y77.89.


                           Latest       Previous   %Chg    Daily    Daily   %Chg 
Dollar Rates                               Close            High      Low  12/31 
 
USD/JPY Japan            77.82-84       77.86-91  -0.07    78.02    77.78  -4.06 
EUR/USD Euro            1.4520-22      1.4509-12  +0.07   1.4536   1.4494  +8.44 
GBP/USD U.K.            1.6429-34      1.6402-07  +0.17   1.6437   1.6406  +5.28 
USD/CHF Switzerland     0.8019-22      0.8011-16  +0.08   0.8024   0.8008 -14.22 
USD/CAD Canada          0.9429-34      0.9438-43  -0.09   0.9445   0.9430  -5.19 
AUD/USD Australia       1.1052-56      1.0955-59  +0.88   1.1061   1.0944  +8.01 
NZD/USD New Zealand     0.8747-52      0.8703-08  +0.51   0.8761   0.8700 +12.22 
 
Euro Rates 
 
EUR/JPY Japan           113.01-04      112.98-03  -0.01   113.22   112.82  +4.04 
 
 

-By Martin Vaughan, Dow Jones Newswires; +65 6415 4033; martin.vaughan@dowjones.com

-Andrew Monahan in Tokyo and Phisanu Phromchanya in Bangkok contributed to this article [ 27-07-11 0558GMT ]

1034 1863 28038 4162"
CORRECT: Asia Central Banks  Intervene  To Curb  Currency  Gains As Dollar Slides,2011-07-26,"(""Asia Central Banks Intervene To Curb Currency Gains As Dollar Slides,"" at 0839 GMT, misstated the level at which the Bank of Korea was suspected of intervening in the fourth paragraph. The correct version follows:)

-- Central banks in South Korea, Thailand and the Philippines intervene to slow gains in their currencies

-- U.S. debt ceiling impasse propels Asian currencies upward

-- Philippines' Purisima says U.S. debt imbroglio speeds the dollar's decline

By Martin Vaughan

Of DOW JONES NEWSWIRES

SINGAPORE (Dow Jones)--Several Asian central banks were seen intervening in currency markets Tuesday, as the U.S. political stalemate on increasing the government borrowing cap caused the dollar to tumble against regional currencies.

Philippines Secretary of Finance Cesar Purisima said U.S. failure to reach a debt deal is causing a ""loss of confidence"" in the dollar and could ""accelerate the search for an alternate reserve currency.""

Purisima said U.S. leaders are ""missing the point"" and are endangering the dollar's preeminent status, used as the default currency across the globe in trade and finance.

The Bank of Korea was suspected of buying around $300 million in an attempt to slow the won's rise, said traders in Seoul. The bank may have been trying to defend the psychological level of KRW1,050 to the dollar, the traders said.

The Philippine central bank was estimated to have bought as much as $200 million at various levels as the peso climbed to its highest mark in three years. The dollar hit a low of PHP42.22.

Bangkok dealers said the Bank of Thailand also engaged in mild dollar buying to curb the baht's rise, as the greenback slipped to THB29.68, its lowest since November 2010.

""The idea that we're seeing intervention is a consistent theme across Asian currencies right now,"" said Robert Rennie, chief currency strategist at Westpac Institutional Bank.

After notching substantial gains in the first four months of the year, the riskier currencies of emerging Asia had been hemmed in recently by fears surrounding sovereign debt in the euro-zone periphery. Those fears were to some extent calmed by the announcement last week of a second bailout for Greece, setting the stage for Asian currencies to strengthen.

Asian currencies were further boosted Tuesday as the dollar sank on comments from President Barack Obama and House Speaker John Boehner which revealed that any deal to cut spending and raise the U.S. debt ceiling remains far off. U.S. officials have said they have only until Aug. 2 to raise borrowing limits or risk missing debt servicing payments.

-By Martin Vaughan; +65 6415 4033; martin.vaughan@dowjones.com

-Alex Frangos in Hong Kong, Jieun Shin in Seoul, Phisanu Phromchanya in Bangkok and Rhea Sandique-Carlos in Manila contributed to this article [ 26-07-11 0930GMT ]"
"EM ASIA  FX -Sing dlr, won rally on Greek deal;  intervention  caps",2011-07-22,"* Sing dlr at record on models, leveraged names; MAS spotted

* S.Korea estimated to have bought $500 mln-$1 bln to defend 1,050/dlr

* Ringgit up on lack of intervention

(Updates text, prices)

By Jongwoo Cheon

SINGAPORE, July 22 (Reuters) - The Singapore dollar rose to a new record and the South Korean won hit a near three-year peak on Friday as a European package to rescue Greece led investors to buy emerging Asian currencies, despite intervention by Asian authorities and technical signs being overbought.

On Thursday, euro zone leaders agreed on a second rescue package for Greece, alleviated worries about contagion risks, which have put a brake on the regions forex markets.

Investors say they are waiting to see if U.S. politicians cobble together an agreement to avoid default, but the currencies are likely to keep their bullish trend, analysts said.

If Washington fails to reach an agreement before the Aug. 2 deadline, that may dampen risk appetite again, but that will also push down the dollar, which will eventually support the regional units, some added.

""With EUR risk in the background at least in the near term, speculative players are back looking to go short USD/Asia pairs. Asian currencies have broken fresh highs... I think it continues to push emerging Asian currencies higher,"" said Westpaccurrency strategist Jonathan Cavenagh in Singapore.

Emerging Asian currencies rose for the week as concerns over the debt crisis in the two developed markets eased.

The Philippine peso and the Malaysian ringgit were the best performers during the week, gaining 1.3 percent and 1.1 percent, according to Reuters calculations.

Technically, some currencies look overbought and some dealers and analysts said there could be a correction if the U.S. politicians fail to agree a debt deal.

""Every Asian country is long U.S. assets and if U.S. get downgraded, that will be a mayhem,"" said a Kuala Lumpur-based dealer.

The 14-day Relative Strength Index (RSI) for the USD/THB hit a three-month low of 28, suggesting the pair is headed higher in the short-term, and the baht could weaken from current levels.

The RSI of the Singapore dollar and Korean won are also hovering around the threshold of 30, indicating weakness ahead for the Asian units.

Central banks of Philippines, Singapore, Taiwan and Thailand were spotted buying greenbacks, dealers said. South Korean authorities were also spotted buying dollars, they added.

Market players expect the regional policymakers to keep intervening to slow their gains.

""The pace of appreciation is too strong and the swing is not driven by fundamentals,"" said Saktiandi Supaat, head of FX Research at Maybank in Singapore.

SINGAPORE DOLLAR

Model funds, leveraged names and proprietary accounts pushed up the Singapore dollar to a record high of 1.2086 per the greenback.

Earlier, agent banks had been spotted buying the U.S. dollars at 1.2100 but lowering the bids to 1.2090 in heavy intervention, dealers said.

But the city-state currency is expected to break through 1.20 level eventually as the central bank raised inflation forecast on Thursday and on views that the country would allow gradual appreciation.

WON

Seoul's foreign exchange authorities intervened to keep the won weaker than 1,050 per dollar, dealers said.

The South Korean currency earlier rose to 1,050.0, the highest since late August 2008, on demand from offshore real money funds and exporters.

Foreign investors also turned to net buyers of local stocks

, ending an eight-session selling spree.

As the won threatened to break the level, the authorities stepped in the market and pushed it weaker minutes before the local market ended, dealers said.

Dealers speculated authorities had bought $500 million-$1 billion against the won.

Still, the authorities are unlikely to keep defending certain levels, given the country's fight against inflation, dealers said.

""Today they showed strong determination to defend 1,050. But it does not mean 'don't touch the level ever',"" said a foreign bank dealer in Seoul.

""Today's intervention suggest 'don't touch the level in a single day,"" he added.

If dollar/won breaches 1,050, it may head to 1,046, around a falling trend line which starts from November last year.

BAHT

The baht rose on strong demand from proprietary accounts and leveraged funds.

But the central bank was spotted buying dollars from 29.84 per dollar level all the way down, dealers said.

The Thai currency, which had been pressured by the country's politics, has outperformed its Asian peers since the July 3 general election outcome eased political uncertainty.

But Barclays Capital saw short-term corrections in the baht, saying its recent gains are seen excessive and advised investors to position for it.

Bank of Thailand is expected to keep intervening to slow down the baht's appreciation and Thailand's trade balance is likely to turn to deficit more often on strong oil prices, Barclays said.

""We recommend positioning for a near-term reversal of recent THB gains by buying the 1m USD/THB forward at 29.94/USD, targeting 30.35/USD,"" it said in a note.

RINGGIT

The ringgit gained on heavy demand from proprietary accounts, model funds and exporters.

Some covered dollar-short positions taking profits, but a lack of the central bank's intervention provided more support to the Malaysian currency.

CURRENCIES VS U.S. DOLLAR

Change on the day at 0720 GMT 

Currency    Latest bid   Previous day    Pct Move
Japan yen        78.61          78.30       -0.39
Sing dlr        1.2085         1.2104       +0.16
Taiwan dlr      28.815         28.890       +0.26
Korean won     1051.70        1054.60       +0.28
Baht             29.78          29.91       +0.44
Peso             42.40          42.62       +0.52
Rupiah         8525.00        8529.00       +0.05
Rupee            44.37          44.50       +0.29
Ringgit         2.9710         2.9935       +0.76
Yuan            6.4466         6.4516       +0.08
Change so far in 2011
Currency    Latest bid  End prev year    Pct Move
Japan yen        78.61          81.15       +3.23
Sing dlr        1.2085         1.2820       +6.08
Taiwan dlr      28.815         30.368       +5.39
Korean won     1051.70        1134.80       +7.90
Baht             29.78          30.14       +1.21
Peso             42.40          43.84       +3.40
Rupiah         8525.00        9005.00       +5.63
Rupee            44.37          44.70       +0.74
Ringgit         2.9710         3.0820       +3.74
Yuan            6.4466         6.5897       +2.22


(Additional reporting by Lee Kyoung-ho in SEOUL, Reuters FX Analyst Rick Lloyd and Catherine Tan of IFR Markets; Editing by Ramya Venugopal)

For the new Reuters scrolling global forex service please click

Double click on brackets for following items: 


Asian currencies     Asian currencies in Asia 	
Malaysian ringgit   Indonesian rupiah  	
Singapore dollar    Thai baht          	
Taiwan dollar       Hong Kong dollar   	
Philippine peso      Korean won         	
SPEED GUIDES  	
Exotic currencies     Non-G7 currencies  	
RELATED NEWS AND OTHER TOPICS 	
All Singapore news    All Malaysian news 	
Thailand Indonesia Hong Kong Taiwan 	
Philippines Korea All emerging markets 	
All foreign exchange news    	
Foreign exchange technical analysis    [FRX&INSI]	


MARKETS-ASIA-FOREX (UPDATE 1)"
Bank Of  Thailand  Gov:  Central Bank  Hasn't  Intervened  In  FX  Market Recently,2011-05-23,"BANGKOK (Dow Jones)--The Bank of Thailand hasn't intervened in the currency market recently, and the baht's recent weakness is the result of concerns over debt problems in Europe, Gov. Prasarn Trairatvorakul said Monday.

""We've tried to be neutral as the baht's depreciation will push oil prices higher,"" he told reporters.

The U.S. dollar late Monday was at THB30.42, up from THB30.28-THB30.29 late Friday in Asia.

He added that he isn't worried about possible capital outflows as most of the funds that have flowed in so far this year were destined for the Thai bond market.

-By Piyarat Setthasiriphaiboon, Dow Jones Newswires; 662-266-0744; piyarat.setthasiriphaiboon@dowjones.com [ 23-05-11 1053GMT ]"
INTERVIEW: Thai Finance Minister: Dollar To Keep Falling In Long-Term,2011-04-29,"By James Hookway, Leigh Murray and Almar Latour

BANGKOK (Dow Jones)--The U.S. dollar is expected to continue heading south over the long term as countries can't escape their economic fundamentals, Thai Finance Minister Korn Chatikavanij said Friday.

The U.S. can only repay its massive debt by allowing depreciation of dollar, Korn told The Wall Street Journal and Dow Jones Newswires.

""I see no way of repaying it other than through devaluation. Hopefully it will be gradual, but one can never predict that.""

He said the Bank of Thailand has been intervening in the foreign exchange market, both buying and selling the U.S. dollar, and it will continue to intervene in the market to limit any excessive currency volatility.

However, he said there is no need for the central bank to fight the trend and that there is no evidence of any ""hot money"" behind the baht's recent strength.

""So far they (the Bank of Thailand) have been able to manage excess volatility,"" Korn said.

He said Thai exporters have been extremely resilient to the baht's strength, though they need any appreciation to be gradual.

""Exporters detest volatility the most,"" Korn said.

The minister called on Thai exporters to diversify their trade settlement currencies, into yuan, yen or other units, to match their trading counterparties in order to reduce dependency on the U.S. dollar, which is on the descent.

He noted that the adoption of the Chinese yuan in international trade and investment has been happening faster than expected.

On the other hand, Korn said the strong baht will likely attract more investments for value-added projects than those seeking the cheapest production base and low labor costs.

Potential further increases in global oil prices are considered the biggest threat to Thailand's economy, as they will fuel inflationary pressures, he said.

Higher oil and commodity prices are key factors pushing up production costs and inflation. However, the global food crisis could provide an obvious opportunity for Thailand as a food producing country.

Korn said the government's proposed minimum wage hike won't put upward pressure on inflation, which is driven more by external factors.

The Democrat Party-led government has been floating the idea of raising minimum wage by another 25% in two years in a bid to increase the purchasing power of low income earners. The proposal comes ahead of general elections in the country, which could take place by late June or early July.

Korn said the poll result will likely to be a close race between the ruling Democrat Party and the Puea Thai Party, backed by fugitive ex-Prime Minister Thaksin Shinawatra.

-By James Hookway, Leigh Murray and Almar Latour, +66 2690 4200; leigh.murray@dowjones.com [ 29-04-11 1037GMT ]"
UPDATE: Asian Shares Mostly Higher; Fed Stance Buoys Risk Appetite,2011-04-28,"(Adds information, quotes, updates/adds market levels)

By Shri Navaratnam and Puja Rajeev

Of DOW JONES NEWSWIRES

SINGAPORE (Dow Jones)--Asian stock markets were mostly higher Thursday, while the U.S. dollar fell across the board, as the U.S. Federal Reserve's commitment to retain its ultra-easy monetary policy buoyed sentiment and drove riskier currencies up.

The ongoing earnings season also played a big hand in Tokyo, Seoul and Sydney markets.

Japan's Nikkei Stock Average was up 1.3%, Australia's S&P/ASX 200 was 0.4% higher, South Korea's Kospi Composite was off 0.1%, Hong Kong's Hang Seng Index tacked on 0.5% and China's Shanghai Composite was off 0.1%.

Dow Jones Industrial Average futures were up 34 points in screen trade.

Wall Street's surge Wednesday bolstered regional sentiment, after the Federal Open Market Committee signaled the end of its controversial $600 billion bond buying program as planned, and Fed Chairman Ben Bernanke said the central bank would keep interest rates accommodative. He said there was no specific time frame to hike interest rates.

""The comments from Bernanke are very bullish for equity markets, via a weak U.S. dollar, U.S. earnings and commodity prices,"" said RBS Morgans investment adviser Chris MacDonald in Sydney.

The news spurred risk appetite, pushing stocks, gold and oil prices higher. Risk-sensitive currencies surged, with the euro and Asian currencies tapping multi-year highs against the U.S. dollar. Central banks in Korea, Thailand and Malaysia intervened to weaken their currencies in an effort to protect their export-led economies.

Gold bulls took a breather after earlier driving spot gold to a record high $1,530.30 a troy ounce; the yellow metal was recently fetching $1,526.90, down 40 cents from its New York settlement Wednesday. Oil prices remained bid, with June Nymex crude oil futures up 48 cents at $113.24 per barrel on Globex, off its 31-month high of $113.70 tapped in early trade.

In Tokyo, strong earnings offset concerns over grim March industrial production data.

Industrial production dropped a record 15.3% in March, but Japanese manufacturers expect their output to rise 3.9% on-month in April and increase 2.7% in May.

""The market seems to be reacting more favorably to earnings than we had anticipated (and) expectations are growing that Japan will display its underlying strength through speedy recovery efforts,"" said Cosmo Securities equity strategist Toshikazu Horiuchi.

Kyocera rose 2.6% after reporting strong fiscal fourth-quarter earnings and Advantest jumped 5.2% after posting a sharply narrower loss in its fiscal fourth quarter.

Sony extended its losses on news Wednesday that its online video game network had been hacked; the stock fell 3.1%.

A handful of profit warnings and a strong Australian dollar tempered gains in Sydney. The Australian dollar hit a new 29-year high of US$1.0903 in early trade, pressuring currency sensitive stocks such as Westfield Group and Bluescope Steel, which fell 0.7%, and 2.6%, respectively.

Goodman Fielder and Whitehaven were hit by profit warnings, falling 8.6% and 3.1% respectively.

In China, the benchmark Shanghai Composite Index gave up morning gains. The reversal was triggered by sharp losses for the country's foreign currency denominated B shares, which were hurt by a weaker U.S. dollar and lingering concerns over China's launch of an international board.

""The B share market was designed to attract foreign investors and the international board will definitely attract many of the B share's target investors,"" said Duan Junfang at Dongfang Securities.

The Shanghai B Share Subindex was down 4.1%. Wuhan Iron & Steel was down 0.6% and Poly Real Estate Group fell 0.5%.

The Seoul market turned lower as investors booked profits in heavyweight technology and construction stocks. Still, a few other stocks rose on earnings-linked news.

LG Electronics tacked on 3.8%, buoyed by expectations of a firm turnaround in second-quarter earnings after the tech giant Wednesday reported an unexpected first-quarter loss. Hynix Semiconductor rose 2.5% after the world's second-largest producer of computer memory chips gave an upbeat outlook, and topped market expectations for its first quarter net profit, which fell 66% from a year earlier.

Among other markets, New Zealand's NZX-50 was 0.4% higher, Singapore's Straits Times Index gained 0.5%, Malaysia's KLCI rose 0.3%, Taiwan's Taiex fell 0.2%, Indonesian shares edged up 0.3% and Philippine shares slipped 0.5%. India's Sensex fell 0.1% and Thailand's SET was flat.

The U.S. dollar continued to suffer against its major rivals after slipping sharply on Wednesday. Emmanuel Ng, currency economist at OCBC Bank, said: ""Dollar weakness is looking pervasive, while risk appetite remains strong.""

The single currency is at $1.4862 against the dollar, its highest level since December 2009, from $1.4788 late in New York on Wednesday. It was at Y121.59 against the yen, from Y121.44. The dollar was buying Y81.81, compared with Y82.17.

Taking advantage of the greenback's woes, Asian currencies soared. In addition to the Australian dollar's fresh 29-year highs, the Singapore dollar hit a record S$1.2276 high against the US dollar and the Korean won rocketed to a fresh 32-month high at KRW1,071.90.

Japanese government bond futures were up 0.05 at 139.99 points, after the Bank of Japan left its unsecured overnight call loan rate target unchanged in a range of 0.0%-0.1%, as expected, and finalized a lending facility to help sustain money flow following the March 11 earthquake.

-Shri Navaratnam, Dow Jones Newswires; +65-6415-4142; shri.navaratnam@dowjones.com

TALK BACK: We invite readers to send us comments on this or other financial news topics. Please email us at TalkbackAsia@dowjones.com. Readers should include their full names, work or home addresses and telephone numbers for verification purposes. We reserve the right to edit and publish your comments along with your name; we reserve the right not to publish reader comments. [ 28-04-11 0508GMT ]

1106 4125 5037 62560"
Thai c.bank says to  intervene  in Thai baht periodically,2011-04-26," BANGKOK, April 26 (Reuters) - The Bank of Thailand will intervene periodically in the currency market to limit volatility over the short term, central bank governor Prasarn Trairatvorakul said on Tuesday, following gains in the baht against the dollar this year.

 But the intervention would not stop the baht's broader trend, he told a seminar. 

(Reporting by Kitiphong Thaicharoen. Editing by Jason Szep)

THAILAND-BAHT/ (URGENT)"
