title,date,text
"CORRECTED -  Ukraine  C.Bank  intervenes , sells dollars   ",2007-12-27,"(Corrects headline to show central bank sold dollars)   

KIEV, Dec 27 (Reuters) - Ukraine's central bank intervened on the interbank market, selling dollars at 5.06 hryvnias when the Ukrainian currency was pushed down to the lower depth of its permitted range, traders said on Thursday.   

""There was continued high demand for the U.S. currency on the interbank market and the central bank stepped in to sell dollars,"" said one dealer, saying trades had been conducted at 5.06/5.064.   

The central bank, which has maintained a narrow band for the hryvnia of 5.00 to 5.06 since August 2005, has sold dollars on about 10 occasions in December. (Reporting by Natalya Zinets, Writing by Ron Popeski)   

UKRAINE-CURRENCY/INTERVENTION (CORRECTED, URGENT)|LANGEN|ABN|M|D"
"UPDATE 1- Ukraine  C.Bank  intervenes , sells dollars   ",2007-12-27,"(Adds reserves figure, other details)   

KIEV, Dec 27 (Reuters) - Ukraine's central bank intervened on the interbank market, selling dollars at 5.06 hryvnias when the Ukrainian currency was pushed down to the lower depth of its permitted range, traders said on Thursday.   

""There was continued high demand for the U.S. currency on the interbank market and the central bank stepped in to sell dollars,"" said one dealer, saying trades had been conducted at 5.06/5.064.   

A top central bank official said, meanwhile, that foreign reserves had dipped slightly to $32.2 billion from a record high of $32.768 billion at the end of last month.   

First Deputy chairman Anatoly Shapovalov gave no reason for the slight decline.   

""We allowed no sharp fluctuations in the hryvnia,"" he told reporters. ""These were generally no more than one percent. The rate was generally favourable for exporters and the current figure of $32.2 billion is optimal.""   

Dealers linked the dip to recent central bank interventions. The bank, which has maintained a narrow band for the hryvnia of 5.00 to 5.06 since August 2005, has sold dollars on about 10 occasions in December.   

Dealers say increased demand for dollars has been prompted by the need to conclude import contracts, particularly purchases of energy, and an end-of-year outflow of portfolio investment.   

Reserves have risen by nearly $10 billion since the beginning of the year thanks to excess supply of foreign currency. Over the first 11 months of the year, the central bank bought $7.774 billion in excess currency.   

Shapovalov said he expected excess supply to remain on the market next year and would continue to consider chairman Volodymyr Stelmakh's proposal in October of expanding the hryvnia's narrow corridor. (Reporting by Natalya Zinets; Writing by Ron Popeski; Editing by Ruth Pitchford)   

UKRAINE-CURRENCY/INTERVENTION (UPDATE 1)|LANGEN|ABN|M|D"
"Ukraine  cbank  intervenes , sells dollars   ",2007-12-14,"KIEV, Dec 14 (Reuters) - The Ukrainian central bank completed a week of intervention on the foreign exchange market by again selling dollars on Friday at 5.06 hryvnias, dealers said.   

Dealers have said the hryvnia's weakness in the past week is due to business demand for the dollar to pay year-end bills and by the need to service dollar credits and conversion of hryvnias earned during the September election campaign.   

They said demand for the dollar was likely to persist until the New Year and had no connection with political uncertainty, with no government yet in place more than two months after a parliamentary election.   

UKRAINE-CURRENCY/INTERVENTION|LANGEN|ABN|M|D"
"UPDATE 1-Ukrainian Cbank  intervenes , sells dollars   ",2007-12-13,"(adds comment, background)   

KIEV, Dec 13 (Reuters) - Ukraine's central bank intervened on the foreign exchange market on Thursday for the fourth consecutive day, selling dollars at 5.06 hryvnias.   

Dealers said demand for the dollar was likely to persist until the New Year and had no connection with political uncertainty, with no government yet in place more than two months after a parliamentary election.   

""The central bank had to sell dollars as we had the same sort of situation as yesterday,"" said a dealer from a bank with foreign capital.   

""Supply was limited and trading was at about 5.065-5.067. Anyone able to do so simply waited for the central bank to enter the market. It looks like excess dollar demand will persist until the end of December.""   

The central bank has kept the hryvnia in a narrow corridor of 5.00-5.06 to the dollar since August 2005 and in the first 11 months of the year had bought $7.8 billion in foreign currency.   

But the situation has changed this month, with the central bank selling in order to help banks meet orders from clients.   

Dealers have said the hryvnia's weakness in the past week is due to business demand for the dollar to pay year-end bills.   

On Thursday, they said demand was also fuelled by the need to service dollar credits and conversion of hryvnias earned during the September election campaign.   

Dealers said demand for dollars could well be maintained through Ukraine's long New Year and Orthodox celebrations that continue until January 8. (Editing by Ron Askew)   

UKRAINE-HRYVNIA/ (UPDATE 1)|LANGEN|ABN|M|D"
"Ukrainian  central bank intervenes , sells dollars   ",2007-12-12,"KIEV, Dec 12 (Reuters) - Ukraine's central bank intervened on the foreign exchange market on Wednesday for the fifth time this month, selling dollars at 5.06 hryvnias, dealers said.   

They said political instability -- politicians are deadlocked over choosing a new prime minister -- had little to do with the hryvnia's weakness. Instead, demand for the dollar is strong as businesses pay off year-end bills.   

The central bank has kept the hryvnia in a narrow corridor of 5.00-5.06 to the dollar since August 2005.   

UKRAINE-HRYVNIA/ (URGENT)|LANGEN|ABN|M|D"
Ukraine cbank sells dollars at 5.06  hryvnias ,2007-12-10,"KIEV, Dec 10 (Reuters) - The Ukrainian central bank intervened on the foreign exchange market on Monday for the third time this month, selling dollars at 5.06 hryvnias, dealers said.   

The bank has kept the hryvnia in a tight corridor of 5.00-5.06 hryvnias to the dollar, intervening accordingly.   

Although it has a stated aim of moving towards greater flexibility, it has indicated in recent weeks that it would not do so in the near future.   

UKRAINE-HRYVNIA/INTERVENTION (URGENT)|LANGEN|ABN|M|D"
"UPDATE 1- Ukraine  cbank  intervenes , sells dollars at 5.06   ",2007-12-07,"(adds quote, background)   

KIEV, Dec 7 (Reuters) - The Ukrainian central bank sold dollars on Friday for the second time this week at 5.06 hryvnias to keep the currency within a narrow corridor of 5.00-5.06, dealers said.   

""The central bank again came into the market, selling the dollar at 5.06 ... Some banks with large demands refused to buy dollars that were more expensive and waited for the bank's intervention,"" one dealer said.   

This week's interventions are the first time the bank has sold dollars since April. Through much of May-September, the hryvnia <UAH=> had been straining at its ceiling and the bank regularly bought dollars at 5.00 hryvnias.   

Dealers have said demand for the dollar, already made scarcer after the global credit crunch, increased as businesses, especially energy firms, pay off their year-end bills.   

Last week, the bank had let the hryvnia slip through the 5.06 floor but said the currency would correct itself because the movement was due to a single larger buyer of dollars.   

The bank has kept the currency in the 5.00-5.06 band since August 2005, within a longer-term range of 4.95-5.25, but has a stated aim of eventual greater flexibility.   

Dismissing speculation that the bank may make good on its promise soon, a senior official said no changes to the policy would be made before there is political stability. Politicians are yet to form a government two months after an election. (Reporting by Natalya Zinets; Editing by Mike Peacock)   

UKRAINE-HRYVNIA/ (UPDATE 1)|LANGEN|ABN|M|D"
"Ukraine  cbank  intervenes , sells dollars at 5.06   ",2007-12-05,"KIEV, Dec 5 (Reuters) - Ukraine's central bank intervened on the foreign exchange market on Wednesday, selling dollars for the first time since April at 5.06 hryvnias, dealers said.   

The bank had let the hryvnia slip through a 5.00-5.06 floor late on Friday, but this week said the currency would correct itself because the movement was due to a single large buyer of dollars.   

UKRAINE-HRYVNIA/INTERVENTION (URGENT)|LANGEN|ABN|M|D"
UPDATE 1-Ukraine cbank to look at gas in '08  currency  policy   ,2007-12-05,"(adds quotes, analyst, intervention)   

KIEV, Dec 5 (Reuters) - Ukraine's central bank said on Wednesday it would look into the impact of a higher 2008 gas import when considering alterations to currency policy, a senior bank official said on Wednesday.   

First Deputy Chairman Anatoly Shapovalov also told Reuters the bank would make no moves until the end of the year to its policy of defending a narrow corridor of 5.00-5.06 hryvnias to the dollar, within a wider range of 4.95-5.25.   

""There will be no change to the currency policy until the end of the year,"" Shapovalov said.   

""(Afterwards) we need to calculate how this new price will impact the demand for the dollar. By our calculations, demand for the currency will increase by about $2.7 billion.""   

Ukraine signed an agreement with Russia's gas export monopoly  Gazprom on Wednesday to pay $179.50 per 1,000 cubic metres next year against $130 now.   

""It looks as though the (bank's) figure is simply based on the amount of gas imported this year and multiplied by the change in the average price between 2007-2008, without taking into account any possible effects from increased energy-use efficiency,""  UniCredit economist Simon Quijano-Evans said.   

Speculation had been mounting in recent months that the central bank would make good on its long-stated objective of moving towards greater currency flexibility.   

The hryvnia had been straining at the 5.00 ceiling for much of the year, contained only by central bank intervention throughout May to September.   

But demand for the dollar has since increased as business, especially energy firms, paid year-end bills. The bank let the hryvnia slip through the 5.06 floor late on Friday.   

On Wednesday, it sold dollars for the first time since April to bring it back into the band.   

Deputy Chairman Olexander Savchenko told a daily newspaper on Wednesday that the bank was getting ready to increase currency flexibility the moment there was some political stability in the country.   

Politicians have yet to form a government two months after a parliamentary election, the third vote in as many years, produced a shaky coalition of two parties linked to the 2004 pro-Western ""Orange Revolution"".   

Savchenko also dismissed the notion of moving away from a dollar corridor into other currencies or a basket.   

""The first thing that discourages us from moving to a currency basket is that 80 percent of our external trade is tied to the dollar, including turnover from both the European Union and Russia,"" he said.   

UKRAINE-GAS/CBANK (UPDATE 1)|LANGEN|ABN|M|D|BNX"
UDPATE 1- Ukraine  cbank fails to  intervene  after  hryvnia  fall   ,2007-11-30,"(Adds background)   

KIEV, Nov 30 (Reuters) - Ukraine's central bank failed to intervene on Friday after the hryvnia currency moved outside the 5.00-5.06 band to the dollar, slipping to 5.067, dealers said.   

Since August 2005 the bank has intervened to keep the hryvnia within this narrow corridor, though it has a wider long-term band of 4.95-5.25 to the dollar.   

""Today was the first day when, thanks to rising demand (for the dollar), the 5.06 level was crossed but the central bank did not intervene,"" one dealer said.   

The bank's currency policy has prompted suggestions in recent weeks over whether it should stick to the corridor, modify or abandon it or create a reference basket of currncies.   

The head of the bank's council, Petro Poroshenko, said this month that the bank would stick to its wider band -- comments some analysts interpreted as signalling an easing of the tighter 5.00-5.06 band.   

Several analysts called for a revaluation several months ago, when the central bank was intervening regularly, buying up dollars at 5.00 hryvnias, and as inflation soared beyond expectations.   

Central Bank Chairman Volodymyr Stelmakh conceded in late October that revaluation would help the fight against inflation, which rose to 11.7 percent in the first 10 months of the year.   

But the hryvnia has since weakened. Demand for the dollar is partly due to tighter liquidity stemming from the global credit crunch of the summer months and because importers are paying their year-end bills. (Reporting by Natalya Zinets; writing by Sabina Zawadzki; editing by David Stamp)   

UKRAINE-HRYVNIA/INTERVENTION (UPDATE 1)|LANGEN|ABN|M|D"
