title,date,text
EXCLUSIVE-Vietnam may widen dong trading band again to conserve  FX  reserves - source,2022-10-26,"HANOI, Oct 26 (Reuters) - Vietnam is preparing to loosen its tight leash on the dong currency, including possibly widening its trading band with the U.S. dollar again, in order to conserve its shrinking currency reserves, a source with direct knowledge of the matter said on Wednesday.

The dong is a managed peg to the dollar and has fallen 8% this year, pressured by capital outflows as the U.S. Federal Reserve repeatedly raises rates to tame inflation.

The State Bank of Vietnam (SBV) has intervened to defend the currency, although it rarely discloses FX reserves data or the amount of dollars spent. Some market analysts estimate about $20 billion has been sold so far this year.

When the SBV last widened the band around its daily dong reference rate on Oct. 17 to 5% from 3% -- which some traders likened to a de facto devaluation -- the currency fell to the weak end in a sign of the heavy demand for dollars.

By 0324 GMT on Wednesday, the dong was down 0.04% to 24,855 per dollar. But on the black market, it was trading at a record low of 25,370 per dollar.

The source, who refused to be identified, said the country is willing to tolerate a further 1-1.5% dong devaluation against the dollar by year end.

Widening the band, which would allow the market to drive the currency lower without triggering so much FX reserves selling, was one possibility, the source said.

Other measures to cushion the dong, without exhausting FX reserves, were also being discussed, he said, without providing further details.

The timing of such moves was still under consideration, he added, but would likely be after next week's Federal Reserve meeting where it is expect to deliver another hefty rate hike.

""The key measure for the SBV to stabilise the dong is still selling dollars and buying dong, but the SBV is not in a good position to do that now,"" the source said.

SBV had no comment on the possible widening of the trading band, saying it would be in touch with relevant agencies.

Up until September, the dong was the most stable currency in the region, with the economy recording another quarter of strong growth and solid exports providing policymakers with plenty of hard currency to support it.

But October alone saw a 4% erosion in the dong's value against the dollar, underperforming its peers in Asia.

Unlike its neighbours and global emerging market peers, Vietnam's central bank only began to raise interest rates in recent weeks to combat inflation. It has now raised its policy rates twice in four weeks.

""Vietnam's response to the global situation has not been so prompt. That's why the dong is under so much pressure,"" the source said.

The source said the SBV was trying to conserve its dollars as the country's FX reserves had sunk to the International Monetary Fund's recommended level, which is at least three months of imports.

Vietnam's foreign reserves have fallen significantly since the start of the year, from the peak of $112.2 billion in January to $94.5 billion in August, according to a Fitch Solutions report citing IMF data.

Around $2 billion of foreign investment inflows in the form of existing loan contracts are expected next month, which could reduce the pressure on the currency.

""We believe that further policy tightening will be required to stabilise the situation,"" said Bank of America Securities' ASEAN economist Mohamed Faiz Nagutha in a note to clients on Tuesday.

""This will likely take the form of another de-facto devaluation of the dong... and/or further rate hikes,"" he said.

""We maintain our medium-term positive view on Vietnam, but policymakers need to draw important lessons from the current episode to modernise the monetary policy regime and make way for a more flexible exchange rate to act as a shock absorber."" (Reporting by Phuong Nguyen, additional reporting by Tom Westbrook in Singapore Editing by Vidya Ranganathan and Kim Coghill)

Released: 2022-10-29T08:11:59.000Z"
UPDATE 1-Vietnam c.bank to increase  FX  sales frequency to ensure supply to market,2022-06-20,"(Adds quotes, context)

HANOI, June 20 (Reuters) - The State Bank of Vietnam (SBV) said on Monday it will increase the frequency of foreign exchange sales to be ready to supply foreign currencies to the market more often amid bearish global market conditions.

The dollar/Vietnamese dong exchange rate has risen 2% from the beginning of this year, in contrast to the downward trend witnessed last year, the SBV said in a statement.

""The SBV will manage exchange rate in a way that creates room for the rate to move flexibly and absorb external shocks, at the same time it will intervene in the foreign exchange market to limit excessive fluctuations of the exchange rate,"" it said.

The central bank said it managed to buy large amounts of foreign currencies and increase its reserves thanks to favourable financial conditions in recent years.

As of March this year, Vietnam's foreign reserves had reached a record of $110 billion, official data showed.

""In the context of unfavourable market movements, the SBV has been and will continue to sell foreign currencies to stabilise the market to facilitate and support foreign currencies needs,"" it said.

The SBV did not state how much it had sold to the market.

Currency intervention is a sensitive issue for Vietnam. In the latest semi-annual report published by the U.S. Treasury Department last week, Vietnam also continued to exceed some thresholds for possible currency manipulation.

(Reporting by Phuong Nguyen; Editing by Kanupriya Kapoor) 

Released: 2022-6-20T13:56:30.000Z"
REFILE-Vietnam to pay attention to monetary policy after U.S. report - c.bank official,2021-12-06,"(Corrects to delete extraneous word ""the"" in the first paragraph, add missing word ""bank"" in paragraph 6.)

HANOI, Dec 5 (Reuters) - Vietnam will pay more attention to its monetary policy as it is not only a domestic matter but a concern for the country's big trade partners, a central bank deputy governor said on Sunday, days after the U.S. Treasury's semi-annual currency report https://www.reuters.com/business/finance/us-treasury-says-vietnam-taiwan-exceed- currency-thresholds-no-manipulator-labels-2021-12-03(""https://www.reuters.com/business/finance/us-treasury-says-vietnam-taiwan-exceed-currency-thresholds-no-manipulator-labels-2021-12-03"").

The U.S. Treasury report on Friday said that Vietnam exceeded its trade surplus, current account and foreign exchange intervention thresholds, but was ""satisfied with progress made by Vietnam to date"" on addressing exchange-rate issues.

Speaking at an economic forum, Pham Thanh Ha, deputy central bank governor, said the bank had taken the issues seriously and its monetary policy towards them had been implemented effectively.

""We have to pay more attention to our monetary policy implementation as it does not have impact on our domestic economy but our big trade partners as well,"" Ha said.

""Vietnam will keep implementing monetary policy in a cautious and flexible manner.""

Ha also said the central bank bought about $25 billion worth of dollars over the past two years to help inject dong into the banking system and boost the economy.

If necessary, he said, the bank would have to implement measures that would affect liquidity and market interest rates amid rising inflation risks. (Editing by Alex Richardson) 

Released: 2021-12-6T03:38:29.000Z"
"UPDATE 2-Vietnam, Taiwan exceed U.S. Treasury currency  thresholds, but no manipulator labels",2021-12-03,"(Adds details on Treasury thresholds, story links)

By David Lawder and Andrea Shalal

Dec 3 (Reuters) - Vietnam and Taiwan again exceeded the U.S. Treasury's thresholds for possible currency manipulation and enhanced analysis under a 2015 trade law, but the department on Friday refrained from formally branding them as manipulators.

Switzerland also narrowly escaped triggering all three manipulation criteria in the Treasury's latest semi-annual currency report, thanks to revised, broader measurements for trade and current account surpluses and foreign exchange market interventions.

All three had tripped the Treasury's thresholds in April https://www.reuters.com/business/us-says-vietnam-switzerland-taiwan-violate- currency-thresholds-2021-04-16 prompting more intensive U.S. engagement to revise their practices. Former President Donald Trump's administration had branded Vietnam and Switzerland as manipulators in December, invoking a 1988 currency law.

In the latest report, the Treasury found that no major trading partners during the year through June 2021 sought to manipulate their currencies for a trade advantage or for preventing effective balance of payments adjustments.

The department said it would continue to work with Vietnam and Taiwan to address U.S. concerns. For Switzerland, which tripped only the trade and foreign exchange intervention thresholds, the Treasury said it would continue to conduct an in-depth analysis of the alpine country's practices for another year.

Switzerland was moved to the Treasury's ""Monitoring List"" of major trading partners that merit close attention to their currency practices, along with 11 other countries that remained on the list: China, Japan, South Korea, Germany, Ireland, Italy, India, Malaysia, Singapore, Thailand, and Mexico.

Treasury said it was ""satisfied with progress made by Vietnam to date"" and would continue engagement started in May with Taiwan.

""This engagement includes urging the development of a plan with specific actions to address the underlying causes of currency undervaluation and external imbalances,"" Treasury said of the Taiwan engagement.

The United States in July dropped a threat to impose tariffs on Vietnamese goods after the country's central bank agreed with the U.S. Treasuryhttps://www.reuters.com/world/asia-pacific/us-trade-agency-drops-tariff-threat-against-vietnam-over- currency-practices-2021-07-23 to refrain from manipulation and make its exchange rate practices more transparent. The deal followed a Reuters report https://www.reuters.com/article/us- vietnam- forex- intervention-exclusive-idUSKBN2AB1I4 that Vietnam had sought to shift its spot dollar purchases to forward purchase contracts with banks to evade the Treasury criteria.

MUTED REACTION

The Treasury's latest report did not spark any significant immediate moves in the Taiwan dollar, the Vietnamese dong or the Swiss franc.

A Taiwanese central bank official said discussions with Washington would continue but blamed Taiwan's large trade deficit with the United States on strong demand for technology products fueled by the COVID-19 pandemic and production shifts prompted by U.S. tariffs on Chinese goods.

Switzerland's finance ministry repeated its longstanding denial that the country's central bank engages in manipulation of the franc for an economic advantage.

""Foreign exchange interventions are necessary for Swiss monetary policy in order to maintain appropriate monetary conditions and thus price stability,"" the ministry said in a statement.

CHINA

The Treasury report criticized China's lack of transparency in its foreign exchange practices, citing a wide discrepancy between the People's Bank of China's foreign exchange assets and net foreign exchange settlement data, suggesting that state- owned banks were being used to conduct official interventions.

""Treasury will continue to closely monitor China’s use of exchange rate management, capital flow, and macroprudential measures and their potential impact on the exchange rate,"" it said in the report.

A Reuters analysis in June https://www.reuters.com/world/china/chinas-banks-are-bursting-with-dollars-thats-worry-2021-06-01 found that Chinese banks had amassed over $1 trillion amid little official PBOCintervention, posing a risk to the government's ability to control the yuan exchange rate.

Treasury Secretary Janet Yellen told the Reuters Next virtual conference on Thursday that she would continue to engage https://www.reuters.com/markets/rates-bonds/yellen-says-cutting-some-tariffs-chinese-goods-could-ease-price-pressures-2021-12-02(""https://www.reuters.com/markets/rates-bonds/yellen-says-cutting-some-tariffs-chinese-goods-could-ease-price-pressures-2021-12-02"") her Chinese counterpart, Vice Premier Liu He, on foreign exchange policy issues.

NEW GOALPOSTS

In the second currency report issued by the Biden administration, the Treasury also adjusted the three manipulation thresholds under the 2015 law to include somewhat broader measures of trade surpluses, foreign exchange interventions and current account surpluses.

A Treasury official said Switzerland would have exceeded the old current account surplus threshold, and narrowly missed exceeding the new one.

""Treasury is working relentlessly to promote a stronger and more balanced global recovery that benefits American workers, including through close engagement with major economies on currency-related issues,"" Yellen said in a statement accompanying the report. (Reporting by David Lawder and Andrea Shalal; additional reporting by Ben Blanchard and John Revill Editing by Dan Burns, Chizu Nomiyama and Andrea Ricci) 

Released: 2021-12-3T18:31:34.000Z"
"U.S. Treasury, Vietnam  Central Bank  Reach Agreement on  Currency  Practices -- 4th Update",2021-07-19,"WASHINGTON -- Vietnam has pledged to refrain from weakening its currency to give its exporters an unfair advantage as it seeks to ease tensions over a widening trade surplus with the U.S.

The Trump administration last year labeled Vietnam a currency manipulator and threatened to impose sweeping tariffs on imports from Vietnam. The Biden administration reversed the ""manipulator"" designation in April, saying it found insufficient evidence that the country was manipulating its currency, but hasn't yet completed the process that could lead to the imposition of tariffs.

U.S. policy makers and the business community have increased their focus on Vietnam as the country has risen, in just the past decade, from a minor trading partner to the No. 6 source of U.S. imports, trailing only China, Mexico, Canada, Japan and Germany.

Vietnam has become a major source of furniture, seafood, computers, electronics, apparel and footwear for the U.S.

In a joint statement Monday, Treasury Secretary Janet Yellen and Vietnam State Bank Governor Nguyen Thi Hong said Vietnam's central bank reiterated that the focus of its monetary policy framework is to promote macroeconomic stability and control inflation.

Vietnam's central bank has agreed to allow the Vietnamese dong to move ""in line with the state of development of the financial and foreign-exchange markets and with economic fundamentals,"" according to the statement. Vietnam pledged not to lower its exchange rate to give its exporters a competitive advantage.

It will also continue to provide necessary information for the Treasury to conduct thorough analysis and reporting on its activities in the foreign-exchange market, as part of Treasury's regular currency report to Congress.

""I believe the State Bank of Vietnam's attention to these issues over time not only will address Treasury's concerns, but also will support the further development of Vietnam's financial markets and enhance its macroeconomic and financial resilience,"" Ms. Yellen said in the statement.

The Trump Treasury Department in December said Vietnam had intervened in foreign-exchange markets in a persistent, one-sided manner to limit appreciation of its currency, and had also sought to gain unfair competitive advantage in international trade through its exchange-rate management.

The Biden administration removed that label in April, but said it would continue discussions with Vietnamese officials on their economic and currency policies.

In their statement Monday, Ms. Yellen and Ms. Hong said the U.S. and Vietnam are ""trusted partners with friendship grounded in mutual respect, "" and said they are committed to maintaining close cooperation between their two institutions.

Ms. Hong said Vietnam's central bank would continue to manage its exchange rate ""to safeguard the proper functioning of the monetary and foreign exchange markets, to promote macroeconomic stability and to control inflation, not to create an unfair competitive advantage in international trade.""

U.S. Trade Representative Katherine Tai commended the agreement and said her office would also monitor Vietnam's implementation of its commitments.

--Josh Zumbrun contributed to this article.

Write to Kate Davidson at kate.davidson@wsj.com

(END) Dow Jones Newswires

July 19, 2021 17:23 ET (21:23 GMT)"
UPDATE 2-Vietnam pledges not to devalue  currency  in agreement with U.S. Treasury,2021-07-19,"(Adds statement from USTR, details on Vietnam's U.S. trade surplus)

By David Lawder and Lisa Lambert

WASHINGTON, July 19 (Reuters) - Vietnam has pledged not to deliberately weaken its dong currency to gain an export advantage, reaching an agreement with the U.S. Treasury to refrain from ""competitive devaluation"" and make its monetary and exchange rate policies more transparent.

The agreement, announced in a joint statement by Treasury Secretary Janet Yellen and State Bank of Vietnam Governor Nguyen Thi Hong after a virtual meeting on Monday, follows months of U.S. pressure on Vietnam over its currency practices and ballooning U.S. trade surplus.

The Trump administration in its final weeks had declared Vietnam a currency manipulator and had threatened to impose punitive tariffs on imports from Vietnam.

Vietnam, which benefited from the shift of U.S. supply chains away from China amid a tariff war, saw its goods trade surplus with the United State jump 25% in 2020 to $69.7 billion despite the COVID-19 pandemic. Vietnam is a growing source of U.S. imports of furniture, electronics, computers and apparel.

In the joint statement, Vietnam confirmed its commitment under International Monetary Fund rules ""to avoid manipulating its exchange rate in order to prevent effective balance of payments adjustment or to gain an unfair competitive advantage and will refrain from any competitive devaluation of the Vietnamese dong.""

The Vietnamese central bank said the focus of its monetary policy framework is ""to promote macroeconomic stability and to control inflation.""

But the central bank agreed to ""improve exchange rate flexibility over time,"" allowing the dong to move in line with the development of the country's markets and economic fundamentals, and to further modernize and make more transparent its monetary policy and exchange rate framework

The Treasury said it would inform other U.S. government agencies about the agreement to address U.S. concerns.

""I believe the State Bank of Vietnam’s attention to these issues over time not only will address Treasury’s concerns, but also will support the further development of Vietnam’s financial markets and enhance its macroeconomic and financial resilience,"" Yellen said in the statement.

The Treasury under Yellen in April removed a ""currency manipulator"" label from Vietnam that had been imposed by the Trump administration last December. But the Treasury said that Vietnam, along with Taiwan and Switzerland, had tripped its thresholds for the designation under a 2015 law.

The department at the time said it would commence ""enhanced engagement"" with Hanoi to correct the situation, which led Vietnam's foreign currency intervention and global current account surplus to exceed 2% of its GDP.

U.S. Trade Representative Katherine Tai said her agency will monitor Hanoi's implementation of the agreement and would work with Vietnam ""to ensure that it addresses the acts, policies and practices related to the valuation of its currency that were found actionable in the Section 301 investigation.""

USTR's probe had found that Vietnam was taking ""unreasonable"" actions to push down the value of its currency to make its exports cheaper, but held off on imposing tariffs. (Reporting by Lisa Lambert; Editing by Angus MacSwan and Andrea Ricci) 

Released: 2021-7-19T19:00:03.000Z"
"U.S. Treasury, Vietnam  Central Bank  Reach Agreement on  Currency  Practices -- 2nd Update",2021-07-19,"WASHINGTON -- Vietnam's central bank has agreed to improve the flexibility of its exchange rate as part of a continued effort to make its monetary policy and exchange rate framework more transparent, following a meeting between Treasury Secretary Janet Yellen and Vietnam State Bank Gov. Nguyen Thi Hong.

The Trump administration last year labeled Vietnam a currency manipulator and threatened to impose sweeping tariffs on imports from Vietnam. The Biden administration reversed the ""manipulator"" designation in April, saying it found insufficient evidence that the country was manipulating its currency, but hasn't yet completed the process that could lead to the imposition of tariffs.

U.S. policy makers and the business community have increased their focus on Vietnam as the country has risen, in just the past decade, from a minor trading partner to the No. 6 source of U.S. imports, trailing only China, Mexico, Canada, Japan and Germany.

In a joint statement Monday, Ms. Yellen and Ms. Nguyen said the State Bank of Vietnam reiterated that the focus of its monetary policy framework is to promote macroeconomic stability and control inflation.

Vietnam's central bank has agreed to allow the Vietnamese dong to move ""in line with the state of development of the financial and foreign-exchange markets and with economic fundamentals,"" according to the statement. Vietnam pledged not to lower its exchange rate to give its exporters a competitive advantage.

It will also continue to provide necessary information for the Treasury to conduct thorough analysis and reporting on its activities in the foreign-exchange market, as part of Treasury's regular currency report to Congress.

""I believe the State Bank of Vietnam's attention to these issues over time not only will address Treasury's concerns, but also will support the further development of Vietnam's financial markets and enhance its macroeconomic and financial resilience,"" Ms. Yellen said in the statement.

The Trump Treasury Department in December said Vietnam had intervened in foreign-exchange markets in a persistent, one-sided manner to limit appreciation of its currency, and had also sought to gain unfair competitive advantage in international trade through its exchange-rate management.

The Biden administration removed that label in April, but said it would continue discussions with Vietnamese officials on their economic and currency policies.

In their statement Monday, Ms. Yellen and Ms. Hong said the U.S. and Vietnam are ""trusted partners with friendship grounded in mutual respect, "" and said they are committed to maintaining close cooperation between their two institutions.

Ms. Hong said Vietnam's central bank would continue to manage its exchange rate ""to safeguard the proper functioning of the monetary and foreign exchange markets, to promote macroeconomic stability and to control inflation, not to create an unfair competitive advantage in international trade.""

--Josh Zumbrun contributed to this article.

Write to Kate Davidson at kate.davidson@wsj.com

(END) Dow Jones Newswires

July 19, 2021 10:11 ET (14:11 GMT)"
More Asian countries thick-skinned about  FX  manipulator tag,2021-04-13,"HANOI/SHANGHAI, April 13 (Reuters) - A larger number of Asian countries and economies could join the ranks of those branded currency manipulators by the U.S. Treasury in the coming days, and yet that prospect is barely causing any concern in the region.

The U.S. Treasury's semi-annual assessment of countries it deems are outright manipulators or should be on watch-lists for such behaviour is due as soon as this week.

Vietnam, which was named a manipulator for the first time in Treasury's December report, appears to have continued intervening in currency markets and may stay on the list.

Thailand and Taiwan could also be named as manipulators this time. Others, including China, Japan, South Korea, Germany, Italy, Singapore, Malaysia and Hong Kong, are likely to join or remain on the Treasury's 'monitoring list' of countries that meet some of the criteria for being labelled as currency manipulators. ""With most of the U.S. major trading partners in Asia either being labelled a manipulator or on the monitoring list, there is now less stigma associated with being called out by the U.S. Treasury,"" said Khoon Goh, head of Asia research at ANZ in Singapore.

A 2015 U.S. law which can lead to sanctions, bases the manipulator designation on three criteria - a $20 billion-plus trade surplus with the United States, currency intervention exceeding 2% of gross domestic product and a current account surplus exceeding 2% of GDP.

The label of currency manipulator does not automatically bring any punishment, however, and the U.S. law only requires Washington to demand negotiations with designated countries.

The April report will be the first since Janet Yellen was appointed by U.S. President Joe Biden to lead the Treasury.

While not counting on it, analysts such as Goh wonder if the new administration will make allowances for the effects of the coronavirus pandemic, loose U.S. monetary policies and the U.S.-China trade war in distorting trade balances and currency values in Asia.

""We doubt that the U.S Treasury will get far from their bilateral engagements unless there is recognition of the role that U.S. policies have played in the first place,"" ANZ's Goh said in a note.

LEVERAGE

The Treasury allows itself plenty of discretion. China, for instance, became the first country to be properly named a manipulator at the height of the trade war in 2019, even though it didn't meet all the three criteria.

This time, despite a massive current account surplus in 2020, China's FX reserves have barely risen. The yuan has steadied over the past six months, and rising dollar balances at local banks have analysts suspecting that they are massaging the flows in the central bank's stead.

Switzerland, a first-time manipulator in the December report, could escape that tag because it appears to have scaled-back intervention this year, although it might remain on the monitoring list.

Vietnam has benefited from a shift in exports and manufacturing of electronics and other goods from China after its trade war with Washington. Since December, when it was labelled a currency manipulator, Vietnam's central bank has used special currency swaps to keep its dollar-buying intervention off the books for a while.

Nguyen Tri Hieu, a former Vietnam government advisor, believes authorities in the Southeast Asian country do worry about the possible damage to its reputation and exports from being named a manipulator.

""I don't think Biden administration would remove Vietnam from the currency manipulator list in the short term. Instead, the U.S. will use it as leverage in further negotiations with Vietnam, but no sanctions or taxes will be levied,"" Hieu said.

Policymakers in Taiwan say they have observed that countries already tagged by the United States, such as Vietnam, have not felt any impact.

""In fact, currency intervention in small and open economies is like other countries' quantitative easing - they are all important monetary policy tools for the central banks to achieve their legally defined missions,"" Taiwan's central bank said. (Additional reporting by Liang-Sa Loh in Taipei, Andrew Galbraith in Shanghai, Writing by Vidya Ranganathan, Editing by Catherine Evans) 

Released: 2021-4-13T11:53:32.000Z"
UPDATE 2-U.S. trade chief voices concern to Vietnam over  currency  practices,2021-04-02,"(Adds Vietnam trade ministry comment, background)

WASHINGTON, April 1 (Reuters) - U.S. Trade Representative Katherine Tai, in a call on Thursday with Vietnam's minister of industry and trade, highlighted U.S. concerns about Vietnam's currency practices, a USTR statement said.

Tai and the Vietnamese minister Tran Tuan Anh also ""discussed U.S. concerns on illegal timber practices, digital trade and agriculture,"" the statement said.

Vietnam's Ministry of Industry and Trade in a statement on Friday said Vietnam and the United States ""will continue to actively cooperate to comprehensively address the concerns to maintain a stable trade relation.""

The ministry said bilateral trade between the two countries is expected to reach $100 billion this year, up from $90.8 billion last year. The United States is Vietnam's largest export market.

The U.S. Treasury Department in December labeled Vietnam a ""currency manipulator"" due to its growing trade surplus with the United States, its large global current account surplus and heavy foreign exchange market intervention to hold down the value of its dong currency.

In January, the USTR released the results of an investigation into Vietnam's currency practices.

It found Vietnam's actions to push down the value of its currency were ""unreasonable"" and restricted U.S. commerce, but it did not take immediate action to impose punitive tariffs.

In February, Reuters exclusively reported that Vietnam's central bank was intervening in foreign exchange markets, using what traders described as an unusual method. (Reporting by Eric Beech; Additional reporting by Khanh Vu; Editing by Leslie Adler and Grant McCool) 

Released: 2021-4-2T04:46:57.000Z"
UPDATE 1- Vietnam 's  central bank  cuts down on dong  intervention  frequency,2021-02-22,"* SBV says to buy USD weekly instead of daily

* SBV says aim is to let market set dong rates

* FX sensitive since U.S. branded VN a ""currency manipulator"" (Adds backround, market price and further SBV comment)

By Phuong Nguyen

HANOI, Feb 22 (Reuters) - The State Bank of Vietnam (SBV) said it has cut the frequency of its foreign exchange interventions to allow the Vietnamese dong to move in accordance with the market.

""From Feb. 17, 2021, the SBV reduced the frequency of buying intervention to once a week on every Wednesday, instead of daily,"" the central bank said in an email to Reuters.

""This move aims at letting the rate move in accordance with the market.""

Currency intervention is a sensitive issue for Vietnam since the United States branded it a ""currency manipulator"" in December for seeking to keep the dong from rising.

Vietnam has seen a surge in export-led growth and a higher value for the dong could hurt its manufacturers and threaten this growth in the middle of a pandemic.

Reuters earlier reported the SBV had this year ceased buying dollars in the spot market, where trades settle within days, and instead purchased them for delivery in July, a move traders said could help avoid drawing U.S. attention.

The SBV said it stopped spot transactions from Jan. 4 and instead shifted to using derivatives called forwards - including an unusual provision allowing banks to cancel them - in order to ensure a flexible rate for the dong and to support liquidity.

Vietnam has consistently said its currency policies aimed to maintain stability and control inflation, not seek trade advantage.

The dong has barely moved in official spot markets this year, with a 0.2% gain and quoted around 23,020 per dollar on Monday. (Reporting by Phuong Nguyen in Hanoi; Writing and additional reporting by Tom Westbrook in Singapore; Editing by Vidya Ranganathan and Giles Elgood) 

Released: 2021-2-22T16:16:23.000Z"
